gene,description,Pm_1,Pm_10,Pm_11,Pm_12,Pm_13,Pm_14,Pm_15,Pm_16,Pm_17,Pm_18,Pm_19,Pm_2,Pm_20,Pm_21,Pm_22,Pm_23,Pm_24,Pm_25,Pm_26,Pm_27,Pm_28,Pm_29,Pm_3,Pm_30,Pm_4,Pm_5,Pm_6,Pm_7,Pm_8,Pm_9,Pm_1_heart,Pm_10_heart,Pm_3_heart,Pm_5_heart,Pm_8_heart,Pm_1_kidney,Pm_10_kidney,Pm_3_kidney,Pm_5_kidney,Pm_8_kidney,Pm_1_liver,Pm_10_liver,Pm_3_liver,Pm_5_liver,Pm_8_liver,Naja_vg_1,Naja_vg_2,Naja_vg_3,Naja_vg_4,Naja_vg_5,Naja_vg_6,Naja_liv_1,Naja_liv_2,Naja_kid_1,Naja_kid_2,Naja_pan_1,Naja_pan_2,Naja_sg_1,Mus_sg_1,Mus_sg_2,Mus_sg_3,Mus_sg_4,Mus_hrt_1,Mus_hrt_2,Mus_hrt_3,Mus_kidn_1,Mus_kidn_2,Mus_kidn_3,Mus_livr_1,Mus_livr_2,Mus_livr_3,Mus_livr_4,Anole_hrt_1,Anole_hrt_2,Anole_hrt_3,Anole_hrt_4,Anole_kidn_1,Anole_kidn_2,Anole_kidn_3,Anole_kidn_4,Anole_livr_1,Anole_livr_2,Anole_livr_3,Gal_hrt_1,Gal_hrt_2,Gal_hrt_3,Gal_kidn_1,Gal_kidn_2,Gal_kidn_3,Gal_livr_1,Gal_livr_2,Gal_livr_3,Xeno_hrt_2,Xeno_hrt_3,Xeno_kidn_1,Xeno_kidn_2,Xeno_kidn_3,Xeno_livr_1,Xeno_livr_2,Xeno_livr_3,Pan_hrt_1,Pan_hrt_2,Pan_kid_1,Pan_kid_2,Pan_liv,Homo_sg_1,Homo_sg_2,Homo_hrt_1,Homo_hrt_2,Homo_hrt_3,Homo_kidn_1,Homo_kidn_2,Homo_kidn_3,Homo_livr_1,Homo_livr_2,Homo_livr_3,Canis_sg_1,Canis_sg_2,Canis_hrt_1,Canis_hrt_2,Canis_hrt_3,Canis_kidn_1,Canis_kidn_2,Canis_kidn_3,Canis_livr_1,Canis_livr_2,Canis_livr_3,py_sg1,py_sg2,pg_sg1,pg_sg2,mus_slg_1,mus_slg_2,mus_smg_1,mus_smg_2,mus_pg_1,mus_pg_2,gekko_sg1,gekko_sg2
107282159,delta-like 4 (Drosophila),2,14,10,3,3,5,1,6,5,5,16,5,8,8,3,6,1,4,11,6,2,15,24,7,5,9,4,0,9,1,40,9,12,7,14,48,41,17,17,28,16,5,7,6,23,1.30116,1.35419,3.72084,2.20302,1.7348,1.64466,7.50891,1.99166,3.96514,4.51033,2.7964,0.41546,9.3745,0.261365,0.414225,0.418077,0.423407,14.5213,16.69682,13.96569,14.54951,12.2522,12.29532,2.75461,3.24895,4.02965,4.16696,2.80049,9.22096,3.9447,2.44761,3.63219,11.4759,13.7397,4.74984,3.44593,9.18588,2.97052,12.75476,15.79405,11.89799,6.045346,6.95227,7.555653,2.29674,3.847984,3.956512,4.20807,9.177314,5.01516,9.487281,11.63228,3.303452,8.951651,13.09991,2.98351,7.293302,9.784341,7.50403,1.25431,0.8078245,0.7776995,7.227916,8.875269,10.158367,2.851353,3.7226126,2.001685,1.07263,0.370894,0.5503727,1.648383,1.580398,4.48043,11.10609,13.07926,2.325257,7.07337,19.58548,4.264986,3.330054,0.781737,0.957928,2.63728,0.444237,0.16005,0.113612,0.0175622,0.0628818,0.0906731,0.0120165,0.0771792,0.381211,0.382342
107282160,fibronectin leucine rich transmembrane protein 2,401.01,1107,1511.25,192,291,380,119,85,593.04,92,571.1,509,489,205,235,191,208,97,646,358.02,116,639.03,2290.75,765.04,715.01,312.01,559.22,147,913,251.03,40,307,74,284,111,348,385,558,257,237,18,16,4,7,12,1.78162,0.278564,2.12866,4.80044,19.3185,0.891976,0.452935,0.39727,17.2049,13.2911,0.317857,0.0520485,9.78483,0.10518,0.229253,0.143807,0.08752,1.720919,1.274119,1.314829,1.596682,1.531669,1.281155,0.0987124,0.0825726,0.0400982,0.0481196,0.389257,4.19998,0.880111,1.318,3.80206,8.5137,7.23018,5.31731,0.278242,1.13834,0.282105,0.937436,0.953227,0.970509,2.12441,3.65608,5.30935,0.70909,0.912264,1.30713,3.59589,6.90711,13.6639,12.4163,17.6373,3.15012,2.58321,3.93039,0.747502,0.718542,1.80013,1.58099,0.268129,2.242455,2.034016,1.247886,1.866749,2.086589,1.081301,3.467618,2.063632,0.738123,0.1381067,0.9197891,0,0,0.387382,10.0525,9.14302,2.42463,0.0261156,2.44296,0,0,0.689445,2.11493,1.04194,1.51021,2.30091,0.23956,0.0630111,0.290892,0.152673,0.0423078,0.0332184,1.03869,0.94971
107282165,peroxisomal biogenesis factor 11 gamma,169,251,348,154,97,174,89,204,202,80,145,271,234,113,172,160,125,87,375,153,184,365,288,277,180,231,225,73,198,156,68,105,99,96,88,279,210,320,250,224,131,240,143,136,297,4.71779,3.18468,8.05859,6.41496,7.84004,6.26163,10.7617,6.48864,10.3118,10.3704,7.58655,3.36148,10.1957,4.433036,3.52636,3.9567,5.133494,2.257094,3.447535,3.139654,12.68437,10.0913,11.6358,49.27171,51.33515,55.09096,52.26168,24.9335,0,0,0,76.623,0,0,0,0,0,0,1.89284,2.716957,4.17662,16.50313,42.70189,19.95149,16.7226,37.80555,31.8438,5.4706,4.78474,14.6279,14.2489,13.9254,10.9001,25.0071,23.4151,0.741122,0.290901,28.08585,23.68672,6.80181,0.2030506,1.2708056,1.675267,2.5038298,2.347285,16.71575466,25.08529,11.9639084,23.35809,5.604589,11.704027,1.820666,2.099467,0.1102765,0.519115,1.037666,4.67996,6.74891,1.951628,2.802266,5.774435,3.350627,0,0,1.25911,1.04618,9.77322,11.66312,7.943617,12.94006,11.2305,10.32717,2.96317,2.75499
107282178,microtubule associated protein 7,857,543,514,389,323,305,306,347,423,453,489,534,253,348,469,354,841,560,528,763,470,275,967,448,579,268,448,567,363,484,9,51,12,54,7,494,317,742,560,682,121,220,118,106,186,13.7141,3.80506,20.1827,21.73,26.8861,14.4029,1.76498,5.07314,16.1013,23.3589,6.22767,7.2838,46.2433,6.295955,10.022012,11.207034,12.404177,3.1342465,5.4315133,6.054225,28.657693,26.0940769,28.37379,10.04465128,12.077336,11.708792,11.395823,0.0991053,0.649615,0.18362,1.21636,19.2943,53.357,72.9321,84.9702,17.0116,18.3681,29.0735,0.134224,0.469633,2.203099,41.97559,115.0074,77.94151,17.46198,33.93174,31.25052,0.598254,0.3627031,8.642764,8.497004,9.937895,2.734323,7.090339,7.511316,1.313478207,2.322675185,33.194199,50.845411,14.54048516,6.96385,11.89310063,1.160553001,0.398107,0.9710383,57.803049,12.80864764,30.24583013,11.796199,2.8032972,4.295899,21.916241,14.7297704,0.057688,0.2689849,0.0299166,31.873167,23.52227,11.57119,7.063768789,7.902814,6.8256937,2.85606,23.5061,0,0,4.393591,2.4497299,3.930522,6.8248038,0.99521,1.3063334,1.64533,1.59019
107282195,hyaluronan and proteoglycan link protein 1,19,132,97,19,9,35,9,4,51,17,63,22,25,22,28,34,35,6,152,19,29,49,40,29,31,28,52,3,75,20,0,22,1,21,21,0,0,2,0,1,0,1,0,0,0,0.156311,0,0.444594,0.0501089,0.164398,1.41679,0,0,0.0438847,0,0,0,0.398765,0.0187647,0.0572853,0.0199607,0.0182225,0.119818,0.178178,0.14521,0.2734,0.298356,0.173956,0.124318,0.0482268,0.0250873,0.0739056,0.272721,4.3862,0.0694099,0.820414,0.169286,1.1491,2.34261,0.31336,0,0.117398,0,0.280332,0.1107232,1.309535,0.267484,0.6809992,0.5566605,0,0.165306,0,0.6668024,2.30453,0.0704374,0.1386965,0.3570043,0,0,0.03014607,0.205184,0.617371,1.76529,1.97192,0.18498,0.128436,0.08199199,0.0300837,1.912431,1.341291,0,0.352274,0.0108088,0,0,0,17.8998,24.7711,1.49975,1.09727,8.35935,3.50274,37.8804,8.92216,6.23451,0,2.83763,1.87505,0.548485,0,3.3058,0.0243138,0.00565891,0.0134784,0,0,0,1.71552,0.894748
107282230,"RAB3A, member RAS oncogene family",124,118,114,64,95,89,37,84,39,69,101,104,76,84,33,65,70,52,106,76,48,195,202,93,232,53,90,33,106,38,13,10,19,15,15,38,3,17,17,13,4,7,4,4,14,4.19759,6.05036,7.16576,6.74293,7.07223,3.91912,5.01215,2.51894,6.90685,6.9244,5.69822,3.02814,14.0281,5.049693,6.028285,6.325308,5.867172,34.384915,48.486898,48.360591,21.034012,21.138345,21.075653,10.168413,8.788567,10.609614,8.951259,22.6538,22.5883,13.3222,9.25002,42.1931,44.5074,30.1921,22.2649,15.4919,14.1961,8.86987,32.2627,16.1012,15.5356,18.4011,14.1775,18.084,9.88681,7.33929,4.38609,0.467988,0,3.05777,4.01986,4.42501,0,0.686382,0.229175,15.98396,29.6325,12.34274452,17.4854,0.978941,0.7558877,0.562115,15.70377041,70.737881,56.68909,19.59218,17.880694,9.684418,1.524605,0.48432,1.143894,16.792603,13.58426,22.10483,46.7443,72.66312,11.49606,17.83606,16.68849,3.73941,5.35175,3.10112,3.85301,2.36E-08,2.29553,7.11247,12.399652,15.7894612,9.04380328,12.013891,4.454204,4.0432,9.59557,2.86688
107282238,mitogen-activated protein kinase kinase kinase 5,30,88,123,18,31,41,9,32,54,25,151,37,50,22,49,38,14,46,98,37,28,93,169,57,97,79.98,53,14,67,18,37,35,38,77,66,351,240,277,157,158,36,117,99,72,154,0.839519,1.88023,0.995952,1.27524,1.91727,0.893965,17.1801,19.9305,27.5003,24.6064,2.82693,0.596166,5.97478,3.1751,2.56674,3.78106,2.5979292,7.337205,7.3011201,8.2019568,13.397352,14.124607,11.590454,3.335835,6.58378,3.865613,4.91121,1.78415,6.20033,4.64031,4.07015,7.05868,20.5058,25.9431,30.5202,7.00902,11.4496,9.2019,6.44463,13.42994,8.03276,6.25512,20.57851,25.54783,3.5316,5.02919,5.40324,2.973725,11.352,7.20496,7.823522,6.603678,2.932926,6.454813,8.655296,6.44003,9.02199,22.717081,22.363466,3.55345,3.39628,2.355224,8.05233,5.73137,6.51497,6.92595,3.388671,12.7459,1.48062,4.44681,5.0962,5.11084,2.67404,3.08898,10.192934,6.24858,6.543698,5.9603,4.44082,5.40759,4.57022,3.172,1.96299,3.86562,0.344328,0.596414,2.5323828,1.729931,2.070619,1.9546356,0.413872,0.611048,0.950445,0.847346
107282273,phosphoinositide-3-kinase regulatory subunit 2,41,36,57,25,36,24,29,38,28,39,35,79,31,27,33,37,32,33,57,53,29,48,187,65,106,12,41,21,20,12,20,6,15,48,11,93,35,59,26,42,26,46,24,26,30,14.6352,2.204763,25.0073,36.6089,32.2381727,8.802395,19.64693224,14.5748,201.651176,154.41443,24.4039,9.4756,57.856468,1.843952,1.808206,1.907458,1.685987,6.15069,11.664537,12.521136,22.027134,20.267622,20.613483,14.158753,23.436601,23.009531,19.704837,24.0981,16.9922,23.0401,13.0588,26.2083,26.4196,32.7341,33.0964,14.4734,14.4238,22.3376,26.6132,16.1164,17.1626,56.3811,32.3611,30.5777,22.8628,15.1822,16.3145,5.479115,5.041137,10.06541505,7.092042001,11.683345,3.3539618,4.949644,9.35379,8.308740032,10.21795512,25.653953,35.051789,18.04312895,3.1714521,4.3992606,18.026021,19.5779452,20.40612001,44.580378,20.770787,11.21174,27.989861,0.551115,1.9916941,14.1743343,10.938679,0.634631,2.97007,3.71334,13.257627,10.223877,5.7308113,1.67154,3.8816107,4.94749,9.42051,11.0226,9.78609,8.3736,0.801544803,0.419079,0.666215,0.367063455,0.1547407,0.10438396,3.90739,3.39939
107282288,coiled-coil serine rich protein 1,187,171,227,127,108,97,75,88,115,87,136,97,94,120,153,89,168,113,175,131,133,107,247,124,163,75,182,147,101,112,9,24,17,35,15,238,202,306,185,212,4,12,8,9,86,6.14811,0.372262,8.73715,7.57448,48.1432,2.98,0.931207,0.530896,1.48918,4.39022,6.64642,2.87496,6.87974,2.772515,2.193236,2.5005699,1.5169632,0.27971091,0.2597397,0.2358936,3.793922,3.928565,3.5652089,0.0156553,0.111124,0.0765373,0.0361145,0.360685,0.702481,0.451114,0.410161,0.402891,1.69867,1.23531,1.28786,0.380312,0.718121,0.491631,0.537984,0.388629,0.8254128,3.522531,5.920096,3.82075,2.07655,1.814033,1.742995,1.35915,2.25217,3.97212,6.14738,6.23697,1.0375,2.86594,3.47447,1.328844,1.836865,1.9450109,3.4694813,0.145729,1.800287,2.567348,1.278865,1.428905,2.260107,3.649003,1.469982,4.21026,0.0970815,0,0.00690204,2.416104,2.7376512,0.109841704,0.134821047,0.740536,1.1961368,1.883526606,0.4709314,3.020070252,3.12969,2.759524422,4.40553,8.66002,12.6428,11.1141,2.4385639,1.5813484,1.87184166,1.1183659,1.0554512,1.6240849,0.561231,0.476809
107282380,F-box protein 47,0,9,1,2,0,9,0,0,1,1,3,4,0,1,0,3,1,3,3,0,1,4,2,0,3.98,8,3,2,6,2,0,17,3,6,0,5,5,19,20,5,0,3,0,2,0,0.0116412,0.0616251,0.14716,0,0.0139925,0.306953,0.053954,0.0410133,0.549072,2.26106,0.0289543,0.0268669,0.844738,0.294078,0.151914,0.158066,0,0.1494911,0.254393,0.1783771,0.13329,0.300328,0.2275527,0.3430541,0.0787096,0.177979,0.142268,0.209368,0.173676,0.290358,0.351999,2.35993,0.320463,0.33792,0.382334,0.260086,0.163702,0,0.0473027,0,6.13685,0,0,0.0570093,0,0,0,3.38396,0.3824923,1.267558,1.471907,1.129961,0.6845914,1.335674,0.5822529,0,0.0259065,0.0407958,0.165004,0.0303826,0.015564,0.0143832,0,0,0,0,0.083559,0,0,0,0,0,0,0.0268037,0.0538935,0.0838598,0,0,0.0175877,0,0,0,0,0,0.0769405,0,0.27606,0.1931904,0.0758196,0,0.0646549,0.0583399,0.0380555,0.0916049
