"","pm_gene","symbol","Pm_col","Hs_col"
"1",107285113,"A1CF","salmon","grey"
"2",107285897,"A4GNT","turquoise","green"
"3",107291665,"AAAS","yellow","turquoise"
"4",107282864,"AACS","turquoise","turquoise"
"5",107286026,"AADAC","purple","greenyellow"
"6",107286149,"AADAT","tan","green"
"7",107283936,"AAGAB","yellow","blue"
"8",107283228,"AAK1","turquoise","lightcyan"
"9",107291468,"AAMP","darkgrey","turquoise"
"10",107290061,"AANAT","tan","turquoise"
"11",107294664,"AARS2","blue","magenta"
"12",107298927,"AASDH","yellow","lightcyan"
"13",107294267,"AASDHPPT","turquoise","blue"
"14",107293701,"AASS","turquoise","grey"
"15",107292546,"ABAT","red","lightcyan"
"16",107286307,"ABCA1","magenta","brown"
"17",107290456,"ABCA12","blue","purple"
"18",107297250,"ABCA2","brown","turquoise"
"19",107290318,"ABCA3","turquoise","turquoise"
"20",107299902,"ABCA4","blue","purple"
"21",107283317,"ABCB1","turquoise","purple"
"22",107295106,"ABCB10","blue","brown"
"23",107292781,"ABCB11","pink","red"
"24",107288119,"ABCB6","yellow","turquoise"
"25",107282933,"ABCB7","yellow","brown"
"26",107299601,"ABCB8","green","turquoise"
"27",107285439,"ABCB9","red","greenyellow"
"28",107283988,"ABCC1","darkgrey","turquoise"
"29",107289690,"ABCC10","turquoise","turquoise"
"30",107287743,"ABCC2","blue","magenta"
"31",107293901,"ABCC3","blue","brown"
"32",107295142,"ABCC4","blue","brown"
"33",107302584,"ABCC5","yellow","green"
"34",107299624,"ABCC8","turquoise","cyan"
"35",107286704,"ABCD1","turquoise","turquoise"
"36",107299933,"ABCD3","yellow","blue"
"37",107290495,"ABCD4","turquoise","turquoise"
"38",107286197,"ABCE1","lightgreen","blue"
"39",107300918,"ABCF2","salmon","green"
"40",107294400,"ABCF3","salmon","turquoise"
"41",107295285,"ABCG1","green","turquoise"
"42",107284524,"ABCG4","pink","black"
"43",107286451,"ABHD1","green","green"
"44",107292381,"ABHD10","darkred","blue"
"45",107284713,"ABHD11","turquoise","cyan"
"46",107284090,"ABHD12","turquoise","yellow"
"47",107293429,"ABHD12B","cyan","yellow"
"48",107284306,"ABHD13","turquoise","brown"
"49",107291097,"ABHD14A","grey60","turquoise"
"50",107291088,"ABHD14B","darkturquoise","turquoise"
"51",107286846,"ABHD2","turquoise","grey"
"52",107293547,"ABHD3","brown","brown"
"53",107287151,"ABHD4","yellow","turquoise"
"54",107294103,"ABHD5","lightcyan","blue"
"55",107287786,"ABHD6","pink","brown"
"56",107282816,"ABI1","darkorange","blue"
"57",107290642,"ABI2","turquoise","blue"
"58",107282619,"ABI3","darkorange","turquoise"
"59",107289693,"ABI3BP","pink","brown"
"60",107291344,"ABL1","brown","turquoise"
"61",107283361,"ABL2","brown","turquoise"
"62",107287320,"ABLIM1","blue","tan"
"63",107299968,"ABLIM2","red","grey"
"64",107292467,"ABLIM3","blue","black"
"65",107294510,"ABR","yellow","tan"
"66",107300240,"ABT1","grey60","turquoise"
"67",107302450,"ABTB1","yellow","turquoise"
"68",107287502,"ABTB2","blue","turquoise"
"69",107284371,"ACAA1","turquoise","turquoise"
"70",107284131,"ACAA2","yellow","blue"
"71",107287268,"ACACB","blue","turquoise"
"72",107286993,"ACAD10","yellow","turquoise"
"73",107293175,"ACAD8","turquoise","turquoise"
"74",107287868,"ACAD9","brown","turquoise"
"75",107301928,"ACADL","turquoise","blue"
"76",107285068,"ACADM","turquoise","blue"
"77",107293846,"ACADS","brown","turquoise"
"78",107285940,"ACADSB","turquoise","lightcyan"
"79",107295343,"ACADVL","brown","turquoise"
"80",107299337,"ACAP1","blue","turquoise"
"81",107291706,"ACAP2","brown","brown"
"82",107287531,"ACAP3","brown","turquoise"
"83",107284898,"ACAT1","brown","blue"
"84",107297601,"ACAT2","black","blue"
"85",107291210,"ACBD3","brown","blue"
"86",107286282,"ACBD4","lightcyan","yellow"
"87",107282819,"ACBD5","turquoise","brown"
"88",107283379,"ACBD6","brown","turquoise"
"89",107302594,"ACCS","green","turquoise"
"90",107302404,"ACE","turquoise","turquoise"
"91",107290068,"ACE2","black","blue"
"92",107298307,"ACER3","turquoise","brown"
"93",107285030,"ACHE","pink","yellow"
"94",107294114,"ACIN1","orange","turquoise"
"95",107303043,"ACLY","darkgrey","grey"
"96",107284400,"ACMSD","pink","green"
"97",107296929,"ACO1","black","grey"
"98",107285421,"ACO2","red","turquoise"
"99",107283027,"ACOT11","magenta","grey"
"100",107286315,"ACOT12","black","green"
"101",107289605,"ACOT13","brown","blue"
"102",107284665,"ACOT7","yellow","grey60"
"103",107298443,"ACOT8","turquoise","turquoise"
"104",107298385,"ACOT9","darkred","grey"
"105",107290782,"ACOX1","yellow","blue"
"106",107296584,"ACOX2","yellow","turquoise"
"107",107300237,"ACOX3","turquoise","turquoise"
"108",107284589,"ACP1","brown","blue"
"109",107289837,"ACP2","turquoise","turquoise"
"110",107285149,"ACP5","black","magenta"
"111",107289025,"ACP6","royalblue","turquoise"
"112",107285797,"ACRBP","black","purple"
"113",107283779,"ACSF2","brown","turquoise"
"114",107283518,"ACSF3","yellow","green"
"115",107302669,"ACSL1","turquoise","blue"
"116",107289159,"ACSL3","turquoise","blue"
"117",107286255,"ACSL5","brown","brown"
"118",107289490,"ACSL6","blue","green"
"119",107284049,"ACSS1","pink","turquoise"
"120",107285579,"ACSS2","yellow","turquoise"
"121",107284038,"ACSS3","red","blue"
"122",107295108,"ACTA1","red","lightgreen"
"123",107286753,"ACTG1","purple","turquoise"
"124",107292367,"ACTL6A","black","blue"
"125",107285001,"ACTL6B","brown","red"
"126",107285621,"ACTL7A","turquoise","turquoise"
"127",107285832,"ACTN1","black","grey"
"128",107302624,"ACTN3","red","greenyellow"
"129",107295483,"ACTN4","darkgrey","turquoise"
"130",107302963,"ACTR10","black","blue"
"131",107290840,"ACTR1A","yellow","turquoise"
"132",107287969,"ACTR1B","darkgrey","turquoise"
"133",107287052,"ACTR2","blue","brown"
"134",107289763,"ACTR3","turquoise","brown"
"135",107303329,"ACTR3B","red","grey"
"136",107297687,"ACTR5","brown","brown"
