#FamilyID	Human<0>	Chimp<1>	Cobra<2>	Habu<3>	<4>	Mouse<5>	Anole<6>	<7>	<8>	Dog<9>	<10>	Chicken<11>	<12>	<13>	<14>	Frog<15>	<16>	
2	0.0772542	0.246395	0.555274	0.723342	0.00240333	0.880152	0.0615723	0.830835	0.322721	0.0717648	0.110245	0.41157	0.0502761	0.196696	0.784066	0.0866126	N/A
10	6.11071e-05	2.31819e-05	0.701783	0.807453	0.565759	0.426157	0.17203	0.599932	N/A	0.111679	0.121312	0.0383092	0.848271	N/A	N/A	0.563329	N/A
11	0.166939	0.00698109	0.297574	0.692572	0.0303137	N/A	0.272222	0.0607603	N/A	0.270138	N/A	0.530022	0.234359	0.764187	N/A	0.973949	N/A
14	0.000449645	0.011417	0.652032	0.967326	0.388306	0.848104	0.266936	0.723226	N/A	0.355054	0.530893	0.262903	0.842339	0.498444	0.481435	0.00227901	N/A
20	3.21943e-07	0.00158682	0.968949	0.413634	0.0637039	0.738624	0.732157	0.254646	N/A	0.0640818	N/A	0.623249	N/A	N/A	N/A	0.710549	N/A
21	0.0587155	0.00307312	0.854999	0.012097	0.143046	0.071409	0.0999068	0.00419134	N/A	0.017363	N/A	0.483282	0.337552	0.737854	N/A	0.970978	N/A
22	5.40281e-07	0.000248967	0.966601	0.644832	0.0396841	N/A	0.726032	0.616944	N/A	0.153382	N/A	0.614998	0.465822	0.753503	N/A	0.864464	N/A
28	0.071521	0.386124	0.000103299	0.0619884	N/A	N/A	0.557251	0.0212753	N/A	0.822433	0.54717	0.966135	0.811705	N/A	N/A	N/A	N/A
31	0.0153465	0.436507	0.00206873	0.169239	0.0355691	0.403907	0.700742	0.0261842	N/A	0.418963	0.535078	0.693879	0.731012	N/A	N/A	0.412391	N/A
34	0.418811	0.213231	0.365354	0.31195	0.609826	0.00340741	0.252323	0.967834	N/A	0.200293	0.302617	0.12702	0.424942	0.213108	0.409198	0.00218839	N/A
38	5.98977e-19	3.04664e-10	0.493849	N/A	0.0562404	0.807672	0.242857	0.48051	N/A	0.241896	0.220786	0.216243	N/A	N/A	N/A	0.96726	N/A
39	3.90587e-23	7.14588e-07	N/A	0.703771	4.88529e-05	N/A	N/A	N/A	0.156248	3.33596e-05	N/A	0.00638429	0.564332	0.372373	0.360443	0.00212868	N/A
42	0.356677	N/A	0.328846	0.073134	0.13636	7.01474e-06	N/A	0.418486	N/A	0.271592	0.691041	0.392582	0.08768	0.683389	N/A	0.453569	N/A
45	0.000132028	0.0402937	0.698302	0.698302	0.00053036	0.79721	0.455044	0.496355	N/A	0.0191276	0.807487	0.796955	0.453517	N/A	N/A	0.747737	N/A
59	0.00266774	1.27395e-07	0.254821	N/A	0.00292604	0.496205	0.599791	0.0999626	N/A	0.302871	0.637814	0.765512	0.385229	N/A	N/A	0.48867	N/A
63	0.00123626	5.40314e-07	0.433856	0.763192	0.351149	0.140594	N/A	0.591954	N/A	0.628554	0.647117	0.77177	0.648744	N/A	N/A	0.958589	N/A
66	N/A	0.100655	0.897495	N/A	0.00627993	0.317031	0.556121	0.47798	0.160773	0.819666	N/A	0.00400475	9.42189e-09	0.472956	0.212042	0.00903194	N/A
68	4.19432e-07	0.00108251	0.949634	0.282703	0.160254	N/A	0.811472	0.426549	N/A	0.75908	N/A	N/A	0.629643	N/A	N/A	0.783684	N/A
92	0.000261041	1.03273e-06	0.68093	0.459365	0.210174	N/A	0.764744	0.641255	N/A	0.157158	N/A	0.589546	N/A	N/A	N/A	N/A	N/A
96	0.00659318	4.70402e-08	0.0948284	0.941667	0.00635975	N/A	0.580321	0.0917725	N/A	0.12045	0.17674	0.286463	0.325609	N/A	N/A	0.0710234	N/A
117	3.71009e-10	4.12178e-06	N/A	0.286823	0.168721	0.647365	0.29665	0.473278	N/A	N/A	0.611998	0.247843	0.128606	N/A	N/A	0.217715	N/A
124	0.000114862	3.12453e-07	0.408387	0.129015	0.146717	0.267995	0.448572	0.473278	N/A	0.172979	N/A	0.906294	0.0980355	N/A	N/A	0.345762	N/A
168	2.99883e-06	0.117449	N/A	N/A	0.00137846	N/A	0.450746	N/A	N/A	0.425842	0.461053	0.28555	N/A	N/A	N/A	0.00207647	N/A
