FamilyID	Human<0>	Chimp<1>	Cobra<2>	Habu<3>	<4>	Mouse<5>	Anole<6>	<7>	<8>	Dog<9>	<10>	Chicken<11>	<12>	<13>	<14>	Frog<15>	<16>
1	+2	-1	-5	+7	+3	+6	-1	+2	+0	-8	+0	-9	+3	-1	-1	+11	+0
2	+3	-2	+3	-3	+15	-1	-10	+1	+1	-9	-8	-7	+14	-4	-1	+15	+0
3	+3	-1	+2	+1	+7	+1	-7	+6	+0	-6	-4	+1	+4	-1	+0	+2	+0
4	+2	-2	-13	+11	+0	+7	+2	-4	+0	-6	+0	-4	+6	-1	+0	-3	+0
5	+2	-1	+15	-3	+4	+0	-7	+19	+0	-3	+0	-2	+0	+0	+0	+3	+0
6	+1	-1	+15	-3	+3	+1	-3	+18	+0	-1	+2	-8	+6	+0	+0	-5	+0
7	+3	-2	-1	+9	+3	+2	-3	+11	+0	-5	+1	-1	+2	+0	+0	-4	+0
8	+3	-3	-5	+14	+2	+0	-3	+11	+0	-2	+1	+2	+1	+0	+0	-6	+0
9	+0	+1	+9	-2	+8	+0	-4	+10	+0	-7	-1	-5	+1	-1	-1	+7	+0
10	+6	-6	+2	+1	+2	+3	+8	+4	+0	-7	+7	-15	-2	+0	+0	+4	+0
11	-2	+4	+7	+2	+9	+0	-6	+15	+0	-5	+0	-5	+7	-1	+0	-1	+0
12	-3	+4	+3	+2	+4	+0	+0	+6	+0	-2	+1	-5	+3	+0	+0	-3	+0
13	-1	+1	+8	+1	+4	+3	-6	+14	+0	-6	+0	-2	+3	-1	+0	+1	+0
14	+5	-3	+2	-1	+3	-1	-6	+2	+0	-4	-3	-8	-2	-2	-2	+27	+0
15	+1	+0	+3	+2	+1	+3	-4	+7	+0	-2	+0	-5	+5	-1	+0	+2	+0
16	-1	+0	-2	+6	+0	+0	+3	+7	+0	-1	+4	-3	-2	+1	+0	-4	+0
17	+0	+0	+7	+3	+3	+3	-5	+14	+0	-5	+0	-6	+4	-1	+0	-1	+0
18	+0	+1	+11	+5	+2	+0	-6	+22	+0	-2	+2	-4	-3	+0	+0	+3	+0
19	+1	-1	-9	+14	+0	+1	+0	+5	+0	-1	+1	-3	-1	+0	+0	+1	+0
20	+8	-4	-1	+5	+7	+1	-2	+8	+0	-7	+0	-4	+0	+0	+0	+2	+0
21	-2	+4	-2	+18	+5	+7	-8	+22	+0	-9	+0	-5	+5	-1	+0	-1	+0
22	+8	-5	-1	+2	+8	+0	-2	+3	+0	-6	+0	-4	+4	-1	+0	-2	+0
24	+1	+0	+1	+4	+3	+1	+2	+6	+0	-4	+3	-3	-2	+0	+0	+0	+0
26	-2	+2	+3	+4	+5	+0	-3	+11	+0	-2	+0	-5	+4	-1	+0	-1	+0
27	+2	-1	-3	+12	+9	-2	-6	+13	+0	-4	+0	-5	+8	-1	+0	-2	+0
28	+2	-1	+28	-12	+0	+0	-3	+17	+0	-1	+2	-1	-2	+0	+0	+0	+0
29	-1	+2	+3	+0	+2	+0	-1	+5	+0	-2	+0	-1	+0	+0	+0	-2	+0
30	+1	-1	+2	+3	+0	+3	-1	+9	+0	-3	+2	-8	-1	-1	-1	+8	+0
31	+3	-1	+21	-9	+7	-3	-2	+16	+0	-3	+2	-3	+1	+0	+0	-6	+0
32	+4	-2	+5	+0	+3	-2	-4	+6	+0	+1	-1	-2	+5	-1	+0	+0	+0
33	-3	+3	+4	+2	+3	+4	-2	+9	+0	-6	+1	-2	+5	+0	+1	-8	+0
34	-1	+1	+4	-5	-2	+11	-5	-1	+0	-5	-4	-9	+4	-3	-2	+23	+0
35	+0	+0	+12	-3	-1	+4	-3	+13	+0	-2	+1	-4	+1	+0	+0	-1	+0
36	+1	-1	+10	-3	+4	-1	-1	+9	+0	-1	+1	-6	+2	+0	+0	+1	+0
37	+0	+0	+5	+2	+0	-1	+0	+9	+0	+2	+2	-2	+0	+0	+0	-5	+0
38	+16	-9	+3	+0	+6	-1	+5	+4	+0	-4	+4	-7	+0	+0	+0	-1	+0
39	+20	-7	+0	+1	+14	+0	+0	+0	+1	-13	+0	-13	+2	-2	-2	+21	+0
40	-2	+2	+0	+5	+3	-2	-1	+7	+0	+1	+2	-2	+1	+0	+0	-3	+0
41	+3	-1	+6	+1	+6	-2	-5	+12	+0	-2	-1	+0	+1	+0	+0	+0	+0
42	-1	+0	-5	+9	-5	+17	+0	+4	+0	-4	+1	-5	+8	-1	+0	-5	+0
43	-1	+2	-1	+7	+2	-1	-3	+8	+0	+1	+0	+1	+1	+0	+0	-1	+0
44	-1	+1	+6	-3	+4	-1	+0	+6	+0	-1	+1	-5	+1	+0	+0	-1	+0
45	+5	-2	+1	+1	+11	-1	-3	+3	+0	-7	-1	-2	+3	+0	+0	+1	+0
46	+0	-1	+0	+3	-4	+11	-2	+5	+0	-1	+0	-3	+6	+0	+0	-3	+0
47	-1	+1	+6	+2	+1	+0	-2	+10	+0	-1	+1	+0	-1	+0	+0	-1	+0
48	+2	-1	+4	+1	+4	-2	-6	+8	+0	-3	-2	+1	+0	-1	+0	+5	+0
49	-1	+3	-1	+6	+5	-1	-2	+6	+0	-3	+1	-3	+3	+0	+0	-2	+0
50	+0	-1	+6	-3	-1	+0	-2	+5	+0	+2	+0	-4	+1	-1	-1	+6	+0
51	+1	-1	-7	+6	+0	-1	+2	-2	+0	+1	+1	+3	+1	+0	+1	-7	+0
52	-3	+3	+5	+0	+2	-1	-2	+8	+0	+0	+0	-1	-1	+0	+0	+0	+0
53	+0	+0	-3	+3	-2	+3	+0	+0	+0	+1	+0	+3	+3	+0	+0	-6	+0
54	-1	+3	+2	+0	+3	+1	+0	+5	+0	-4	+1	-4	+2	+0	+0	+1	+0
55	+4	-2	+3	+3	+2	+0	+0	+10	+0	-2	+2	-2	-1	+0	+0	+0	+0
56	+1	-1	-6	+9	-1	+0	-2	+3	+0	+0	+0	+2	-1	+0	+0	-1	+0
57	-2	+2	-2	+6	-2	-3	-2	+5	+0	+8	-1	+1	+2	+0	+0	-2	+0
58	+2	-1	-1	+3	+3	-4	-3	+1	+0	+2	-2	+0	-1	+0	+0	+6	+0
59	-3	+7	+5	+0	+8	-2	-2	+8	+0	-3	+1	-2	+3	+0	+0	-4	+0
60	+0	+0	+4	-3	-2	+0	+6	+2	+0	+1	+5	-4	+0	+1	+0	-6	+0
61	+2	-2	+5	+0	+2	+1	-2	+7	+0	-4	+0	-2	+0	+0	+0	+0	+0
62	+0	+1	-1	+5	+1	+1	-1	+4	+0	-3	+0	-1	+1	+0	+0	-2	+0
63	-3	+6	+3	-2	+2	-4	+0	+2	+0	+1	+1	-2	+1	+0	+0	-1	+0
64	+0	-1	+0	+2	+0	+1	-1	+1	+0	+0	+0	-1	+2	+0	+0	-2	+0
65	+1	-1	-1	+0	+1	-1	+3	+0	+0	+1	+1	-5	+0	+0	+0	+1	+0
66	+0	+2	-1	+0	+9	+3	+1	-3	+1	-1	+0	-7	+23	-1	+1	-7	+0
67	-2	+3	-1	+3	+2	-3	+0	+3	+0	+1	+1	+1	-1	+0	+0	+0	+0
68	+6	-3	-1	+4	+3	+0	-1	+3	+0	-1	+0	+0	+1	+0	+0	-2	+0
69	+0	+0	-5	+6	+0	+2	+0	+0	+0	-2	+0	+1	+2	+0	+0	-3	+0
70	+1	+0	-4	+6	+3	+2	-2	+2	+0	-3	-1	-2	+5	+0	+0	-2	+0
71	-2	+0	+4	-1	-5	+6	+0	+3	+0	+0	+1	+1	+1	+0	+0	-3	+0
72	+0	+1	+3	+0	+2	-3	+0	+3	+0	+0	+1	-1	-1	+0	+0	+3	+0
73	-1	+1	-1	+4	+0	-2	-2	+5	+0	+3	+0	-1	+0	+0	+0	-1	+0
74	+2	-3	+2	+0	-3	+1	-1	+3	+0	+3	+0	-3	+4	+0	+0	+1	+0
75	+0	+1	+2	-1	+1	-2	-1	+0	+0	-1	+0	+0	-1	+0	+0	+3	+0
76	-1	+0	+6	-1	+0	+0	-2	+8	+0	+0	+0	-1	+0	+0	+0	+0	+0
77	-1	+2	-2	+3	+3	+1	-1	+3	+0	-3	+0	+3	+1	+0	+0	-2	+0
78	+1	-1	+5	-2	+1	+1	-2	+5	+0	-2	-1	-3	+4	+0	+0	+1	+0
79	+0	+0	-1	+2	-1	+2	+0	+1	+0	-2	+0	-4	+1	+0	+0	+3	+0
80	+0	+0	-2	+5	+2	+0	-1	+3	+0	+0	+0	-4	+1	-1	+0	+5	+0
81	+1	+0	-2	+3	+0	+0	+0	+2	+0	-1	+0	-4	+1	+0	+0	+2	+0
82	-2	+2	-4	+6	+0	+3	-3	+0	+0	-2	-2	+0	+3	+0	+0	+1	+0
83	+0	+1	-3	+6	+0	+1	-1	+2	+0	+1	-1	+1	+2	+0	+0	-3	+0
