#FamilyID	Likelihood of Family
1	-36.6126
2	-47.4544
3	-36.4269
4	-38.3188
5	-37.236
6	-36.4496
7	-36.5119
8	-38.4284
9	-36.0802
10	-52.333
11	-41.2969
12	-37.6622
13	-35.1529
14	-45.7396
15	-31.7577
16	-31.4375
17	-34.116
18	-35.7481
19	-33.6908
20	-50.4538
21	-49.1061
22	-51.0855
24	-31.1838
26	-34.8603
27	-39.9688
28	-42.3651
29	-31.1846
30	-33.0437
31	-43.2291
32	-36.7599
33	-39.2567
34	-43.4471
35	-33.0752
36	-32.8191
37	-29.9279
38	-89.866
39	-113.056
40	-33.0784
41	-36.4851
42	-43.9311
43	-31.8234
44	-30.9085
45	-44.8631
46	-35.2241
47	-30.3372
48	-34.4554
49	-34.5986
50	-30.0732
51	-31.4913
52	-36.3675
53	-28.8172
54	-33.2268
55	-37.4281
56	-30.7085
57	-36.2573
58	-32.1886
59	-50.3684
60	-30.5724
61	-33.4221
62	-28.0788
63	-43.8111
64	-26.4911
65	-28.2035
66	-54.674
67	-34.011
68	-43.0934
69	-28.2794
70	-30.4027
71	-33.7848
72	-27.7859
73	-28.836
74	-35.1275
75	-26.4636
76	-27.8036
77	-30.5773
78	-29.2975
79	-26.341
80	-27.6541
81	-26.2237
82	-33.9134
83	-27.2332
84	-29.9427
85	-33.1564
86	-28.2383
87	-30.5909
88	-25.5834
89	-27.9434
90	-27.1263
91	-24.9985
92	-41.7828
93	-27.8868
94	-26.2072
95	-26.3935
96	-49.674
97	-27.4416
98	-24.6987
99	-26.2131
100	-32.0972
101	-24.5875
102	-25.5213
103	-25.8558
104	-25.3182
105	-25.4114
106	-24.3208
107	-25.6138
108	-23.5009
109	-26.705
110	-35.5571
111	-23.3317
112	-23.7753
113	-30.7615
114	-25.5589
115	-24.2011
116	-24.9074
117	-52.4354
118	-23.5731
119	-26.5702
120	-22.6362
121	-23.0911
122	-24.2683
123	-23.1725
124	-43.8315
125	-24.8749
126	-26.157
127	-30.0374
128	-22.5488
129	-26.3032
130	-22.3689
131	-22.7353
132	-24.9399
133	-34.773
134	-24.2534
135	-22.8008
136	-22.043
137	-22.187
138	-29.1119
139	-22.3935
140	-26.917
141	-29.2336
142	-26.4184
143	-23.7044
144	-24.3322
145	-21.9531
146	-20.9728
147	-25.254
148	-23.8627
149	-23.4141
150	-23.3229
151	-22.1138
152	-22.466
153	-21.0126
154	-24.667
155	-20.7622
156	-20.4158
157	-21.943
158	-21.3086
159	-21.2498
160	-21.3471
161	-20.9494
162	-20.5697
163	-25.5862
164	-24.7226
165	-21.9338
166	-32.7675
167	-22.7009
168	-38.0297
169	-23.0289
170	-20.7428
171	-20.9239
172	-19.5899
173	-20.2433
174	-23.5005
175	-22.794
176	-20.5963
177	-22.4624
178	-24.4647
179	-22.7774
180	-22.3084
181	-19.8927
182	-19.8336
183	-21.7893
184	-20.8998
185	-21.3738
186	-20.3726
187	-24.2529
188	-21.6252
189	-19.2217
190	-21.3979
191	-20.1228
192	-22.5934
193	-19.7962
194	-20.7835
195	-19.7244
196	-20.0035
197	-21.6435
198	-19.8838
199	-18.9903
200	-22.6926
201	-20.5611
202	-23.8904
203	-18.6746
204	-20.096
205	-21.2939
206	-20.5731
207	-19.1308
208	-18.9363
209	-21.2166
210	-23.1884
211	-18.1295
212	-20.0752
213	-18.8216
214	-19.2205
215	-18.6052
216	-20.3265
217	-20.4905
218	-18.3401
219	-18.451
220	-17.8683
221	-18.7912
222	-19.8951
223	-19.768
224	-19.7164
225	-20.0005
226	-20.0673
227	-18.5799
228	-19.665
229	-19.1504
230	-22.2714
231	-21.32
232	-17.2527
233	-16.8273
234	-18.7686
235	-17.2041
236	-19.1171
237	-18.7563
238	-17.3468
239	-17.2276
240	-18.2278
241	-21.0883
242	-18.5675
243	-16.957
244	-18.9786
245	-18.2299
246	-16.9328
247	-16.6879
248	-14.618
249	-14.3342
250	-18.7049
251	-14.3342
252	-14.3342
