"","ens_gene","Homo_sg_1","Homo_sg_2","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Homo_kidn_1","Homo_kidn_2","Homo_kidn_3","Homo_livr_1","Homo_livr_2","Homo_livr_3","gene_ids"
"1","ENSG00000000003",45.118156,33.484024,3.740632,1.868153,2.08286,14.610312,17.68987,38.94412,27.99736,16.71645,36.649563,7105
"2","ENSG00000000005",0.422963,0.239587,0.620141,0,0,0.663262,0.095618,1.48289,0.0678696,0,0,64102
"3","ENSG00000000419",31.920814,23.268056,10.537779,14.42658,12.38303,14.680238,8.01988,40.383234,12.452354,20.981531,21.973731,8813
"4","ENSG00000000457",4.51661,3.226557,1.687985,1.822066,1.544279,3.60421,2.925143,7.23953,3.135026,2.2402459,3.02460315,57147
"5","ENSG00000000460",1.129279617,0.61559542,1.024452,0.534439,0.65714,0.5473945,0.9746023,1.59751405,0.8341134,0.8141613,0.9529051,55732
"6","ENSG00000000938",1.223517,0.8638631,7.661289,6.795518,7.055703,4.730844,2.1903911,4.739573015,3.057319903,2.502942,3.326698,2268
"7","ENSG00000000971",37.4724003,17.0965029,43.28053,14.249159,11.170745,7.562048,6.27798,12.027464,174.411612,332.3854,523.9225,3075
"8","ENSG00000001036",8.367805,7.152928,9.655202,11.16205,12.6739,50.24725,40.231433,67.411408,15.923681,11.8911,17.4504094,2519
"9","ENSG00000001084",6.4042224,3.1238341,11.74258942,26.517816,14.836977,38.583886,11.72878776,35.52100558,34.57331036,18.0961276,34.3808051,2729
"10","ENSG00000001167",4.870794,2.285754,4.81194,5.8828,5.85164,7.29847,4.68622,6.5808909,3.451,1.74218,2.86769,4800
"11","ENSG00000001460",1.4180452,1.183157,1.3239388,2.911623,1.9551565,4.991075,7.252972,7.081139,0.659859,0.109612,0.5819582,90529
"12","ENSG00000001461",7.5608444,4.6660179,6.0788361,8.078431,11.435456,11.3989133,11.637949,9.637425,2.410484,0.453056,1.5819111,57185
"13","ENSG00000001497",4.510679,6.471901,8.613954,10.885136,7.543396001,19.030949,17.14749,14.5622988,9.308031875,4.6325589,7.969171,81887
"14","ENSG00000001561",16.2569,8.36247,3.51459,2.82046,2.69708,8.21491,0.77845,28.1882,0.956843,4.75076,1.8626,22875
"15","ENSG00000001617",3.081661,3.9521499,19.89899,20.444016,19.34526945,33.128101,28.99758004,19.09708,7.428783834,0.2619736,1.8726334,6405
"16","ENSG00000001626",7.110001,3.4468381,0.0311503,0.116163013,0.6698736,3.197289,0.4520116,4.727085,0.424922,0.17865453,0.8819936,1080
"17","ENSG00000001629",8.802166,7.1030004,3.7560262,4.7557252,6.160853,15.831518,4.691466,21.61891,4.462242,1.250256,2.44744,54467
"18","ENSG00000001630",12.9783259,7.7309509,3.902672,4.92139,5.21832,19.613895,6.549181,40.14882155,73.24047,21.9537,37.3324462,1595
"19","ENSG00000002016",3.8057891,2.7246935,4.51683,7.347697,12.283523,8.0374095,8.842684,7.101043,3.8860388,1.21090046,2.6747081,5893
"20","ENSG00000002330",7.199304,18.9415503,28.48104,45.520939,48.18344,48.50003,131.188383,45.133166,36.00421,22.27188,28.5638,572
"21","ENSG00000002549",21.141373,15.5847674,21.945146,34.924671,32.600217,170.736009,54.90028,177.923456,60.574574,26.33557701,50.951722,51056
"22","ENSG00000002586",17.5452016,42.5140251,231.36712,160.980758,148.893079,75.714949,121.262283,51.115972,157.430545,60.718032,117.924359,4267
"23","ENSG00000002587",1.583821,1.339671,1.101832,0.821591,0.5465385,12.40641,1.327374,5.36401,0.110914,0.0143696,0.2852542,9957
"24","ENSG00000002726",0.1740216,0.0360575,0.377186,0.256379,0.341098,235.181711,1066.262334,160.78965,3.001525,0.986426,0.2614544,26
"25","ENSG00000002745",0.0787917,0.0487136,0.0483573,0,0.0359798,0,0,0.069497,0,0.0371298,0.028126,51384
"26","ENSG00000002746",0.0866035,0.09567924,0.00801076,0.0541446,0,13.95323,12.369956,10.193809,0.0240151,0,0.013715,23072
"27","ENSG00000002822",1.1222792,2.6242063,8.70645764,15.03531387,16.916348,11.56948901,16.376679,7.188172234,45.71220627,7.278561974,29.15464447,8379
"28","ENSG00000002834",9.1623126,12.1223891,31.358583,35.335576,37.72948198,104.5558796,80.295474,68.89715149,63.427734,7.4319628,17.9479,3927
"29","ENSG00000002919",4.0206811,5.9091143,5.160529,4.665513,5.099671811,12.964488,14.95605332,16.26144229,8.704072,3.585043,4.9717851,29916
"30","ENSG00000002933",7.3669449,4.0036358,20.162222,23.212397,25.400437,533.78279,596.306525,587.766896,505.950828,386.986559,611.283191,55365
"31","ENSG00000003096",3.569776,1.182434128,1.487795,2.679338,2.335046,7.4228729,3.4624848,11.561139,0.761542,0.203457727,0.655054055,90293
"32","ENSG00000003137",0.516949487,1.337259,7.152985,2.070861002,1.59907,4.46319,1.33123,4.115646,0.733387,0.0573034,0.033799533,56603
"33","ENSG00000003147",17.34982511,19.875528,16.400557,18.354903,16.59749937,25.01173975,11.8280436,24.80470238,4.8142013,0.2274467,7.0945884,3382
"34","ENSG00000003249",1.7992335,4.107245285,2.1388586,5.105832,4.843028,10.52519011,14.696636,10.8847142,3.8865746,0.254389391,1.758691298,79007
"35","ENSG00000003393",3.7622971,1.99983898,8.676723,8.105408,11.809661,19.094454,7.7863512,18.022701,9.005485,1.649406,5.5714983,57679
"36","ENSG00000003400",3.1772997,1.3450327,4.135614,2.725502,2.157363,5.021593,4.905145,5.09168,3.032782,1.577172,1.8164268,843
"37","ENSG00000003402",27.1534886,18.8953427,101.700969,84.184579,80.0086963,54.3977,41.22144747,78.28622101,24.35704901,14.2500758,13.025715,8837
"38","ENSG00000003436",12.974853,5.8108183,14.826804,4.183087,6.265419,22.67746777,28.31220831,44.71129,37.6393,93.0576243,88.48027111,7035
"39","ENSG00000003509",3.5589095,2.79706,8.005214,10.24508724,14.198249,13.266645,3.860009,22.44829274,5.170502659,6.14242,6.24503771,55471
"40","ENSG00000003756",42.2427545,32.5186924,83.9809976,78.532312,65.54802525,99.09692791,80.587807,63.384175,29.769445,11.0081199,27.6962514,10181
"41","ENSG00000003987",0.397721,0.1390071,0.130117,0.6057654,0.05575303,0.255108,0.2099132,1.2536931,0.2315559,0.3911867,0.4973211,9108
"42","ENSG00000003989",4.536280252,1.620698421,7.625222774,3.912808933,4.642611063,2.498682722,0.881982478,4.9839092,40.991719,38.3044245,55.9713926,6542
"43","ENSG00000004059",10.859114,24.7027335,89.09597,116.56648,122.5035575,189.69055,243.362769,138.77558,94.20618,55.920336,72.031935,381
"44","ENSG00000004139",2.851022,3.0740166,2.581717,7.394262,8.377626,9.91381,10.3289904,6.720091,6.147572,0.4411286,0.472084,23098
"45","ENSG00000004142",12.4578555,19.46576,56.3642,92.1095,92.5542,190.2603,143.1781,171.7189,86.5697,38.51438,72.9913,26073
"46","ENSG00000004399",10.9638618,5.40251,40.3547851,67.66842002,67.33261,27.265487,62.045136,34.750612,15.08059,3.708433364,19.389522,23129
"47","ENSG00000004455",16.05134854,22.7756277,65.341212,47.360575,57.42931371,293.644711,225.741591,346.874821,186.132902,85.5690432,81.834018,204
"48","ENSG00000004478",15.221163,16.9531828,30.833709,29.23709,30.614915,75.39194,87.40475,93.636707,66.01825,7.155361,18.615587,2288
"49","ENSG00000004487",13.477975,11.939593,15.60457001,15.40590006,20.56989081,32.92632214,22.14407,32.35337,15.56157,7.315705,9.763337,23028
"50","ENSG00000004534",21.043063,14.5357196,31.88757325,30.85072149,35.12694472,37.60232,33.05683862,59.444195,26.144935,15.66320549,18.88699025,10180
"51","ENSG00000004660",2.2685978,5.844747,1.5968963,2.484913,2.515914,1.7083819,2.3675281,1.6667572,0.3082877,0.05047237,0.2102295,84254
"52","ENSG00000004700",6.414339,4.300998,6.32932,4.155819,5.802848,7.561734,1.0690017,12.71687,2.478586,1.900393,2.347925,5965
"53","ENSG00000004766",8.022994314,5.280412907,2.9295254,5.560496,3.0281567,5.295801676,4.339624,15.3433007,2.5534808,2.2084028,3.277093927,55610
"54","ENSG00000004776",8.4480674,3.9113367,1291.47248,1897.7276,2038.7139,15.961742,68.79013,7.132446,12.73214,6.354441,4.593,126393
"55","ENSG00000004777",1.7988833,2.2200651,8.611577,9.154159153,12.89885317,6.698569,4.8180003,4.709187,1.6414011,0.2635425,0.6795816,115703
"56","ENSG00000004779",46.697064,40.1005335,117.84789,266.2486,291.3561,109.77384,91.96038,238.379938,61.24729,99.861003,106.534791,4706
"57","ENSG00000004799",15.32321,19.079932,627.53099,127.95339,140.585414,18.008248,4.9804905,44.923841,18.057088,4.64205,67.2606,5166
"58","ENSG00000004809",0.2938594,0.0790934,0,0.094195099,0.187981158,0.0874797,0.120161,0.286694,0.0852898,0.0727601,0.237027088,85413
"59","ENSG00000004838",0.06691862,0.054373289,0.232901538,4.378979,2.366735,2.460107,3.193605,1.04699,1.0803078,0.02319351,0.57411227,51364
"60","ENSG00000004846",0.02608024,0.07171893,0.1853233,0.0577118,0.129319,0.155049,0.1371943,0.0467466,0.1206878,0,0.02780944,340273
"61","ENSG00000004848",0.0194325,0,0,0,0.0792403,0.362635,0,0.114793,0.022978,0,0.0102622,170302
"62","ENSG00000004864",3.8116747,1.9384353,3.400837,3.300979,2.615943,19.58647,12.78138,44.073923,40.61564,10.070917,57.640687,10165
"63","ENSG00000004897",10.1233869,6.6289878,7.35624951,19.5075404,14.323708,14.7919179,6.13102899,23.6834465,12.10568477,5.5112423,6.057359,996
"64","ENSG00000004939",0.0399155,0.0674427,1.749608,0.702771,0.0294786,128.995853,69.180236,92.894393,0.256,3.337847,0.2619022,6521
"65","ENSG00000004948",0.0740459,0.0551923,0,0.1316592,0,1.536958,0.23116,1.470742,0,0,0,799
"66","ENSG00000004961",7.108774,7.01742,9.406541,16.36615,22.39634,20.43265,12.33931,23.95806,9.29466,4.630132,6.785975693,3052
"67","ENSG00000004975",3.5829775,4.8445724,10.678747,16.9603176,12.579827,27.916028,22.708,23.006553,11.676685,1.6719343,3.628733907,1856
"68","ENSG00000005001",7.0141694,7.471422,0.0988639,0,0,3.543375,5.035035,3.798149,0.4733831,0.0654856,0.1820912,64063
