,X,ens_gene,Mus_sg_1,Mus_sg_2,Mus_sg_3,Mus_sg_4,Mus_hrt_1,Mus_hrt_2,Mus_hrt_3,Mus_kidn_1,Mus_kidn_2,Mus_kidn_3,Mus_livr_1,Mus_livr_2,Mus_livr_3,Mus_livr_4,gene_id
1,1,ENSMUSG00000000001,6.71423,8.58963,8.58097,8.91181,6.77946,4.00693,4.17632,19.6957,21.4264,20.824,19.3428,15.0963,15.7178,15.6471,14679
2,2,ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54192
3,3,ENSMUSG00000000028,0.440285655,0.5509768,0.56002399,0.510846,1.981516,2.1213685,2.4234138,2.346268,2.306506,2.4452667,1.3156518,1.169839,1.2544378,1.3520964,12544
4,4,ENSMUSG00000000037,0.286892,0.03831731,0,0.036546755,0.142372,0.2101335,0.1560533,0.24253829,0.04963784,0.11743755,0,0.016558,0,0.0149735,107815
5,5,ENSMUSG00000000049,0,0,0,0.177972,0.766683,0.2501114,0.0898145,0,0,0.0764736,2476.61,2427.47,2397.196,2557.4,11818
6,6,ENSMUSG00000000056,2.763208,2.2549,2.25189,2.27103,51.705186,49.393698,50.054585,35.031927,34.355217,37.5971,40.05928,34.166293,36.230571,32.054087,67608
7,7,ENSMUSG00000000058,3.311719,3.75579,3.508313,3.42449,24.66462,23.82616,24.37184,24.95849,24.976046,24.244,1.799119,2.255799,1.608621,2.229117,12390
8,8,ENSMUSG00000000078,3.878675,4.181501,4.17388,3.63626,8.695943,8.77136,8.453774,7.682403,7.7053,7.32014,1.449561,2.13031,1.692352,2.185902,23849
9,9,ENSMUSG00000000085,2.355396179,7.3918707,3.48835708,5.010714131,21.9316275,20.2742075,22.44397271,18.60785118,16.0659376,21.05342211,6.375564,8.337603,9.70357373,6.9893,29871
10,10,ENSMUSG00000000088,66.98994,75.712586,66.592152,73.263347,726.231039,938.102195,963.956768,579.567012,568.785,583.257949,441.028478,484.097055,495.0177,472.911967,12858
11,11,ENSMUSG00000000093,0.330576,0.398086,0.383967,0.438199,2.90433,4.66295,4.76639,42.7634,39.8716,44.819,2.34746,2.72574,3.20491,2.62076,21385
12,12,ENSMUSG00000000094,0,0,0,0,0.0477846,0.29725054,0.34249115,0.176353,0.0582967,0.110396,0.0626529,0.19429,0.131941,0.140663,21387
13,13,ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22768
14,14,ENSMUSG00000000120,1.20442,4.28603,3.54625,3.76541,1.1662,0.919089,1.49827,4.80656,4.41367,4.81041,5.75586,4.57791,3.94561,4.40441,18053
15,15,ENSMUSG00000000125,0,0.0364086,0,0,0,0,0,0,0,0,0,0,0,0,22415
16,16,ENSMUSG00000000126,0.197863,0.1344248,0.0702236,0.0641153,2.873176,3.135656,2.974657,1.235465,1.739761,1.402474,0.577703,0.618871,0.699718,0.544074,216795
17,17,ENSMUSG00000000127,1.963048,1.4421032,1.49832,1.22402,4.232718,2.6589266,2.4487167,2.147073,2.460653,2.170606,1.48723231,1.841394,1.204231,1.407868,14158
18,18,ENSMUSG00000000131,7.717833393,4.8242844,5.262713101,5.0812697,42.7891826,58.219596,58.7770108,72.4067878,71.9618106,72.7051596,41.5580393,50.4230494,56.8596013,53.7656499,74204
19,19,ENSMUSG00000000134,3.554777153,2.902649378,3.060901751,3.1414849,4.4997644,7.616572002,8.2355507,15.490557,13.87993593,14.2201271,13.287876,14.33664506,17.302407,16.562687,209446
20,20,ENSMUSG00000000142,0.9670034,1.23506,0.49275559,0.585065,0.8557382,1.5788162,1.4582638,2.3526237,2.6355158,2.592953,3.483687,4.905542,3.6413459,3.8542761,12006
21,21,ENSMUSG00000000148,1.2396737,1.730723,1.854612,1.7399308,5.193638769,6.574479,6.452177,11.782513,10.543524,12.119183,11.997424,12.574428,13.005347,13.021075,231841
22,22,ENSMUSG00000000149,3.44939,3.97724,4.05339,4.117059,48.099,63.1253,62.8945,81.201,78.8709,84.707,71.8423,67.4874,70.8531,70.5485,14673
23,23,ENSMUSG00000000154,1.749840018,2.456375,2.482617014,2.450580002,1.109754008,1.542046,1.314438,761.89334,757.1549,783.0183,311.08462,283.5743,279.78839,285.27122,18400
24,24,ENSMUSG00000000157,0.3863334,0.562258,0.4696709,1.13812,0,0.342898,0.4395508,3.343167,2.794375,3.466926,2.01168,2.8655829,3.026112,3.622234,16415
