gene_ids,ens_gene,Pan_hrt_1,Pan_hrt_2,Pan_kid_1,Pan_kid_2,Pan_liv
457184,NSPTRG00000000008,1.2864,0.529955,0.53107,0.859193,0
741567,NSPTRG00000000009,0.202958,0.159623,1.3825,0.762652,1.755365
450189,NSPTRG00000000017,0.0432803,0.0340392,1.393671,0.433606,0.0399205
457190,NSPTRG00000000021,2.11531,0.309518,7.25019,4.04134,6.5793
100610821,NSPTRG00000000024,2.79162,3.21006,8.3455,6.69303,5.87789
457191,NSPTRG00000000025,29.217564,24.576,67.36757,61.56901,52.9811
100611076,NSPTRG00000000027,35.0145,30.798,117.005,101.386,75.0052
457972,NSPTRG00000000028,20.997974,16.140516,135.94328,97.02483,108.78943
747422,NSPTRG00000000029,73.47742,67.17913,131.0433,139.961,118.03398
100612653,NSPTRG00000000031,3.43082,2.309,17.5471,11.0765,20.3447
742484,NSPTRG00000000033,0,0.496523,0.713352,0.58798,0.829137
742879,NSPTRG00000000034,96.4254,74.1832,236.986,150.474,109.997
746857,NSPTRG00000000035,2.71134,0.955916,1.15793,2.38854,0.301829
457206,NSPTRG00000000037,2.082578,1.637913,13.3509,13.5511,5.8373
457207,NSPTRG00000000038,11.737625,5.40612,65.6587,35.88819,118.74754
743250,NSPTRG00000000040,0.38158,0.0600162,0.331214,0.726767,0.246338
747072,NSPTRG00000000041,0.115698,0.0909943,0.859751,2.66599,2.6679
457213,NSPTRG00000000044,16.96928,9.02667,178.618,109.5612,54.33315
457216,NSPTRG00000000047,9.50877,5.7593,12.8595,13.7969,6.78798
743765,NSPTRG00000000048,1.11544,0.184689,17.9049673,19.1634,0.984449
743842,NSPTRG00000000049,37.8579,29.1935,116.3892,105.9559,83.3145
457220,NSPTRG00000000050,8.75886,4.82874,26.8009,25.6907,13.0732
107974505,NSPTRG00000000051,0.044578,0.0350599,0.58887,3.9047,0.578366
107974508,NSPTRG00000000052,5.319276,9.63785,13.8651,15.5603,7.91221
457221,NSPTRG00000000053,14.72133,3.027514068,34.10209,16.85949,55.1706
744202,NSPTRG00000000054,4.747752,3.248795,11.56984,13.678022,16.86506507
744165,NSPTRG00000000055,1.9520221,0.2534174,2.014371,0.2065424,0.093984
469468,NSPTRG00000000057,0.433339,0,0,0.173657,0
457227,NSPTRG00000000059,4.09168,1.523963,8.23029,5.431357,0.86483
748158,NSPTRG00000000060,0.193071,0.273325,32.6636,21.5093,23.5426
100611345,NSPTRG00000000062,0.044701,0.0585943,0.147633,0.202355,0.233642
748193,NSPTRG00000000063,32.85143,20.2733,60.7857,92.9392,66.7349
457233,NSPTRG00000000064,3.36441,2.33011,15.4235,13.9857,7.50334
457236,NSPTRG00000000067,0,0,0,0.0356929,0
457237,NSPTRG00000000068,26.4593,16.4098,35.8686,30.5515,27.7405
457238,NSPTRG00000000069,8.36602,10.489788,18.67144,25.1088,8.741925884
744932,NSPTRG00000000070,1.50838,1.16415,5.1032,7.65859,3.39147
745076,NSPTRG00000000072,0.463089,0.1214043,9.081,9.3563,0.0927399
469781,NSPTRG00000000075,0.0625622,0.01968168,0.2479472,0.46382,0.0230822
100612505,NSPTRG00000000076,116.03,134.377,170.968,259.168,163.959
457892,NSPTRG00000000078,7.61793,10.8303,11.5072,15.2045,6.977
469782,NSPTRG00000000079,13.1692,9.071685,29.66083,45.389457,7.153537
469783,NSPTRG00000000082,0.704025,0.37375,2.83379,1.9573,0.68184
745616,NSPTRG00000000084,3.143332272,1.673090222,13.534486,19.057688,21.965431
457895,NSPTRG00000000085,0.496,0.257507,1.78511,1.95811,0.942696
457897,NSPTRG00000000088,7.046048435,9.853428477,6.859370002,6.075864897,2.113700017
104001054,NSPTRG00000000089,4.00836,3.52737,7.8635,10.4075,6.37231
469785,NSPTRG00000000090,0.0221504,0,0.1782444,0.0665747,0.132747
457900,NSPTRG00000000091,11.8724,18.0643,23.6987,43.883,21.5882
469786,NSPTRG00000000092,2.6822,2.3068,7.67147,6.66963,5.58872
457901,NSPTRG00000000093,5.15087,6.712012,8.79867,16.890382,5.057487
745844,NSPTRG00000000094,35.181259,38.25203,47.73828,35.08506,23.51424
457905,NSPTRG00000000096,37.762044,42.336592,47.96744,41.11043,34.321987
457906,NSPTRG00000000098,38.7278,30.8355,50.6571,64.4939,22.67
457907,NSPTRG00000000099,5.07551,3.76905,11.5618,8.49003,4.37846
746007,NSPTRG00000000100,0.175356,0,0.10859,0.263523,0.242615
746063,NSPTRG00000000102,152.5893,194.8079,224.4444,418.473,207.2197
469787,NSPTRG00000000103,5.04112,2.99263,16.4791,54.4869,72.9211
456637,NSPTRG00000000104,0.953428,0.531791,14.51571,6.01876,0.330041
457909,NSPTRG00000000106,36.209214,13.750932,53.556459,46.300147,10.479982
457913,NSPTRG00000000109,142.5079359,70.5857,1371.30477,796.991,1565.9341
457915,NSPTRG00000000111,0,0.0420844,0.3869151,0.312985,0.1577301
457916,NSPTRG00000000112,38.3002,6.23134,19.1775,38.4371,2.42588
100610187,NSPTRG00000000113,5.997328,3.448963,17.92816,8.351948,25.5146
469790,NSPTRG00000000114,2.55922,0.772791,5.29324,11.51078,72.87126
457919,NSPTRG00000000115,4.16684839,3.542863714,22.6515,28.65804514,17.0938
457922,NSPTRG00000000120,1.71924,0.827397,5.888339,6.036346,4.46592
100611252,NSPTRG00000000121,16.4121516,16.445932,52.05287496,52.03320271,5.951568779
746735,NSPTRG00000000124,9.69218,15.89496,18.96299,24.4732,12.15836
101057726,NSPTRG00000000125,9.47967,9.53624,8.73719,7.28861,0.813374
