Taxa,Tissue,Library,Project,Layout,Study,
Anole,heart,SRR579558,PRJNA176589,Paired,"Barbosa-Morais NL et al.,",
Anole,heart,SRR5412152,PRJNA381064,Single,"Marin R et al.,",
Anole,heart,SRR5412154,PRJNA381064,Single,"Marin R et al.,",
Anole,heart,SRR5412155,PRJNA381064,Single,"Marin R et al.,",
Anole,liver,SRR5412164,PRJNA381064,Single,"Marin R et al.,",
Anole,liver,SRR5412166,PRJNA381064,Single,"Marin R et al.,",
Anole,liver,SRR5412167,PRJNA381064,Single,"Marin R et al.,",
Anole,kidney,SRR579557,PRJNA176589,Paired,"Barbosa-Morais NL et al.,",
Anole,kidney,SRR5412157,PRJNA381064,Single,"Marin R et al.,",
Anole,kidney,SRR5412158,PRJNA381064,Single,"Marin R et al.,",
Anole,kidney,SRR5412161,PRJNA381064,Single,"Marin R et al.,",
Canis,heart,SRR8996963,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Canis,heart,SRR6206901,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Canis,heart,SRR8996973,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Canis,liver,SRR8997009,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Canis,liver,SRR8997042,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Canis,liver,SRR6206911,PRJNA415552,Paired,Chen J et al.,
Canis,kidney,SRR8996953,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Canis,kidney,SRR8997002,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Canis,kidney,SRR6206906,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Canis,salivary gland,SRR5889344,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Canis,salivary gland,SRR8997053,PRJNA396033,Paired,https://www.broadinstitute.org/mammals-models/broad-institute-canine-genomic-resources,
Gal,heart,SRR579554,PRJNA176589,Paired,"Barbosa-Morais NL et al., ",
Gal,heart,SRR5412246,PRJNA381064,Single,"Marin R et al.,",
Gal,heart,SRR5412248,PRJNA381064,Single,"Marin R et al.,",
Gal,liver,SRR579552,PRJNA176589,Paired,"Barbosa-Morais NL et al., ",
Gal,liver,SRR5412254,PRJNA381064,Single,"Marin R et al.,",
Gal,liver,SRR5412256,PRJNA381064,Single,"Marin R et al.,",
Gal,kidney,SRR5412256,PRJNA381064,Single,"Marin R et al.,",
Gal,kidney,SRR5412250,PRJNA381064,Single,"Marin R et al.,",
Gal,kidney,SRR5412251,PRJNA381064,Single,"Marin R et al.,",
Homo,heart,SRR306847,PRJNA143627,Single,"Brawand D et al., ",
Homo,heart,SRR306848,PRJNA143627,Single,"Brawand D et al., ",
Homo,heart,SRR306849,PRJNA143627,Single,"Brawand D et al., ",
Homo,liver,SRR306856,PRJNA143627,Single,"Brawand D et al., ",
Homo,liver,SRR5412182,PRJNA381064,Single,"Marin R et al.,",
Homo,liver,SRR5412183,PRJNA381064,Single,"Marin R et al.,",
Homo,kidney,SRR306851,PRJNA143627,Single,"Brawand D et al., ",
Homo,kidney,SRR306852,PRJNA143627,Single,"Brawand D et al., ",
Homo,kidney,SRR5412179,PRJNA381064,Single,"Marin R et al.,",
Homo,salivary gland,SRR10246417,PRJNA576455,Paired,Alame M et al.,
Homo,salivary gland,SRR10246418,PRJNA576455,Paired,Alame M et al.,
Mus,heart,SRR453173,SRP012040,Paired,GSE36025: Long RNA-seq from ENCODE/Cold Spring Harbor Lab,
