ens_gene,Anole_hrt_1,Anole_hrt_2,Anole_hrt_3,Anole_hrt_4,Anole_kidn_1,Anole_kidn_2,Anole_kidn_3,Anole_kidn_4,Anole_livr_1,Anole_livr_2,Anole_livr_3,gene_ids
ENSACAG00000000002,8.94686,4.18106,3.8781,1.85117,12.3647,6.31328,2.82084,2.79037,4.60275,4.75552,3.11698,103282097
ENSACAG00000000006,4.33399,8.91579,9.39232,4.07922,6.47827,15.2407,17.3234,7.44573,9.23937,10.3779,4.41728,100558210
ENSACAG00000000007,0.187631,0.494447,0.369367,0.372142,0.29659,0.782273,0.871359,0.292949,0.107305,0.607854,0.141434,100558015
ENSACAG00000000009,74.4548,67.6924,53.9388,49.557,68.9209,66.8986,70.0573,69.8588,35.6091,33.9722,40.3364,100558307
ENSACAG00000000010,12.0604,14.3745,14.4784,9.98289,19.4984,18.96,14.2077,13.0642,10.8295,13.5769,6.78249,100559901
ENSACAG00000000011,5.60218,7.15064,6.42354,7.09192,80.8352,67.9836,98.3861,104.089,10.8912,8.34249,15.126,100559700
ENSACAG00000000012,33.2799,41.4029,8.8825,11.3931,3.74006,1.75061,0.984522,1.90958,3.97821,0.804839,3.16914,100562592
ENSACAG00000000013,0.068311,1.12995,0.189028,0.601537,0.201432,0.365096,0.164993,0.266684,0,0.319718,0,100555414
ENSACAG00000000014,5.65389,7.40586,6.54356,6.12418,1.58916,5.41289,4.29297,5.30207,3.88586,3.29771,6.02218,100555610
ENSACAG00000000017,34.8571,43.1846,33.7134,46.7754,44.0708,83.599,82.0383,92.6562,61.1813,57.022,68.7111,100552994
ENSACAG00000000018,0.624609,0.796444,1.42641,0.847985,0.782031,2.48255,3.44782,4.39634,0.0982842,0.371169,0.179368,100555998
ENSACAG00000000019,0,0,0,0,0.0747233,0.0764215,0.0671538,0.0390755,0.124047,0.214711,0.138346,100553320
ENSACAG00000000021,38.9966,55.827,49.7119,19.0172,45.2866,72.0454,76.1964,33.7086,387.255,297.495,158.502,100563149
ENSACAG00000000022,34.8283,44.2999,62.5174,31.0177,2.34308,2.37482,3.4148,1.5896,2.17269,5.75684,2.17444,100562948
ENSACAG00000000027,349.582,0,0,0,502.53,0,0,0,0,0,0,103282435
ENSACAG00000000028,8.81874,31.5404,24.8871,7.61034,24.1239,100.015,90.1421,31.4712,21.4735,44.6191,10.3286,100552658
ENSACAG00000000029,25.7439,19.1064,15.8783,45.6073,23.6453,14.7366,12.5995,35.435,7.11142,14.6488,22.8104,100566980
ENSACAG00000000031,0.355809,1.33182,0.891195,0.607719,0,0.245899,0,0,0,0.376837,0,100552461
ENSACAG00000000032,0.0606791,1.37256,0.0267883,0.194852,1.67376,5.49924,3.67881,1.08845,0,0,0.0584295,100552264
ENSACAG00000000033,1.09432,1.64238,2.52168,1.29519,0.956267,2.81464,0.86215,1.63994,1.42918,2.89157,1.25755,100562358
