ens_gene,Canis_sg_1,Canis_sg_2,Canis_hrt_1,Canis_hrt_2,Canis_hrt_3,Canis_kidn_1,Canis_kidn_2,Canis_kidn_3,Canis_livr_1,Canis_livr_2,Canis_livr_3,gene_ids
ENSCAFG00000000001,6.41992,3.46949,0.927751,2.13033,2.38465,7.52988,3.49792,1.50181,11.7729,15.223,15.3269,100856150
ENSCAFG00000000007,5.58535,6.84852,1.0787,4.11746,8.94304,5.39251,10.4356,3.16231,4.67868,4.33669,2.51683,100686027
ENSCAFG00000000008,58.426418,95.72406,82.2507,70.375297,171.5321,49.94528,96.15051,92.27271,41.7262,28.7392,16.954088,476156
ENSCAFG00000000009,36.0954,26.91832,20.4206,37.4794,46.5628,167.1957,135.7814,89.3384,49.4179,64.5213,62.302,476157
ENSCAFG00000000010,7.136350001,8.205396599,2.1061591,5.091464,10.092956,9.873392,13.64778,6.7369974,9.793806,14.041199,6.718432,476158
ENSCAFG00000000011,1.8799683,2.116789,1.1293125,6.9321992,8.673674,6.0316764,5.656727,1.5000679,1.5416302,2.692674,3.7939298,483925
ENSCAFG00000000012,5.919391896,3.576431,0.977703,2.585639,1.5098497,5.323895,3.460416,4.301741,3.54114616,3.010211636,3.81838,483926
ENSCAFG00000000013,0,0,0,0.0183586,0,1.43635,0.661159,0.00613263,0.127032,0.201559,0.14289,607126
ENSCAFG00000000015,0,0,0,0,0,0.407664,0.106189,0.477411,0.323285,0,0,483928
ENSCAFG00000000016,100.932265,112.950445,2.809177,3.551112142,26.255079,56.48559,81.599721,30.212957,39.475446,52.741166,28.33783,476160
ENSCAFG00000000017,3.79481,2.641034,0.3922074,3.13658,2.972258,3.52063,3.297665,3.06089,1.788401,1.783335,3.20906,483929
ENSCAFG00000000019,3.116905,1.8236147,0.276826,1.912109,1.9375591,4.280794,6.360849,1.392067,0.79405,2.183025,1.576959,483930
ENSCAFG00000000021,44.9434,50.5903,15.0402,22.9515,61.7563,29.5583,78.7014,22.835,36.701,58.3866,28.8867,476162
ENSCAFG00000000022,2.05507,2.345702,0.333307,1.46513,3.55757,1.49969,3.65634,1.55341,1.5722,1.771206389,1.03602,476164
ENSCAFG00000000024,1.03763,0.2911228,0.3302012,0.44395,0.5059925,86.00605,40.46513,11.2033042,0.31453,0.594812,0.87006,476165
ENSCAFG00000000026,276.961624,330.647,97.366458,105.239036,416.94212,559.91296,1956.820643,439.053716,3178.618382,2380.98004,1178.49671,476167
ENSCAFG00000000027,0.570939,1.32013,0,0,1.50777,0.383564,0.805862,0.224437,0,0.37178,0.49354,100687228
ENSCAFG00000000028,38.4554,42.1106,17.17639,25.61023,92.1603,29.4134,74.6508,26.05793,39.0583,28.2873,15.85321,476170
ENSCAFG00000000029,0.302812,0.288013,0.216485,0.319745,1.85409,1.09307,2.70887,1.47576,0.673172,0.340661,0.141332,100685224
ENSCAFG00000000031,1.431738,0.237656,0,0,0,0.0246862,0,0.137406,0,0,0,100855585
ENSCAFG00000000036,15.2202,14.0034,1.15578,8.02453,33.8052,6.93926,19.8679,6.94807,17.1716,18.0158,9.38214,100856303
ENSCAFG00000000037,0.861176576,0.609549217,0.3501286,0.435987,0.625039613,0.605620002,0.677850419,1.05183,0.3587308,0.579831,0.392684507,483940
ENSCAFG00000000038,0.24233955,0.209523,0.209585,1.18978,1.847459,0.090264253,2.653919,0.33274928,0.8984798,0.5167741,0.46939165,609196
ENSCAFG00000000039,0.219762,0.0760007,4.65752,23.902,26.2714,0.081211,1.41696,2.00307,0.407324,0.067829,0.15815,476173
ENSCAFG00000000040,0.266589,0,0.3298603,1.116152,0.810611,0.14292,0.671614,0.188918,2.811745,1.57344,0.323758,483942
ENSCAFG00000000043,14.696914,7.8582668,3.1276875,13.843132,21.4846,12.573788,21.066253,12.904785,6.44413,3.319660005,3.24712,476176
ENSCAFG00000000044,0,0,0.074669,0,0,0,0,0.0960977,0,0,0,483943
ENSCAFG00000000052,13.84404,4.0161,3.7156,1.4469,4.309495,0.1872565,0.861193,4.63618,0,0.2125762,0.0921681,483948
ENSCAFG00000000056,0.191509,0.111786,0.815775,9.101,9.10097,0.113589,0.277837,0.0359312,0,0,0,483949
ENSCAFG00000000058,7.002986,5.411021,0.285127,0.9286008,0.729485,6.4513586,9.4136416,4.59669,0.898342,0.339203,0.2078349,607205
ENSCAFG00000000059,0.512825,0.177373,19.5625,34.6309,76.9433,0.0918351,0.0312976,0.0801266,0,0,0.0592915,609604
ENSCAFG00000000060,1.216357005,1.192739603,38.00742,87.4695,106.5136,6.372815002,11.70241325,10.253819,6.594771058,31.92375022,13.22388621,481097
ENSCAFG00000000061,30.0296,18.49644,21.77453,13.09111,11.153672,39.58515,33.098988,41.57143,37.84983,46.78818,18.35022,106557465
ENSCAFG00000000063,4.78491,6.29647,4.25921,7.11902,9.8342,21.6359,23.1958,12.0604,18.4168,28.4632,24.2929,481098
ENSCAFG00000000064,339.31583,225.34201,242.611079,278.53878,163.09728,501.02949,483.60255,515.28766,118.88397,138.247353,116.109235,474391
ENSCAFG00000000065,1.63983,2.220317,0.216715,0.662921,1.53005,1.64994,11.96342,7.847492,0.577808,0.825623,0.193591,606826
ENSCAFG00000000066,24.8463,23.9675,2.92629,5.98189,14.6719,13.4654,35.2346,15.8769,21.6375,17.2525,8.77362,607306
ENSCAFG00000000069,47.3478,48.0656,7.99772,10.3234,53.0197,14.9265,62.7323,34.4386,21.4438,27.9062,8.86188,100688632
ENSCAFG00000000070,15.23335989,6.20342099,0.374672,2.614455,2.049576642,6.362893,5.79916709,2.845487,6.64516,10.274098,11.399079,476179
ENSCAFG00000000071,139.041,217.475,10.7417,16.1149,50.4541,84.4383,272.456,68.5598,75.1975,73.4158,55.7953,489926
ENSCAFG00000000072,5.14962,6.159,10.029103,6.5201725,30.418405,1.7017,21.335339,19.922352,4.572457,3.045622,1.018494,606845
ENSCAFG00000000073,11.8249,13.7872,1.10886,6.05851,11.546,3.28083,6.12067,3.85685,9.22231,13.5495,9.40657,476180
ENSCAFG00000000074,0.51017,1.7956167,2.05884,2.9607263,4.15258,1.490652,26.1341,5.2468927,26.3406,61.568053,29.424809,606853
ENSCAFG00000000075,5.51713,5.077381,0.090439142,0.776696,0.66517,0.772599957,2.66133,0.405978,1.32674,0.601159,0.7962,483957
ENSCAFG00000000076,59.2514,82.6353,23.9463,26.1399,102.196,63.7561,145.592,36.5798,70.2028,85.9058,51.4542,481101
ENSCAFG00000000078,7.557729,5.11439,3.8406829,6.431329,2.874008,6.017054,7.125337,17.18209,1.412499352,1.311839241,1.687452042,100855691
ENSCAFG00000000079,7.438443366,4.041470001,1.0451635,3.488715,3.747301295,6.577436,7.001106681,5.778704,4.708770208,5.274628,3.8948955,476181
ENSCAFG00000000080,0.759534,1.2036347,0.5523848,0.546222,0.637179,0.475131,2.543023,1.055708,0.394283,0.12823,0.4438846,481102
ENSCAFG00000000082,4.09522,4.23039,0.965274,2.127821,4.703127,8.75022,14.322376,11.289551,5.29173,6.4563,5.467035006,100855704
ENSCAFG00000000083,3.82014,1.804514,0.763437,1.953590006,2.488801757,4.481091501,3.522601805,2.420341006,2.846840001,3.60844007,3.48144,476182
ENSCAFG00000000086,1.55083,1.17682,0.517184,0.761678,2.1323,1.58725,1.13423,1.40796,1.3168,0.828329,1.21742,483959
ENSCAFG00000000087,102.5931,78.5715,18.94964,40.4806,135.8577,36.953,156.9337,63.691,49.4778,61.4773,23.78506,474394
ENSCAFG00000000088,21.224975,26.02607,4.030055,9.792813,34.28217,74.4413,187.74675,25.86046,53.86101,100.68585,29.46831,481103
ENSCAFG00000000090,0,0,0,0,0,0.273267,0.148431,0,0.0560977,0,0,483961
ENSCAFG00000000093,0.138622,0.0359555,2.31067,10.42373,18.63107,1.666639,1.80108,2.77836,4.547328,5.4283,1.836654,610092
ENSCAFG00000000094,42.1238,16.6364,2.71368,13.2485,18.3333,26.9305,27.2348,14.1709,69.2615,66.9605,52.6514,476186
ENSCAFG00000000096,0.294517,1.17827,0.389317,0,1.38259,0.353472,1.62136,1.68485,0.256485,0,0,612922
ENSCAFG00000000097,134.4852,95.2393,1.214741,1.164878,2.182625,86.5986,106.7172,13.48932,36.899,80.0665,52.0825,481105
ENSCAFG00000000100,528.8445,243.7834,32.1921,48.7174,58.509,97.33,102.51654,96.457509,135.7919,81.41998,66.3777,404003
ENSCAFG00000000101,0.205368,0.23086,0.00974633,0.0194805,0.181992,0.0182317,0.0249585,0,0,0,0,610160
ENSCAFG00000000102,32.6527,15.3371,23.0945,39.3202,19.5587,47.3491,19.6501,55.708,29.6059,31.1226,33.2263,474396
ENSCAFG00000000103,8.94722,9.1829221,4.657329,15.287812,31.753517,7.05778,18.800155,12.445497,1.086386,0.901896,1.052368,476187
ENSCAFG00000000107,0.0185132,0.131295301,12.2376307,24.165476,70.74059764,0.0746611,0.149063463,0.0104259,0.0822381,0.135078,0.0370626,483966
ENSCAFG00000000108,14.16026,6.1219488,6.52576,20.391848,8.98831,36.736846,15.43491,24.73411,17.672105,22.53554,21.510941,474397
ENSCAFG00000000109,21.117687,12.33827557,6.370746,19.63724101,20.1952,22.7950101,17.24729248,21.532659,11.34174325,16.82733106,12.49617054,481107
ENSCAFG00000000110,7.94804,8.12122,64.1133,21.2433,27.0692,9.12089,9.47854,31.9304,3.78998,3.54081,2.74214,606992
ENSCAFG00000000113,4.730862,5.5426027,1.353776,12.146484,12.017389,8.076234003,10.378318,4.642444,3.445609503,6.164447,3.2911836,481109
ENSCAFG00000000115,212.0368,167.1017,94.5527,438.467,781.016,156.5575,452.231,181.4112,70.1415,55.3134,21.85918,474403
ENSCAFG00000000116,12.99405406,6.502794,2.774519709,10.02438,6.714789,45.8624147,34.0362658,25.27955701,6.404517295,9.028644039,12.1820575,476189
ENSCAFG00000000118,193.042,128.255,52.3996,49.7632,74.5299,123.714,88.0832,128.974,112.681,105.434,85.0777,111089958
ENSCAFG00000000119,9.03226,10.2970719,5.045058,11.17462,55.2888,5.156656783,9.073422385,6.114381,5.873605,5.367691199,4.066261084,474404
