ens_gene,Gal_hrt_1,Gal_hrt_2,Gal_hrt_3,Gal_kidn_1,Gal_kidn_2,Gal_kidn_3,Gal_livr_1,Gal_livr_2,Gal_livr_3,gene_ids
ENSGALG00000000003,0,0.113534,0.818777,0.126869,0.41472,0.332237,0.0248169,0.0577229,0,426934
ENSGALG00000000038,20.9013,35.9846,33.2733,0,0,0,0.4707,0,0,431235
ENSGALG00000000048,8.52098,4.486089,3.380553,186.23805,68.1601,105.1132,3.4163,1.745007,2.77949,776719
ENSGALG00000000055,72.334,95.2609,86.3826,69.1014,109.068,111.785,34.4689,54.664,57.8683,425210
ENSGALG00000000059,3.764151,1.27332,0.348011,1.594622,3.647505,2.98809,0.547594,0.070353,0.0423485,431043
ENSGALG00000000067,7.39435,3.60138,3.52831,232.598,105.664,141.465,200.192,110.448,142.522,425255
ENSGALG00000000071,0.781373,1.491819,2.727680002,2.712256,7.91494,6.177244,1.173961,1.84396,1.9424,101750305
ENSGALG00000000081,0.0647386,0.1556135,1.616031,0.0468165,0.0639482,0.2561484,3.89373,1.246086,2.153029,417039
ENSGALG00000000086,51.3569,57.7026,65.548,61.3472,51.2533,49.6675,22.4393,18.5577,30.0406,421147
ENSGALG00000000091,8.68458,11.8237,12.8639,20.1736,54.7879,42.0569,10.5098,19.7616,18.6129,419028
ENSGALG00000000094,26.57412,25.70467,34.603936,23.68423,19.813804,23.7382,13.43698,11.372911,11.551151,421148
ENSGALG00000000102,7.08236,2.04185,11.4857,4.66376,7.23451,8.855983949,1.26967,1.10212,1.813395,421149
ENSGALG00000000104,1.68994,3.13905,2.80355,4.11687,8.84069,9.57897,3.27422,3.8338,1.88437,395100
ENSGALG00000000106,6.50444,9.35153,23.096,7.10574,15.874,15.7481,5.56172,10.2074,9.52723,421150
ENSGALG00000000107,1.91786,2.65988,2.94754,2.31074,1.49296,1.05772,6.12926,0.164919,0,417040
ENSGALG00000000109,26.2697,18.2929,14.1705,37.801,23.8599,24.3967,202.206,146.357,156.834,769005
ENSGALG00000000112,1.5535,2.99167,17.1438,0.798085,1.1768,1.39526,1.89869,0.650789,0.366711,396214
ENSGALG00000000115,1.49661,0.165332,0.10731,0.788075,0.543538,0.311026,0.572388,0,0,395192
