ens_gene,Xeno_hrt_1,Xeno_hrt_2,Xeno_hrt_3,Xeno_kidn_1,Xeno_kidn_2,Xeno_kidn_3,Xeno_livr_1,Xeno_livr_2,Xeno_livr_3,gene_ids
ENSXETG00000000002,28.016207,10.2308,7.90916,24.56752,19.904318,27.39379,12.00387178,7.266464047,8.375648,100487982
ENSXETG00000000003,7.7646036,2.804898,2.694930013,7.946065,4.82958,5.94073,1.28374,3.368112,4.128949334,100488284
ENSXETG00000000004,6.87957,0.518174,0.338429,1.562242,1.8383468,2.211340011,0.2553505,0.461419,0.228015,549139
ENSXETG00000000005,0.115456,0,0.160946,0.146636,0.187697,0.165046,0.0480687,0.0274296,0.0686882,779761
ENSXETG00000000006,7.39826,3.00809,4.16372,6.72266,5.8643,6.70191,4.57997,4.09597,7.43781,100487932
ENSXETG00000000008,18.50814477,6.046028606,11.1896641,25.26591019,34.5933289,23.669643,26.72853011,52.82576317,45.74277334,100036612
ENSXETG00000000009,9.6693117,2.015446,2.3937474,7.47067,5.521113,8.63871,0.8059178,1.762638004,2.6496748,549321
ENSXETG00000000010,13.0803,3.72435,4.0181,15.0804,3.96443,7.48532,6.35442,4.74244,18.8375,100038131
ENSXETG00000000011,1.717261,0.844359203,0.8469944,1.9661413,1.046373048,1.073561,0.049031,0.400099003,1.11536,100489827
ENSXETG00000000013,34.300685,3.059136,5.282202014,26.8858641,25.255013,39.3583914,1.2648437,2.7729137,2.907229833,733982
ENSXETG00000000016,22.4796,13.7588,18.1538,34.3688,19.3319,23.8065,12.543,8.98229,12.1213,448040
ENSXETG00000000017,11.9328925,6.657911111,11.30558709,12.54995167,18.01284499,13.15081705,2.884709715,4.723026208,7.577703933,100144662
ENSXETG00000000018,1.05356,0,0,0,0,0,0.0083317,0.204676,0,100498497
ENSXETG00000000019,0.307568,0.0168536,0.0566268,0.223564,0.583735,0.671942,0,0.27022,0.112779,779981
ENSXETG00000000020,14.320375,0.0282206,0,4.410334207,3.919864,5.983421,0.088146407,0.0979895,0.329256,100038093
ENSXETG00000000021,2.61687,1.41229,6.78916,0.69356,0.357112,1.32537,0,0,0.240804,100493745
ENSXETG00000000022,15.8396,8.46148,11.5306,15.9172,22.4961,22.42,6.46154,6.69457,7.22058,100329115
