"","moduleColors","gene"
"1","turquoise","107282170"
"2","turquoise","107282175"
"3","turquoise","107282176"
"4","turquoise","107282177"
"5","turquoise","107282178"
"6","turquoise","107282182"
"7","turquoise","107282186"
"8","turquoise","107282197"
"9","turquoise","107282202"
"10","turquoise","107282208"
"11","turquoise","107282217"
"12","turquoise","107282221"
"13","turquoise","107282222"
"14","turquoise","107282225"
"15","turquoise","107282231"
"16","turquoise","107282232"
"17","turquoise","107282234"
"18","turquoise","107282239"
"19","turquoise","107282241"
"20","turquoise","107282245"
"21","turquoise","107282249"
"22","turquoise","107282251"
"23","turquoise","107282253"
"24","turquoise","107282254"
"25","turquoise","107282257"
"26","turquoise","107282269"
"27","turquoise","107282274"
"28","turquoise","107282278"
"29","turquoise","107282288"
"30","turquoise","107282298"
"31","turquoise","107282301"
"32","turquoise","107282303"
"33","turquoise","107282339"
"34","turquoise","107282361"
"35","turquoise","107282362"
"36","turquoise","107282376"
"37","turquoise","107282378"
"38","turquoise","107282393"
"39","turquoise","107282403"
"40","turquoise","107282407"
"41","turquoise","107282413"
"42","turquoise","107282414"
"43","turquoise","107282415"
"44","turquoise","107282423"
"45","turquoise","107282433"
"46","turquoise","107282443"
"47","turquoise","107282464"
"48","turquoise","107282465"
"49","turquoise","107282478"
"50","turquoise","107282485"
"51","turquoise","107282492"
"52","turquoise","107282496"
"53","turquoise","107282502"
"54","turquoise","107282520"
"55","turquoise","107282522"
"56","turquoise","107282526"
"57","turquoise","107282538"
"58","turquoise","107282540"
"59","turquoise","107282553"
"60","turquoise","107282563"
"61","turquoise","107282570"
"62","turquoise","107282573"
"63","turquoise","107282574"
"64","turquoise","107282575"
"65","turquoise","107282614"
"66","turquoise","107282615"
"67","turquoise","107282618"
"68","turquoise","107282660"
"69","turquoise","107282663"
"70","turquoise","107282696"
"71","turquoise","107282697"
"72","turquoise","107282698"
"73","turquoise","107282700"
"74","turquoise","107282702"
"75","turquoise","107282711"
"76","turquoise","107282719"
"77","turquoise","107282736"
"78","turquoise","107282742"
"79","turquoise","107282775"
"80","turquoise","107282778"
"81","turquoise","107282779"
"82","turquoise","107282806"
"83","turquoise","107282815"
"84","turquoise","107282819"
"85","turquoise","107282830"
"86","turquoise","107282832"
"87","turquoise","107282839"
"88","turquoise","107282847"
"89","turquoise","107282848"
"90","turquoise","107282852"
"91","turquoise","107282854"
"92","turquoise","107282860"
"93","turquoise","107282864"
"94","turquoise","107282872"
"95","turquoise","107282873"
"96","turquoise","107282880"
"97","turquoise","107282882"
"98","turquoise","107282883"
"99","turquoise","107282885"
"100","turquoise","107282888"
"101","turquoise","107282891"
"102","turquoise","107282894"
"103","turquoise","107282909"
"104","turquoise","107282910"
"105","turquoise","107282914"
"106","turquoise","107282917"
"107","turquoise","107282938"
"108","turquoise","107282940"
"109","turquoise","107282962"
"110","turquoise","107282986"
"111","turquoise","107282991"
"112","turquoise","107282994"
"113","turquoise","107282996"
"114","turquoise","107282999"
"115","turquoise","107283001"
"116","turquoise","107283002"
"117","turquoise","107283003"
"118","turquoise","107283004"
"119","turquoise","107283007"
"120","turquoise","107283012"
"121","turquoise","107283016"
"122","turquoise","107283025"
"123","turquoise","107283032"
"124","turquoise","107283036"
"125","turquoise","107283042"
"126","turquoise","107283048"
"127","turquoise","107283055"
"128","turquoise","107283057"
"129","turquoise","107283066"
"130","turquoise","107283088"
"131","turquoise","107283093"
"132","turquoise","107283095"
"133","turquoise","107283097"
"134","turquoise","107283099"
"135","turquoise","107283103"
"136","turquoise","107283115"
"137","turquoise","107283116"
"138","turquoise","107283119"
"139","turquoise","107283124"
"140","turquoise","107283125"
"141","turquoise","107283126"
"142","turquoise","107283130"
"143","turquoise","107283131"
"144","turquoise","107283136"
"145","turquoise","107283140"
"146","turquoise","107283141"
"147","turquoise","107283142"
"148","turquoise","107283147"
"149","turquoise","107283155"
"150","turquoise","107283162"
"151","turquoise","107283188"
"152","turquoise","107283214"
"153","turquoise","107283217"
"154","turquoise","107283218"
"155","turquoise","107283219"
"156","turquoise","107283220"
"157","turquoise","107283222"
"158","turquoise","107283224"
"159","turquoise","107283225"
"160","turquoise","107283227"
"161","turquoise","107283228"
"162","turquoise","107283229"
"163","turquoise","107283230"
"164","turquoise","107283235"
"165","turquoise","107283239"
"166","turquoise","107283240"
"167","turquoise","107283246"
"168","turquoise","107283249"
"169","turquoise","107283256"
"170","turquoise","107283272"
"171","turquoise","107283276"
"172","turquoise","107283277"
"173","turquoise","107283278"
"174","turquoise","107283283"
"175","turquoise","107283286"
"176","turquoise","107283287"
"177","turquoise","107283289"
"178","turquoise","107283290"
"179","turquoise","107283309"
"180","turquoise","107283317"
"181","turquoise","107283363"
"182","turquoise","107283369"
"183","turquoise","107283374"
"184","turquoise","107283384"
"185","turquoise","107283408"
"186","turquoise","107283412"
"187","turquoise","107283418"
"188","turquoise","107283420"
"189","turquoise","107283422"
"190","turquoise","107283429"
"191","turquoise","107283448"
"192","turquoise","107283456"
"193","turquoise","107283466"
"194","turquoise","107283488"
"195","turquoise","107283542"
"196","turquoise","107283544"
"197","turquoise","107283547"
"198","turquoise","107283581"
"199","turquoise","107283582"
"200","turquoise","107283588"
"201","turquoise","107283598"
"202","turquoise","107283609"
"203","turquoise","107283628"
"204","turquoise","107283629"
"205","turquoise","107283630"
