moduleColors,n,Zsummary.pres,num
turquoise,3380,0.273400652,1
blue,2141,1.822096393,2
brown,1685,3.564932214,3
yellow,1211,11.89411092,4
green,1189,1.9215999,5
red,1120,8.334905314,6
black,1020,-0.632969306,7
pink,988,0.237101867,8
magenta,587,2.347794827,9
purple,464,9.241264523,10
greenyellow,458,0.679932279,11
grey,439,4.226213976,12
tan,398,12.70874879,13
salmon,363,7.129232855,14
cyan,357,8.686203219,15
midnightblue,346,0.903653721,16
lightcyan,332,10.55265891,17
grey60,252,8.697878705,18
lightgreen,230,16.19651446,19
royalblue,221,5.836940642,20
darkgreen,196,6.278853457,21
darkturquoise,174,3.507407707,22
darkgrey,172,3.231679681,23
orange,170,10.70544914,24
darkorange,129,3.61239598,25
white,94,6.685222367,26
skyblue,81,7.764644731,27
saddlebrown,78,5.25897035,28
steelblue,38,0.628382928,29
