moduleColors,n,Zsummary.pres,num
turquoise,3380,2.0005224,1
blue,2141,0.089739701,2
brown,1685,1.113964061,3
yellow,1211,8.707147026,4
green,1189,2.011943492,5
red,1120,0.750542859,6
black,1020,1.371276909,7
pink,988,1.967205577,8
magenta,587,0.406904756,9
purple,464,0.645199044,10
greenyellow,458,0.053788638,11
darkred,439,1.752779006,12
tan,398,21.16849594,13
salmon,363,1.193277981,14
cyan,357,9.859083267,15
midnightblue,346,0.478796301,16
lightcyan,332,31.34265945,17
grey60,252,0.156138142,18
lightgreen,230,9.767351611,19
royalblue,221,11.42914271,20
darkgreen,196,15.63009864,21
darkturquoise,174,13.97134954,22
darkgrey,172,2.356231762,23
orange,170,0.732729807,24
darkorange,129,9.145235028,25
white,94,14.45937174,26
skyblue,81,9.696870367,27
saddlebrown,78,15.23847783,28
steelblue,38,0.810624038,29
