moduleColors,n,Zsummary.pres,num
turquoise,3380,1.322995543,1
blue,2141,2.843786927,2
brown,1685,5.965371813,3
yellow,1211,17.48550024,4
green,1189,6.441853846,5
red,1120,-0.212214755,6
black,1020,0.727978075,7
pink,988,5.485839807,8
magenta,587,-0.059774775,9
purple,464,14.11907415,10
greenyellow,458,0.702975881,11
darkred,439,3.925416223,12
tan,398,23.37297524,13
salmon,363,6.918760344,14
cyan,357,2.36022588,15
midnightblue,346,1.05545461,16
lightcyan,332,22.11346953,17
grey60,252,13.40192947,18
lightgreen,230,22.09313468,19
royalblue,221,6.642440907,20
darkgreen,196,12.9738955,21
darkturquoise,174,7.447091803,22
darkgrey,172,2.707973556,23
orange,170,8.249360191,24
darkorange,129,7.250417944,25
white,94,6.831888988,26
skyblue,81,5.243072222,27
saddlebrown,78,6.232720981,28
steelblue,38,0.389612043,29
