moduleColors,n,Zsummary.pres,num
turquoise,3380,-0.064779864,1
blue,2141,-0.815231119,2
brown,1685,2.986761376,3
yellow,1211,2.411178436,4
green,1189,1.776681724,5
red,1120,-0.014992596,6
black,1020,-0.623608534,7
pink,988,0.29112495,8
magenta,587,-0.035386978,9
purple,464,2.810136163,10
greenyellow,458,-0.551297855,11
darkred,439,0.652551229,12
tan,398,1.62495371,13
salmon,363,3.127580224,14
cyan,357,2.903918552,15
midnightblue,346,0.020707914,16
lightcyan,332,0.5891638,17
grey60,252,4.594419885,18
lightgreen,230,1.678354218,19
royalblue,221,0.710255216,20
darkgreen,196,-0.53930233,21
darkturquoise,174,0.128012505,22
darkgrey,172,2.07000509,23
orange,170,1.945648256,24
darkorange,129,0.288044044,25
white,94,0.594304727,26
skyblue,81,0.73797609,27
saddlebrown,78,0.452722276,28
steelblue,38,-0.818851819,29
