moduleColors,n,Zsummary.pres,num
turquoise,3380,3.040947181,1
blue,2141,1.375780707,2
brown,1685,3.143840728,3
yellow,1211,0.76839666,4
green,1189,-0.728704515,5
red,1120,-0.246820366,6
black,1020,-0.781439938,7
pink,988,-0.198981957,8
magenta,587,-0.063328968,9
purple,464,1.652008988,10
greenyellow,458,-1.089984497,11
darkred,439,1.021283232,12
tan,398,0.415919099,13
salmon,363,1.760190635,14
cyan,357,-1.165580379,15
midnightblue,346,-0.276812968,16
lightcyan,332,-0.028395068,17
grey60,252,3.009242662,18
lightgreen,230,2.557743821,19
royalblue,221,-1.061434172,20
darkgreen,196,0.777656822,21
darkturquoise,174,-1.403886395,22
darkgrey,172,-0.405622592,23
orange,170,2.547360185,24
darkorange,129,-0.294897927,25
white,94,-1.102844618,26
skyblue,81,1.26162559,27
saddlebrown,78,0.097191094,28
steelblue,38,1.199722059,29
