"","moduleColors","n","Zsummary.pres","num"
"1","turquoise",3380,11.6058417968832,1
"2","blue",2141,3.76500208519293,2
"3","brown",1685,8.65607415243212,3
"4","yellow",1211,10.0373089600443,4
"5","green",1189,8.63705850006685,5
"6","red",1120,12.8817387850747,6
"7","black",1020,-1.2892286120741,7
"8","pink",988,2.36276666711518,8
"9","magenta",587,-0.499100620047718,9
"10","purple",464,5.51200825929654,10
"11","greenyellow",458,-0.935624815137589,11
"12","darkred",439,-0.530441147734993,12
"13","tan",398,0.980007106176447,13
"14","salmon",363,6.73086757378421,14
"15","cyan",357,1.51793301003241,15
"16","midnightblue",346,-2.28486690482202,16
"17","lightcyan",332,1.39157741124112,17
"18","grey60",252,3.65701667811318,18
"19","lightgreen",230,8.0996565403133,19
"20","royalblue",221,-0.721202703670318,20
"21","darkgreen",196,2.02790915792365,21
"22","darkturquoise",174,0.578281073319159,22
"23","darkgrey",172,7.31696348789184,23
"24","orange",170,3.36229599517319,24
"25","darkorange",129,0.0620546113914447,25
"26","white",94,0.96402073038153,26
"27","skyblue",81,0.516461682484478,27
"28","saddlebrown",78,1.20312412054924,28
"29","steelblue",38,-0.286028973156148,29
