moduleColors,n,Zsummary.pres,num
turquoise,3380,6.31378008,1
blue,2141,3.586906478,2
brown,1685,1.592713693,3
yellow,1211,6.423236627,4
green,1189,-0.005523651,5
red,1120,3.088808099,6
black,1020,-0.738852783,7
pink,988,-0.893165069,8
magenta,587,0.777594595,9
purple,464,1.809982043,10
greenyellow,458,-0.936518371,11
darkred,439,-1.262060395,12
tan,398,0.783248757,13
salmon,363,2.17530857,14
cyan,357,1.173423853,15
midnightblue,346,-0.400790851,16
lightcyan,332,1.455140244,17
grey60,252,1.133110169,18
lightgreen,230,2.563186779,19
royalblue,221,1.962302134,20
darkgreen,196,0.800979926,21
darkturquoise,174,2.060840751,22
darkgrey,172,1.29008484,23
orange,170,-0.128884189,24
darkorange,129,0.822610869,25
white,94,3.12426645,26
skyblue,81,0.346548418,27
saddlebrown,78,0.765784218,28
steelblue,38,0.450545337,29
