Orthogroup	M_musculus.pep	G_gallus.pep
OG0000004	ENSMUSG00000076531.1	ENSGALG00000050761.1
OG0000004	ENSMUSG00000059280.4, ENSMUSG00000059305.12	ENSGALG00000047343.1
OG0000006	ENSMUSG00000057982.8, ENSMUSG00000053985.10	ENSGALG00000047758.1
OG0000006	ENSMUSG00000050605.17, ENSMUSG00000074282.10	ENSGALG00000053412.1
OG0000006	ENSMUSG00000056592.14	ENSGALG00000053518.1
OG0000006	ENSMUSG00000002266.17	ENSGALG00000050546.1, ENSGALG00000048494.1, ENSGALG00000049669.1, ENSGALG00000048437.1, ENSGALG00000054535.1, ENSGALG00000046849.1, ENSGALG00000049900.1
OG0000006	ENSMUSG00000033669.8, ENSMUSG00000116024.1	ENSGALG00000050291.1, ENSGALG00000046701.1, ENSGALG00000049054.1, ENSGALG00000048181.1, ENSGALG00000048477.1, ENSGALG00000053582.1, ENSGALG00000049874.1, ENSGALG00000047680.1
OG0000008	ENSMUSG00000060032.6	ENSGALG00000049859.1
OG0000008	ENSMUSG00000068855.3	ENSGALG00000054083.1, ENSGALG00000048212.1, ENSGALG00000052030.1, ENSGALG00000049268.1, ENSGALG00000052284.1, ENSGALG00000032645.2, ENSGALG00000031571.2
OG0000008	ENSMUSG00000049932.3	ENSGALG00000045705.2
OG0000009	ENSMUSG00000067522.3, ENSMUSG00000075205.5, ENSMUSG00000043226.5, ENSMUSG00000075212.5, ENSMUSG00000075214.3, ENSMUSG00000111454.2, ENSMUSG00000075215.2, ENSMUSG00000111179.1, ENSMUSG00000111566.1	ENSGALG00000043408.2
OG0000009	ENSMUSG00000047149.5, ENSMUSG00000075164.2	ENSGALG00000044550.2
OG0000009	ENSMUSG00000075161.3, ENSMUSG00000075163.5, ENSMUSG00000075159.5, ENSMUSG00000075160.3	ENSGALG00000054149.1, ENSGALG00000051226.1
