"","gene","description","Pm_1_kidney","Pm_10_kidney","Pm_3_kidney","Pm_5_kidney","Pm_8_kidney","Mus_kidn_1","Mus_kidn_2","Mus_kidn_3","Homo_kidn_1","Homo_kidn_2","Homo_kidn_3","Canis_kidn_1","Canis_kidn_2","Canis_kidn_3"
"1",107282159,"delta-like 4 (Drosophila)",48,41,17,17,28,14.54951,12.2522,12.29532,2.851353,3.7226126,2.001685,2.325257,7.07337,19.58548
"2",107282160,"fibronectin leucine rich transmembrane protein 2",348,385,558,257,237,1.596682,1.531669,1.281155,1.081301,3.467618,2.063632,2.42463,0.0261156,2.44296
"3",107282165,"peroxisomal biogenesis factor 11 gamma",279,210,320,250,224,12.68437,10.0913,11.6358,16.71575466,25.08529,11.9639084,4.67996,6.74891,1.951628
"4",107282168,"phosphodiesterase 4C",19,9,2,3,10,30.089984,30.671552,31.517166,0.753052,1.796868,0.8331534,5.66893,2.652298,8.00738
"5",107282170,"GTP binding protein 3 (mitochondrial)",3,2,2,0,0,15.237062,13.876398,14.813021,11.800954,12.7758767,8.360635,5.83874,10.075,8.29655
"6",107282178,"microtubule associated protein 7",494,317,742,560,682,28.657693,26.0940769,28.37379,57.803049,12.80864764,30.24583013,31.873167,23.52227,11.57119
"7",107282182,"nuclear factor I/C (CCAAT-binding transcription factor)",87,41,76,47,45,59.403123,50.586511,59.314399,50.28009,55.406773,21.304622,30.27564,41.50207,37.65649
"8",107282195,"hyaluronan and proteoglycan link protein 1",0,0,2,0,1,0.2734,0.298356,0.173956,0,0.352274,0.0108088,3.50274,37.8804,8.92216
"9",107282203,"zinc finger protein 511",25,19,14,38,28,28.143559,26.076125,23.368897,14.56293,31.2787,23.24065,21.00717,13.01787,12.572553
"10",107282204,"tubulin gamma complex associated protein 2",322,222,271,222,203,13.31155,13.2333457,12.6305,47.776408,59.08253879,43.35415837,33.8405,27.96882,21.3057
"11",107282217,"solute carrier family 35 member E1",47,32,60,54,31,34.9254,33.3856,35.2168,17.51409,20.25054428,21.44453,20.2707,25.5709,14.2639
"12",107282221,"Rho/Rac guanine nucleotide exchange factor 18",23,22,24,17,17,32.691918,27.6331561,31.026534,0,0,0,9.7666,11.5494,16.6258
"13",107282223,"unconventional SNARE in the ER 1 homolog (S. cerevisiae)",99,90,103,72,128,91.96616203,95.670868,90.035338,76.481099,57.86596,47.77905,27.71461,25.30728,49.507842
"14",107282230,"RAB3A, member RAS oncogene family",38,3,17,17,13,21.034012,21.138345,21.075653,19.59218,17.880694,9.684418,11.49606,17.83606,16.68849
"15",107282233,"DET1 and DDB1 associated 1",313,315,413,322,268,42.9660967,39.067829,44.991043,61.383,26.00269,18.02716,35.05612,71.8718,44.5731
"16",107282238,"mitogen-activated protein kinase kinase kinase 5",351,240,277,157,158,13.397352,14.124607,11.590454,6.92595,3.388671,12.7459,6.543698,5.9603,4.44082
"17",107282258,"adaptor related protein complex 3 delta 1 subunit",170,161,179,161,160,79.99737,80.033848,82.49106,81.0281828,93.3675634,74.967597,48.9958,40.01507,27.07515
"18",107282273,"phosphoinositide-3-kinase regulatory subunit 2",93,35,59,26,42,22.027134,20.267622,20.613483,44.580378,20.770787,11.21174,13.257627,10.223877,5.7308113
"19",107282274,"microtubule associated serine/threonine kinase 3",31,5,12,7,10,10.314624,8.6637124,11.386318,9.33287,14.34645,7.245677,13.8268333,15.661587,4.009120401
"20",107282288,"coiled-coil serine rich protein 1",238,202,306,185,212,3.793922,3.928565,3.5652089,3.649003,1.469982,4.21026,1.1961368,1.883526606,0.4709314
"21",107282290,"phospholipid phosphatase related 3",0,0,0,0,0,3.871601,3.373219,4.142697,0.0347298,0,0,0.0493937,0.0164394,0.0678372
