Orthogroup	M_musculus.pep	P_Mucros.pep
OG0000006	ENSMUSG00000050844.5, ENSMUSG00000063535.7, ENSMUSG00000067942.6, ENSMUSG00000102030.1, ENSMUSG00000101303.1, ENSMUSG00000100305.1, ENSMUSG00000100617.1, ENSMUSG00000101415.1, ENSMUSG00000100265.1, ENSMUSG00000050855.16	XP_015685540.1, XP_029142004.1
OG0000006	ENSMUSG00000096718.2, ENSMUSG00000094622.2	XP_029139985.1, XP_029141493.1
OG0000006	ENSMUSG00000056592.14, ENSMUSG00000002266.17, ENSMUSG00000044807.13, ENSMUSG00000020335.13, ENSMUSG00000020364.14, ENSMUSG00000031374.13, ENSMUSG00000072623.6, ENSMUSG00000033669.8, ENSMUSG00000116024.1	XP_029140115.1
OG0000008	ENSMUSG00000060081.1	XP_015678749.1
OG0000008	ENSMUSG00000060032.6, ENSMUSG00000068855.3	XP_015678743.1
OG0000008	ENSMUSG00000049932.3	XP_015668418.1
OG0000008	ENSMUSG00000064220.6, ENSMUSG00000063954.7, ENSMUSG00000078851.4, ENSMUSG00000061991.2, ENSMUSG00000071478.6, ENSMUSG00000069309.2, ENSMUSG00000071516.2, ENSMUSG00000069270.6, ENSMUSG00000094248.1, ENSMUSG00000069272.6, ENSMUSG00000069301.5, ENSMUSG00000094777.2, ENSMUSG00000061615.2, ENSMUSG00000063021.3, ENSMUSG00000069302.5	XP_015678750.1
OG0000009	ENSMUSG00000067522.3	XP_015677980.2
OG0000009	ENSMUSG00000043226.5, ENSMUSG00000075212.5, ENSMUSG00000075214.3, ENSMUSG00000111454.2, ENSMUSG00000075215.2, ENSMUSG00000111179.1, ENSMUSG00000111566.1	XP_015684501.1, XP_015673238.1
OG0000009	ENSMUSG00000047149.5, ENSMUSG00000075164.2	XP_015677985.1
OG0000009	ENSMUSG00000075161.3, ENSMUSG00000075163.5, ENSMUSG00000075159.5, ENSMUSG00000075160.3	XP_015677984.1
OG0000009	ENSMUSG00000075208.6	XP_015683726.1
OG0000009	ENSMUSG00000051392.5	XP_015673205.2
OG0000009	ENSMUSG00000090894.4, ENSMUSG00000090675.2	XP_015672562.1, XP_015672559.1, XP_015672561.1
