"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9"
"1","107282158","exonuclease 3'-5' domain containing 1",38,135,178,70,18,52,21,76,90,45,166,45,118,35,89,74,26,17,107,62,63,149,99,54,58,55,89,20,52,21
"2","107282159","delta-like 4 (Drosophila)",2,14,10,3,3,5,1,6,5,5,16,5,8,8,3,6,1,4,11,6,2,15,24,7,5,9,4,0,9,1
"3","107282160","fibronectin leucine rich transmembrane protein 2",401.01,1107,1511.25,192,291,380,119,85,593.04,92,571.1,509,489,205,235,191,208,97,646,358.02,116,639.03,2290.75,765.04,715.01,312.01,559.22,147,913,251.03
"4","107282161","cytochrome P450 2H2",29,328,377,157.57,46.45,69,37,64.99,172,42,254,71.99,209,106,75.42,50,17,36.33,422,68,55,300,263.58,517.04,80.03,90,108.99,33.58,194,37.43
"5","107282162","calreticulin 3",0,2,2,0,1,1,0,1,3,1,7,6,3,2,0,0,0,0,3,1,0,3,2,2,6,5,3,0,2,0
"6","107282164","C3 and PZP-like alpha-2-macroglobulin domain containing 8",22,56,22,11,8,36,5,11,28,12,27,29,14,12,4,8,8,1,81,14,8,44,170,38,69,17,15,10,47,9
"7","107282165","peroxisomal biogenesis factor 11 gamma",169,251,348,154,97,174,89,204,202,80,145,271,234,113,172,160,125,87,375,153,184,365,288,277,180,231,225,73,198,156
"8","107282166","vimentin-type intermediate filament associated coiled-coil protein",5,6,5,5,3,1,0,1,4,3,2,3,3,4,1,1,0,4,3,0,3,5,23,0,1,0,2,4,6,0
"9","107282167","zinc finger protein 414",114,127,199,109,79,104,58,75,119,74,126,143,79,96,46,84,88,55,187,52,66,96,207,144,208,176,98,48,123,117
"10","107282168","phosphodiesterase 4C",10,20,16,6,10,18,7,13,6,13,27,6,14,7,4,12,3,14,8,4,5,14,10,20,46,19,24,2,40,5
"11","107282169","anoctamin 8",7.01,20,9,11.46,8,16,11,9.01,6,11.01,20,3,7.01,9,2,4,7,7,26,8.01,9.02,17,9,23,25.01,19,3,20,30.96,2.26
"12","107282170","GTP binding protein 3 (mitochondrial)",1,1,2,0,1,2,3,3,5,1,6,6,3,1,3,3,0,2,1,5,1,7,3,3,2,2,5,5,6,3
"13","107282171","uncharacterized LOC107282171",1,11,50,0,0,2,1,0,6,0,4,9,6,2,1,0,1,2,12,7,1,20,45,18,4,1,1,0,17,3
"14","107282172","coiled-coil domain-containing protein 158-like",1,6.52,13.7,3.75,7.74,0,1.72,61.59,0,18.16,44.17,9.77,35.84,17.93,0,38.6,0,3,3.72,0,0,83.3,5.2,9.87,14.18,69.01,2.97,3,3.26,4
"15","107282173","paralemmin",1336.07,2773.37,3782.19,3106.99,1470.37,2139.6,2855.67,1578.38,2534.56,1280.98,850.8,786.5,1198.68,2788.96,2581.87,2652.25,1017.02,450.54,1736.64,1147.63,2303.97,1644.17,968.79,407.88,1216.59,2301.69,2108.94,2717.62,734.67,3300.34
"16","107282174","KISS1 receptor",4,2,7,2,0,5,0,0,2,7,3,0,1,0,0,1,0,1,2,1,0,3,1,3,7,9,3,1,2,5
"17","107282175","histocompatibility (minor) HA-1",15,12,17,22,20,29,28,27,26,35,30,26,10,23,25,9,28,33,23,25,15,14,19,16,13,16,39,21,6,32
"18","107282176","YjeF N-terminal domain containing 3",3,2,1,1,1,0,0,4,0,5,2,2,0,9,4,5,0,3,5,13,6,1,6,4,4,0,4,0,3,0
"19","107282177","cartilage intermediate layer protein 2",6,3,1,0,6,5,6,12,1,18,1,0,0,11,17,19,9,27,4,24,12,1,1,0,16,2,11,1,1,3
