Pm_pro,Pm_geneid,Pm_description,target_id,cro_vg.un.,cro_vg_1,cro_vg_2,cro_vg_3(surrogate)
NP_001310179.1,107287935,glutaminyl-peptide cyclotransferase precursor,crovir-protein-9447,63.4159,589.775,639.318,430.8363
XP_015665399.1,107303336,V-type proton ATPase subunit S1-like protein,crovir-protein-15663,0.927074,0.194405,0.239598,0.453692333
XP_015665400.1,107282161,cytochrome P450 2H2,crovir-protein-6887,0.642686,0.447921,0.314892,0.468499667
XP_015665401.1,107282162,calreticulin-3,crovir-protein-6894,0,0,0,0
XP_015665402.1,107282163,NACHT domain- and WD repeat-containing protein 1,crovir-protein-6904,0,0,0,0
XP_015665404.1,107282164,"C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8, partial",crovir-protein-6855,4.14165,2.24967,3.91827,3.43653
XP_015665405.1,107282165,"peroxisomal membrane protein 11C, partial",crovir-protein-6861,6.96026,8.94609,8.52138,8.142576667
XP_015665406.2,107282166,vimentin-type intermediate filament-associated coiled-coil protein,crovir-protein-6846,0,2.44764,3.36345,1.93703
XP_015665409.1,107282169,anoctamin-8,crovir-protein-6822,0.122791,0.448031,0.417087,0.329303
XP_015665410.1,107282170,"tRNA modification GTPase GTPBP3, mitochondrial",crovir-protein-6825,0,0.317862,0.0670955,0.128319167
XP_015665412.1,107282173,paralemmin-1,crovir-protein-6793,1.50974,1.47596,1.18441,1.390036667
XP_015665413.1,107282174,kiSS-1 receptor,crovir-protein-6831,0.642686,0.223961,0.149159,0.338602
XP_015665415.1,107282176,yjeF N-terminal domain-containing protein 3,crovir-protein-6809,0,0,0,0
XP_015665417.1,107282179,PDZ domain-containing protein GIPC3,crovir-protein-6867,0.372314,0.0391131,0.0289095,0.146778867
XP_015665419.1,107282181,LOW QUALITY PROTEIN: protein unc-13 homolog A,crovir-protein-6868,0,0,0.0064142,0.002138067
XP_015665420.1,107282178,ensconsin,crovir-protein-9219,48.469,46.0982,52.1002,48.88913333
XP_015665421.1,107282182,nuclear factor 1 C-type,crovir-protein-6775,0,8.45645,9.87685,6.1111
XP_015665424.1,107282185,transcription factor E2-alpha,crovir-protein-6768,11.9862,5.55809,6.33525,7.959846667
XP_015665426.1,107282187,muellerian-inhibiting factor,crovir-protein-6788,0,0.204913,0.259822,0.154911667
XP_015665427.1,107282188,A disintegrin and metalloproteinase with thrombospondin motifs 10,crovir-protein-6734,0.178127,0.0930062,0.165226,0.145453067
XP_015665428.1,107282189,tyrosine-protein kinase ZAP-70,crovir-protein-6736,1.88169,0,0.0489953,0.643561767
XP_015665430.1,107282191,actin-like protein 9,crovir-protein-6732,0,0,0,0
XP_015665431.1,107282192,mucin-16,crovir-protein-6731,0.107308,0.0670887,0,0.058132233
XP_015665434.1,107282195,hyaluronan and proteoglycan link protein 1,crovir-protein-15656,0.811917,0.768457,0.473201,0.684525
XP_015665435.1,107282196,DNA repair protein XRCC4,crovir-protein-15659,2.06324,3.54627,3.82843,3.14598
XP_015665436.1,107282197,protein kish-A,crovir-protein-15658,26.8448,28.707,33.0017,29.51783333
XP_015665441.2,107282199,vacuolar protein 8-like,crovir-protein-9188,0,0.121227,0.134585,0.085270667
XP_015665447.1,107282204,gamma-tubulin complex component 2,crovir-protein-6886,7.68794,5.59894,5.70274,6.329873333
XP_015665448.2,107282205,erlin-1,crovir-protein-6878,30.3585,42.2061,43.656,38.7402
XP_015665449.1,107282206,CWF19-like protein 1,crovir-protein-6885,3.90986,2.89513,3.00846,3.27115
XP_015665450.1,107282208,AP-1 complex subunit mu-1,crovir-protein-6879,33.8605,23.8674,26.8541,28.194
XP_015665451.1,107282209,ras-related protein Rab-8A,crovir-protein-6883,22.294,19.5035,18.9727,20.25673333
XP_015665452.1,107282210,protein FAM32A,crovir-protein-6884,48.5064,68.4564,59.3963,58.78636667
XP_015665459.1,107282213,epidermal growth factor receptor substrate 15-like 1,crovir-protein-6893,3.75068,4.06598,3.96226,3.926306667
XP_015665461.1,107282215,calcium homeostasis endoplasmic reticulum protein,crovir-protein-6892,10.8891,6.76469,7.27811,8.310633333
XP_015665462.1,107282217,solute carrier family 35 member E1,crovir-protein-6895,3.26132,6.23654,6.79219,5.430016667
XP_015665463.1,107282218,trimeric intracellular cation channel type A,crovir-protein-6902,0,0,0.0417687,0.0139229
XP_015665464.1,107282219,gamma-interferon-inducible lysosomal thiol reductase,crovir-protein-6852,65.6771,10.7896,11.4463,29.30433333
XP_015665469.1,107282223,vesicle transport protein USE1,crovir-protein-6842,4.0149,3.58668,3.39988,3.667153333
XP_015665471.1,107282225,excitatory amino acid transporter 1,crovir-protein-6845,30.1785,33.9921,31.5207,31.8971
XP_015665475.1,107282228,ran-binding protein 3,crovir-protein-6847,4.80766,8.28358,10.1555,7.748913333
XP_015665477.1,107282230,ras-related protein Rab-3A,crovir-protein-6813,6.61275,5.98279,7.51248,6.702673333
XP_015665479.1,107282231,pyroglutamyl-peptidase 1,crovir-protein-6803,4.06147,4.40141,4.53776,4.333546667
XP_015665480.1,107282232,RNA polymerase II elongation factor ELL,crovir-protein-6821,4.72249,3.32642,4.76092,4.269943333
XP_015665481.1,107282233,DET1- and DDB1-associated protein 1,crovir-protein-6823,56.2444,32.3766,33.4737,40.69823333
XP_015665482.1,107282234,plasmalemma vesicle-associated protein,crovir-protein-6820,16.3296,6.78378,8.93575,10.68304333
XP_015665487.1,107282239,polypyrimidine tract-binding protein 1,crovir-protein-6834,7.88778,16.6468,18.781,14.43852667
XP_015665489.1,107282238,mitogen-activated protein kinase kinase kinase 5,crovir-protein-9218,1.09368,1.4246,1.23229,1.25019
XP_015665490.1,107282240,R3H domain-containing protein 4,crovir-protein-6833,7.23797,17.5898,17.9378,14.25519
XP_015665492.1,107282242,E3 ubiquitin-protein ligase RNF126,crovir-protein-6810,18.4554,13.5998,15.666,15.90706667
XP_015665495.1,107282244,calponin-2,crovir-protein-6812,18.7171,4.95108,12.1163,11.92816
XP_015665496.1,107282245,cactin,crovir-protein-6871,6.74864,4.38946,5.32309,5.487063333
XP_015665497.1,107282246,fizzy-related protein homolog,crovir-protein-6875,16.1803,8.59193,10.3229,11.69837667
XP_015665504.1,107282250,alpha/beta hydrolase domain-containing protein 17A,crovir-protein-6774,34.1689,36.5534,38.3436,36.3553
XP_015665506.1,107282253,methyl-CpG-binding domain protein 3 isoform X1,crovir-protein-6767,6.18221,3.75102,3.01029,4.314506667
XP_015665509.1,107282254,casein kinase I,crovir-protein-6756,6.76778,11.0728,10.3664,9.402326667
XP_015665510.1,107282255,MAP kinase-interacting serine/threonine-protein kinase 2,crovir-protein-6751,0.471241,0.517622,0.291796,0.426886333
XP_015665513.2,107282257,izumo sperm-egg fusion protein 4,crovir-protein-6790,0,0,0,0
XP_015665514.1,107282258,AP-3 complex subunit delta-1,crovir-protein-6783,11.6261,19.208,21.3001,17.37806667
XP_015665515.1,107282247,bcl-2-associated transcription factor 1 isoform X3,crovir-protein-9190,7.68733,11.9483,13.3723,11.00264333
XP_015665516.1,107282259,pleckstrin homology domain-containing family J member 1,crovir-protein-6786,44.2193,52.6961,56.1162,51.01053333
XP_015665520.1,107282261,LOW QUALITY PROTEIN: ornithine decarboxylase antizyme 1,crovir-protein-6787,483.906,346.481,341.694,390.6936667
XP_015665521.1,107282262,unconventional myosin-If,crovir-protein-6785,4.35359,0.581856,0.471087,1.802177667
XP_015665526.1,107282266,mediator of RNA polymerase II transcription subunit 26,crovir-protein-6891,3.0826,2.14114,2.75991,2.661216667
XP_015665527.1,107282267,small integral membrane protein 7,crovir-protein-6896,168.089,105.865,93.6807,122.5449
XP_015665530.2,107282270,proteinase-activated receptor 4,crovir-protein-6897,3.17263,1.72262,1.3411,2.078783333
XP_015665531.1,107282273,phosphatidylinositol 3-kinase regulatory subunit beta,crovir-protein-6854,7.49377,6.62358,5.58993,6.569093333
XP_015665532.1,107282274,microtubule-associated serine/threonine-protein kinase 3,crovir-protein-6853,2.76853,2.36456,2.89099,2.674693333
XP_015665534.1,107282275,60S ribosomal protein L36,crovir-protein-6850,1300.9,716.612,717.098,911.5366667
XP_015665535.1,107282276,NADH dehydrogenase,crovir-protein-6843,177.358,166.232,178.533,174.041
XP_015665536.1,107282277,HAUS augmin-like complex subunit 8,crovir-protein-6816,11.0226,3.46422,5.63067,6.70583
XP_015665537.1,107282278,mpv17-like protein 2,crovir-protein-6818,10.0426,9.44475,15.4571,11.64815
XP_015665538.2,107282279,transcription factor jun-D,crovir-protein-6797,77.1772,17.6719,22.7355,39.19486667
XP_015665539.1,107282280,U6 snRNA-associated Sm-like protein LSm4,crovir-protein-6801,61.0948,38.8675,37.8465,45.93626667
XP_015665541.1,107282283,leucine-rich repeat-containing protein 25,crovir-protein-6798,7.98709,0.515317,0.452523,2.984976667
XP_015665542.1,107282284,single-stranded DNA-binding protein 4,crovir-protein-6804,0.833863,0.873457,0.775267,0.827529
XP_015665543.1,107282285,inositol-3-phosphate synthase 1,crovir-protein-6799,2.75984,1.47426,1.49671,1.91027
XP_015665544.1,107282286,"39S ribosomal protein L34, mitochondrial",crovir-protein-6824,22.6104,10.1143,11.3543,14.693
XP_015665545.1,107282287,myosin-11,crovir-protein-6819,2.97229,1.27726,1.35929,1.869613333
XP_015665548.1,107282290,phospholipid phosphatase-related protein type 3,crovir-protein-6828,0.31894,0,0,0.106313333
XP_015665549.1,107282291,complement factor D,crovir-protein-6830,14.3903,14.2953,12.3058,13.6638
XP_015665550.1,107282288,serine-rich coiled-coil domain-containing protein 1,crovir-protein-4345,6.36678,6.49904,8.89479,7.253536667
XP_015665551.1,107282292,mediator of RNA polymerase II transcription subunit 16,crovir-protein-6829,2.61708,1.28513,1.87908,1.927096667
XP_015665552.2,107282293,fibroblast growth factor 22,crovir-protein-6806,2.45294,3.19033,1.46392,2.369063333
XP_015665553.2,107282294,thromboxane A2 receptor,crovir-protein-6874,1.20427,0.0422093,0.0935732,0.446684167
XP_015665554.1,107282295,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related,crovir-protein-6876,1.39894,4.37891,3.77686,3.184903333
XP_015665555.1,107282296,uncharacterized protein C19orf71 homolog,crovir-protein-6872,0.583372,0.246755,0.273134,0.367753667
XP_015665556.1,107282297,Krueppel-like factor 16,crovir-protein-6772,2.47883,4.34568,4.36697,3.730493333
XP_015665557.1,107282298,RNA-binding protein MEX3D,crovir-protein-6764,3.94499,1.70729,2.52254,2.72494
XP_015665558.2,107282300,nuclear receptor ROR-beta-like,crovir-protein-6766,0,0.0755342,0.083865,0.053133067
XP_015665559.1,107282301,secretory carrier-associated membrane protein 4,crovir-protein-6754,45.8769,61.6419,71.6783,59.73236667
XP_015665560.1,107282302,BTB/POZ domain-containing protein 2,crovir-protein-6750,6.18103,5.56172,5.21336,5.652036667
XP_015665561.1,107282299,ileal sodium/bile acid cotransporter,crovir-protein-3327,0,0,0,0
XP_015665571.1,107282310,LOW QUALITY PROTEIN: DNA repair protein complementing XP-G cells,crovir-protein-3325,1.34872,1.92096,2.0385,1.769393333
XP_015665592.1,107282335,semaphorin-6A-like,crovir-protein-16869,0,1.98766,3.46396,1.817206667
XP_015665610.1,107282350,serine/threonine-protein kinase 24,crovir-protein-3319,5.7232,8.59894,8.10127,7.47447
XP_015665619.1,107282364,epididymal sperm-binding protein 1-like,crovir-protein-2756,0,0,0,0
XP_015665620.2,107282365,natterin-3-like,crovir-protein-2757,0,0,0,0
XP_015665621.1,107282362,solute carrier family 15 member 1,crovir-protein-3320,18.4737,142.92,184.478,115.2905667
XP_015665622.1,107282366,natterin-3-like,crovir-protein-2758,0.595215,1.84037,2.37605,1.603878333
XP_015665627.1,107282371,putative uncharacterized protein C19orf81 homolog,crovir-protein-2720,0.469614,0,0,0.156538
XP_015665629.1,107282374,"myosin-binding protein C, fast-type",crovir-protein-2734,0.441055,0.0153379,0,0.152130967
XP_015665631.1,107282376,protein lin-7 homolog B,crovir-protein-2704,0.324703,1.46463,1.10812,0.965817667
XP_015665632.1,107282373,dedicator of cytokinesis protein 9,crovir-protein-3321,2.54508,6.99309,7.40462,5.647596667
XP_015665633.1,107282377,lutropin subunit beta,crovir-protein-2709,0,0,0,0
XP_015665635.1,107282379,proline-rich protein 12,crovir-protein-2703,1.1402,1.5077,1.59785,1.41525
XP_015665636.1,107282380,F-box only protein 47,crovir-protein-2699,0,0.0528815,0.0780955,0.043659
XP_015665637.1,107282381,parathyroid hormone/parathyroid hormone-related peptide receptor-like,crovir-protein-2687,0,0.345117,0.208821,0.184646
XP_015665639.1,107282383,cytosolic phospholipase A2 gamma,crovir-protein-2741,10.7893,22.8452,27.254,20.29616667
XP_015665642.1,107282386,platelet basic protein,crovir-protein-2753,18.4766,2.99438,7.97234,9.81444
XP_015665646.1,107282388,NEDD8-conjugating enzyme Ubc12,crovir-protein-2751,20.9531,20.3289,22.4841,21.25536667
XP_015665647.1,107282389,transcription intermediary factor 1-beta,crovir-protein-2744,15.0756,14.8728,15.9526,15.30033333
XP_015665651.1,107282392,very long-chain acyl-CoA synthetase,crovir-protein-2749,1.59235,2.26937,1.94678,1.936166667
XP_015665652.1,107282394,E3 ubiquitin-protein ligase TRIM7-like,crovir-protein-2746,3.86596,1.36517,1.72206,2.31773
XP_015665653.1,107282395,THAP domain-containing protein 7,crovir-protein-2731,6.56628,7.69904,8.76087,7.675396667
XP_015665654.1,107282396,RNA binding protein fox-1 homolog 1-like,crovir-protein-2732,1.19408,0.0950013,0.07005,0.453043767
XP_015665656.1,107282393,tripartite motif-containing protein 16-like protein,crovir-protein-14131,2.53243,2.55897,3.15073,2.747376667
XP_015665657.1,107282397,josephin-2,crovir-protein-2729,8.5407,7.95433,9.53781,8.677613333
XP_015665659.1,107282399,C-type lectin domain family 11 member A,crovir-protein-2726,2.36332,0.838362,0.494218,1.231966667
XP_015665662.1,107282401,DNA polymerase delta catalytic subunit,crovir-protein-2736,8.83137,9.42355,10.1544,9.469773333
XP_015665663.1,107282402,oxysterols receptor LXR-beta,crovir-protein-5260,11.4824,14.9033,16.4301,14.27193333
XP_015665664.1,107282404,ruvB-like 2,crovir-protein-2740,17.1374,11.7049,12.5801,13.80746667
XP_015665665.1,107282405,transient receptor potential cation channel subfamily M member 4,crovir-protein-2737,5.13528,5.5237,5.81279,5.49059
XP_015665666.1,107282406,sarcoplasmic reticulum histidine-rich calcium-binding protein,crovir-protein-2738,0.743256,1.03711,1.41947,1.066612
XP_015665667.1,107282403,meteorin-like protein,crovir-protein-14132,99.9185,116.616,141.259,119.2645
XP_015665668.1,107282407,LOW QUALITY PROTEIN: liprin-alpha-3,crovir-protein-2735,5.33734,4.66733,4.42816,4.810943333
XP_015665673.1,107282411,mediator of RNA polymerase II transcription subunit 25,crovir-protein-2705,9.27386,6.86755,7.19717,7.779526667
XP_015665674.1,107282412,protein fuzzy homolog,crovir-protein-2710,0.214327,2.50952,2.47242,1.732089
XP_015665676.1,107282414,AP-2 complex subunit alpha-1 isoform X2,crovir-protein-2713,24.5849,18.1401,19.5161,20.74703333
XP_015665678.1,107282415,reticulocalbin-1 isoform X2,crovir-protein-2718,1704.21,1540.26,1791.85,1678.773333
XP_015665680.1,107282416,nitric oxide synthase-interacting protein,crovir-protein-2712,54.745,78.591,81.8582,71.7314
XP_015665681.1,107282417,transmembrane gamma-carboxyglutamic acid protein 2,crovir-protein-2702,23.0299,31.0967,38.742,30.9562
XP_015665683.1,107282419,interferon regulatory factor 3,crovir-protein-2698,2.13348,0.312248,0.726212,1.057313333
XP_015665686.1,107282422,ATP-dependent RNA helicase DDX42,crovir-protein-2684,6.65714,11.8311,11.8342,10.10748
XP_015665690.1,107282423,zinc finger protein 750,crovir-protein-14133,13.171,23.0353,25.5037,20.57
XP_015665691.1,107282426,zinc finger and BTB domain-containing protein 45,crovir-protein-2745,1.19321,2.18893,2.06827,1.816803333
