Orthogroup	N_naja.pep	P_troglodytes.pep
OG0000002	Nana39702-RA, Nana24133-RA, Nana24135-RA, Nana24143-RA, Nana24132-RA, Nana24136-RD, Nana24137-RA, Nana24145-RA, Nana24144-RA, Nana38721-RA, Nana38722-RA, Nana38264-RA, Nana39072-RA, Nana24128-RA, Nana24149-RA	ENSPTRG00000052778.1
OG0000002	Nana24150-RA	ENSPTRG00000050534.1, ENSPTRG00000050506.1, ENSPTRG00000045804.1, ENSPTRG00000051498.1, ENSPTRG00000045574.1, ENSPTRG00000042773.1, ENSPTRG00000051095.1, ENSPTRG00000042561.2, ENSPTRG00000049279.1, ENSPTRG00000046634.1, ENSPTRG00000046669.1, ENSPTRG00000051561.1, ENSPTRG00000051773.1, ENSPTRG00000050166.1, ENSPTRG00000044091.1, ENSPTRG00000046896.1
OG0000004	Nana34665-RF	ENSPTRG00000050490.1, ENSPTRG00000043867.1, ENSPTRG00000043221.1
OG0000004	Nana35137-RB	ENSPTRG00000043278.1, ENSPTRG00000050377.1, ENSPTRG00000044044.1, ENSPTRG00000044777.1, ENSPTRG00000052793.1, ENSPTRG00000048808.1, ENSPTRG00000051891.1, ENSPTRG00000051783.1, ENSPTRG00000052542.1, ENSPTRG00000050807.1, ENSPTRG00000043596.1, ENSPTRG00000046832.1, ENSPTRG00000049990.1
OG0000004	Nana35137-RC, Nana39422-RA	ENSPTRG00000050549.1, ENSPTRG00000046529.1
OG0000006	Nana07874-RA	ENSPTRG00000023216.4, ENSPTRG00000052677.1, ENSPTRG00000048805.1, ENSPTRG00000010522.6, ENSPTRG00000050902.1
OG0000006	Nana07050-RA	ENSPTRG00000010249.6
OG0000006	Nana07308-RA	ENSPTRG00000010599.6, ENSPTRG00000050695.1, ENSPTRG00000030267.3, ENSPTRG00000045846.1, ENSPTRG00000017606.5, ENSPTRG00000017609.5, ENSPTRG00000008322.3, ENSPTRG00000047228.1, ENSPTRG00000047693.1, ENSPTRG00000042406.2, ENSPTRG00000020717.6
OG0000008	Nana29034-RA	ENSPTRG00000045799.1, ENSPTRG00000004369.4
OG0000008	Nana10428-RA	ENSPTRG00000046303.1, ENSPTRG00000043682.1, ENSPTRG00000047640.1, ENSPTRG00000049137.1, ENSPTRG00000045582.1, ENSPTRG00000043908.1, ENSPTRG00000029801.2, ENSPTRG00000042706.1, ENSPTRG00000044259.1, ENSPTRG00000044636.1, ENSPTRG00000045889.1, ENSPTRG00000044548.1, ENSPTRG00000017789.3
OG0000009	Nana23397-RA	ENSPTRG00000029785.4
OG0000010	Nana24069-RA	ENSPTRG00000047237.1, ENSPTRG00000046524.1
OG0000010	Nana24046-RA	ENSPTRG00000051195.1
OG0000014	Nana30712-RB, Nana09496-RA	ENSPTRG00000043737.1
OG0000014	Nana27150-RA	ENSPTRG00000044724.1
OG0000014	Nana10429-RA	ENSPTRG00000046297.1, ENSPTRG00000049252.1, ENSPTRG00000047137.1, ENSPTRG00000052362.1, ENSPTRG00000048013.1, ENSPTRG00000043155.1, ENSPTRG00000017824.3, ENSPTRG00000042751.1, ENSPTRG00000044316.1, ENSPTRG00000045132.1, ENSPTRG00000052301.1
OG0000014	Nana09496-RB	ENSPTRG00000002045.6
