Orthogroup	M_musculus.pep	C_familiaris.pep
OG0000003	ENSMUSG00000076598.3, ENSMUSG00000094117.1, ENSMUSG00000095682.1, ENSMUSG00000095351.2, ENSMUSG00000095338.1, ENSMUSG00000095335.2, ENSMUSG00000076596.3, ENSMUSG00000094478.1, ENSMUSG00000096715.2	ENSCAFG00000031795.2
OG0000003	ENSMUSG00000076564.2, ENSMUSG00000076570.6, ENSMUSG00000076534.6, ENSMUSG00000096422.2, ENSMUSG00000095007.1, ENSMUSG00000076526.6, ENSMUSG00000076538.1, ENSMUSG00000079543.3	ENSCAFG00000047288.1
OG0000003	ENSMUSG00000076572.6	ENSCAFG00000023369.2
OG0000003	ENSMUSG00000094797.1, ENSMUSG00000076594.2, ENSMUSG00000095630.2, ENSMUSG00000096844.1, ENSMUSG00000095794.2, ENSMUSG00000094930.2, ENSMUSG00000076578.3, ENSMUSG00000076587.3, ENSMUSG00000076576.2, ENSMUSG00000076583.1, ENSMUSG00000076580.3, ENSMUSG00000104769.1, ENSMUSG00000076586.2, ENSMUSG00000076581.1, ENSMUSG00000076589.2, ENSMUSG00000094356.2, ENSMUSG00000096594.2, ENSMUSG00000076577.2, ENSMUSG00000076575.6	ENSCAFG00000007370.4, ENSCAFG00000007366.4
OG0000004	ENSMUSG00000076934.2, ENSMUSG00000076940.3	ENSCAFG00000043966.1, ENSCAFG00000044654.1, ENSCAFG00000044541.1, ENSCAFG00000043204.1, ENSCAFG00000041046.1, ENSCAFG00000049192.1, ENSCAFG00000044139.1, ENSCAFG00000029243.2, ENSCAFG00000042203.1, ENSCAFG00000049779.1, ENSCAFG00000049435.1, ENSCAFG00000043457.1, ENSCAFG00000029746.2, ENSCAFG00000043751.1, ENSCAFG00000023920.3, ENSCAFG00000047806.1, ENSCAFG00000049328.1, ENSCAFG00000046023.1
OG0000004	ENSMUSG00000059280.4, ENSMUSG00000059305.12	ENSCAFG00000024382.3
OG0000006	ENSMUSG00000050844.5, ENSMUSG00000063535.7	ENSCAFG00000030603.2
OG0000006	ENSMUSG00000067942.6	ENSCAFG00000030568.2
OG0000006	ENSMUSG00000102030.1, ENSMUSG00000101303.1, ENSMUSG00000100305.1, ENSMUSG00000100617.1, ENSMUSG00000101415.1, ENSMUSG00000100265.1	ENSCAFG00000029058.2
OG0000006	ENSMUSG00000050855.16	ENSCAFG00000045193.1
OG0000006	ENSMUSG00000055228.8	ENSCAFG00000043244.1, ENSCAFG00000049832.1
OG0000006	ENSMUSG00000063364.10	ENSCAFG00000032123.2
OG0000006	ENSMUSG00000074472.10	ENSCAFG00000031471.2
OG0000006	ENSMUSG00000052446.17	ENSCAFG00000029454.2
OG0000006	ENSMUSG00000096718.2, ENSMUSG00000094622.2	ENSCAFG00000041809.1, ENSCAFG00000031469.2
OG0000006	ENSMUSG00000071302.10, ENSMUSG00000069208.9	ENSCAFG00000029649.2
OG0000006	ENSMUSG00000002266.17	ENSCAFG00000002441.4
OG0000006	ENSMUSG00000044807.13	ENSCAFG00000030461.2
OG0000006	ENSMUSG00000020335.13	ENSCAFG00000031000.3, ENSCAFG00000029114.3
OG0000006	ENSMUSG00000031374.13	ENSCAFG00000029984.2
OG0000006	ENSMUSG00000072623.6	ENSCAFG00000010392.4, ENSCAFG00000023499.4, ENSCAFG00000043983.1, ENSCAFG00000029179.2
OG0000006	ENSMUSG00000033669.8, ENSMUSG00000116024.1	ENSCAFG00000049102.1
OG0000008	ENSMUSG00000060032.6	ENSCAFG00000012984.1
OG0000008	ENSMUSG00000063689.4	ENSCAFG00000046411.1
OG0000008	ENSMUSG00000049932.3	ENSCAFG00000012332.2
OG0000008	ENSMUSG00000064220.6, ENSMUSG00000063954.7	ENSCAFG00000043458.1
