ens_gene,Pm_geneid,Pm_geneid2,slg_1,slg_2,smg_1,smg_2,pg_1,pg_2,
ENSMUSG00000024084,NP_001310179.1,107287935,1.845351,1.014626,1.695291,1.802998,0.704766,0.143657,slg=sublingul
ENSMUSG00000078958,XP_015665399.1,107303336,0,0,0,0,0,0,smg=submaxilary
ENSMUSG00000019732,XP_015665401.1,107282162,0.715571,0.64222,0.254234,0.519681,0.511294,0.194467,pg=parotid
ENSMUSG00000048148,XP_015665402.1,107282163,0.0692075,0.0135991,0.0205037,0.00836907,0.0117545,0,
ENSMUSG00000047414,XP_015665403.1,107282160,0.23956,0.0630111,0.290892,0.152673,0.0423078,0.0332184,
ENSMUSG00000069633,XP_015665405.1,107282165,9.77322,11.66312,7.943617,12.94006,11.2305,10.32717,
ENSMUSG00000054723,XP_015665406.2,107282166,9.633023,8.377511,4.13027,4.218043,2.7154,2.892474,
ENSMUSG00000034863,XP_015665409.1,107282169,0.0114885,0.00659969,0.0188231,0.0509049,0.0123441,0.0331705,
ENSMUSG00000007610,XP_015665410.1,107282170,0.9994792,0.6747531,0.39435,0.307984,0.2983819,0.239828,
ENSMUSG00000035863,XP_015665412.1,107282173,0.6835427,0.3460969,0.4463478,0.4141706,0.1993103,0.1256418,
ENSMUSG00000048967,XP_015665415.1,107282176,0,0.274955,0,0.4788938,0,0.0884224,
ENSMUSG00000034872,XP_015665417.1,107282179,0,0,0,0.0132334,0,0,
ENSMUSG00000034854,XP_015665418.1,107282180,0.415457,0.288973,0.315439,0.510726,0.180829,0.27338,
ENSMUSG00000034799,XP_015665419.1,107282181,0.112272,0.0678218,0.149075,0.147577,0.013607,0.00406543,
ENSMUSG00000019996,XP_015665420.1,107282178,4.393591,2.4497299,3.930522,6.8248038,0.99521,1.3063334,
ENSMUSG00000055053,XP_015665421.1,107282182,13.285017,9.677354811,3.497933,13.407718,3.98169012,3.2622759,
ENSMUSG00000003341,XP_015665422.1,107282183,0,0,0,0,0,0,
ENSMUSG00000045518,XP_015665423.1,107282184,0.0305173,0.0339841,0.0361002,0.0192143,0.0287846,0,
ENSMUSG00000020167,XP_015665424.1,107282185,0.589291,0.3462575,0.517897,0.507552062,0.221625543,0.1356263,
ENSMUSG00000035262,XP_015665426.1,107282187,0,0,0,0,0,0,
ENSMUSG00000024299,XP_015665427.1,107282188,0.7666741,0.4706607,1.4507866,1.3592147,0.326212,0.3688479,
ENSMUSG00000026117,XP_015665428.1,107282189,0.0219752,0.1360562,0.1962143,0.1164556,0,0,
ENSMUSG00000021613,XP_015665434.1,107282195,0.0243138,0.00565891,0.0134784,0,0,0,
ENSMUSG00000021615,XP_015665435.1,107282196,3.122596,3.552115,1.388295,3.503662,0.8513779,0.4813009,
ENSMUSG00000012422,XP_015665436.1,107282197,7.965334,12.01714,4.210362,7.04502,4.06169,3.394505,
ENSMUSG00000025474,XP_015665447.1,107282204,2.704369,3.1302126,1.080687,1.960222,1.256823,0.9358704,
ENSMUSG00000025198,XP_015665448.2,107282205,3.66278283,3.4603181,1.424105446,1.5305521,0.350267102,0.334381,
ENSMUSG00000025200,XP_015665449.1,107282206,3.5257266,3.6953887,1.827497,2.8006418,1.759277,1.2543631,
ENSMUSG00000003033,XP_015665450.1,107282208,6.29711,6.8028201,2.921726,5.4396994,3.216023,3.172585,
ENSMUSG00000003037,XP_015665451.1,107282209,13.7572,23.07373,4.46972,12.79038,7.5607,7.94383,
ENSMUSG00000003039,XP_015665452.1,107282210,16.8227722,22.382736,6.46468,14.121332,8.1918183,5.11923,
ENSMUSG00000006276,XP_015665459.1,107282213,4.035671,4.807968,2.697182,3.806021,1.3978432,1.477653,
ENSMUSG00000052488,XP_015665461.1,107282215,2.2360297,2.3839207,1.729814,1.690919,1.314974,0.7107523,
ENSMUSG00000019731,XP_015665462.1,107282217,4.84224,4.53607,2.15224,2.56243,0.713942,0.91336,
ENSMUSG00000031791,XP_015665463.1,107282218,4.92058,8.911157,4.487303,4.166821,3.88083,4.297197,
ENSMUSG00000110777,XP_015665464.1,107282219,16.32818,16.48864,27.8182,21.7786,13.88984,11.6639,
ENSMUSG00000002395,XP_015665469.1,107282223,69.352629,61.435883,36.344939,49.101881,32.0917737,27.381613,
ENSMUSG00000005357,XP_015665471.1,107282225,0.0245954,0,0,0,0,0,
ENSMUSG00000002372,XP_015665475.1,107282228,7.1302206,7.3715499,1.86808119,3.4086618,2.353166,2.037326,
ENSMUSG00000056204,XP_015665479.1,107282231,6.187677,8.115128,8.820707,10.050839,7.06056,6.925741,
ENSMUSG00000070002,XP_015665480.1,107282232,3.4495,3.69276,1.94176,2.86273,1.55875,1.88736,
ENSMUSG00000074247,XP_015665481.1,107282233,4.287213,3.062269,2.528831,3.043153001,0.964955,0.8757479,
ENSMUSG00000034845,XP_015665482.1,107282234,0.62948,0.228006,0.874149,0.665551,0.358233,0.362914,
ENSMUSG00000006498,XP_015665487.1,107282239,20.769616,20.395121,9.794568,16.807599,6.588397,6.778861,
ENSMUSG00000071369,XP_015665489.1,107282238,2.5323828,1.729931,2.070619,1.9546356,0.413872,0.611048,
ENSMUSG00000035781,XP_015665490.1,107282240,20.4454352,17.646916,5.530234,13.1468609,5.4774477,4.7197685,
ENSMUSG00000035890,XP_015665492.1,107282242,0.860775,0.261036,0.369652,0.36778,0.0353731,0.185499,
ENSMUSG00000004665,XP_015665495.1,107282244,7.92352,4.485398,1.4479,3.87465,1.66087,1.13135,
ENSMUSG00000034889,XP_015665496.1,107282245,0.909826,0.322831,0.502655,0.349789,0.135651,0.121406,
ENSMUSG00000020235,XP_015665497.1,107282246,1.2266471,1.3915789,1.2050504,2.21607,0.701397,0.80166,
ENSMUSG00000003346,XP_015665504.1,107282250,4.4942,2.64816,3.77895,4.345341,1.758373,1.7769361,
ENSMUSG00000003345,XP_015665509.1,107282254,5.2496243,2.829771,1.848546,4.414972,1.7063733,2.4024263,
ENSMUSG00000020190,XP_015665510.1,107282255,15.692775,13.16335,3.789199,13.914328,2.916791,3.011168,
ENSMUSG00000055862,XP_015665513.2,107282257,26.532817,32.830749,4.559451,5.926441,5.81559,5.65418,
ENSMUSG00000020198,XP_015665514.1,107282258,6.189715,5.4878014,3.921601,5.0985868,2.491962,2.8415209,
ENSMUSG00000035278,XP_015665516.1,107282259,20.654631,20.284578,4.2469609,8.541109,4.895343,4.935793,
ENSMUSG00000035242,XP_015665520.1,107282261,738.549898,844.712216,425.52558,690.97645,363.278858,349.648447,
ENSMUSG00000024300,XP_015665521.1,107282262,0.916654,0.343068,0.470935,0.752215176,0.213108093,0.4918387,
ENSMUSG00000045248,XP_015665526.1,107282266,0.753399,0.356948,0.425357,0.565939,0.274392,0.177415,
ENSMUSG00000044600,XP_015665527.1,107282267,30.34485,42.66436,20.59166,29.799066,17.103027,13.73443,
ENSMUSG00000050147,XP_015665530.2,107282270,0.138529,0,0.0479676,0,0,0,
ENSMUSG00000042333,XP_015665533.1,107282271,20.7331,17.84455,35.4981,27.1527,23.854949,17.5945,
ENSMUSG00000057863,XP_015665534.1,107282275,2201.54,1387.4,1337.07,1407.49,1167.92,1273.2,
ENSMUSG00000002379,XP_015665535.1,107282276,161.952079,169.145539,160.561374,269.43597,94.33953,96.8711932,
ENSMUSG00000035439,XP_015665536.1,107282277,5.346,8.463153,2.257082,1.746534,0.7106444,0.476583,
ENSMUSG00000070003,XP_015665542.1,107282284,2.65319,1.1478431,0.671364,0.564602397,1.592007,0.6735947,
ENSMUSG00000019139,XP_015665543.1,107282285,4.265936,4.112033,2.125828,5.094526,2.751768,2.600291,
ENSMUSG00000034880,XP_015665544.1,107282286,60.733,60.145,24.0203,48.3978,22.7346,16.6714,
ENSMUSG00000035835,XP_015665548.1,107282290,0.1759222,0.1225985,0.1856517,0.1492438,0.0788362,0.0431087,
ENSMUSG00000061780,XP_015665549.1,107282291,37.2698,11.30036,108.2432,122.2133,235.538,0.757704,
ENSMUSG00000039578,XP_015665550.1,107282288,2.4385639,1.5813484,1.87184166,1.1183659,1.0554512,1.6240849,
ENSMUSG00000013833,XP_015665551.1,107282292,1.813871305,0.831282,0.667723,1.361016,0.452001,0.324726,
ENSMUSG00000034881,XP_015665553.2,107282294,0,0,0,0.0845001,0,0,
ENSMUSG00000020232,XP_015665554.1,107282295,3.9440716,2.2992856,1.2676212,2.800025,0.826361509,1.0316921,
ENSMUSG00000020234,XP_015665555.1,107282296,0,0,0,0.0452587,0,0,
ENSMUSG00000048696,XP_015665557.1,107282298,0.546919,0.1907705,0.1285463,0.4195721,0.1845324,0.0987416,
ENSMUSG00000113949,XP_015665559.1,107282301,32.544374,57.221606,7.84588,23.434417,12.648917,9.477128,
