Pm_gene_id,Nn_target_id,description,class,Pm_1,Pm_10,Pm_11,Pm_12,Pm_13,Pm_14,Pm_15,Pm_16,Pm_17,Pm_18,Pm_19,Pm_2,Pm_20,Pm_21,Pm_22,Pm_23,Pm_24,Pm_25,Pm_26,Pm_27,Pm_28,Pm_29,Pm_3,Pm_30,Pm_4,Pm_5,Pm_6,Pm_7,Pm_8,Pm_9,Pm_1_heart,Pm_10_heart,Pm_3_heart,Pm_5_heart,Pm_8_heart,Pm_1_kidney,Pm_10_kidney,Pm_3_kidney,Pm_5_kidney,Pm_8_kidney,Pm_1_liver,Pm_10_liver,Pm_3_liver,Pm_5_liver,Pm_8_liver,sg_1,sg_2,sg_3,sg_4,hrt_1,hr2_2,kidn_1,kidn_2,kidn_3,livr_1,livr_2,livr_3,Naja_vg_1,Naja_vg_2,Naja_vg_3,Naja_vg_4,Naja_vg_5,Naja_vg_6,Naja_liv_1,Naja_liv_2,Naja_kid_1,Naja_kid_2,Naja_pan_1,Naja_pan_2,Naja_sg_1
107282158,Nana05060,exonuclease 3'-5' domain containing 1,NA,38,135,178,70,18,52,21,76,90,45,166,45,118,35,89,74,26,17,107,62,63,149,99,54,58,55,89,20,52,21,16,36,50,11,22,39,45,126,34,31,41,35,23,12,32,0,0,0,0,0.21,0.12,0.1,0.1,0.13,0,0.28,0.25,1.47792,0.531968,4.12561,2.4379,4.25939,2.47721,3.62174,1.08236,1.96016,7.57851,2.06523,1.28203,7.16698
107282159,Nana05063,delta-like 4 (Drosophila),NA,2,14,10,3,3,5,1,6,5,5,16,5,8,8,3,6,1,4,11,6,2,15,24,7,5,9,4,0,9,1,40,9,12,7,14,48,41,17,17,28,16,5,7,6,23,0.29,0.33,0.5,0.36,3.49,3.35,6.38,6.47,6.25,18.13,16.67,18.5,1.30116,1.35419,3.72084,2.20302,1.7348,1.64466,7.50891,1.99166,3.96514,4.51033,2.7964,0.41546,9.3745
107282160,Nana05464,fibronectin leucine rich transmembrane protein 2,NA,401.01,1107,1511.25,192,291,380,119,85,593.04,92,571.1,509,489,205,235,191,208,97,646,358.02,116,639.03,2290.75,765.04,715.01,312.01,559.22,147,913,251.03,40,307,74,284,111,348,385,558,257,237,18,16,4,7,12,0,0,0,0.08,2.07,2.04,7.35,7.21,7.58,0.83,0.53,0.65,1.78162,0.278564,2.12866,4.80044,19.3185,0.891976,0.452935,0.39727,17.2049,13.2911,0.317857,0.0520485,9.78483
107282161,Nana05997,cytochrome P450 2H2,NA,29,328,377,157.57,46.45,69,37,64.99,172,42,254,71.99,209,106,75.42,50,17,36.33,422,68,55,300,263.58,517.04,80.03,90,108.99,33.58,194,37.43,62,119,101,294,170,36,72.58,101.99,283,84,817,1233.91,327.92,933.2,653.6,0.45,0.44,0.18,0.8,22.8,15.32,41.67,41.05,37.01,46.63,45.67,39.44,0.222854,1.74262,1.0678,0.374157,0.516132,14.797,1.09963,0.194977,6.97163,1.30424,1.43968,0.0581732,63.9794
107282162,Nana06008,calreticulin 3,NA,0,2,2,0,1,1,0,1,3,1,7,6,3,2,0,0,0,0,3,1,0,3,2,2,6,5,3,0,2,0,0,5,4,0,0,1,5,6,2,1,0,1,2,1,4,0.49,0.37,0.89,0.77,3.54,3.89,3.33,4.32,4.79,6.62,8.73,6.61,0.0487043,0,0,0,0.0195139,0,0.150488,0.114394,0.328172,0.0463715,0.0403796,0,0.0368147
107282165,Nana06040,peroxisomal biogenesis factor 11 gamma,NA,169,251,348,154,97,174,89,204,202,80,145,271,234,113,172,160,125,87,375,153,184,365,288,277,180,231,225,73,198,156,68,105,99,96,88,279,210,320,250,224,131,240,143,136,297,0.5,0.68,0.66,0.71,1.37,1.32,6.4,6.84,7.7,3.5,3.84,3.54,4.71779,3.18468,8.05859,6.41496,7.84004,6.26163,10.7617,6.48864,10.3118,10.3704,7.58655,3.36148,10.1957
107282166,Nana06055,vimentin-type intermediate filament associated coiled-coil protein,NA,5,6,5,5,3,1,0,1,4,3,2,3,3,4,1,1,0,4,3,0,3,5,23,0,1,0,2,4,6,0,0,1,0,1,0,1,6,0,2,0,0,1,1,4,0,3.9,3.23,5.59,5.05,25.42,20.14,58.11,58.92,55.51,52.1,55.56,49.79,1.69713,0.84132,3.358,2.06703,3.54086,288.066,8.12882,2.9296,127.191,97.5178,9.67052,4.68972,47.1857
107282167,Nana06058,zinc finger protein 414,NA,114,127,199,109,79,104,58,75,119,74,126,143,79,96,46,84,88,55,187,52,66,96,207,144,208,176,98,48,123,117,137,87,98,132,132,233,81,130,179,123,106,51,39,61,124,0.61,0.95,0.94,0.63,18.32,14.96,21.21,22.53,22.9,12.2,11.71,11.93,3.76197,2.58892,6.1823,5.01688,8.02624,1.61192,7.4102,5.26842,14.8288,14.5599,6.69017,2.60469,11.8152
107282168,Nana06067,phosphodiesterase 4C,NA,10,20,16,6,10,18,7,13,6,13,27,6,14,7,4,12,3,14,8,4,5,14,10,20,46,19,24,2,40,5,15,8,17,19,53,19,9,2,3,10,0,0,0,0,0,0.64,0.73,0.57,0.54,4.19,3.58,5.07,5.35,5.37,2.95,2.49,3.48,3.38516,2.60409,5.25581,5.32196,5.95006,2.12579,0.0759979,0.0962835,0.867524,3.80933,2.1525,0.735853,4.91648
107282170,Nana06091,GTP binding protein 3 (mitochondrial),NA,1,1,2,0,1,2,3,3,5,1,6,6,3,1,3,3,0,2,1,5,1,7,3,3,2,2,5,5,6,3,2,0,0,0,0,3,2,2,0,0,0,0,0,0,1,9.87,8.2,10.05,8.02,359.54,323.43,262.9,264.44,262.39,72.37,69.65,75.29,1.38957,0.825132,2.20988,1.53689,1.82903,1.40383,2.7255,3.24228,3.06594,3.40319,1.17593,0.549929,3.14477
