P_Mucros.pep,E_macularius_gene_v1.0.pep
XP_029141570.1,CCG018009.1
XP_029140395.1,CCG008685.1
XP_029139482.1,CCG000747.1
XP_015668983.1,CCG003808.1
XP_015669877.1,CCG001678.1
XP_029141330.1,CCG009246.1
XP_015673239.1,CCG019275.1
XP_015677985.1,CCG024551.1
XP_015677984.1,CCG024550.1
XP_015684099.2,CCG008520.1
XP_015680187.1,CCG010227.1
XP_015680186.1,CCG010228.1
XP_015677303.2,CCG022981.1
XP_015677304.1,CCG022980.1
XP_015677302.1,CCG022983.1
XP_015671511.1,CCG012629.1
XP_015668974.1,CCG014450.1
XP_029141896.1,CCG020349.1
XP_029139701.1,CCG015987.1
XP_015665593.1,CCG009400.1
XP_015671601.2,CCG021572.1
XP_029140002.1,CCG021573.1
XP_015665570.1,CCG016021.1
XP_015678743.1,CCG005668.1
XP_015673915.1,CCG011340.1
XP_015672237.1,CCG019653.1
XP_029139023.1,CCG022261.1
XP_015675899.1,CCG003494.1
XP_015687186.2,CCG003499.1
XP_015683397.1,CCG003771.1
XP_015682501.1,CCG000195.1
XP_015682714.1,CCG013447.1
XP_015682716.1,CCG000324.1
XP_029142247.1,CCG010018.1
XP_015686532.1,CCG024343.1
XP_029142869.1,CCG020969.1
XP_015678744.1,CCG005667.1
XP_015672561.1,CCG021390.1
XP_015672282.1,CCG023323.1
XP_015677713.1,CCG023285.1
XP_015672567.1,CCG016976.1
XP_015672565.1,CCG016975.1
XP_015670850.1,CCG012485.1
XP_015676339.1,CCG021454.1
XP_015676330.1,CCG021464.1
XP_015673910.1,CCG011317.1
XP_029141610.1,CCG024610.1
XP_015679120.1,CCG011149.1
XP_015688027.1,CCG003090.1
XP_015684007.1,CCG016642.1
XP_015674309.1,CCG004979.1
XP_015679074.1,CCG002887.1
XP_015671065.1,CCG001014.1
XP_015670229.1,CCG020761.1
XP_015672184.1,CCG016415.1
XP_015669363.2,CCG000878.1
XP_015665587.1,CCG017324.1
XP_029142268.1,CCG015192.2
XP_029142850.1,CCG018735.1
XP_015677400.1,CCG020711.1
XP_015677404.1,CCG020719.1
XP_015683489.1,CCG020725.1
XP_015683491.1,CCG020726.3
XP_015678223.1,CCG005791.1
XP_015681155.1,CCG013035.1
XP_015669891.1,CCG008448.1
XP_015677033.1,CCG003618.1
XP_015669757.1,CCG010417.1
XP_015670662.1,CCG007663.1
XP_015682953.1,CCG006332.1
XP_015684708.1,CCG008494.1
XP_015679888.1,CCG010939.1
XP_015687360.1,CCG018242.1
XP_015674238.1,CCG008168.1
XP_029140479.1,CCG008167.1
XP_029142676.1,CCG020657.1
XP_029142465.1,CCG023414.1
XP_029143067.1,CCG021340.1
XP_029140098.1,CCG002983.1
XP_029142495.1,CCG020330.1
XP_015687942.1,CCG022628.1
XP_015687802.1,CCG000812.1
XP_015687767.1,CCG000817.1
XP_015678490.1,CCG020133.1
XP_029139042.1,CCG011596.1
XP_029140096.1,CCG019550.1
XP_015677811.1,CCG004709.1
XP_029142106.1,CCG022076.1
XP_015687930.1,CCG022655.1
XP_029140819.1,CCG015226.1
XP_015676194.1,CCG018272.1
XP_015674555.1,CCG002110.3
XP_015685317.1,CCG017100.1
XP_015685319.1,CCG017101.1
XP_015681722.1,CCG017113.1
XP_015681721.1,CCG017110.1
XP_015686587.1,CCG024473.1
XP_029140000.1,CCG015993.1
XP_015671903.1,CCG012688.1
XP_015684770.2,CCG007187.1
XP_029141432.1,CCG007192.1
XP_029141436.1,CCG007188.1
XP_015680830.1,CCG008101.1
XP_015667791.1,CCG020631.1
XP_015680208.1,CCG003933.1
XP_015678738.1,CCG015242.1
XP_029141067.1,CCG010643.1
XP_029140912.1,CCG005355.2
XP_029139988.1,CCG000589.1
XP_015687512.1,CCG001093.1
XP_029138764.1,CCG002700.1
XP_029139815.1,CCG015597.1
XP_029139244.1,CCG023628.1
XP_029139245.1,CCG023626.1
XP_015666957.1,CCG012910.2
XP_015665943.1,CCG012829.1
XP_015684223.1,CCG016991.2
XP_015684155.1,CCG000318.1
XP_015684165.2,CCG012432.1
XP_029138811.1,CCG001632.1
XP_015672611.1,CCG000568.1
XP_015672544.1,CCG014299.1
XP_015673926.1,CCG016873.1
XP_029141583.1,CCG016702.1
XP_015667116.1,CCG021177.1
XP_029141240.1,CCG024621.1
