Orthogroup	C_familiaris.pep	A_carolinensis.pep
OG0000003	ENSCAFG00000031795.2	ENSACAG00000028914.1, ENSACAG00000029605.1, ENSACAG00000002361.2, ENSACAG00000011105.3, ENSACAG00000029284.1, ENSACAG00000028797.1, ENSACAG00000028470.1, ENSACAG00000029588.1, ENSACAG00000002353.3
OG0000004	ENSCAFG00000043966.1, ENSCAFG00000044654.1, ENSCAFG00000044541.1, ENSCAFG00000043204.1, ENSCAFG00000041046.1, ENSCAFG00000049192.1, ENSCAFG00000044139.1, ENSCAFG00000029243.2, ENSCAFG00000042203.1, ENSCAFG00000049779.1, ENSCAFG00000049435.1, ENSCAFG00000043457.1, ENSCAFG00000029746.2, ENSCAFG00000043751.1, ENSCAFG00000023920.3, ENSCAFG00000047806.1, ENSCAFG00000049328.1, ENSCAFG00000046023.1	ENSACAG00000026467.2
OG0000004	ENSCAFG00000013622.4, ENSCAFG00000029467.2, ENSCAFG00000048817.1, ENSCAFG00000029939.2, ENSCAFG00000048160.1, ENSCAFG00000045973.1, ENSCAFG00000042425.1, ENSCAFG00000031415.2, ENSCAFG00000042155.1, ENSCAFG00000046672.1, ENSCAFG00000029236.2, ENSCAFG00000043016.1, ENSCAFG00000032249.2, ENSCAFG00000047763.1, ENSCAFG00000031637.2, ENSCAFG00000049421.1, ENSCAFG00000041195.1, ENSCAFG00000032078.2, ENSCAFG00000048317.1, ENSCAFG00000049367.1, ENSCAFG00000024720.3	ENSACAG00000002800.3
OG0000004	ENSCAFG00000028850.2, ENSCAFG00000031273.2	ENSACAG00000026036.1
OG0000004	ENSCAFG00000049157.1, ENSCAFG00000043262.1, ENSCAFG00000044750.1, ENSCAFG00000043208.1, ENSCAFG00000048182.1, ENSCAFG00000042030.1, ENSCAFG00000041288.1, ENSCAFG00000042398.1, ENSCAFG00000024382.3	ENSACAG00000028714.1, ENSACAG00000029428.1, ENSACAG00000023703.2, ENSACAG00000025642.1, ENSACAG00000029178.1, ENSACAG00000022774.2
OG0000006	ENSCAFG00000032253.2, ENSCAFG00000028550.2, ENSCAFG00000023300.3, ENSCAFG00000049203.1, ENSCAFG00000041396.1, ENSCAFG00000042267.1, ENSCAFG00000030603.2, ENSCAFG00000002361.5, ENSCAFG00000030568.2, ENSCAFG00000029058.2, ENSCAFG00000048255.1, ENSCAFG00000045193.1, ENSCAFG00000043244.1, ENSCAFG00000049832.1, ENSCAFG00000032123.2, ENSCAFG00000031471.2, ENSCAFG00000029454.2, ENSCAFG00000041809.1, ENSCAFG00000031469.2, ENSCAFG00000029649.2	ENSACAG00000028936.1
OG0000006	ENSCAFG00000029984.2, ENSCAFG00000010392.4, ENSCAFG00000023499.4, ENSCAFG00000043983.1, ENSCAFG00000029179.2	ENSACAG00000012836.3, ENSACAG00000014483.2, ENSACAG00000028531.1, ENSACAG00000010529.2, ENSACAG00000013824.3, ENSACAG00000029188.1
OG0000008	ENSCAFG00000012984.1	ENSACAG00000015302.1
OG0000009	ENSCAFG00000007632.4	ENSACAG00000022740.1, ENSACAG00000023190.1
OG0000009	ENSCAFG00000007996.4, ENSCAFG00000007993.2, ENSCAFG00000041303.1, ENSCAFG00000043344.1	ENSACAG00000022706.1
OG0000009	ENSCAFG00000008017.4	ENSACAG00000007600.2
OG0000009	ENSCAFG00000011043.4	ENSACAG00000000504.2, ENSACAG00000022928.1, ENSACAG00000011333.2, ENSACAG00000011889.2, ENSACAG00000013832.2
OG0000009	ENSCAFG00000008020.3, ENSCAFG00000008025.4	ENSACAG00000020941.2
OG0000010	ENSCAFG00000049029.1, ENSCAFG00000010770.3, ENSCAFG00000044235.1	ENSACAG00000003370.1
OG0000010	ENSCAFG00000030570.1, ENSCAFG00000029200.2, ENSCAFG00000043731.1, ENSCAFG00000044000.1, ENSCAFG00000045051.1, ENSCAFG00000044027.1, ENSCAFG00000031494.1, ENSCAFG00000049795.1, ENSCAFG00000045037.1, ENSCAFG00000042780.1, ENSCAFG00000028672.1	ENSACAG00000026549.1
OG0000013	ENSCAFG00000001273.4, ENSCAFG00000029783.1, ENSCAFG00000031439.1	ENSACAG00000010954.2, ENSACAG00000027007.1, ENSACAG00000024209.1, ENSACAG00000024155.2, ENSACAG00000022589.1, ENSACAG00000010940.2, ENSACAG00000010942.2, ENSACAG00000010938.2, ENSACAG00000022282.1, ENSACAG00000026301.1
OG0000014	ENSCAFG00000016119.5	ENSACAG00000026224.2
OG0000018	ENSCAFG00000031940.2, ENSCAFG00000029110.1, ENSCAFG00000032188.1	ENSACAG00000021103.2
OG0000018	ENSCAFG00000024275.3, ENSCAFG00000029451.2	ENSACAG00000024530.1
OG0000020	ENSCAFG00000044868.1, ENSCAFG00000045759.1, ENSCAFG00000046928.1	ENSACAG00000025737.1
OG0000021	ENSCAFG00000017575.4, ENSCAFG00000030337.3, ENSCAFG00000017522.4, ENSCAFG00000042770.1	ENSACAG00000017332.3, ENSACAG00000017003.3
OG0000021	ENSCAFG00000017460.5	ENSACAG00000017325.2
OG0000021	ENSCAFG00000007782.4	ENSACAG00000007497.3
OG0000021	ENSCAFG00000010154.4	ENSACAG00000006610.3
OG0000021	ENSCAFG00000011619.5	ENSACAG00000029475.1
OG0000023	ENSCAFG00000023739.3, ENSCAFG00000015460.4	ENSACAG00000008699.2
OG0000023	ENSCAFG00000011456.3, ENSCAFG00000029808.2, ENSCAFG00000029148.1, ENSCAFG00000031594.1, ENSCAFG00000030249.1, ENSCAFG00000031974.1, ENSCAFG00000031533.1, ENSCAFG00000041125.1, ENSCAFG00000030533.2, ENSCAFG00000045423.1	ENSACAG00000022276.1, ENSACAG00000010915.2
OG0000023	ENSCAFG00000030818.1, ENSCAFG00000032250.2, ENSCAFG00000025368.3	ENSACAG00000025829.1
OG0000025	ENSCAFG00000000806.4, ENSCAFG00000000814.4, ENSCAFG00000000900.4	ENSACAG00000006391.2
OG0000026	ENSCAFG00000024617.2, ENSCAFG00000043743.1, ENSCAFG00000041019.1, ENSCAFG00000024614.3, ENSCAFG00000006106.4, ENSCAFG00000030815.2	ENSACAG00000025532.1, ENSACAG00000023021.1, ENSACAG00000012471.2, ENSACAG00000023804.1, ENSACAG00000012438.2, ENSACAG00000028091.1, ENSACAG00000027430.1, ENSACAG00000002897.2, ENSACAG00000027639.1, ENSACAG00000026212.1, ENSACAG00000025774.1, ENSACAG00000023654.1, ENSACAG00000027910.1, ENSACAG00000021979.1, ENSACAG00000022891.1
OG0000027	ENSCAFG00000008661.4	ENSACAG00000005101.2
OG0000027	ENSCAFG00000031767.2	ENSACAG00000002559.3
OG0000027	ENSCAFG00000008640.4, ENSCAFG00000015217.3	ENSACAG00000013417.3
OG0000027	ENSCAFG00000005248.4	ENSACAG00000017598.3
OG0000027	ENSCAFG00000010412.4	ENSACAG00000012426.3, ENSACAG00000012411.3
OG0000027	ENSCAFG00000015209.4	ENSACAG00000013342.3, ENSACAG00000028051.2
OG0000028	ENSCAFG00000029582.3, ENSCAFG00000028453.3, ENSCAFG00000042932.1, ENSCAFG00000050021.1, ENSCAFG00000047890.1, ENSCAFG00000030509.2, ENSCAFG00000024425.3	ENSACAG00000027060.2
OG0000029	ENSCAFG00000025322.3	ENSACAG00000007370.3
OG0000029	ENSCAFG00000005908.4	ENSACAG00000011658.3
OG0000031	ENSCAFG00000005065.4	ENSACAG00000002646.2, ENSACAG00000008145.3, ENSACAG00000004881.2
OG0000032	ENSCAFG00000032021.1, ENSCAFG00000030837.1, ENSCAFG00000044095.1, ENSCAFG00000046144.1, ENSCAFG00000024039.3, ENSCAFG00000047097.1, ENSCAFG00000031351.1, ENSCAFG00000031267.2, ENSCAFG00000049606.1, ENSCAFG00000046036.1, ENSCAFG00000006303.3, ENSCAFG00000025348.2, ENSCAFG00000006298.2, ENSCAFG00000041059.1, ENSCAFG00000042969.1, ENSCAFG00000006260.3, ENSCAFG00000048431.1, ENSCAFG00000009495.3, ENSCAFG00000043356.1, ENSCAFG00000045886.1, ENSCAFG00000030040.2, ENSCAFG00000023611.2, ENSCAFG00000044127.1, ENSCAFG00000042110.1, ENSCAFG00000006267.4, ENSCAFG00000029875.1, ENSCAFG00000044831.1, ENSCAFG00000032546.1, ENSCAFG00000046509.1, ENSCAFG00000010795.3, ENSCAFG00000006304.4, ENSCAFG00000049942.1, ENSCAFG00000044223.1	ENSACAG00000002989.2
OG0000034	ENSCAFG00000000443.4, ENSCAFG00000042737.1	ENSACAG00000017201.3
OG0000034	ENSCAFG00000019460.4	ENSACAG00000012869.2
OG0000034	ENSCAFG00000042390.1	ENSACAG00000017677.3
OG0000034	ENSCAFG00000018634.4	ENSACAG00000015226.3
OG0000039	ENSCAFG00000024302.1, ENSCAFG00000024740.3, ENSCAFG00000013384.1, ENSCAFG00000013378.2, ENSCAFG00000048463.1, ENSCAFG00000024377.1, ENSCAFG00000013381.2	ENSACAG00000021090.2, ENSACAG00000021058.2
OG0000042	ENSCAFG00000049483.1, ENSCAFG00000046241.1	ENSACAG00000023200.1, ENSACAG00000027098.1, ENSACAG00000025461.1, ENSACAG00000027245.1, ENSACAG00000024282.1, ENSACAG00000028031.1, ENSACAG00000024149.1, ENSACAG00000025046.1, ENSACAG00000027034.1, ENSACAG00000022990.1, ENSACAG00000022519.1, ENSACAG00000027714.1, ENSACAG00000015629.2, ENSACAG00000015633.3, ENSACAG00000026732.1, ENSACAG00000024780.1, ENSACAG00000024944.1, ENSACAG00000026340.1, ENSACAG00000023499.1, ENSACAG00000012349.2, ENSACAG00000012353.2, ENSACAG00000023291.1, ENSACAG00000027406.1, ENSACAG00000026891.1, ENSACAG00000028317.1, ENSACAG00000024549.2
OG0000045	ENSCAFG00000024541.1	ENSACAG00000011358.2, ENSACAG00000025556.1, ENSACAG00000025505.1, ENSACAG00000022207.1, ENSACAG00000026819.1, ENSACAG00000024434.1, ENSACAG00000025729.1, ENSACAG00000026334.1, ENSACAG00000022322.1, ENSACAG00000025044.1, ENSACAG00000024995.1, ENSACAG00000022236.1, ENSACAG00000022088.1, ENSACAG00000026716.1, ENSACAG00000027983.1, ENSACAG00000023519.1, ENSACAG00000024432.1, ENSACAG00000023813.1, ENSACAG00000025632.1, ENSACAG00000022321.1, ENSACAG00000014502.2, ENSACAG00000028048.1, ENSACAG00000024003.1, ENSACAG00000022790.1, ENSACAG00000022861.1, ENSACAG00000025655.1, ENSACAG00000023823.1, ENSACAG00000026771.1, ENSACAG00000024504.1, ENSACAG00000026757.1, ENSACAG00000025260.1, ENSACAG00000027196.1, ENSACAG00000024370.1, ENSACAG00000027568.1, ENSACAG00000005197.2, ENSACAG00000026660.1, ENSACAG00000025452.1, ENSACAG00000024524.1, ENSACAG00000026350.1, ENSACAG00000023855.1, ENSACAG00000026478.1, ENSACAG00000023428.1, ENSACAG00000023803.1, ENSACAG00000027265.1, ENSACAG00000010268.2, ENSACAG00000027440.1, ENSACAG00000023391.1, ENSACAG00000024972.1, ENSACAG00000024568.1, ENSACAG00000026914.1, ENSACAG00000023774.1, ENSACAG00000021948.1, ENSACAG00000025093.1, ENSACAG00000022041.1, ENSACAG00000024639.1, ENSACAG00000026679.1, ENSACAG00000017474.2, ENSACAG00000026317.1, ENSACAG00000024218.1, ENSACAG00000022675.1, ENSACAG00000027728.1, ENSACAG00000024274.1, ENSACAG00000024364.1, ENSACAG00000023650.1, ENSACAG00000027212.1, ENSACAG00000025307.1, ENSACAG00000027995.1, ENSACAG00000022918.1
OG0000047	ENSCAFG00000010365.4, ENSCAFG00000046787.1, ENSCAFG00000030195.2, ENSCAFG00000016458.4	ENSACAG00000017816.2
OG0000050	ENSCAFG00000000742.3	ENSACAG00000004224.2
OG0000051	ENSCAFG00000011130.5	ENSACAG00000002063.3
OG0000051	ENSCAFG00000005058.5	ENSACAG00000002844.3
OG0000051	ENSCAFG00000010864.5	ENSACAG00000001038.3
OG0000051	ENSCAFG00000011438.5	ENSACAG00000000353.3
OG0000051	ENSCAFG00000012146.5	ENSACAG00000012739.3
OG0000051	ENSCAFG00000005051.5	ENSACAG00000009381.3, ENSACAG00000009159.3
OG0000051	ENSCAFG00000007600.4	ENSACAG00000017243.3
OG0000053	ENSCAFG00000048119.1	ENSACAG00000011079.2, ENSACAG00000029154.1, ENSACAG00000028022.2, ENSACAG00000029105.1, ENSACAG00000003920.2, ENSACAG00000007826.3, ENSACAG00000027940.1, ENSACAG00000028206.1, ENSACAG00000010730.2, ENSACAG00000023620.1, ENSACAG00000025475.2, ENSACAG00000026832.1, ENSACAG00000027861.2, ENSACAG00000002856.3, ENSACAG00000027589.1, ENSACAG00000026969.1, ENSACAG00000006825.2, ENSACAG00000029407.1, ENSACAG00000005304.2, ENSACAG00000028305.1, ENSACAG00000004271.3, ENSACAG00000011044.3, ENSACAG00000027551.2, ENSACAG00000008664.2, ENSACAG00000029589.1, ENSACAG00000026315.2, ENSACAG00000022907.1, ENSACAG00000028824.1, ENSACAG00000025611.2, ENSACAG00000003835.2, ENSACAG00000017789.2, ENSACAG00000024768.1
OG0000055	ENSCAFG00000019773.4	ENSACAG00000027280.1, ENSACAG00000010884.2, ENSACAG00000027953.1, ENSACAG00000010760.2, ENSACAG00000024757.1
OG0000056	ENSCAFG00000023033.4, ENSCAFG00000045181.1	ENSACAG00000025160.1, ENSACAG00000022809.1, ENSACAG00000022068.1, ENSACAG00000025348.1, ENSACAG00000022886.1, ENSACAG00000022341.1, ENSACAG00000023397.1, ENSACAG00000026662.1, ENSACAG00000027658.1, ENSACAG00000025525.1, ENSACAG00000023638.1, ENSACAG00000023447.1, ENSACAG00000022186.1, ENSACAG00000024094.1, ENSACAG00000024011.1, ENSACAG00000028111.1
OG0000059	ENSCAFG00000005734.5	ENSACAG00000015238.2
OG0000059	ENSCAFG00000010442.5	ENSACAG00000012464.2, ENSACAG00000001104.3, ENSACAG00000000836.3, ENSACAG00000013951.2, ENSACAG00000001718.2, ENSACAG00000000475.3
OG0000061	ENSCAFG00000032751.2, ENSCAFG00000047442.1, ENSCAFG00000031529.2	ENSACAG00000024109.1, ENSACAG00000029644.1, ENSACAG00000028927.1, ENSACAG00000011725.2, ENSACAG00000013954.2, ENSACAG00000013943.2, ENSACAG00000029390.1, ENSACAG00000011726.2, ENSACAG00000013935.3, ENSACAG00000012097.2, ENSACAG00000012089.3
OG0000062	ENSCAFG00000028699.2, ENSCAFG00000029705.2, ENSCAFG00000032000.2	ENSACAG00000008003.2, ENSACAG00000028410.1, ENSACAG00000028256.1, ENSACAG00000007989.2, ENSACAG00000028723.1, ENSACAG00000007915.2, ENSACAG00000022832.2, ENSACAG00000007984.3, ENSACAG00000007934.3, ENSACAG00000007927.2, ENSACAG00000029001.1, ENSACAG00000029029.1, ENSACAG00000000571.2, ENSACAG00000029058.1, ENSACAG00000011171.3, ENSACAG00000011159.2, ENSACAG00000011151.2, ENSACAG00000011120.2, ENSACAG00000024909.2, ENSACAG00000000536.3, ENSACAG00000027149.1
OG0000063	ENSCAFG00000044177.1, ENSCAFG00000045993.1, ENSCAFG00000045355.1, ENSCAFG00000046901.1, ENSCAFG00000049819.1, ENSCAFG00000049093.1, ENSCAFG00000049301.1, ENSCAFG00000044464.1, ENSCAFG00000041836.1, ENSCAFG00000045914.1, ENSCAFG00000048954.1, ENSCAFG00000045903.1, ENSCAFG00000048694.1, ENSCAFG00000043776.1, ENSCAFG00000048590.1, ENSCAFG00000041326.1, ENSCAFG00000048456.1	ENSACAG00000023930.1
OG0000065	ENSCAFG00000017661.3	ENSACAG00000004073.3
OG0000065	ENSCAFG00000023610.3, ENSCAFG00000017675.5, ENSCAFG00000017646.4	ENSACAG00000029443.1, ENSACAG00000025656.1, ENSACAG00000005298.2, ENSACAG00000022474.2, ENSACAG00000004228.2
OG0000069	ENSCAFG00000000063.4	ENSACAG00000009989.3
OG0000069	ENSCAFG00000000148.4, ENSCAFG00000000143.4	ENSACAG00000009223.2, ENSACAG00000009362.3, ENSACAG00000029689.1, ENSACAG00000009319.1, ENSACAG00000028794.1, ENSACAG00000009382.3, ENSACAG00000029377.1, ENSACAG00000009380.3, ENSACAG00000007510.2
OG0000072	ENSCAFG00000015418.4, ENSCAFG00000024439.3	ENSACAG00000006380.3, ENSACAG00000013956.2, ENSACAG00000024988.2, ENSACAG00000026822.2
OG0000072	ENSCAFG00000029947.2, ENSCAFG00000013724.3, ENSCAFG00000025146.3, ENSCAFG00000014367.4, ENSCAFG00000025291.4, ENSCAFG00000043861.1, ENSCAFG00000015226.5	ENSACAG00000008091.2
OG0000073	ENSCAFG00000000641.4, ENSCAFG00000000639.3	ENSACAG00000014684.2
OG0000073	ENSCAFG00000001886.2, ENSCAFG00000011666.4	ENSACAG00000004884.2
OG0000073	ENSCAFG00000016031.2	ENSACAG00000015774.1
OG0000074	ENSCAFG00000002880.4	ENSACAG00000016715.2
OG0000074	ENSCAFG00000003818.4	ENSACAG00000007958.3
OG0000076	ENSCAFG00000014977.4, ENSCAFG00000045242.1, ENSCAFG00000024337.3, ENSCAFG00000031023.2, ENSCAFG00000048830.1	ENSACAG00000002837.2, ENSACAG00000029665.1
OG0000077	ENSCAFG00000002723.5, ENSCAFG00000032019.2, ENSCAFG00000010686.4	ENSACAG00000022288.2, ENSACAG00000024664.2
OG0000077	ENSCAFG00000024796.3	ENSACAG00000014816.3
OG0000077	ENSCAFG00000018000.5	ENSACAG00000017483.3
OG0000081	ENSCAFG00000007774.4	ENSACAG00000012038.2
OG0000081	ENSCAFG00000014733.4	ENSACAG00000011397.3, ENSACAG00000012636.3, ENSACAG00000028645.1
OG0000085	ENSCAFG00000006062.5	ENSACAG00000014194.3
OG0000085	ENSCAFG00000018020.5	ENSACAG00000012321.3
OG0000085	ENSCAFG00000018016.5	ENSACAG00000012181.3
OG0000085	ENSCAFG00000010423.5	ENSACAG00000003770.3
OG0000085	ENSCAFG00000010426.5	ENSACAG00000004217.3
OG0000086	ENSCAFG00000013249.4	ENSACAG00000006007.3
