"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Mus_hrt_1","Mus_hrt_2","Mus_hrt_3","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Canis_hrt_1","Canis_hrt_2","Canis_hrt_3"
"1",107282159,"delta-like 4 (Drosophila)",2,14,10,3,3,5,1,6,5,5,16,5,8,8,3,6,1,4,11,6,2,15,24,7,5,9,4,0,9,1,14.5213,16.69682,13.96569,7.227916,8.875269,10.158367,4.48043,11.10609,13.07926
"2",107282160,"fibronectin leucine rich transmembrane protein 2",401.01,1107,1511.25,192,291,380,119,85,593.04,92,571.1,509,489,205,235,191,208,97,646,358.02,116,639.03,2290.75,765.04,715.01,312.01,559.22,147,913,251.03,1.720919,1.274119,1.314829,1.247886,1.866749,2.086589,0.387382,10.0525,9.14302
"3",107282165,"peroxisomal biogenesis factor 11 gamma",169,251,348,154,97,174,89,204,202,80,145,271,234,113,172,160,125,87,375,153,184,365,288,277,180,231,225,73,198,156,2.257094,3.447535,3.139654,1.675267,2.5038298,2.347285,0.1102765,0.519115,1.037666
"4",107282168,"phosphodiesterase 4C",10,20,16,6,10,18,7,13,6,13,27,6,14,7,4,12,3,14,8,4,5,14,10,20,46,19,24,2,40,5,2.333441,3.799099038,3.926824027,3.119596,3.7938399,2.846221046,1.188829,1.348473,5.93578
"5",107282170,"GTP binding protein 3 (mitochondrial)",1,1,2,0,1,2,3,3,5,1,6,6,3,1,3,3,0,2,1,5,1,7,3,3,2,2,5,5,6,3,7.6396463,10.033507,10.995996,7.842343,8.074224,11.6681545,2.02374,3.939,8.06061
"6",107282178,"microtubule associated protein 7",857,543,514,389,323,305,306,347,423,453,489,534,253,348,469,354,841,560,528,763,470,275,967,448,579,268,448,567,363,484,3.1342465,5.4315133,6.054225,1.160553001,0.398107,0.9710383,0.057688,0.2689849,0.0299166
"7",107282182,"nuclear factor I/C (CCAAT-binding transcription factor)",154,129,179,106,195,96,163,182,181,179,199,304,117,160,106,138,123,167,160,111,55,146,421,133,398,84,172,263,275,184,19.8887424,45.221972,42.378719,76.4544783,157.5565657,159.0217696,15.06798,42.56017,56.43976
"8",107282195,"hyaluronan and proteoglycan link protein 1",19,132,97,19,9,35,9,4,51,17,63,22,25,22,28,34,35,6,152,19,29,49,40,29,31,28,52,3,75,20,0.119818,0.178178,0.14521,0.0300837,1.912431,1.341291,1.49975,1.09727,8.35935
"9",107282203,"zinc finger protein 511",48,47,62,36,40,42,16,38,29,13,45,41,27,22,23,11,15,27,62,21,30,38,98,45,49,34,27,23,45,38,12.379534,17.0298,17.374058,14.96517,26.62106,23.93123,9.817391,17.37771,15.11983
"10",107282204,"tubulin gamma complex associated protein 2",276,488,527,187,218,387,96,260,295,164,457,352,444,199,205,230,190,212,629,236,168,632,1132,599,419,299,283,158,431,154,10.661298,10.9754531,11.8516207,15.705066,29.158089,30.365111,19.5573,42.47391,47.84152
"11",107282217,"solute carrier family 35 member E1",51,34,30,32,23,16,16,24,19,9,31,13,20,16,13,19,22,18,23,12,8,16,69,27,50,22,34,25,29,18,42.1065,44.0186,45.1096,10.667769,17.237388,17.68999,3.19287,17.5863,25.3036
"12",107282221,"Rho/Rac guanine nucleotide exchange factor 18",45,42,38,25,11,11,14,24,30,18,36,26,14,14,28,15,47,16,41,27,9,30,48,31,34,26,34,24,32,19,5.8701121,8.3483985,8.6048394,0.178582,0,0,0.844992,2.03063,2.97416
"13",107282223,"unconventional SNARE in the ER 1 homolog (S. cerevisiae)",204,96,74,45,48,28,13,102,34,43,132,158,66,91,52,45,164,72,40,115,66,158,233,49,278,36,43,45,94,14,44.269713,69.117199,72.130907,34.90578,40.017348,35.46988543,25.410551,21.371887,27.95299
"14",107282230,"RAB3A, member RAS oncogene family",124,118,114,64,95,89,37,84,39,69,101,104,76,84,33,65,70,52,106,76,48,195,202,93,232,53,90,33,106,38,34.384915,48.486898,48.360591,15.70377041,70.737881,56.68909,22.10483,46.7443,72.66312
"15",107282233,"DET1 and DDB1 associated 1",556,607,442,345,304,358,166,289,353,150,450,492,318,246,211,270,264,222,425,188,259,423,661,391,691,466,409,331.73,437.01,359,20.04593625,28.39111059,28.94286084,27.443545,30.535,28.849104,21.53745,50.43603,103.3936
"16",107282238,"mitogen-activated protein kinase kinase kinase 5",30,88,123,18,31,41,9,32,54,25,151,37,50,22,49,38,14,46,98,37,28,93,169,57,97,79.98,53,14,67,18,7.337205,7.3011201,8.2019568,8.05233,5.73137,6.51497,3.08898,10.192934,6.24858
"17",107282258,"adaptor related protein complex 3 delta 1 subunit",434,199,365,216,292,162,170,220,274,205,331,435,208,250,148,197,194,278,246,219,162,352,639,373,633,160,284,359,240,327,34.482739,41.313551,40.210084,32.5792478,68.17857,58.89649,13.4013,37.634,34.15426
"18",107282273,"phosphoinositide-3-kinase regulatory subunit 2",41,36,57,25,36,24,29,38,28,39,35,79,31,27,33,37,32,33,57,53,29,48,187,65,106,12,41,21,20,12,6.15069,11.664537,12.521136,18.026021,19.5779452,20.40612001,0.634631,2.97007,3.71334
"19",107282274,"microtubule associated serine/threonine kinase 3",4,10,4,27,15,8,15,5,8,5,11,6,1,12,11,15,18,15,12,12,11,11,11,4,18,2,17,28,2,23,2.71456848,5.10989256,5.657051,2.417374,4.623571,3.393431,0.4058573,1.360769,1.940952862
"20",107282288,"coiled-coil serine rich protein 1",187,171,227,127,108,97,75,88,115,87,136,97,94,120,153,89,168,113,175,131,133,107,247,124,163,75,182,147,101,112,0.27971091,0.2597397,0.2358936,1.278865,1.428905,2.260107,0.109841704,0.134821047,0.740536
"21",107282290,"phospholipid phosphatase related 3",1,6,10,0,0,1,0,1,2,2,5,2,4,1,0,1,0,0,8,2,0,5,12,4,3,2,1,0,1,0,0.879855,1.5942444,1.530239,0.102725,0.0765975,0.305725,0.0064031,0.0661741,0
"22",107282350,"serine/threonine kinase 24",261,225,236,282,191,112,70,145.99,208,68,203,97,139,124,115,112,114,149,158,86,137,177,226,164,175,216,181,61,191,199,16.2193203,14.0350043,13.7566567,15.9114839,18.7536145,20.224558,7.984260052,18.8492702,28.58413015
"23",107282361,"dickkopf WNT signaling pathway inhibitor 2",87,651,652,147.97,365,93,515,324,239,116,126,242,389,642,606,457,311,179,489,135,145,238,785,337,340,247,158,143.98,187,126,0.235764,0.0602488,0.149397,0.419647,0.545055,0.1795394,2.59732,5.44488,94.8404
"24",107282362,"solute carrier family 15 (oligopeptide transporter), member 1",3753,455,2,1259,880,497,450,324,326,487,81,2402,2,527,1144,537,407,351,134,449,591,1,1,136,1949,8,2803,1140,23,555,0.0540986,0.107936,0.109748,0.1512271,0.540501,0.3220924,0,0.0279806,0.0217941
"25",107282380,"F-box protein 47",0,9,1,2,0,9,0,0,1,1,3,4,0,1,0,3,1,3,3,0,1,4,2,0,3.98,8,3,2,6,2,0.1494911,0.254393,0.1783771,0,0,0,0.0268037,0.0538935,0.0838598
"26",107282413,"tubulin folding cofactor D",2228.62,545.85,629.62,1889.44,1251.7,1019.47,2603.91,2745.77,1621.09,1492.39,1071.94,888.71,328.07,1243.69,3154.29,2054.24,3725.42,3132.22,758.01,1795.75,2540,514.43,787.55,524.34,1052.6,360.37,1938.01,1428.81,405.47,937.8,7.72008,9.981006,8.577864,32.940379,57.806419,63.86914542,7.84427207,22.370591,1.114404
"27",107282421,"plexin domain containing 1",5.56,79,89,70,5,28,6,26,73,10,66,70,36,14,19,13,9,5,86,10,17,90,127,52,28,117,24,8,67,6,3.0605537,3.9857727,3.87615,9.964164704,26.44301201,29.726104,3.216433,11.4607,2.458238
"28",107282422,"DEAD-box helicase 42",442.23,722.52,723.47,483,278.03,615.62,207,487.01,408.08,315.04,450.06,601.09,365,199,269,237.47,301.08,511,773.51,472.22,399,878.94,2438.04,485.01,608.85,684.25,362.97,135.03,601.51,418,4.744086,3.469009,3.51271,35.05654,32.18392,32.90791,3.6497,10.058,22.1707
"29",107282423,"zinc finger protein 750",2288,1082,1712,1708,1200,692,819,1103,1244,839,1003,1302,680,1052,815,1074,1218,1438,1305,996,979,956,2229,775,1168,939,1654,430,801,1063,0.0434704,0.121209,0.0882747,0.355597,0.107866,0.2602558,0,0.033621,0
"30",107282465,"3'-phosphoadenosine 5'-phosphosulfate synthase 1",269,267,288,139,147,197,109,138,253,124,207,267,212,193,167,144,233,188,376,238,99,205,545,244,280,102,250,80,124,162,5.32391,5.387017,4.466832,9.160183,11.69789,7.071636,3.06409,4.674721,10.845348
"31",107282490,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent",192,198,270,213,127,149,58,113,170,56,191,146,181,117,95,102,61,72,269,82,142,257,286,163,175,334,168,78,120,116,9.304415,6.855436,6.222584,1.675927,1.055408,1.229721,1.2589,2.09037,8.90553
"32",107282516,"myocardin",7,17,14,9,2,9,0,7,9,4,4,9,10,1,7,9,3,5,10,6,1,17,31,16,13,14,16,3,9,4,16.882539,19.967661,20.793548,3.826339,12.79372,13.71748,1.72467,15.182844,15.4123
"33",107282539,"troponin T1, slow skeletal type",0,53,1,16,21,1293,5,50,13,25,115.85,84,3,9,1,36,9,1,30,0,0,121,3,16,2,2,15,79,1360,41,5.4098836,9.947766,9.335588,9.664506002,51.82506,47.513016,115.11708,123.659507,18.688506
