Orthogroup	N_naja.pep	G_gallus.pep
OG0000002	Nana24133-RA, Nana24135-RA	ENSGALG00000047440.1, ENSGALG00000051617.1, ENSGALG00000048623.1, ENSGALG00000051856.1, ENSGALG00000051327.1, ENSGALG00000049025.1, ENSGALG00000046947.1, ENSGALG00000048162.1
OG0000002	Nana24143-RA, Nana24132-RA, Nana24136-RD, Nana24137-RA, Nana24145-RA, Nana24144-RA	ENSGALG00000048259.1, ENSGALG00000054189.1, ENSGALG00000052804.1, ENSGALG00000048761.1, ENSGALG00000050278.1, ENSGALG00000051234.1, ENSGALG00000051509.1, ENSGALG00000049440.1, ENSGALG00000052651.1, ENSGALG00000046891.1, ENSGALG00000049650.1, ENSGALG00000053620.1, ENSGALG00000049984.1, ENSGALG00000052542.1, ENSGALG00000049115.1, ENSGALG00000051485.1, ENSGALG00000053832.1, ENSGALG00000054121.1, ENSGALG00000050397.1, ENSGALG00000052142.1, ENSGALG00000050095.1, ENSGALG00000053273.1, ENSGALG00000049747.1, ENSGALG00000048302.1, ENSGALG00000054060.1, ENSGALG00000047114.1, ENSGALG00000047960.1, ENSGALG00000049267.1, ENSGALG00000051440.1, ENSGALG00000051883.1, ENSGALG00000051177.1, ENSGALG00000055104.1, ENSGALG00000049061.1, ENSGALG00000047478.1, ENSGALG00000047299.1, ENSGALG00000047679.1, ENSGALG00000054433.1, ENSGALG00000052683.1, ENSGALG00000053392.1, ENSGALG00000054661.1, ENSGALG00000049726.1, ENSGALG00000048531.1, ENSGALG00000047227.1, ENSGALG00000053477.1, ENSGALG00000049676.1, ENSGALG00000054184.1, ENSGALG00000050813.1, ENSGALG00000049118.1, ENSGALG00000049938.1, ENSGALG00000052260.1, ENSGALG00000054437.1, ENSGALG00000047003.1, ENSGALG00000050958.1, ENSGALG00000048666.1, ENSGALG00000053328.1, ENSGALG00000051370.1, ENSGALG00000049823.1, ENSGALG00000047866.1, ENSGALG00000038257.2
OG0000002	Nana38721-RA, Nana38722-RA, Nana38264-RA, Nana39072-RA	ENSGALG00000054075.1, ENSGALG00000048983.1, ENSGALG00000054602.1, ENSGALG00000052269.1, ENSGALG00000054236.1
OG0000004	Nana35137-RB	ENSGALG00000054874.1, ENSGALG00000049486.1, ENSGALG00000051474.1, ENSGALG00000049010.1, ENSGALG00000047395.1, ENSGALG00000051167.1, ENSGALG00000053057.1, ENSGALG00000050545.1, ENSGALG00000048390.1, ENSGALG00000047506.1, ENSGALG00000050477.1, ENSGALG00000049186.1, ENSGALG00000050376.1, ENSGALG00000048383.1, ENSGALG00000052566.1, ENSGALG00000046719.1, ENSGALG00000050023.1, ENSGALG00000050715.1, ENSGALG00000048283.1, ENSGALG00000052347.1
OG0000004	Nana35122-RA	ENSGALG00000052004.1
OG0000004	Nana35137-RC, Nana39422-RA, Nana35139-RA	ENSGALG00000047343.1
OG0000006	Nana07308-RA	ENSGALG00000053518.1, ENSGALG00000051131.1, ENSGALG00000054482.1, ENSGALG00000047862.1, ENSGALG00000050362.1, ENSGALG00000044223.2, ENSGALG00000054140.1, ENSGALG00000053857.1, ENSGALG00000049917.1, ENSGALG00000051242.1, ENSGALG00000050565.1, ENSGALG00000050096.1, ENSGALG00000047006.1, ENSGALG00000048317.1, ENSGALG00000048076.1, ENSGALG00000048215.1, ENSGALG00000050636.1, ENSGALG00000052450.1, ENSGALG00000050546.1, ENSGALG00000048494.1, ENSGALG00000049669.1, ENSGALG00000048437.1, ENSGALG00000054535.1, ENSGALG00000046849.1, ENSGALG00000049900.1, ENSGALG00000050291.1, ENSGALG00000046701.1, ENSGALG00000049054.1, ENSGALG00000048181.1, ENSGALG00000048477.1, ENSGALG00000053582.1, ENSGALG00000049874.1, ENSGALG00000047680.1
OG0000008	Nana08331-RA	ENSGALG00000026449.3
OG0000008	Nana29034-RA	ENSGALG00000045705.2
OG0000009	Nana23397-RA	ENSGALG00000031739.2
OG0000010	Nana24069-RA	ENSGALG00000031804.2
OG0000014	Nana09496-RA	ENSGALG00000054599.1, ENSGALG00000020078.6
OG0000014	Nana24071-RA	ENSGALG00000038969.2
OG0000014	Nana10429-RA, Nana23739-RA, Nana27153-RA	ENSGALG00000048231.1
OG0000014	Nana24315-RA	ENSGALG00000051325.1
OG0000018	Nana10432-RA	ENSGALG00000050250.1
OG0000018	Nana24072-RA	ENSGALG00000042491.2
OG0000021	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB	ENSGALG00000037864.2, ENSGALG00000039977.3, ENSGALG00000029606.2, ENSGALG00000028612.3, ENSGALG00000032404.2, ENSGALG00000042257.2, ENSGALG00000027323.4
OG0000021	Nana13832-RA, Nana13832-RB	ENSGALG00000030985.2
OG0000021	Nana24863-RA	ENSGALG00000015358.7
OG0000023	Nana23400-RA	ENSGALG00000054820.1
OG0000026	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA	ENSGALG00000048480.1, ENSGALG00000050242.1, ENSGALG00000048333.1, ENSGALG00000038668.2, ENSGALG00000052881.1, ENSGALG00000050281.1, ENSGALG00000050703.1, ENSGALG00000053430.1, ENSGALG00000046772.1, ENSGALG00000052429.1
OG0000027	Nana03933-RA, Nana20181-RA	ENSGALG00000006241.5
OG0000027	Nana03934-RB, Nana03934-RA	ENSGALG00000052192.1
OG0000027	Nana27836-RA	ENSGALG00000008444.6
OG0000027	Nana27543-RA	ENSGALG00000013045.6, ENSGALG00000013056.6
OG0000027	Nana13883-RA	ENSGALG00000040586.3
OG0000027	Nana03933-RB	ENSGALG00000000433.7, ENSGALG00000011324.6
OG0000027	Nana09911-RA	ENSGALG00000040260.2
OG0000029	Nana10116-RA	ENSGALG00000034868.3
OG0000033	Nana25601-RA	ENSGALG00000017341.7
OG0000034	Nana36726-RA	ENSGALG00000008586.5
OG0000034	Nana15765-RA	ENSGALG00000012821.7
OG0000034	Nana15763-RA	ENSGALG00000054420.1
OG0000034	Nana16081-RA	ENSGALG00000031275.3
OG0000034	Nana13527-RA	ENSGALG00000007447.5
OG0000042	Nana15423-RA, Nana15427-RA, Nana15429-RA	ENSGALG00000028565.3, ENSGALG00000052936.1
OG0000050	Nana16983-RA, Nana16985-RA, Nana39960-RA, Nana16988-RA, Nana16986-RA, Nana17000-RA, Nana16988-RB, Nana16990-RA, Nana38885-RA, Nana16995-RA, Nana16991-RA, Nana16993-RA, Nana16981-RA, Nana39715-RA, Nana38884-RA, Nana38882-RA, Nana16998-RA, Nana39002-RA, Nana39003-RA, Nana16982-RA	ENSGALG00000054732.1, ENSGALG00000051203.1, ENSGALG00000037166.2, ENSGALG00000047526.1, ENSGALG00000032803.2
OG0000051	Nana03481-RA, Nana03471-RA	ENSGALG00000011009.6
OG0000051	Nana03469-RA	ENSGALG00000027793.3
OG0000051	Nana22919-RA	ENSGALG00000034427.2
OG0000051	Nana21196-RA	ENSGALG00000027702.3, ENSGALG00000006072.8
OG0000051	Nana09998-RA	ENSGALG00000043728.2
OG0000056	Nana15458-RA, Nana15457-RA, Nana15453-RA, Nana15454-RA, Nana15456-RA, Nana15449-RB, Nana15459-RA, Nana39836-RA, Nana15452-RA	ENSGALG00000046083.2, ENSGALG00000043142.2, ENSGALG00000045614.2
OG0000057	Nana20821-RA	ENSGALG00000008283.7
OG0000057	Nana20799-RA	ENSGALG00000045255.2
OG0000057	Nana20824-RA, Nana20776-RA, Nana20777-RA, Nana20786-RA, Nana20771-RA, Nana20773-RA, Nana20784-RA, Nana20793-RA, Nana20777-RB	ENSGALG00000008178.6, ENSGALG00000045351.2
OG0000059	Nana09728-RA	ENSGALG00000028749.4
OG0000059	Nana34355-RA	ENSGALG00000009621.7
OG0000059	Nana05169-RA	ENSGALG00000009844.7
OG0000059	Nana01616-RA, Nana19300-RA	ENSGALG00000006343.6
OG0000061	Nana07749-RA, Nana07755-RA, Nana07751-RA, Nana07746-RA, Nana07750-RA, Nana07753-RA, Nana07752-RA	ENSGALG00000028659.2
