Orthogroup	C_familiaris.pep	X_tropicalis.pep
OG0000000	ENSCAFG00000046080.1, ENSCAFG00000042040.1, ENSCAFG00000044487.1, ENSCAFG00000041719.1, ENSCAFG00000047069.1, ENSCAFG00000045515.1, ENSCAFG00000049684.1, ENSCAFG00000046436.1, ENSCAFG00000042033.1, ENSCAFG00000046614.1, ENSCAFG00000047739.1, ENSCAFG00000045155.1, ENSCAFG00000049870.1, ENSCAFG00000043772.1, ENSCAFG00000048244.1, ENSCAFG00000045972.1, ENSCAFG00000048509.1, ENSCAFG00000048198.1, ENSCAFG00000045550.1, ENSCAFG00000045892.1, ENSCAFG00000044963.1, ENSCAFG00000044683.1, ENSCAFG00000049937.1, ENSCAFG00000047576.1, ENSCAFG00000045995.1, ENSCAFG00000041732.1, ENSCAFG00000046950.1, ENSCAFG00000049446.1, ENSCAFG00000049561.1, ENSCAFG00000043527.1, ENSCAFG00000041237.1, ENSCAFG00000049980.1, ENSCAFG00000041374.1, ENSCAFG00000047771.1, ENSCAFG00000043251.1, ENSCAFG00000032555.2, ENSCAFG00000042401.1, ENSCAFG00000043911.1, ENSCAFG00000048180.1, ENSCAFG00000047588.1, ENSCAFG00000047532.1, ENSCAFG00000046984.1, ENSCAFG00000044894.1, ENSCAFG00000049521.1, ENSCAFG00000047506.1, ENSCAFG00000048071.1, ENSCAFG00000047470.1, ENSCAFG00000043777.1, ENSCAFG00000041166.1, ENSCAFG00000045442.1, ENSCAFG00000049008.1, ENSCAFG00000042284.1, ENSCAFG00000047696.1, ENSCAFG00000044667.1, ENSCAFG00000046222.1, ENSCAFG00000043421.1, ENSCAFG00000049150.1, ENSCAFG00000046440.1, ENSCAFG00000046414.1, ENSCAFG00000041675.1, ENSCAFG00000041062.1, ENSCAFG00000046938.1, ENSCAFG00000045490.1, ENSCAFG00000044776.1, ENSCAFG00000043759.1, ENSCAFG00000049530.1, ENSCAFG00000047680.1, ENSCAFG00000048802.1, ENSCAFG00000043604.1, ENSCAFG00000049778.1, ENSCAFG00000047043.1, ENSCAFG00000048825.1, ENSCAFG00000043676.1, ENSCAFG00000047550.1, ENSCAFG00000045439.1, ENSCAFG00000043590.1, ENSCAFG00000048350.1, ENSCAFG00000047618.1, ENSCAFG00000047704.1, ENSCAFG00000049938.1, ENSCAFG00000046174.1, ENSCAFG00000047135.1, ENSCAFG00000047380.1, ENSCAFG00000047388.1, ENSCAFG00000041607.1, ENSCAFG00000044426.1, ENSCAFG00000043233.1, ENSCAFG00000047568.1, ENSCAFG00000049544.1, ENSCAFG00000044043.1, ENSCAFG00000048945.1, ENSCAFG00000042387.1, ENSCAFG00000044209.1, ENSCAFG00000048903.1, ENSCAFG00000042592.1, ENSCAFG00000049834.1, ENSCAFG00000042102.1, ENSCAFG00000045817.1, ENSCAFG00000048737.1, ENSCAFG00000046284.1, ENSCAFG00000042527.1, ENSCAFG00000046663.1, ENSCAFG00000044398.1, ENSCAFG00000046967.1, ENSCAFG00000043529.1, ENSCAFG00000049536.1, ENSCAFG00000044227.1, ENSCAFG00000048924.1, ENSCAFG00000049663.1, ENSCAFG00000049317.1, ENSCAFG00000043454.1, ENSCAFG00000047651.1, ENSCAFG00000041969.1, ENSCAFG00000048577.1, ENSCAFG00000048467.1, ENSCAFG00000048486.1, ENSCAFG00000044049.1, ENSCAFG00000045004.1, ENSCAFG00000043032.1, ENSCAFG00000045615.1, ENSCAFG00000047149.1, ENSCAFG00000048224.1, ENSCAFG00000042087.1, ENSCAFG00000048338.1, ENSCAFG00000041189.1, ENSCAFG00000044610.1, ENSCAFG00000042786.1, ENSCAFG00000042450.1, ENSCAFG00000043995.1, ENSCAFG00000046698.1, ENSCAFG00000049458.1, ENSCAFG00000048673.1, ENSCAFG00000048893.1, ENSCAFG00000043918.1, ENSCAFG00000044564.1, ENSCAFG00000046432.1, ENSCAFG00000047290.1, ENSCAFG00000049351.1, ENSCAFG00000049872.1, ENSCAFG00000042622.1, ENSCAFG00000044172.1, ENSCAFG00000043614.1, ENSCAFG00000047851.1, ENSCAFG00000049875.1, ENSCAFG00000041733.1, ENSCAFG00000049809.1, ENSCAFG00000049738.1, ENSCAFG00000049173.1, ENSCAFG00000043217.1, ENSCAFG00000046511.1, ENSCAFG00000042083.1, ENSCAFG00000049607.1, ENSCAFG00000049033.1, ENSCAFG00000042695.1, ENSCAFG00000048196.1, ENSCAFG00000041278.1, ENSCAFG00000042389.1, ENSCAFG00000049466.1, ENSCAFG00000042111.1, ENSCAFG00000049720.1, ENSCAFG00000044854.1, ENSCAFG00000041746.1, ENSCAFG00000049110.1, ENSCAFG00000042077.1, ENSCAFG00000044837.1, ENSCAFG00000046712.1, ENSCAFG00000047823.1, ENSCAFG00000043803.1, ENSCAFG00000041409.1, ENSCAFG00000042794.1, ENSCAFG00000042051.1, ENSCAFG00000046552.1, ENSCAFG00000041966.1, ENSCAFG00000042477.1, ENSCAFG00000048332.1, ENSCAFG00000044862.1, ENSCAFG00000044553.1, ENSCAFG00000045861.1, ENSCAFG00000044217.1, ENSCAFG00000046877.1, ENSCAFG00000048087.1, ENSCAFG00000042469.1, ENSCAFG00000044003.1, ENSCAFG00000046159.1, ENSCAFG00000043718.1, ENSCAFG00000050024.1, ENSCAFG00000048540.1, ENSCAFG00000042023.1, ENSCAFG00000049364.1, ENSCAFG00000049504.1, ENSCAFG00000041814.1, ENSCAFG00000046393.1, ENSCAFG00000044380.1, ENSCAFG00000045295.1, ENSCAFG00000041085.1, ENSCAFG00000046283.1, ENSCAFG00000044194.1, ENSCAFG00000045108.1, ENSCAFG00000044547.1, ENSCAFG00000049630.1, ENSCAFG00000045715.1, ENSCAFG00000041889.1, ENSCAFG00000042216.1, ENSCAFG00000042205.1, ENSCAFG00000045385.1, ENSCAFG00000045741.1, ENSCAFG00000045866.1, ENSCAFG00000048653.1, ENSCAFG00000046212.1, ENSCAFG00000047967.1, ENSCAFG00000040975.1, ENSCAFG00000042339.1, ENSCAFG00000044440.1, ENSCAFG00000043594.1, ENSCAFG00000049237.1, ENSCAFG00000049584.1, ENSCAFG00000047908.1, ENSCAFG00000045291.1, ENSCAFG00000043839.1, ENSCAFG00000046078.1, ENSCAFG00000048987.1, ENSCAFG00000049529.1, ENSCAFG00000045991.1, ENSCAFG00000045637.1, ENSCAFG00000044493.1, ENSCAFG00000047498.1, ENSCAFG00000050081.1, ENSCAFG00000041493.1, ENSCAFG00000041745.1, ENSCAFG00000041989.1, ENSCAFG00000044886.1, ENSCAFG00000042532.1, ENSCAFG00000043156.1, ENSCAFG00000043914.1, ENSCAFG00000045321.1, ENSCAFG00000048556.1, ENSCAFG00000048359.1, ENSCAFG00000048814.1, ENSCAFG00000047231.1, ENSCAFG00000049276.1, ENSCAFG00000042304.1, ENSCAFG00000042894.1, ENSCAFG00000049956.1, ENSCAFG00000046280.1, ENSCAFG00000042691.1, ENSCAFG00000041291.1, ENSCAFG00000041089.1, ENSCAFG00000048980.1, ENSCAFG00000048788.1, ENSCAFG00000049393.1, ENSCAFG00000042550.1, ENSCAFG00000043562.1, ENSCAFG00000043578.1, ENSCAFG00000048666.1, ENSCAFG00000042740.1, ENSCAFG00000042954.1, ENSCAFG00000048015.1, ENSCAFG00000043864.1, ENSCAFG00000041574.1, ENSCAFG00000049451.1, ENSCAFG00000047015.1, ENSCAFG00000043090.1, ENSCAFG00000046617.1, ENSCAFG00000042423.1, ENSCAFG00000042031.1, ENSCAFG00000041137.1, ENSCAFG00000043018.1, ENSCAFG00000042553.1, ENSCAFG00000032531.2, ENSCAFG00000042669.1, ENSCAFG00000045922.1, ENSCAFG00000047484.1, ENSCAFG00000043589.1, ENSCAFG00000045946.1, ENSCAFG00000045130.1, ENSCAFG00000048315.1, ENSCAFG00000045636.1, ENSCAFG00000043024.1, ENSCAFG00000042278.1, ENSCAFG00000041784.1, ENSCAFG00000047558.1, ENSCAFG00000043343.1, ENSCAFG00000050059.1, ENSCAFG00000048047.1, ENSCAFG00000048452.1, ENSCAFG00000042720.1, ENSCAFG00000043327.1, ENSCAFG00000043550.1, ENSCAFG00000046760.1, ENSCAFG00000048504.1, ENSCAFG00000047585.1, ENSCAFG00000049903.1, ENSCAFG00000044617.1, ENSCAFG00000043816.1, ENSCAFG00000044916.1, ENSCAFG00000049390.1, ENSCAFG00000042618.1, ENSCAFG00000045148.1, ENSCAFG00000047825.1, ENSCAFG00000041458.1, ENSCAFG00000046371.1, ENSCAFG00000042348.1, ENSCAFG00000045334.1, ENSCAFG00000047898.1, ENSCAFG00000048353.1, ENSCAFG00000041536.1, ENSCAFG00000042345.1, ENSCAFG00000046728.1, ENSCAFG00000047611.1, ENSCAFG00000041774.1, ENSCAFG00000047397.1, ENSCAFG00000045182.1, ENSCAFG00000043852.1, ENSCAFG00000040998.1, ENSCAFG00000047028.1, ENSCAFG00000047312.1, ENSCAFG00000043623.1, ENSCAFG00000041359.1, ENSCAFG00000042195.1, ENSCAFG00000049437.1, ENSCAFG00000045070.1, ENSCAFG00000041887.1, ENSCAFG00000043118.1, ENSCAFG00000042828.1, ENSCAFG00000049423.1, ENSCAFG00000047837.1, ENSCAFG00000044719.1, ENSCAFG00000045397.1, ENSCAFG00000048929.1, ENSCAFG00000049823.1, ENSCAFG00000049498.1, ENSCAFG00000042058.1, ENSCAFG00000044623.1, ENSCAFG00000043418.1, ENSCAFG00000047094.1, ENSCAFG00000049004.1, ENSCAFG00000048960.1, ENSCAFG00000046268.1, ENSCAFG00000046137.1, ENSCAFG00000049344.1, ENSCAFG00000047766.1, ENSCAFG00000046726.1	ENSXETG00000010742.1, ENSXETG00000007576.1, ENSXETG00000001438.1, ENSXETG00000010406.1, ENSXETG00000014348.1, ENSXETG00000002378.1, ENSXETG00000005740.1, ENSXETG00000017962.1, ENSXETG00000017931.1
OG0000000	ENSCAFG00000044075.1, ENSCAFG00000047911.1	ENSXETG00000000667.1
OG0000000	ENSCAFG00000044460.1, ENSCAFG00000046559.1, ENSCAFG00000047782.1	ENSXETG00000016803.1
OG0000002	ENSCAFG00000045680.1, ENSCAFG00000045676.1, ENSCAFG00000044771.1, ENSCAFG00000043189.1, ENSCAFG00000047549.1, ENSCAFG00000046465.1, ENSCAFG00000043645.1, ENSCAFG00000029624.2, ENSCAFG00000044861.1, ENSCAFG00000030894.2, ENSCAFG00000041353.1, ENSCAFG00000049081.1, ENSCAFG00000028509.2, ENSCAFG00000045080.1, ENSCAFG00000045461.1, ENSCAFG00000045835.1, ENSCAFG00000043363.1, ENSCAFG00000030900.2, ENSCAFG00000049690.1, ENSCAFG00000043408.1, ENSCAFG00000047346.1, ENSCAFG00000045674.1	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1
OG0000003	ENSCAFG00000031795.2	ENSXETG00000012682.1, ENSXETG00000012582.1, ENSXETG00000012658.1, ENSXETG00000012562.1, ENSXETG00000012761.1, ENSXETG00000012711.1, ENSXETG00000012610.1, ENSXETG00000012735.1, ENSXETG00000012785.1, ENSXETG00000008783.1, ENSXETG00000012616.1, ENSXETG00000012720.1, ENSXETG00000012773.1, ENSXETG00000012593.1, ENSXETG00000012629.1, ENSXETG00000008792.1, ENSXETG00000008825.1, ENSXETG00000009855.1, ENSXETG00000012634.1, ENSXETG00000008836.1, ENSXETG00000012752.1, ENSXETG00000001696.1, ENSXETG00000012765.1, ENSXETG00000012565.1, ENSXETG00000009874.1
OG0000003	ENSCAFG00000007370.4, ENSCAFG00000007366.4	ENSXETG00000012731.1
OG0000004	ENSCAFG00000043966.1, ENSCAFG00000044654.1, ENSCAFG00000044541.1, ENSCAFG00000043204.1, ENSCAFG00000041046.1, ENSCAFG00000049192.1, ENSCAFG00000044139.1, ENSCAFG00000029243.2, ENSCAFG00000042203.1, ENSCAFG00000049779.1, ENSCAFG00000049435.1, ENSCAFG00000043457.1, ENSCAFG00000029746.2, ENSCAFG00000043751.1, ENSCAFG00000023920.3, ENSCAFG00000047806.1, ENSCAFG00000049328.1, ENSCAFG00000046023.1	ENSXETG00000008305.1, ENSXETG00000008300.1, ENSXETG00000008311.1, ENSXETG00000008319.1, ENSXETG00000008327.1
OG0000004	ENSCAFG00000013622.4, ENSCAFG00000029467.2, ENSCAFG00000048817.1, ENSCAFG00000029939.2, ENSCAFG00000048160.1, ENSCAFG00000045973.1, ENSCAFG00000042425.1, ENSCAFG00000031415.2, ENSCAFG00000042155.1, ENSCAFG00000046672.1, ENSCAFG00000029236.2, ENSCAFG00000043016.1, ENSCAFG00000032249.2, ENSCAFG00000047763.1, ENSCAFG00000031637.2, ENSCAFG00000049421.1, ENSCAFG00000041195.1, ENSCAFG00000032078.2, ENSCAFG00000048317.1, ENSCAFG00000049367.1, ENSCAFG00000024720.3, ENSCAFG00000028850.2, ENSCAFG00000031273.2, ENSCAFG00000047159.1, ENSCAFG00000048036.1, ENSCAFG00000046583.1, ENSCAFG00000048573.1, ENSCAFG00000045975.1, ENSCAFG00000031403.2, ENSCAFG00000029344.2, ENSCAFG00000044389.1, ENSCAFG00000042701.1, ENSCAFG00000046711.1, ENSCAFG00000049976.1, ENSCAFG00000049273.1, ENSCAFG00000049890.1, ENSCAFG00000042504.1, ENSCAFG00000046047.1, ENSCAFG00000046723.1, ENSCAFG00000044673.1, ENSCAFG00000048161.1, ENSCAFG00000046397.1, ENSCAFG00000023160.3, ENSCAFG00000048981.1, ENSCAFG00000044748.1	ENSXETG00000008402.1, ENSXETG00000003146.1, ENSXETG00000003135.1, ENSXETG00000003149.1, ENSXETG00000008413.1, ENSXETG00000008434.1, ENSXETG00000008422.1
OG0000004	ENSCAFG00000049157.1, ENSCAFG00000043262.1, ENSCAFG00000044750.1, ENSCAFG00000043208.1, ENSCAFG00000048182.1, ENSCAFG00000042030.1, ENSCAFG00000041288.1, ENSCAFG00000042398.1, ENSCAFG00000024382.3	ENSXETG00000008294.1, ENSXETG00000008335.1, ENSXETG00000008380.1, ENSXETG00000008350.1, ENSXETG00000008396.1, ENSXETG00000008389.1, ENSXETG00000008367.1, ENSXETG00000008373.1, ENSXETG00000008361.1, ENSXETG00000008341.1
OG0000006	ENSCAFG00000032253.2, ENSCAFG00000028550.2, ENSCAFG00000023300.3, ENSCAFG00000049203.1, ENSCAFG00000041396.1, ENSCAFG00000042267.1, ENSCAFG00000030603.2, ENSCAFG00000002361.5	ENSXETG00000016061.1, ENSXETG00000001732.1, ENSXETG00000005608.1, ENSXETG00000005598.1, ENSXETG00000009174.1, ENSXETG00000002759.1, ENSXETG00000002563.1
