Orthogroup	H_sapiens.pep	P_Mucros.pep
OG0000006	ENSG00000268163.1, ENSG00000268107.6, ENSG00000171574.18, ENSG00000286261.1	XP_015685540.1, XP_029142004.1
OG0000006	ENSG00000175691.9	XP_029139985.1, XP_029141493.1
OG0000006	ENSG00000160961.12, ENSG00000273291.5, ENSG00000240747.7, ENSG00000177932.7, ENSG00000169131.13, ENSG00000178338.11, ENSG00000285978.1, ENSG00000157429.16, ENSG00000261611.6, ENSG00000189420.8, ENSG00000283930.1, ENSG00000175395.16, ENSG00000147789.15	XP_029140115.1
OG0000008	ENSG00000246705.4, ENSG00000184260.5	XP_015678743.1
OG0000008	ENSG00000188486.3, ENSG00000229674.2	XP_015668418.1
OG0000008	ENSG00000272196.2, ENSG00000203812.2, ENSG00000180573.9, ENSG00000284841.1, ENSG00000181218.5, ENSG00000278463.1, ENSG00000277075.2, ENSG00000276903.1, ENSG00000196787.3, ENSG00000278677.1, ENSG00000196747.4, ENSG00000275221.1, ENSG00000196866.2, ENSG00000274997.1, ENSG00000276368.1, ENSG00000164508.4	XP_015678750.1
OG0000009	ENSG00000172320.3	XP_015677980.2
OG0000009	ENSG00000174957.1	XP_015677985.1
OG0000009	ENSG00000172459.4	XP_015683726.1
OG0000009	ENSG00000112461.9, ENSG00000233046.8, ENSG00000227137.8, ENSG00000243729.4, ENSG00000243441.6	XP_015672562.1, XP_015672559.1, XP_015672561.1
OG0000009	ENSG00000181785.2	XP_015677981.1, XP_015677982.2
OG0000010	ENSG00000146047.6, ENSG00000203814.6, ENSG00000196890.4, ENSG00000285449.1	XP_015672062.1, XP_015681933.1, XP_015681932.1
OG0000010	ENSG00000285480.1	XP_015675791.1
OG0000010	ENSG00000180596.7, ENSG00000274290.2, ENSG00000278588.1, ENSG00000273802.2, ENSG00000233822.4, ENSG00000158373.8, ENSG00000277224.2, ENSG00000184678.10, ENSG00000274641.1, ENSG00000275713.2, ENSG00000274559.3, ENSG00000234289.6, ENSG00000197903.7, ENSG00000124635.8	XP_015683800.1
OG0000013	ENSG00000189181.5, ENSG00000225291.4, ENSG00000112459.5, ENSG00000204695.4, ENSG00000234195.4, ENSG00000237777.4, ENSG00000234100.4, ENSG00000236927.4, ENSG00000196772.4	XP_029141885.1, XP_029139675.1, XP_015669877.1, XP_015669871.1, XP_029139676.1, XP_015669872.1, XP_029139682.1, XP_015669863.1, XP_015669864.1, XP_029139677.1, XP_015669887.1, XP_015669873.1, XP_015668983.1, XP_015669884.2, XP_029139679.1
OG0000014	ENSG00000163041.12	XP_015680070.1
OG0000014	ENSG00000203811.1	XP_015686318.1
OG0000015	ENSG00000153029.14	XP_029141494.1, XP_029142842.1, XP_029142300.1, XP_015681564.2, XP_029141960.1, XP_015681563.1, XP_029142070.1, XP_029142071.1, XP_029142618.1, XP_015683643.1, XP_029142096.1, XP_029142472.1, XP_029142644.1, XP_015681576.1, XP_015684078.2, XP_015686359.1, XP_029142551.1, XP_015682087.2, XP_015682091.1, XP_015682088.2, XP_015682092.1, XP_015681575.1, XP_015683644.1, XP_015684435.1, XP_029142095.1, XP_015680096.1, XP_015683740.1, XP_029142552.1, XP_015684387.1, XP_015684316.1, XP_015684388.1, XP_029142094.1, XP_015684314.1, XP_029142617.1
OG0000018	ENSG00000276180.1, ENSG00000158406.4, ENSG00000273542.1	XP_015686319.1
OG0000018	ENSG00000276966.2, ENSG00000197837.3, ENSG00000197238.4, ENSG00000274618.1, ENSG00000275663.1	XP_015665997.1
OG0000018	ENSG00000197061.4	XP_015672393.1
OG0000018	ENSG00000275126.1	XP_015681934.1
OG0000018	ENSG00000277157.1	XP_015665996.1
OG0000021	ENSG00000264424.1, ENSG00000125414.19, ENSG00000109061.10, ENSG00000133020.4	XP_015665826.1, XP_015665834.1, XP_029138870.1, XP_015665846.1, XP_015665854.1, XP_015665840.1, XP_015665870.1, XP_015665863.1, XP_015665898.1, XP_015665882.1, XP_015665890.1, XP_029138891.1
OG0000021	ENSG00000109063.15	XP_015665771.1, XP_015665778.1
OG0000021	ENSG00000078814.16	XP_015669261.1
OG0000021	ENSG00000144821.10	XP_015677905.1, XP_015677906.1, XP_015677907.1
OG0000021	ENSG00000197616.12	XP_015677713.1
OG0000023	ENSG00000276240.2	XP_015680186.1, XP_015680187.1
OG0000023	ENSG00000221977.2	XP_015680192.1, XP_015680188.1, XP_029141670.1
OG0000023	ENSG00000182652.3	XP_015677478.2, XP_029141074.1
OG0000023	ENSG00000171014.2, ENSG00000172742.5, ENSG00000254466.2, ENSG00000176200.1, ENSG00000166884.2, ENSG00000141194.6, ENSG00000255713.2	XP_029140194.1, XP_015672569.2
OG0000023	ENSG00000182974.3, ENSG00000288469.1, ENSG00000288194.1, ENSG00000278776.1, ENSG00000274102.2, ENSG00000275249.1, ENSG00000176299.5	XP_015677304.1
OG0000023	ENSG00000278178.2, ENSG00000274792.1, ENSG00000288193.1, ENSG00000288501.1, ENSG00000285472.1, ENSG00000183706.5, ENSG00000279408.3, ENSG00000280709.2, ENSG00000176294.6, ENSG00000184394.2	XP_015677302.1, XP_015677296.2, XP_015677295.1, XP_015686267.1, XP_015677292.1
OG0000025	ENSG00000196610.13, ENSG00000228254.9, ENSG00000228813.9, ENSG00000229493.9, ENSG00000230675.9, ENSG00000232629.9, ENSG00000226165.9, ENSG00000224305.9, ENSG00000206302.10, ENSG00000206237.6, ENSG00000225824.8, ENSG00000179344.16, ENSG00000233209.6, ENSG00000231286.7, ENSG00000231939.5, ENSG00000198502.6, ENSG00000236884.8, ENSG00000229074.8, ENSG00000230463.2, ENSG00000196101.9, ENSG00000231679.7, ENSG00000206240.11, ENSG00000206306.10, ENSG00000227357.2, ENSG00000227826.9, ENSG00000231021.9, ENSG00000228080.10, ENSG00000196126.11	XP_015685468.1, XP_015671517.1, XP_015685654.1, XP_015683829.1, XP_015686648.1, XP_015686304.1, XP_029142665.1, XP_029142863.1, XP_015685452.1, XP_015684739.1, XP_015685128.1, XP_015685114.1, XP_015681167.2, XP_015685225.1, XP_029142775.1, XP_015684900.1, XP_015685111.1, XP_029141865.1, XP_015685450.1, XP_015682026.1, XP_015686371.2, XP_015685247.1, XP_029142774.1, XP_015683688.2, XP_029142813.1, XP_029140911.1, XP_015685029.1, XP_029142461.1, XP_015684499.2, XP_029142459.1, XP_015685028.1, XP_015683982.1, XP_015684802.2, XP_015680389.2, XP_029142733.1, XP_015685972.1, XP_015680388.1, XP_029142051.1, XP_029142460.1, XP_015686586.1, XP_015684543.1, XP_015686172.1, XP_015682028.1, XP_029142973.1, XP_015685675.1, XP_015685656.1
OG0000026	ENSG00000171815.5, ENSG00000120324.9, ENSG00000177839.7, ENSG00000113212.7, ENSG00000112852.7, ENSG00000120327.6, ENSG00000272674.3, ENSG00000187372.11, ENSG00000120322.4, ENSG00000081818.4, ENSG00000113209.9, ENSG00000113211.5, ENSG00000113205.5, ENSG00000113248.6, ENSG00000120328.6, ENSG00000197479.7	XP_029142608.1, XP_029142559.1, XP_015684188.2, XP_029142606.1
OG0000027	ENSG00000075886.11, ENSG00000198033.12, ENSG00000152086.9	XP_015670228.1, XP_015681657.1
OG0000027	ENSG00000123416.15	XP_015672184.1
OG0000027	ENSG00000178462.12	XP_015684007.1, XP_015674309.1
OG0000027	ENSG00000183785.15	XP_015679069.1, XP_015679074.1
OG0000027	ENSG00000127824.14	XP_015672183.1, XP_015672182.1
OG0000027	ENSG00000167553.15	XP_015670229.1
OG0000029	ENSG00000170454.6, ENSG00000170465.10, ENSG00000205420.11, ENSG00000185479.6, ENSG00000186081.12	XP_015677404.1
OG0000029	ENSG00000172867.4, ENSG00000167768.4	XP_015683489.1
OG0000029	ENSG00000185640.6	XP_015683491.1
OG0000029	ENSG00000170486.11, ENSG00000139648.7, ENSG00000186049.8, ENSG00000186442.7, ENSG00000185069.2	XP_015668619.1, XP_029139397.1
OG0000029	ENSG00000170421.12	XP_015672252.1
OG0000029	ENSG00000135480.16	XP_015677400.1
OG0000031	ENSG00000197838.5, ENSG00000255974.8, ENSG00000198077.10	XP_015669360.1, XP_015669364.1, XP_015669371.1
OG0000032	ENSG00000205327.3, ENSG00000179695.2, ENSG00000197706.3, ENSG00000188324.4, ENSG00000205328.2, ENSG00000185821.3, ENSG00000187857.4, ENSG00000205330.4, ENSG00000205329.2, ENSG00000179626.4, ENSG00000179615.2	XP_015676330.1, XP_015676339.1
OG0000033	ENSG00000205495.1, ENSG00000176787.2, ENSG00000180974.4, ENSG00000183269.5, ENSG00000205409.3	XP_015682498.1, XP_015682497.1
OG0000033	ENSG00000181609.5, ENSG00000181616.9, ENSG00000255307.1, ENSG00000187747.2	XP_015682719.2, XP_015683403.1, XP_015682714.1
OG0000034	ENSG00000227739.10, ENSG00000224156.10, ENSG00000232575.10, ENSG00000183311.16	XP_015681155.1
OG0000034	ENSG00000188229.6	XP_015687129.1
OG0000034	ENSG00000137267.6	XP_015669671.1
OG0000034	ENSG00000104833.12	XP_015678223.1
OG0000034	ENSG00000176014.13	XP_015672240.1
OG0000034	ENSG00000198211.8	XP_029139076.1
OG0000034	ENSG00000258947.7	XP_029139073.1, XP_029139075.1, XP_029139074.1
OG0000034	ENSG00000101162.4	XP_015679451.1
OG0000042	ENSG00000254221.2, ENSG00000262209.3, ENSG00000253910.2, ENSG00000276547.1, ENSG00000253953.2, ENSG00000253305.2, ENSG00000254122.2	XP_029142585.1, XP_015684114.1, XP_029142579.1
OG0000045	ENSG00000188425.4	XP_029142106.1
OG0000047	ENSG00000166961.15, ENSG00000166959.8, ENSG00000071203.9	XP_015677274.1, XP_015676675.1, XP_015676674.1, XP_015676672.1, XP_015676673.1, XP_015676670.1, XP_015676671.1, XP_015676669.1, XP_015677273.1, XP_015677272.1
OG0000050	ENSG00000130368.6	XP_029142247.1
OG0000051	ENSG00000136531.17	XP_029141524.1
OG0000051	ENSG00000144285.21	XP_015679123.1
OG0000051	ENSG00000153253.18	XP_029141610.1
OG0000051	ENSG00000169432.17	XP_015679120.1
OG0000051	ENSG00000007314.12	XP_029143052.1
OG0000051	ENSG00000183873.16	XP_015688000.1, XP_015688027.1
OG0000051	ENSG00000196876.17	XP_015676422.1, XP_015676425.1, XP_015676426.1, XP_029140872.1, XP_015676424.1, XP_029140871.1, XP_029140870.1
OG0000055	ENSG00000206517.12, ENSG00000232289.8, ENSG00000223898.8, ENSG00000234347.8, ENSG00000237258.8, ENSG00000230780.8, ENSG00000206472.11, ENSG00000204694.11	XP_015665569.1, XP_015665566.1, XP_015665568.1, XP_015665565.1, XP_015665567.1, XP_029139999.1, XP_029140004.1, XP_015665600.1, XP_015665615.1, XP_015665617.1, XP_015665598.1, XP_015665618.1, XP_015665616.1, XP_015665601.1, XP_015665593.1, XP_015665595.1, XP_015665597.2, XP_015665608.1, XP_015665612.1, XP_015665614.1, XP_015665611.1, XP_015665609.1, XP_015665606.1, XP_029138834.1, XP_029138835.1, XP_029138833.1, XP_029138832.1, XP_015665605.1, XP_015665613.2
