Orthogroup	M_musculus.pep	N_naja.pep
OG0000002	ENSMUSG00000076661.2, ENSMUSG00000094134.2, ENSMUSG00000095571.2, ENSMUSG00000095285.2, ENSMUSG00000094951.1, ENSMUSG00000095612.2, ENSMUSG00000095210.2, ENSMUSG00000095429.1, ENSMUSG00000103033.1, ENSMUSG00000076633.7, ENSMUSG00000094194.2, ENSMUSG00000076655.2, ENSMUSG00000096108.2, ENSMUSG00000094533.1, ENSMUSG00000095700.2, ENSMUSG00000095981.1, ENSMUSG00000087582.6, ENSMUSG00000096407.2, ENSMUSG00000076680.1, ENSMUSG00000094174.2, ENSMUSG00000076677.1, ENSMUSG00000076671.5, ENSMUSG00000076653.4, ENSMUSG00000076652.4, ENSMUSG00000076668.4, ENSMUSG00000076665.4	Nana24150-RA
OG0000004	ENSMUSG00000076934.2, ENSMUSG00000076940.3	Nana34665-RF
OG0000006	ENSMUSG00000055228.8, ENSMUSG00000054519.8, ENSMUSG00000063364.10, ENSMUSG00000074472.10, ENSMUSG00000052446.17, ENSMUSG00000092544.8, ENSMUSG00000043090.18, ENSMUSG00000091764.3, ENSMUSG00000092260.7	Nana07874-RA
OG0000006	ENSMUSG00000096718.2, ENSMUSG00000094622.2	Nana07050-RA
OG0000006	ENSMUSG00000056592.14, ENSMUSG00000002266.17, ENSMUSG00000044807.13, ENSMUSG00000020335.13, ENSMUSG00000020364.14, ENSMUSG00000031374.13, ENSMUSG00000072623.6, ENSMUSG00000033669.8, ENSMUSG00000116024.1	Nana07308-RA
OG0000008	ENSMUSG00000060081.1	Nana24313-RA
OG0000008	ENSMUSG00000049932.3	Nana29034-RA
OG0000008	ENSMUSG00000064220.6, ENSMUSG00000063954.7, ENSMUSG00000078851.4, ENSMUSG00000061991.2, ENSMUSG00000071478.6, ENSMUSG00000069309.2, ENSMUSG00000071516.2, ENSMUSG00000069270.6, ENSMUSG00000094248.1, ENSMUSG00000069272.6, ENSMUSG00000069301.5, ENSMUSG00000094777.2, ENSMUSG00000061615.2, ENSMUSG00000063021.3, ENSMUSG00000069302.5	Nana10428-RA
OG0000009	ENSMUSG00000090894.4, ENSMUSG00000090675.2, ENSMUSG00000070460.7, ENSMUSG00000070459.6, ENSMUSG00000116179.1	Nana23397-RA
OG0000014	ENSMUSG00000016559.14	Nana09496-RA
OG0000014	ENSMUSG00000101972.1, ENSMUSG00000101355.1, ENSMUSG00000099517.2, ENSMUSG00000069265.2	Nana10429-RA
OG0000014	ENSMUSG00000060743.12	Nana30712-RA
