Orthogroup	A_carolinensis.pep	M_musculus.pep
OG0000002	ENSACAG00000021075.3, ENSACAG00000029517.1, ENSACAG00000002908.3, ENSACAG00000002907.2, ENSACAG00000002835.2	ENSMUSG00000076661.2, ENSMUSG00000094134.2, ENSMUSG00000095571.2, ENSMUSG00000095285.2, ENSMUSG00000094951.1, ENSMUSG00000095612.2, ENSMUSG00000095210.2, ENSMUSG00000095429.1, ENSMUSG00000103033.1, ENSMUSG00000076633.7, ENSMUSG00000094194.2, ENSMUSG00000076655.2, ENSMUSG00000096108.2, ENSMUSG00000094533.1, ENSMUSG00000095700.2, ENSMUSG00000095981.1, ENSMUSG00000087582.6, ENSMUSG00000096407.2, ENSMUSG00000076680.1, ENSMUSG00000094174.2, ENSMUSG00000076677.1, ENSMUSG00000076671.5, ENSMUSG00000076653.4, ENSMUSG00000076652.4, ENSMUSG00000076668.4, ENSMUSG00000076665.4
OG0000003	ENSACAG00000028914.1, ENSACAG00000029605.1, ENSACAG00000002361.2, ENSACAG00000011105.3, ENSACAG00000029284.1, ENSACAG00000028797.1, ENSACAG00000028470.1, ENSACAG00000029588.1, ENSACAG00000002353.3	ENSMUSG00000076598.3, ENSMUSG00000094117.1, ENSMUSG00000095682.1, ENSMUSG00000095351.2, ENSMUSG00000095338.1, ENSMUSG00000095335.2, ENSMUSG00000076596.3, ENSMUSG00000094478.1, ENSMUSG00000096715.2
OG0000004	ENSACAG00000026467.2	ENSMUSG00000076934.2, ENSMUSG00000076940.3
OG0000004	ENSACAG00000028714.1, ENSACAG00000029428.1, ENSACAG00000023703.2, ENSACAG00000025642.1, ENSACAG00000029178.1, ENSACAG00000022774.2	ENSMUSG00000059280.4, ENSMUSG00000059305.12
OG0000006	ENSACAG00000028936.1	ENSMUSG00000050844.5, ENSMUSG00000063535.7, ENSMUSG00000067942.6, ENSMUSG00000102030.1, ENSMUSG00000101303.1, ENSMUSG00000100305.1, ENSMUSG00000100617.1, ENSMUSG00000101415.1, ENSMUSG00000100265.1, ENSMUSG00000050855.16, ENSMUSG00000055228.8, ENSMUSG00000054519.8, ENSMUSG00000063364.10, ENSMUSG00000074472.10, ENSMUSG00000052446.17, ENSMUSG00000092544.8, ENSMUSG00000043090.18, ENSMUSG00000091764.3, ENSMUSG00000092260.7, ENSMUSG00000096718.2, ENSMUSG00000094622.2, ENSMUSG00000071302.10, ENSMUSG00000069208.9, ENSMUSG00000057982.8, ENSMUSG00000053985.10, ENSMUSG00000050605.17, ENSMUSG00000074282.10
OG0000006	ENSACAG00000012836.3, ENSACAG00000014483.2, ENSACAG00000028531.1, ENSACAG00000010529.2, ENSACAG00000013824.3, ENSACAG00000029188.1	ENSMUSG00000031374.13, ENSMUSG00000072623.6
OG0000008	ENSACAG00000003365.1, ENSACAG00000004700.2, ENSACAG00000004696.1	ENSMUSG00000060081.1
OG0000008	ENSACAG00000015302.1	ENSMUSG00000060032.6, ENSMUSG00000068855.3
OG0000009	ENSACAG00000022740.1, ENSACAG00000023190.1	ENSMUSG00000067522.3
OG0000009	ENSACAG00000022706.1	ENSMUSG00000043226.5, ENSMUSG00000075212.5, ENSMUSG00000075214.3, ENSMUSG00000111454.2, ENSMUSG00000075215.2, ENSMUSG00000111179.1, ENSMUSG00000111566.1
