h_genes,m_genes,s_genes,g_gene,a_gene,x_gene,p_gene,dog_gene
14,227290,107291468,769880,100553819,100124854,459940,478908
15,11298,107290061,396066,100560631,100497589,503504,483331
16,234734,107292575,415668,100551822,100492308,454210,479656
18,268860,107292546,416642,100564208,100158654,453903,479856
19,11303,107286307,373945,100557081,100491942,464630,481651
20,11305,107297250,426955,100561531,100498548,100611553,480669
21,27410,107290318,416386,100554200,100490925,453833,479879
22,11306,107282933,422326,100567948,100487650,473672,491967
24,11304,107299902,424490,100560775,496442,745972,444852
25,11350,107291344,417181,100557530,100490771,107976801,491292
27,11352,107283361,395410,100558561,100487790,457552,480052
30,235674,107284371,770094,100567075,780143,460268,477023
33,11363,107301928,424005,100562130,734116,459914,478895
35,11409,107293846,416969,100557906,394882,742921,477517
36,66885,107285940,423947,100556766,448259,745464,477856
38,110446,107284898,418968,100560489,594960,451528,489421
40,11418,107303027,419945,100565709,100492214,748244,491150
41,11419,107302706,426883,100558723,100489966,451888,477612
47,104112,107303043,395373,100557175,493390,454672,607852
48,11428,107296929,373916,100555878,100216202,465034,481576
50,11429,107285421,374009,100568244,496933,104003784,474487
51,11430,107290782,417366,100562736,548479,454895,483322
52,11431,107284589,421909,100565351,448657,458990,606814
53,11432,107289837,428864,100554599,779653,451166,475983
54,11433,107285149,107057619,100551790,493572,104003264,476705
71,11465,107286753,776816,100564373,394957,746570,475923
81,60595,107295483,396024,100566396,448522,456010,484526
86,56456,107292367,424975,100561555,394962,460863,478637
87,109711,107285832,373918,100553987,780123,452993,480369
90,11477,107289583,395246,100552279,550111,470565,478757
91,11479,107291020,768878,100554341,733849,451911,486537
92,11480,107294303,396324,100562173,100216172,459646,476140
93,11481,107303318,374213,100565604,448641,460271,485590
94,11482,107290871,100857446,100554151,100493282,451910,477603
97,66204,107293073,423361,100557010,548914,467511,480390
98,75572,107285497,421217,100567841,548511,459231,474595
102,11487,107283154,374113,100553674,733451,746942,478321
104,110532,107284292,374087,100567066,100124739,474045,487809
105,94191,107283567,420461,100560912,100496062,742985,487153
107,432530,107287848,420788,100564004,100492373,463392,607357
109,104111,107284867,422013,100558229,100038110,459070,482994
113,11513,107290046,415732,100558751,100127741,473278,487289
114,11514,107289979,420328,100556578,549366,464400,482045
115,11515,107283963,395339,100556223,100126441,453869,490031
116,11516,107285299,408251,100559655,100125031,468489,607433
118,11518,107296618,422882,100564853,448173,740376,488796
119,11519,107283283,107054985,100564223,100125042,459305,610670
120,27360,107289999,373892,100561429,448622,450728,486881
123,11520,107295934,427237,100560306,394560,465012,100856329
132,11534,107287902,423735,100552795,549452,450902,479253
133,11535,107293505,423042,100560660,100135021,451021,403817
141,11544,107289021,418452,100563208,100135190,470893,100855709
142,11545,107291208,396199,100567376,100490557,457785,490385
143,328417,107288235,418958,100563335,100491674,452486,477348
150,11551,107289372,428980,100558331,780304,466201,486888
