Orthogroup	N_naja.pep	P_Mucros.pep
OG0000002	"Nana38722-RA, Nana38264-RA"	"XP_015685264.1, XP_029141702.1"
OG0000002	Nana39072-RA	XP_029142661.1
OG0000002	Nana24128-RA	XP_029141924.1
OG0000002	Nana24149-RA	XP_029141923.1
OG0000004	Nana39422-RA	XP_029142696.1
OG0000006	Nana07050-RA	"XP_029139985.1, XP_029141493.1"
OG0000006	Nana07308-RA	XP_029140115.1
OG0000007	Nana23478-RA	"XP_029140244.1, XP_029140245.1, XP_015679667.1, XP_029140003.1, XP_029140241.1, XP_029140242.1, XP_029140238.1, XP_015679668.1, XP_015679669.1, XP_029140243.1, XP_029140513.1, XP_015674426.1, XP_029139651.1, XP_015669832.2, XP_029139650.1, XP_015684351.1, XP_029139648.1, XP_029142846.1, XP_029139646.1, XP_029139649.1, XP_029139645.1, XP_029140512.1, XP_029139647.1, XP_015674425.1, XP_029140516.1, XP_029140515.1, XP_015674421.1, XP_029140517.1, XP_029140514.1, XP_029141570.1, XP_029138827.1, XP_029138828.1, XP_029138826.1, XP_029138829.1, XP_029141572.1, XP_015684906.2, XP_029141571.1"
OG0000007	Nana38175-RA	"XP_029139023.1, XP_029142932.1, XP_029138837.1, XP_015665623.1"
OG0000008	"Nana24313-RA, Nana24068-RA, Nana24074-RA, Nana10430-RA"	XP_015678749.1
OG0000008	Nana07832-RA	XP_015673915.1
OG0000008	Nana08331-RA	XP_015677647.1
OG0000008	Nana29034-RA	XP_015668418.1
OG0000008	Nana10428-RA	XP_015678750.1
OG0000009	Nana23397-RA	"XP_015672562.1, XP_015672559.1, XP_015672561.1, XP_015665579.1, XP_015674575.1, XP_015674572.2, XP_015684098.2, XP_015684478.1, XP_015684097.1, XP_015684481.1, XP_015684482.1, XP_015684103.1, XP_029140184.1"
OG0000010	"Nana10431-RA, Nana10425-RA"	XP_015678744.1
OG0000010	Nana24069-RA	XP_015675791.1
OG0000014	Nana09496-RA	XP_015680070.1
OG0000014	Nana24071-RA	"XP_015669928.1, XP_015669926.1, XP_015683802.1"
OG0000014	Nana23739-RA	"XP_015665992.1, XP_015681930.1"
OG0000014	Nana24070-RA	XP_015678128.1
OG0000014	Nana30712-RA	XP_015674626.1
OG0000015	Nana07170-RA	"XP_029141494.1, XP_029142842.1, XP_029142300.1"
OG0000015	Nana37963-RA	"XP_015684078.2, XP_015686359.1"
OG0000015	"Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE"	"XP_029142551.1, XP_015682087.2"
OG0000015	"Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA"	"XP_015683644.1, XP_015684435.1, XP_029142095.1"
OG0000015	Nana37983-RA	XP_015683740.1
OG0000015	"Nana39512-RA, Nana07213-RA"	"XP_029142552.1, XP_015684387.1, XP_015684316.1"
OG0000015	"Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA"	XP_029142094.1
OG0000015	"Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA"	"XP_015684314.1, XP_029142617.1"
OG0000018	Nana10432-RA	XP_015686319.1
OG0000018	"Nana10427-RA, Nana23737-RA, Nana24314-RA, Nana38984-RA"	XP_015665997.1
OG0000021	"Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB"	XP_029138891.1
OG0000021	"Nana09413-RA, Nana09413-RB, Nana09413-RC"	"XP_015665771.1, XP_015665778.1"
OG0000021	"Nana13832-RA, Nana13832-RB"	XP_015669261.1
OG0000021	Nana24863-RA	"XP_015677905.1, XP_015677906.1, XP_015677907.1"
OG0000023	Nana23400-RA	"XP_029140194.1, XP_015672569.2"
OG0000026	Nana15442-RA	XP_029142608.1
OG0000026	"Nana15436-RA, Nana15438-RA"	"XP_029142559.1, XP_015684188.2"
OG0000026	"Nana15441-RA, Nana15443-RA"	XP_029142606.1
OG0000027	"Nana03933-RA, Nana20181-RA"	"XP_015670228.1, XP_015681657.1"
OG0000027	"Nana03934-RB, Nana03934-RA"	XP_015672184.1
OG0000027	Nana27836-RA	XP_015674309.1
OG0000027	Nana27543-RA	XP_015679074.1
OG0000027	Nana13883-RA	XP_015671065.1
OG0000027	Nana03933-RB	"XP_015672183.1, XP_015672182.1"
OG0000027	Nana09911-RA	XP_015670229.1
OG0000029	Nana10133-RA	XP_015683489.1
OG0000029	Nana10134-RA	XP_015683491.1
OG0000029	Nana10130-RA	XP_015668619.1
OG0000029	Nana10131-RA	XP_029139397.1
OG0000029	Nana10387-RA	XP_015672252.1
OG0000029	Nana10116-RA	XP_015677400.1
OG0000031	Nana30921-RA	XP_015669362.1
OG0000031	Nana30920-RB	"XP_015669369.1, XP_015669367.1, XP_015669370.1, XP_015669368.1, XP_015669366.1, XP_029139546.1, XP_029139545.1, XP_029139547.1, XP_029139544.1, XP_029139542.1, XP_029139543.1"
OG0000031	Nana30920-RA	"XP_029139541.1, XP_015669359.1"
OG0000031	Nana30920-RC	"XP_015669360.1, XP_015669364.1, XP_015669371.1"
OG0000033	Nana25612-RA	"XP_015682503.1, XP_029142234.1, XP_015686066.1"
OG0000033	Nana25617-RA	"XP_015682498.1, XP_015682497.1"
OG0000033	Nana25601-RA	"XP_015682719.2, XP_015683403.1"
OG0000034	Nana07731-RA	XP_015675565.1
OG0000034	Nana36726-RA	XP_015687129.1
OG0000034	Nana15765-RA	XP_015669891.1
OG0000034	Nana15763-RA	XP_015669671.1
OG0000034	Nana16081-RA	XP_015672240.1
OG0000034	Nana13527-RA	XP_015679451.1
OG0000041	Nana06960-RA	"XP_015678898.1, XP_015674874.1"
OG0000041	Nana07059-RA	XP_029141199.1
OG0000041	"Nana07193-RA, Nana07192-RA, Nana07188-RA, Nana07187-RA"	"XP_015683246.2, XP_029142488.1, XP_029142489.1, XP_015685368.2"
OG0000042	"Nana15423-RA, Nana15427-RA, Nana15429-RA"	XP_029142585.1
OG0000045	Nana30791-RA	XP_029142106.1
OG0000047	"Nana04130-RB, Nana04130-RA, Nana04125-RB, Nana04125-RA, Nana04122-RB, Nana04122-RA, Nana04121-RD, Nana04121-RB, Nana04121-RE, Nana04121-RA, Nana04121-RC, Nana04123-RA, Nana04137-RE, Nana04137-RB, Nana04137-RA, Nana04131-RB, Nana04131-RA, Nana04137-RD, Nana04137-RC, Nana04128-RA, Nana04135-RC, Nana04135-RD, Nana04135-RB, Nana04135-RA, Nana04133-RG, Nana04134-RG, Nana04134-RD, Nana04133-RB, Nana04133-RD, Nana04133-RC, Nana04133-RH, Nana04133-RE"	"XP_015677274.1, XP_015676675.1, XP_015676674.1, XP_015676672.1, XP_015676673.1, XP_015676670.1, XP_015676671.1, XP_015676669.1"
OG0000047	"Nana04126-RA, Nana04126-RB"	"XP_015677273.1, XP_015677272.1"
OG0000050	"Nana16983-RA, Nana16985-RA, Nana39960-RA"	"XP_029142422.1, XP_029140729.1"
OG0000050	Nana16988-RA	"XP_015678110.1, XP_015685176.2, XP_015678113.2"
OG0000050	Nana16986-RA	"XP_015678116.1, XP_015678118.1, XP_015678117.1"
OG0000050	Nana38885-RA	XP_029141730.1
OG0000050	Nana16995-RA	XP_015678111.1
OG0000050	"Nana16991-RA, Nana16993-RA, Nana16981-RA, Nana39715-RA, Nana38884-RA, Nana38882-RA"	"XP_015680472.2, XP_029141732.1, XP_015678112.1, XP_015680471.2, XP_015680476.2, XP_015680474.2, XP_015685624.2, XP_015680470.1"
OG0000050	Nana16998-RA	"XP_015680468.1, XP_029141731.1, XP_015680473.1"
OG0000051	"Nana03481-RA, Nana03471-RA"	XP_029141524.1
OG0000051	Nana03469-RA	XP_015679120.1
OG0000051	Nana22919-RA	XP_029143052.1
OG0000051	Nana21196-RA	XP_015688000.1
OG0000051	Nana09998-RA	"XP_015676422.1, XP_015676425.1, XP_015676426.1, XP_029140872.1, XP_015676424.1, XP_029140871.1, XP_029140870.1"
OG0000053	Nana07286-RA	"XP_029140902.1, XP_029141896.1"
OG0000053	"Nana37792-RA, Nana23513-RA"	"XP_015665798.1, XP_015681317.1"
