CroVir_rnd1.all.maker.proteins.final,P_Mucros.pep
crovir-protein-4497,XP_029142696.1
crovir-protein-13481,XP_015684316.1
crovir-protein-20,XP_015684387.1
crovir-protein-3904,XP_015677295.1
crovir-protein-3877,XP_015672353.1
crovir-protein-17202,XP_015683290.1
crovir-protein-3882,XP_015672354.1
crovir-protein-17206,XP_015685938.1
crovir-protein-17210,XP_015682707.1
crovir-protein-17209,XP_015682498.1
crovir-protein-17203,XP_015682714.1
crovir-protein-3883,XP_015672352.1
crovir-protein-17359,XP_015683397.1
crovir-protein-16954,XP_029142382.1
crovir-protein-2766,XP_015668974.1
crovir-protein-10801,XP_015675899.1
crovir-protein-10984,XP_015687184.2
crovir-protein-11016,XP_015675901.1
crovir-protein-11015,XP_015675897.1
crovir-protein-11018,XP_015687186.2
crovir-protein-11467,XP_015668418.1
crovir-protein-14577,XP_015678743.1
crovir-protein-14578,XP_015678750.1
crovir-protein-17214,XP_015672351.2
crovir-protein-3878,XP_015672350.1
crovir-protein-17360,XP_015683400.2
crovir-protein-17212,XP_015682702.1
crovir-protein-1263,XP_015669363.2
crovir-protein-14573,XP_015678744.1
crovir-protein-8540,XP_015680915.1
crovir-protein-13633,XP_029140727.1
crovir-protein-14162,XP_029138891.1
crovir-protein-6454,XP_015669261.1
crovir-protein-145,XP_015687581.1
crovir-protein-14686,XP_029141149.1
crovir-protein-14682,XP_015677713.1
crovir-protein-17261,XP_015672393.1
crovir-protein-2954,XP_015665996.1
crovir-protein-14548,XP_015670228.1
crovir-protein-10727,XP_015681657.1
crovir-protein-14523,XP_015670229.1
crovir-protein-6404,XP_015671065.1
crovir-protein-4297,XP_015674309.1
crovir-protein-8248,XP_029141610.1
crovir-protein-8240,XP_029141524.1
crovir-protein-8269,XP_015679123.1
crovir-protein-8268,XP_015679120.1
crovir-protein-2456,XP_029143052.1
crovir-protein-1748,XP_015688000.1
crovir-protein-3060,XP_015684243.1
crovir-protein-6796,XP_015676883.1
crovir-protein-3069,XP_029142850.1
crovir-protein-17168,XP_015686729.2
crovir-protein-16691,XP_015673408.1
crovir-protein-17380,XP_029140479.1
crovir-protein-7863,XP_015676680.1
crovir-protein-7936,XP_015676669.1
crovir-protein-3080,XP_015677486.2
crovir-protein-3900,XP_015677482.1
crovir-protein-3081,XP_015677492.1
crovir-protein-14586,XP_015672252.1
crovir-protein-14696,XP_015677400.1
crovir-protein-14670,XP_029139397.1
crovir-protein-14668,XP_015683489.1
crovir-protein-14669,XP_015683491.1
crovir-protein-14947,XP_015678223.1
crovir-protein-1359,XP_029139074.1
crovir-protein-6623,XP_015679451.1
crovir-protein-4496,XP_015675565.1
crovir-protein-5223,XP_029139076.1
crovir-protein-7295,XP_015684708.1
crovir-protein-9384,XP_015679888.1
crovir-protein-14366,XP_015670662.1
crovir-protein-10330,XP_015687360.1
crovir-protein-3131,XP_015681722.1
crovir-protein-909,XP_029139363.1
crovir-protein-9131,XP_029140019.1
crovir-protein-6495,XP_015677033.1
crovir-protein-5206,XP_015669757.1
crovir-protein-13177,XP_015683388.1
crovir-protein-13183,XP_015684923.1
crovir-protein-2571,XP_015687773.1
crovir-protein-2576,XP_015687802.1
crovir-protein-2578,XP_015687766.1
crovir-protein-13585,XP_029143067.1
crovir-protein-11944,XP_029138977.1
crovir-protein-17005,XP_015685155.1
crovir-protein-3290,XP_029142495.1
crovir-protein-10027,XP_015676188.1
crovir-protein-6709,XP_015680124.1
crovir-protein-15385,XP_015683998.1
crovir-protein-8836,XP_029141248.1
crovir-protein-6125,XP_029139042.1
crovir-protein-2592,XP_015670652.1
crovir-protein-3050,XP_029141424.1
crovir-protein-3794,XP_015675447.2
crovir-protein-8963,XP_029140096.1
crovir-protein-1099,XP_029139330.1
crovir-protein-16616,XP_015684549.1
crovir-protein-14109,XP_015677192.1
crovir-protein-9866,XP_015670329.1
