P_Mucros.pep,N_naja.pep
XP_015673776.1,Nana23999-RA
XP_029141924.1,Nana24128-RA
XP_029142755.1,Nana07369-RA
XP_015668974.1,Nana23432-RA
XP_029141896.1,Nana07286-RA
XP_015683740.1,Nana37983-RA
XP_015678749.1,Nana10430-RA
XP_015678750.1,Nana10428-RA
XP_015673915.1,Nana07832-RA
XP_015677647.1,Nana08331-RA
XP_015668418.1,Nana29034-RA
XP_015675899.1,Nana20799-RA
XP_015687185.2,Nana20829-RA
XP_015675897.1,Nana20798-RA
XP_029141443.1,Nana20769-RA
XP_015687191.1,Nana20824-RA
XP_029141452.1,Nana20791-RA
XP_015675893.2,Nana20786-RA
XP_015679108.2,Nana20776-RA
XP_015679109.2,Nana20777-RA
XP_015687186.2,Nana20821-RA
XP_015682702.1,Nana25595-RA
XP_015686910.1,Nana25605-RA
XP_015678111.1,Nana16990-RA
XP_029141730.1,Nana38885-RA
XP_029142421.1,Nana16980-RA
XP_015675669.1,Nana09496-RA
XP_015674626.1,Nana30712-RD
XP_015675791.1,Nana24069-RA
XP_015683800.1,Nana38982-RA
XP_029140727.1,Nana08547-RB
XP_015675704.1,Nana19019-RA
XP_015677713.1,Nana24248-RB
XP_029141149.1,Nana39899-RA
XP_015687581.1,Nana34340-RA
XP_015673910.1,Nana07844-RA
XP_015673894.2,Nana07842-RA
XP_015679120.1,Nana03469-RA
XP_029143052.1,Nana22919-RA
XP_015674309.1,Nana27836-RA
XP_015679074.1,Nana27543-RA
XP_015671065.1,Nana13883-RA
XP_015670229.1,Nana09911-RA
XP_029142599.1,Nana23924-RA
XP_015676883.1,Nana39516-RA
XP_029142268.1,Nana23923-RA
XP_015673408.1,Nana27935-RA
XP_015686675.1,Nana27902-RA
XP_029142076.1,Nana27905-RA
XP_015686729.2,Nana27903-RA
XP_015681994.1,Nana27895-RA
XP_015672252.1,Nana10387-RA
XP_015677400.1,Nana10116-RA
XP_015683489.1,Nana10133-RA
XP_015683491.1,Nana10134-RA
XP_029139397.1,Nana10131-RA
XP_015687129.1,Nana36726-RA
XP_015675565.1,Nana07731-RA
XP_015679451.1,Nana13527-RA
XP_015672240.1,Nana16081-RA
XP_015677033.1,Nana13746-RA
XP_029139363.1,Nana30223-RA
XP_029140019.1,Nana01987-RA
XP_029140022.1,Nana01988-RA
XP_015669757.1,Nana16117-RA
XP_015670662.1,Nana09728-RA
XP_015682953.1,Nana34355-RA
XP_015684708.1,Nana05169-RA
XP_015687360.1,Nana19300-RA
XP_015674238.1,Nana05425-RA
XP_029142608.1,Nana15442-RA
XP_029138977.1,Nana27045-RA
XP_029140098.1,Nana19135-RA
XP_029142495.1,Nana26323-RA
XP_015687802.1,Nana23090-RA
XP_029143185.1,Nana23088-RA
XP_015683388.1,Nana07752-RA
XP_015684923.1,Nana07755-RA
XP_015683390.1,Nana07751-RA
XP_015684989.1,Nana11469-RA
XP_029142780.1,Nana11470-RA
XP_029139042.1,Nana14360-RA
XP_015679762.1,Nana24815-RA
XP_029140096.1,Nana02215-RA
XP_029138971.1,Nana23710-RA
XP_029142106.1,Nana30791-RA
XP_015685155.1,Nana38658-RA
XP_015685097.1,Nana02900-RA
XP_029140819.1,Nana02902-RA
XP_015676194.1,Nana02894-RA
XP_015674555.1,Nana05577-RA
XP_015681721.1,Nana24092-RA
XP_015684957.1,Nana22819-RA
XP_015672094.1,Nana30320-RA
XP_015670842.1,Nana11138-RA
XP_015670840.1,Nana11137-RA
XP_015666496.1,Nana32804-RC
XP_015671315.1,Nana12893-RA
XP_015671317.1,Nana12893-RC
XP_029141436.1,Nana35916-RA
XP_015678738.1,Nana07708-RA
XP_029143045.1,Nana06985-RA
XP_015670470.1,Nana03360-RA
XP_015687513.1,Nana15295-RA
XP_015687512.1,Nana15294-RA
XP_029138764.1,Nana32101-RD
XP_029139244.1,Nana02958-RA
XP_029140039.1,Nana20288-RA
XP_029139245.1,Nana02961-RA
XP_015666895.1,Nana31822-RA
XP_015666896.1,Nana31823-RA
XP_015666927.1,Nana31824-RA
XP_015665943.1,Nana31641-RA
XP_015674724.1,Nana16229-RA
XP_015684072.2,Nana15417-RA
XP_015684155.1,Nana15430-RA
XP_015684165.2,Nana15429-RB
XP_015673125.1,Nana03794-RA
XP_029138811.1,Nana06067-RA
XP_015684967.1,Nana14670-RA
XP_029139567.1,Nana10784-RA
XP_015672611.1,Nana10327-RA
XP_015672533.1,Nana03294-RA
XP_029141364.1,Nana33055-RA
XP_029140419.1,Nana07159-RA
XP_015667116.1,Nana29776-RB
XP_015674428.1,Nana23497-RA
XP_015674430.2,Nana23491-RA
XP_015669828.1,Nana23483-RA
XP_015679681.1,Nana09934-RA
XP_015678379.1,Nana10140-RA
XP_015672627.1,Nana10295-RA
XP_015677480.1,Nana23943-RA
XP_029142455.1,Nana23910-RA
XP_015681182.1,Nana23918-RA
XP_015682429.1,Nana13189-RA
XP_015682430.1,Nana13194-RA
XP_015671967.2,Nana26179-RA
XP_015685989.1,Nana08966-RA
XP_029141247.1,Nana36846-RA
XP_015675828.1,Nana36848-RA
XP_015684705.1,Nana14924-RA
XP_029139926.1,Nana10449-RA
XP_029139925.1,Nana10448-RA
XP_015671217.1,Nana10451-RA
XP_029142064.1,Nana24321-RA
XP_015676950.1,Nana15378-RA
XP_015683080.1,Nana36358-RA
XP_015683861.1,Nana30635-RA
XP_015670344.1,Nana28736-RA
XP_015678398.1,Nana10097-RC
XP_015686607.1,Nana03073-RA
XP_015669788.1,Nana21110-RA
XP_029139751.1,Nana25242-RA
XP_029139749.1,Nana25241-RA
XP_015670206.1,Nana25244-RA
XP_015681724.1,Nana30570-RA
XP_015682381.1,Nana30515-RA
XP_015672863.1,Nana18220-RA
XP_015682229.1,Nana25443-RA
XP_015672837.1,Nana32135-RA
XP_015674820.1,Nana09163-RA
XP_015681165.1,Nana25888-RA
XP_015668682.1,Nana39102-RA
XP_015676483.1,Nana30839-RA
XP_015674502.1,Nana20256-RA
XP_015686840.1,Nana06875-RA
XP_015669915.1,Nana27152-RA
XP_015676780.1,Nana34078-RA
XP_015670095.1,Nana14328-RA
XP_015669285.1,Nana12509-RA
XP_015665422.1,Nana06161-RB
XP_015668814.1,Nana05770-RA
XP_029140470.1,Nana30115-RA
XP_015672809.1,Nana08643-RA
XP_029141415.1,Nana25229-RA
XP_015682424.1,Nana18750-RA
XP_015680358.1,Nana12533-RA
XP_015684321.2,Nana35393-RA
XP_015668220.1,Nana37581-RA
XP_015679505.1,Nana29251-RA
XP_015671692.1,Nana08395-RA
XP_015676715.1,Nana02416-RA
XP_015684744.1,Nana21098-RA
XP_029142411.1,Nana38406-RA
XP_015686258.1,Nana30970-RA
XP_015677214.1,Nana37076-RA
XP_015666892.1,Nana14953-RA
XP_015670458.1,Nana03353-RG
XP_015665509.1,Nana06186-RA
XP_029141409.1,Nana35936-RA
XP_029142366.1,Nana35941-RA
XP_029141015.1,Nana12012-RA
XP_029141470.1,Nana03512-RA
XP_029140923.1,Nana10107-RA
XP_015684903.1,Nana10545-RA
XP_015675839.1,Nana37639-RA
XP_015683637.1,Nana37247-RA
XP_015678419.1,Nana18677-RA
XP_015683661.1,Nana13333-RA
XP_015687761.1,Nana23075-RA
XP_029139251.1,Nana19440-RA
XP_015682850.1,Nana18452-RA
XP_015665542.1,Nana06082-RA
XP_015666344.1,Nana14544-RA
XP_015667286.1,Nana09550-RA
XP_029139131.1,Nana09552-RA
XP_015670327.1,Nana00631-RA
XP_015670326.1,Nana00630-RA
XP_015682491.1,Nana30662-RA
XP_015685533.1,Nana30659-RB
XP_015685368.2,Nana07188-RA
XP_015674515.1,Nana01559-RA
XP_015678292.1,Nana30761-RA
XP_015680285.1,Nana30762-RA
XP_015669576.1,Nana04942-RA
XP_015670169.1,Nana29562-RA
XP_015687365.1,Nana19294-RA
XP_015678970.1,Nana19282-RA
XP_029141414.1,Nana19283-RA
XP_029141413.1,Nana19279-RA
XP_015686431.1,Nana04968-RC
XP_029141224.1,Nana00706-RA
XP_015675513.1,Nana04962-RA
XP_015672812.1,Nana08636-RA
XP_015666879.1,Nana26053-RA
XP_029138765.1,Nana32725-RA
XP_015675061.1,Nana09218-RA
XP_015665756.1,Nana23580-RA
XP_015667544.1,Nana13959-RA
XP_015671969.1,Nana04300-RA
XP_015669483.1,Nana11108-RA
XP_015677236.2,Nana30407-RA
XP_015667869.1,Nana19444-RA
XP_015684024.2,Nana18448-RA
XP_015686410.1,Nana09006-RA
XP_029141320.1,Nana27598-RA
XP_015678568.1,Nana27600-RA
XP_015681133.1,Nana08149-RA
XP_015679212.1,Nana08133-RA
XP_015675064.1,Nana03153-RA
XP_029140344.1,Nana00799-RA
XP_029142789.1,Nana38701-RA
XP_029140185.1,Nana23399-RA
XP_015681941.1,Nana34187-RB
XP_015681947.1,Nana34187-RA
XP_015681761.1,Nana34186-RA
XP_015668929.1,Nana19904-RA
XP_015680900.1,Nana18336-RA
XP_015684043.1,Nana36000-RA
XP_015676390.1,Nana28668-RA
XP_029140862.1,Nana28665-RA
XP_029141374.1,Nana14703-RA
XP_015668246.1,Nana15740-RA
XP_015672964.1,Nana02319-RA
XP_015685683.1,Nana13407-RA
XP_015679413.1,Nana02349-RA
XP_015674516.1,Nana29903-RA
XP_015683511.1,Nana17092-RA
XP_015687659.1,Nana30182-RA
XP_015682845.1,Nana13356-RA
XP_015683143.1,Nana28321-RA
XP_015683146.2,Nana28324-RA
XP_015666168.1,Nana06294-RA
XP_015666971.1,Nana21272-RA
XP_015681070.1,Nana03716-RA
XP_029139258.1,Nana39032-RA
XP_015672454.1,Nana22704-RA
XP_015668623.1,Nana15122-RA
XP_015676915.1,Nana37512-RB
XP_015687603.2,Nana19477-RA
XP_015674514.1,Nana01553-RA
XP_015674772.1,Nana05115-RA
XP_029140326.1,Nana27960-RA
XP_015671850.1,Nana13679-RA
XP_015667139.1,Nana29768-RA
XP_015684391.1,Nana33870-RA
XP_015687209.1,Nana33742-RA
XP_015687208.1,Nana33751-RA
XP_029142181.1,Nana07114-RA
XP_015674242.1,Nana36385-RA
XP_015686657.1,Nana11205-RA
XP_015671583.1,Nana14994-RA
XP_015678645.1,Nana14181-RA
XP_015678646.1,Nana14182-RA
XP_015678647.1,Nana14184-RA
XP_015677956.1,Nana29198-RA
XP_015683034.1,Nana07920-RC
XP_015674986.1,Nana14043-RA
XP_015670612.1,Nana10669-RA
XP_015672503.1,Nana01233-RA
XP_015679096.1,Nana35924-RA
XP_015676129.1,Nana04199-RA
XP_015672051.1,Nana04184-RA
XP_029140405.1,Nana03819-RA
XP_029140162.1,Nana11802-RA
XP_015677572.1,Nana22564-RA
XP_029139964.1,Nana05028-RA
XP_029139967.1,Nana05022-RA
XP_029141207.1,Nana05017-RA
XP_015676189.1,Nana02904-RA
XP_015672468.1,Nana14069-RA
XP_015679262.2,Nana03586-RA
XP_015671392.1,Nana02364-RA
XP_029142131.1,Nana06634-RA
XP_015675100.1,Nana04405-RA
XP_015682701.1,Nana27661-RA
XP_015674143.1,Nana04896-RA
XP_029139457.1,Nana36169-RA
XP_015675017.1,Nana34377-RA
XP_015675003.1,Nana34376-RA
XP_015684238.1,Nana30964-RA
XP_029140812.1,Nana30883-RA
XP_015678334.1,Nana05989-RA
XP_015676151.1,Nana30884-RA
XP_029141186.1,Nana20113-RA
XP_015670837.1,Nana11132-RB
XP_015676014.1,Nana03412-RA
XP_029138883.1,Nana23252-RA
XP_015669312.1,Nana11187-RA
XP_015681608.1,Nana36977-RA
XP_015675528.1,Nana04566-RA
XP_029139834.1,Nana22728-RA
XP_029143083.1,Nana14296-RA
XP_015679241.1,Nana29521-RA
XP_029141693.1,Nana08341-RA
XP_015682545.1,Nana14295-RA
XP_015670477.1,Nana23966-RA
XP_015686926.1,Nana00862-RA
XP_029143039.1,Nana00862-RB
XP_015677215.1,Nana37082-RA
XP_015677141.1,Nana15310-RA
XP_015687890.1,Nana32712-RA
XP_015670377.1,Nana18269-RA
XP_015683638.1,Nana37242-RA
XP_029141908.1,Nana37238-RA
XP_015676404.1,Nana36992-RA
XP_015670145.1,Nana15316-RA
XP_015674326.1,Nana19252-RA
XP_015666713.1,Nana21478-RA
XP_015670112.1,Nana22946-RA
XP_015684290.1,Nana03711-RA
XP_015678280.1,Nana09918-RA
XP_029142394.1,Nana27917-RA
XP_029142118.1,Nana27914-RA
XP_015676748.1,Nana08223-RA
XP_015676230.1,Nana26808-RA
XP_015671842.1,Nana02597-RA
XP_029140312.1,Nana34547-RA
XP_015677684.1,Nana27250-RA
XP_015682569.1,Nana30734-RA
XP_015666218.1,Nana02821-RA
XP_015669060.1,Nana05143-RA
XP_015679495.1,Nana29987-RA
XP_015679641.1,Nana29992-RA
XP_015683370.1,Nana14966-RA
XP_015668763.1,Nana10845-RA
XP_015671382.1,Nana03386-RA
XP_015666088.1,Nana21898-RA
XP_015665930.1,Nana23187-RA
XP_015674345.1,Nana37691-RA
XP_015681906.1,Nana06434-RA
XP_015665820.1,Nana23628-RA
XP_029140042.1,Nana13941-RA
XP_015666027.1,Nana23751-RA
XP_029139365.1,Nana20347-RA
XP_029143212.1,Nana32572-RA
XP_015683506.1,Nana26291-RA
XP_015668438.1,Nana20352-RA
XP_029141592.1,Nana36768-RA
XP_015670410.1,Nana26104-RA
XP_029140409.1,Nana15912-RA
XP_015678776.1,Nana02495-RA
XP_029140184.1,Nana23397-RA
XP_015684318.1,Nana27786-RA
XP_015670606.2,Nana10637-RA
XP_029140806.1,Nana08297-RA
XP_015671889.1,Nana00985-RA
XP_015668028.1,Nana38227-RA
XP_015667161.1,Nana29820-RA
