Orthogroup	C_familiaris.pep	M_musculus.pep
OG0000003	ENSCAFG00000031795.2	ENSMUSG00000076598.3, ENSMUSG00000094117.1, ENSMUSG00000095682.1, ENSMUSG00000095351.2, ENSMUSG00000095338.1, ENSMUSG00000095335.2, ENSMUSG00000076596.3, ENSMUSG00000094478.1, ENSMUSG00000096715.2
OG0000003	ENSCAFG00000047288.1	ENSMUSG00000076564.2, ENSMUSG00000076570.6, ENSMUSG00000076534.6, ENSMUSG00000096422.2, ENSMUSG00000095007.1, ENSMUSG00000076526.6, ENSMUSG00000076538.1, ENSMUSG00000079543.3
OG0000003	ENSCAFG00000023369.2	ENSMUSG00000076572.6
OG0000003	ENSCAFG00000007370.4, ENSCAFG00000007366.4	ENSMUSG00000094797.1, ENSMUSG00000076594.2, ENSMUSG00000095630.2, ENSMUSG00000096844.1, ENSMUSG00000095794.2, ENSMUSG00000094930.2, ENSMUSG00000076578.3, ENSMUSG00000076587.3, ENSMUSG00000076576.2, ENSMUSG00000076583.1, ENSMUSG00000076580.3, ENSMUSG00000104769.1, ENSMUSG00000076586.2, ENSMUSG00000076581.1, ENSMUSG00000076589.2, ENSMUSG00000094356.2, ENSMUSG00000096594.2, ENSMUSG00000076577.2, ENSMUSG00000076575.6
OG0000004	ENSCAFG00000043966.1, ENSCAFG00000044654.1, ENSCAFG00000044541.1, ENSCAFG00000043204.1, ENSCAFG00000041046.1, ENSCAFG00000049192.1, ENSCAFG00000044139.1, ENSCAFG00000029243.2, ENSCAFG00000042203.1, ENSCAFG00000049779.1, ENSCAFG00000049435.1, ENSCAFG00000043457.1, ENSCAFG00000029746.2, ENSCAFG00000043751.1, ENSCAFG00000023920.3, ENSCAFG00000047806.1, ENSCAFG00000049328.1, ENSCAFG00000046023.1	ENSMUSG00000076934.2, ENSMUSG00000076940.3
OG0000004	ENSCAFG00000024382.3	ENSMUSG00000059280.4, ENSMUSG00000059305.12
OG0000006	ENSCAFG00000030603.2	ENSMUSG00000050844.5, ENSMUSG00000063535.7
OG0000006	ENSCAFG00000030568.2	ENSMUSG00000067942.6
OG0000006	ENSCAFG00000029058.2	ENSMUSG00000102030.1, ENSMUSG00000101303.1, ENSMUSG00000100305.1, ENSMUSG00000100617.1, ENSMUSG00000101415.1, ENSMUSG00000100265.1
OG0000006	ENSCAFG00000045193.1	ENSMUSG00000050855.16
OG0000006	ENSCAFG00000043244.1, ENSCAFG00000049832.1	ENSMUSG00000055228.8
OG0000006	ENSCAFG00000032123.2	ENSMUSG00000063364.10
OG0000006	ENSCAFG00000031471.2	ENSMUSG00000074472.10
OG0000006	ENSCAFG00000029454.2	ENSMUSG00000052446.17
OG0000006	ENSCAFG00000041809.1, ENSCAFG00000031469.2	ENSMUSG00000096718.2, ENSMUSG00000094622.2
OG0000006	ENSCAFG00000029649.2	ENSMUSG00000071302.10, ENSMUSG00000069208.9
OG0000006	ENSCAFG00000002441.4	ENSMUSG00000002266.17
OG0000006	ENSCAFG00000030461.2	ENSMUSG00000044807.13
OG0000006	ENSCAFG00000031000.3, ENSCAFG00000029114.3	ENSMUSG00000020335.13
OG0000006	ENSCAFG00000029984.2	ENSMUSG00000031374.13
OG0000006	ENSCAFG00000010392.4, ENSCAFG00000023499.4, ENSCAFG00000043983.1, ENSCAFG00000029179.2	ENSMUSG00000072623.6
OG0000006	ENSCAFG00000049102.1	ENSMUSG00000033669.8, ENSMUSG00000116024.1
OG0000008	ENSCAFG00000012984.1	ENSMUSG00000060032.6
OG0000008	ENSCAFG00000046411.1	ENSMUSG00000063689.4
OG0000008	ENSCAFG00000012332.2	ENSMUSG00000049932.3
OG0000008	ENSCAFG00000043458.1	ENSMUSG00000064220.6, ENSMUSG00000063954.7
OG0000008	ENSCAFG00000029759.1, ENSCAFG00000031754.1, ENSCAFG00000028830.1, ENSCAFG00000044066.1, ENSCAFG00000029260.1	ENSMUSG00000063021.3
OG0000008	ENSCAFG00000024329.2, ENSCAFG00000030507.1, ENSCAFG00000029078.1, ENSCAFG00000049775.1	ENSMUSG00000069302.5
OG0000009	ENSCAFG00000007632.4	ENSMUSG00000067522.3
OG0000009	ENSCAFG00000007993.2	ENSMUSG00000043226.5
OG0000009	ENSCAFG00000041303.1	ENSMUSG00000075212.5, ENSMUSG00000075214.3
OG0000009	ENSCAFG00000043344.1	ENSMUSG00000111454.2, ENSMUSG00000075215.2, ENSMUSG00000111179.1, ENSMUSG00000111566.1
OG0000009	ENSCAFG00000030998.1, ENSCAFG00000031814.1	ENSMUSG00000047149.5
OG0000009	ENSCAFG00000031163.1	ENSMUSG00000075164.2
OG0000009	ENSCAFG00000008094.4	ENSMUSG00000075161.3, ENSMUSG00000075163.5, ENSMUSG00000075159.5, ENSMUSG00000075160.3
OG0000009	ENSCAFG00000008017.4	ENSMUSG00000075208.6
OG0000009	ENSCAFG00000011043.4	ENSMUSG00000051392.5
OG0000009	ENSCAFG00000008020.3	ENSMUSG00000046975.7
OG0000009	ENSCAFG00000008097.3	ENSMUSG00000075158.5
OG0000010	ENSCAFG00000029445.1	ENSMUSG00000050799.3
OG0000010	ENSCAFG00000030731.2	ENSMUSG00000105827.1
OG0000010	ENSCAFG00000030570.1, ENSCAFG00000029200.2	ENSMUSG00000069307.6, ENSMUSG00000069303.6
OG0000010	ENSCAFG00000043731.1	ENSMUSG00000058385.8
OG0000010	ENSCAFG00000044027.1	ENSMUSG00000114279.1
OG0000010	ENSCAFG00000031494.1	ENSMUSG00000114456.1
OG0000010	ENSCAFG00000024333.1, ENSCAFG00000024336.2	ENSMUSG00000075031.4
OG0000013	ENSCAFG00000029783.1, ENSCAFG00000031439.1	ENSMUSG00000108426.2
OG0000014	ENSCAFG00000016119.5	ENSMUSG00000016559.14
OG0000014	ENSCAFG00000040996.1, ENSCAFG00000049134.1, ENSCAFG00000043815.1, ENSCAFG00000048797.1	ENSMUSG00000101972.1
OG0000014	ENSCAFG00000042995.1	ENSMUSG00000099517.2
OG0000018	ENSCAFG00000031940.2, ENSCAFG00000029110.1, ENSCAFG00000032188.1	ENSMUSG00000060678.5
OG0000018	ENSCAFG00000024275.3, ENSCAFG00000029451.2	ENSMUSG00000069305.3, ENSMUSG00000069306.5
OG0000018	ENSCAFG00000029066.1	ENSMUSG00000067455.5
OG0000020	ENSCAFG00000044868.1, ENSCAFG00000045759.1	ENSMUSG00000095554.2, ENSMUSG00000094241.2, ENSMUSG00000076709.2, ENSMUSG00000095863.2, ENSMUSG00000094051.6, ENSMUSG00000096410.2, ENSMUSG00000095130.1, ENSMUSG00000095859.2, ENSMUSG00000094652.2, ENSMUSG00000095923.6, ENSMUSG00000095761.6, ENSMUSG00000096649.2, ENSMUSG00000094546.1, ENSMUSG00000103290.1, ENSMUSG00000103254.1, ENSMUSG00000094561.1, ENSMUSG00000093955.2, ENSMUSG00000076695.7
OG0000020	ENSCAFG00000046928.1	ENSMUSG00000102888.1
OG0000021	ENSCAFG00000017575.4	ENSMUSG00000057003.12
OG0000021	ENSCAFG00000017522.4	ENSMUSG00000033196.17, ENSMUSG00000055775.16
OG0000021	ENSCAFG00000017460.5	ENSMUSG00000060180.12
OG0000021	ENSCAFG00000023094.3	ENSMUSG00000020908.14
OG0000021	ENSCAFG00000007782.4	ENSMUSG00000074652.3
OG0000021	ENSCAFG00000010154.4	ENSMUSG00000092009.1
OG0000021	ENSCAFG00000011619.5	ENSMUSG00000040752.16
OG0000023	ENSCAFG00000005679.3	ENSMUSG00000035626.4
OG0000023	ENSCAFG00000023739.3, ENSCAFG00000015460.4	ENSMUSG00000046210.7
OG0000023	ENSCAFG00000011456.3	ENSMUSG00000045812.5
OG0000023	ENSCAFG00000029148.1	ENSMUSG00000044994.10, ENSMUSG00000067526.3, ENSMUSG00000067528.3
OG0000023	ENSCAFG00000031594.1	ENSMUSG00000067529.2
OG0000023	ENSCAFG00000030249.1, ENSCAFG00000031974.1	ENSMUSG00000067525.3
OG0000023	ENSCAFG00000031533.1	ENSMUSG00000067524.4
OG0000023	ENSCAFG00000041125.1	ENSMUSG00000060787.9
OG0000023	ENSCAFG00000030533.2, ENSCAFG00000045423.1	ENSMUSG00000093920.2, ENSMUSG00000093839.2
OG0000023	ENSCAFG00000030818.1	ENSMUSG00000090874.2, ENSMUSG00000091873.2
OG0000023	ENSCAFG00000025368.3	ENSMUSG00000048933.8
OG0000025	ENSCAFG00000000806.4, ENSCAFG00000000814.4	ENSMUSG00000073421.6
OG0000025	ENSCAFG00000000900.4	ENSMUSG00000060586.11, ENSMUSG00000067341.6
OG0000026	ENSCAFG00000024617.2	ENSMUSG00000051663.4
OG0000026	ENSCAFG00000043743.1	ENSMUSG00000044022.5
OG0000026	ENSCAFG00000041019.1	ENSMUSG00000047033.2
OG0000026	ENSCAFG00000024614.3	ENSMUSG00000051599.4
