GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term
GO:0033036,4.90E-09,1.878511905,82.78406951,133,2821,macromolecule localization
GO:0045184,2.69E-08,1.987831286,54.20140956,95,1847,establishment of protein localization
GO:0071702,4.74E-08,1.845903356,73.33477125,118,2499,organic substance transport
GO:0008104,5.43E-08,1.844345652,72.68916702,117,2477,protein localization
GO:0015031,5.44E-08,1.986998396,51.09077101,90,1741,protein transport
GO:0006886,1.10E-07,2.366028024,25.26660186,54,861,intracellular protein transport
GO:0015833,1.62E-07,1.932023645,52.32328817,90,1783,peptide transport
GO:0042886,1.75E-07,1.921582047,53.20365757,91,1813,amide transport
GO:0051179,2.97E-07,1.601451431,172.8165138,226,5889,localization
GO:0051234,3.31E-07,1.628169937,135.6942706,186,4624,establishment of localization
GO:0070727,3.41E-07,1.956044176,46.16070235,81,1573,cellular macromolecule localization
GO:0006810,3.79E-07,1.628337043,132.2901756,182,4508,transport
GO:0071705,4.55E-07,1.830834812,60.77483444,99,2071,nitrogen compound transport
GO:0006520,6.36E-07,3.236773336,9.214533082,27,314,cellular amino acid metabolic process
GO:0034613,9.76E-07,1.91243102,45.80855459,79,1561,cellular protein localization
GO:0051649,1.21E-06,1.824825687,55.58065496,91,1894,establishment of localization in cell
GO:0009235,1.52E-06,25.10691824,0.410839055,6,14,cobalamin metabolic process
GO:0034976,1.92E-06,3.393103448,7.483139923,23,255,response to endoplasmic reticulum stress
GO:0019752,1.97E-06,2.11765578,28.43593171,55,969,carboxylic acid metabolic process
GO:0043436,2.60E-06,2.05473958,30.90096604,58,1053,oxoacid metabolic process
GO:0046907,2.96E-06,1.870670169,44.78145695,76,1526,intracellular transport
GO:0006888,3.42E-06,4.156436224,4.577920894,17,156,ER to Golgi vesicle-mediated transport
GO:0006555,3.86E-06,20.08301887,0.469530348,6,16,methionine metabolic process
GO:0051641,4.34E-06,1.677162611,74.80205359,112,2549,cellular localization
GO:0009086,4.76E-06,33.41213389,0.293456468,5,10,methionine biosynthetic process
GO:0000096,4.81E-06,10.33198381,0.99775199,8,34,sulfur amino acid metabolic process
GO:0006082,5.06E-06,2.005232867,31.57591591,58,1076,organic acid metabolic process
GO:0048193,5.53E-06,2.994549119,9.126496142,25,311,Golgi vesicle transport
GO:0009067,5.82E-06,18.25614637,0.498875995,6,17,aspartate family amino acid biosynthetic process
GO:0009066,1.08E-05,7.564556962,1.437936691,9,49,aspartate family amino acid metabolic process
GO:0006790,2.09E-05,2.749441862,9.860137311,25,336,sulfur compound metabolic process
GO:1901605,2.40E-05,3.378007485,5.839783705,18,199,alpha-amino acid metabolic process
GO:0044281,3.69E-05,1.662390045,57.986998,88,1976,small molecule metabolic process
GO:0010893,5.02E-05,16.70083682,0.440184701,5,15,positive regulation of steroid biosynthetic process
GO:0044272,5.09E-05,3.847348623,4.020353606,14,137,sulfur compound biosynthetic process
GO:0046835,5.31E-05,11.15164221,0.704295522,6,24,carbohydrate phosphorylation
