Orthogroup	C_familiaris.pep	G_gallus.pep
OG0000002	ENSCAFG00000045674.1	ENSGALG00000047440.1, ENSGALG00000051617.1, ENSGALG00000048623.1, ENSGALG00000051856.1, ENSGALG00000051327.1, ENSGALG00000049025.1, ENSGALG00000046947.1, ENSGALG00000048162.1
OG0000004	ENSCAFG00000013622.4, ENSCAFG00000029467.2, ENSCAFG00000048817.1, ENSCAFG00000029939.2, ENSCAFG00000048160.1, ENSCAFG00000045973.1, ENSCAFG00000042425.1, ENSCAFG00000031415.2, ENSCAFG00000042155.1, ENSCAFG00000046672.1, ENSCAFG00000029236.2, ENSCAFG00000043016.1, ENSCAFG00000032249.2, ENSCAFG00000047763.1, ENSCAFG00000031637.2, ENSCAFG00000049421.1, ENSCAFG00000041195.1, ENSCAFG00000032078.2, ENSCAFG00000048317.1, ENSCAFG00000049367.1, ENSCAFG00000024720.3, ENSCAFG00000028850.2, ENSCAFG00000031273.2, ENSCAFG00000047159.1, ENSCAFG00000048036.1, ENSCAFG00000046583.1, ENSCAFG00000048573.1, ENSCAFG00000045975.1, ENSCAFG00000031403.2, ENSCAFG00000029344.2, ENSCAFG00000044389.1, ENSCAFG00000042701.1, ENSCAFG00000046711.1, ENSCAFG00000049976.1, ENSCAFG00000049273.1, ENSCAFG00000049890.1, ENSCAFG00000042504.1, ENSCAFG00000046047.1, ENSCAFG00000046723.1, ENSCAFG00000044673.1, ENSCAFG00000048161.1, ENSCAFG00000046397.1, ENSCAFG00000023160.3, ENSCAFG00000048981.1, ENSCAFG00000044748.1	ENSGALG00000054874.1, ENSGALG00000049486.1, ENSGALG00000051474.1, ENSGALG00000049010.1, ENSGALG00000047395.1, ENSGALG00000051167.1, ENSGALG00000053057.1, ENSGALG00000050545.1, ENSGALG00000048390.1, ENSGALG00000047506.1, ENSGALG00000050477.1, ENSGALG00000049186.1, ENSGALG00000050376.1, ENSGALG00000048383.1, ENSGALG00000052566.1, ENSGALG00000046719.1, ENSGALG00000050023.1, ENSGALG00000050715.1, ENSGALG00000048283.1, ENSGALG00000052347.1
OG0000004	ENSCAFG00000049157.1, ENSCAFG00000043262.1, ENSCAFG00000044750.1, ENSCAFG00000043208.1, ENSCAFG00000048182.1, ENSCAFG00000042030.1, ENSCAFG00000041288.1, ENSCAFG00000042398.1, ENSCAFG00000024382.3	ENSGALG00000047343.1
OG0000006	ENSCAFG00000030256.2	ENSGALG00000051131.1
OG0000006	ENSCAFG00000041414.1	ENSGALG00000054482.1, ENSGALG00000047862.1, ENSGALG00000050362.1, ENSGALG00000044223.2, ENSGALG00000054140.1, ENSGALG00000053857.1, ENSGALG00000049917.1, ENSGALG00000051242.1, ENSGALG00000050565.1, ENSGALG00000050096.1, ENSGALG00000047006.1, ENSGALG00000048317.1, ENSGALG00000048076.1, ENSGALG00000048215.1, ENSGALG00000050636.1, ENSGALG00000052450.1
OG0000006	ENSCAFG00000002441.4	ENSGALG00000050546.1, ENSGALG00000048494.1, ENSGALG00000049669.1, ENSGALG00000048437.1, ENSGALG00000054535.1, ENSGALG00000046849.1, ENSGALG00000049900.1
OG0000006	ENSCAFG00000049102.1	ENSGALG00000050291.1, ENSGALG00000046701.1, ENSGALG00000049054.1, ENSGALG00000048181.1, ENSGALG00000048477.1, ENSGALG00000053582.1, ENSGALG00000049874.1, ENSGALG00000047680.1
OG0000008	ENSCAFG00000012984.1	ENSGALG00000049859.1
OG0000008	ENSCAFG00000012332.2, ENSCAFG00000044672.1, ENSCAFG00000041985.1, ENSCAFG00000043054.1	ENSGALG00000045705.2
OG0000009	ENSCAFG00000008100.4, ENSCAFG00000007632.4, ENSCAFG00000007996.4, ENSCAFG00000007993.2, ENSCAFG00000041303.1, ENSCAFG00000043344.1	ENSGALG00000043408.2
OG0000009	ENSCAFG00000030998.1, ENSCAFG00000031814.1, ENSCAFG00000031163.1	ENSGALG00000044550.2
OG0000009	ENSCAFG00000008094.4	ENSGALG00000054149.1, ENSGALG00000051226.1
OG0000009	ENSCAFG00000011043.4	ENSGALG00000031739.2
OG0000009	ENSCAFG00000008020.3, ENSCAFG00000008025.4	ENSGALG00000041249.2, ENSGALG00000038269.2
OG0000009	ENSCAFG00000008097.3	ENSGALG00000043910.2
OG0000010	ENSCAFG00000029445.1, ENSCAFG00000030731.2	ENSGALG00000036908.2
OG0000010	ENSCAFG00000049029.1, ENSCAFG00000010770.3, ENSCAFG00000044235.1	ENSGALG00000031804.2
OG0000010	ENSCAFG00000049795.1	ENSGALG00000050350.1, ENSGALG00000051251.1, ENSGALG00000027571.3
OG0000010	ENSCAFG00000045037.1	ENSGALG00000049751.1
OG0000013	ENSCAFG00000001273.4, ENSCAFG00000029783.1, ENSCAFG00000031439.1	ENSGALG00000050513.1, ENSGALG00000052602.1, ENSGALG00000049479.1, ENSGALG00000053747.1, ENSGALG00000051173.1, ENSGALG00000053944.1, ENSGALG00000048833.1, ENSGALG00000043575.2, ENSGALG00000041504.3, ENSGALG00000051768.1, ENSGALG00000053894.1, ENSGALG00000048915.1, ENSGALG00000047841.1, ENSGALG00000039250.2, ENSGALG00000041951.2, ENSGALG00000054729.1, ENSGALG00000054864.1, ENSGALG00000051877.1, ENSGALG00000049816.1, ENSGALG00000053200.1, ENSGALG00000053420.1, ENSGALG00000047375.1, ENSGALG00000052630.1, ENSGALG00000051246.1, ENSGALG00000040481.2, ENSGALG00000054846.1, ENSGALG00000054897.1, ENSGALG00000046428.2, ENSGALG00000049748.1, ENSGALG00000045377.2, ENSGALG00000053395.1, ENSGALG00000049263.1, ENSGALG00000054611.1, ENSGALG00000046913.1, ENSGALG00000048999.1, ENSGALG00000048618.1, ENSGALG00000053470.1, ENSGALG00000049392.1, ENSGALG00000048175.1, ENSGALG00000047930.1, ENSGALG00000050222.1, ENSGALG00000050447.1, ENSGALG00000048938.1, ENSGALG00000048354.1, ENSGALG00000054311.1, ENSGALG00000048673.1, ENSGALG00000034369.2, ENSGALG00000049109.1, ENSGALG00000048811.1, ENSGALG00000045206.2, ENSGALG00000052981.1, ENSGALG00000049158.1, ENSGALG00000046143.2, ENSGALG00000036079.2, ENSGALG00000049531.1, ENSGALG00000036455.2, ENSGALG00000047178.1, ENSGALG00000048651.1, ENSGALG00000050209.1, ENSGALG00000052836.1, ENSGALG00000054533.1, ENSGALG00000055137.1, ENSGALG00000054884.1, ENSGALG00000049845.1, ENSGALG00000050259.1, ENSGALG00000046926.1, ENSGALG00000054852.1, ENSGALG00000047992.1, ENSGALG00000054226.1, ENSGALG00000051719.1, ENSGALG00000054705.1, ENSGALG00000054589.1, ENSGALG00000043510.2, ENSGALG00000049681.1, ENSGALG00000048180.1, ENSGALG00000050463.1, ENSGALG00000046814.1, ENSGALG00000043446.2, ENSGALG00000049458.1, ENSGALG00000054101.1, ENSGALG00000053077.1, ENSGALG00000052019.1, ENSGALG00000048784.1
OG0000014	ENSCAFG00000016119.5	ENSGALG00000054599.1, ENSGALG00000020078.6
OG0000014	ENSCAFG00000040996.1, ENSCAFG00000049134.1, ENSCAFG00000043815.1, ENSCAFG00000048797.1, ENSCAFG00000045512.1, ENSCAFG00000042995.1, ENSCAFG00000045750.1, ENSCAFG00000048378.1	ENSGALG00000048231.1
OG0000014	ENSCAFG00000024443.3	ENSGALG00000051325.1
OG0000018	ENSCAFG00000031940.2, ENSCAFG00000029110.1, ENSCAFG00000032188.1, ENSCAFG00000024573.3, ENSCAFG00000012989.4	ENSGALG00000050250.1
OG0000018	ENSCAFG00000024275.3, ENSCAFG00000029451.2, ENSCAFG00000029066.1	ENSGALG00000048097.1
