Orthogroup	P_Mucros.pep	G_gallus.pep
OG0000002	XP_015685264.1, XP_029141702.1, XP_029142661.1	ENSGALG00000054075.1, ENSGALG00000048983.1, ENSGALG00000054602.1, ENSGALG00000052269.1, ENSGALG00000054236.1
OG0000004	XP_029142696.1	ENSGALG00000047343.1
OG0000006	XP_029140115.1	ENSGALG00000053518.1, ENSGALG00000051131.1, ENSGALG00000054482.1, ENSGALG00000047862.1, ENSGALG00000050362.1, ENSGALG00000044223.2, ENSGALG00000054140.1, ENSGALG00000053857.1, ENSGALG00000049917.1, ENSGALG00000051242.1, ENSGALG00000050565.1, ENSGALG00000050096.1, ENSGALG00000047006.1, ENSGALG00000048317.1, ENSGALG00000048076.1, ENSGALG00000048215.1, ENSGALG00000050636.1, ENSGALG00000052450.1, ENSGALG00000050546.1, ENSGALG00000048494.1, ENSGALG00000049669.1, ENSGALG00000048437.1, ENSGALG00000054535.1, ENSGALG00000046849.1, ENSGALG00000049900.1, ENSGALG00000050291.1, ENSGALG00000046701.1, ENSGALG00000049054.1, ENSGALG00000048181.1, ENSGALG00000048477.1, ENSGALG00000053582.1, ENSGALG00000049874.1, ENSGALG00000047680.1
OG0000008	XP_015678743.1	ENSGALG00000049859.1, ENSGALG00000054083.1, ENSGALG00000048212.1, ENSGALG00000052030.1, ENSGALG00000049268.1, ENSGALG00000052284.1, ENSGALG00000032645.2, ENSGALG00000031571.2
OG0000008	XP_015677647.1	ENSGALG00000026449.3
OG0000008	XP_015668418.1	ENSGALG00000045705.2
OG0000009	XP_015677980.2, XP_015684501.1, XP_015673238.1	ENSGALG00000043408.2
OG0000009	XP_015677985.1	ENSGALG00000044550.2
OG0000009	XP_015677984.1	ENSGALG00000054149.1, ENSGALG00000051226.1
OG0000009	XP_015673205.2, XP_029139481.1, XP_015672562.1, XP_015672559.1, XP_015672561.1, XP_015665579.1, XP_015674575.1, XP_015674572.2, XP_015684098.2, XP_015684478.1, XP_015684097.1, XP_015684481.1, XP_015684482.1, XP_015684103.1, XP_029140184.1, XP_015668984.2	ENSGALG00000031739.2
OG0000009	XP_015677981.1, XP_015677982.2	ENSGALG00000043910.2
OG0000010	XP_015678747.1	ENSGALG00000049408.1
OG0000010	XP_015672062.1, XP_015681933.1, XP_015681932.1	ENSGALG00000036908.2
OG0000010	XP_015675791.1	ENSGALG00000031804.2
OG0000010	XP_015683800.1	ENSGALG00000050350.1, ENSGALG00000051251.1, ENSGALG00000027571.3, ENSGALG00000049751.1, ENSGALG00000050309.1
OG0000013	XP_015669871.1, XP_029139676.1, XP_015669872.1	ENSGALG00000050513.1
OG0000013	XP_015669863.1, XP_015669864.1, XP_029139677.1, XP_015669887.1, XP_015669873.1	ENSGALG00000052602.1, ENSGALG00000049479.1, ENSGALG00000053747.1, ENSGALG00000051173.1, ENSGALG00000053944.1, ENSGALG00000048833.1, ENSGALG00000043575.2, ENSGALG00000041504.3, ENSGALG00000051768.1, ENSGALG00000053894.1, ENSGALG00000048915.1, ENSGALG00000047841.1, ENSGALG00000039250.2, ENSGALG00000041951.2, ENSGALG00000054729.1, ENSGALG00000054864.1, ENSGALG00000051877.1, ENSGALG00000049816.1, ENSGALG00000053200.1, ENSGALG00000053420.1, ENSGALG00000047375.1, ENSGALG00000052630.1, ENSGALG00000051246.1, ENSGALG00000040481.2, ENSGALG00000054846.1, ENSGALG00000054897.1, ENSGALG00000046428.2, ENSGALG00000049748.1, ENSGALG00000045377.2, ENSGALG00000053395.1, ENSGALG00000049263.1, ENSGALG00000054611.1, ENSGALG00000046913.1, ENSGALG00000048999.1, ENSGALG00000048618.1, ENSGALG00000053470.1, ENSGALG00000049392.1, ENSGALG00000048175.1, ENSGALG00000047930.1, ENSGALG00000050222.1, ENSGALG00000050447.1, ENSGALG00000048938.1, ENSGALG00000048354.1, ENSGALG00000054311.1
OG0000013	XP_015668983.1, XP_015669884.2, XP_029139679.1	ENSGALG00000048673.1, ENSGALG00000034369.2, ENSGALG00000049109.1, ENSGALG00000048811.1, ENSGALG00000045206.2, ENSGALG00000052981.1, ENSGALG00000049158.1, ENSGALG00000046143.2, ENSGALG00000036079.2, ENSGALG00000049531.1, ENSGALG00000036455.2, ENSGALG00000047178.1, ENSGALG00000048651.1, ENSGALG00000050209.1, ENSGALG00000052836.1, ENSGALG00000054533.1, ENSGALG00000055137.1, ENSGALG00000054884.1, ENSGALG00000049845.1, ENSGALG00000050259.1, ENSGALG00000046926.1, ENSGALG00000054852.1, ENSGALG00000047992.1, ENSGALG00000054226.1, ENSGALG00000051719.1, ENSGALG00000054705.1, ENSGALG00000054589.1, ENSGALG00000043510.2, ENSGALG00000049681.1, ENSGALG00000048180.1, ENSGALG00000050463.1, ENSGALG00000046814.1, ENSGALG00000043446.2, ENSGALG00000049458.1, ENSGALG00000054101.1, ENSGALG00000053077.1, ENSGALG00000052019.1, ENSGALG00000048784.1
OG0000014	XP_015680070.1	ENSGALG00000054599.1, ENSGALG00000020078.6
OG0000014	XP_015675669.1	ENSGALG00000002286.6
OG0000014	XP_015669928.1, XP_015669926.1, XP_015683802.1	ENSGALG00000038969.2
OG0000014	XP_015665992.1, XP_015681930.1	ENSGALG00000048231.1
OG0000018	XP_015686319.1, XP_015678127.1	ENSGALG00000050250.1
OG0000018	XP_015665997.1	ENSGALG00000053262.1, ENSGALG00000048097.1, ENSGALG00000053680.1
OG0000018	XP_015681934.1	ENSGALG00000047126.1
OG0000021	XP_015665826.1, XP_015665834.1, XP_029138870.1, XP_015665846.1, XP_015665854.1, XP_015665840.1, XP_015665870.1, XP_015665863.1, XP_015665898.1, XP_015665882.1, XP_015665890.1, XP_029138891.1	ENSGALG00000037864.2, ENSGALG00000039977.3, ENSGALG00000029606.2, ENSGALG00000028612.3, ENSGALG00000032404.2, ENSGALG00000042257.2, ENSGALG00000027323.4
OG0000021	XP_015669261.1	ENSGALG00000030985.2
OG0000021	XP_015677905.1, XP_015677906.1, XP_015677907.1	ENSGALG00000015358.7
OG0000021	XP_015677713.1	ENSGALG00000035960.2
OG0000023	XP_015680186.1, XP_015680187.1, XP_015680192.1, XP_015680188.1, XP_029141670.1, XP_015677303.2, XP_015677478.2, XP_029141074.1, XP_029140194.1, XP_015672569.2, XP_015677304.1, XP_015677302.1, XP_015677296.2, XP_015677295.1, XP_015686267.1, XP_015677292.1	ENSGALG00000054820.1
OG0000025	XP_015685468.1, XP_015671517.1, XP_015685654.1, XP_015683829.1, XP_015686648.1, XP_015686304.1, XP_029142665.1, XP_029142863.1, XP_015685452.1, XP_015684739.1, XP_015685128.1, XP_015685114.1, XP_015681167.2, XP_015685225.1, XP_029142775.1, XP_015684900.1, XP_015685111.1, XP_029141865.1, XP_015685450.1, XP_015682026.1, XP_015686371.2, XP_015685247.1, XP_029142774.1, XP_015683688.2, XP_029142813.1, XP_029140911.1, XP_015685029.1, XP_029142461.1, XP_015684499.2, XP_029142459.1, XP_015685028.1, XP_015683982.1, XP_015684802.2, XP_015680389.2, XP_029142733.1, XP_015685972.1, XP_015680388.1, XP_029142051.1, XP_029142460.1, XP_015686586.1, XP_015684543.1, XP_015686172.1, XP_015682028.1, XP_029142973.1, XP_015685675.1, XP_015685656.1	ENSGALG00000034319.3, ENSGALG00000039701.2, ENSGALG00000044502.2, ENSGALG00000053266.1, ENSGALG00000030940.3, ENSGALG00000000141.7
OG0000026	XP_029142608.1, XP_029142559.1, XP_015684188.2, XP_029142606.1	ENSGALG00000048480.1, ENSGALG00000050242.1, ENSGALG00000048333.1, ENSGALG00000038668.2, ENSGALG00000052881.1, ENSGALG00000050281.1, ENSGALG00000050703.1, ENSGALG00000053430.1, ENSGALG00000046772.1, ENSGALG00000052429.1
OG0000027	XP_015670228.1, XP_015681657.1	ENSGALG00000006241.5
OG0000027	XP_015672184.1	ENSGALG00000052192.1
OG0000027	XP_015684007.1, XP_015674309.1	ENSGALG00000008444.6
OG0000027	XP_015679069.1, XP_015679074.1	ENSGALG00000013045.6, ENSGALG00000013056.6
OG0000027	XP_015671065.1	ENSGALG00000040586.3
OG0000027	XP_015672183.1, XP_015672182.1	ENSGALG00000000433.7, ENSGALG00000011324.6
OG0000027	XP_015670229.1	ENSGALG00000040260.2
OG0000029	XP_015677404.1	ENSGALG00000032672.3
