Orthogroup	G_gallus.pep	A_carolinensis.pep
OG0000002	ENSGALG00000054075.1, ENSGALG00000048983.1, ENSGALG00000054602.1, ENSGALG00000052269.1, ENSGALG00000054236.1	ENSACAG00000028352.1, ENSACAG00000002838.3, ENSACAG00000002383.2, ENSACAG00000002854.2, ENSACAG00000025794.1, ENSACAG00000002852.2, ENSACAG00000029654.1, ENSACAG00000029467.1, ENSACAG00000028297.1, ENSACAG00000021119.2, ENSACAG00000028659.1, ENSACAG00000026924.1, ENSACAG00000002831.3, ENSACAG00000028838.1, ENSACAG00000021136.2
OG0000004	ENSGALG00000054874.1, ENSGALG00000049486.1, ENSGALG00000051474.1, ENSGALG00000049010.1, ENSGALG00000047395.1, ENSGALG00000051167.1, ENSGALG00000053057.1, ENSGALG00000050545.1, ENSGALG00000048390.1, ENSGALG00000047506.1, ENSGALG00000050477.1, ENSGALG00000049186.1, ENSGALG00000050376.1, ENSGALG00000048383.1, ENSGALG00000052566.1, ENSGALG00000046719.1, ENSGALG00000050023.1, ENSGALG00000050715.1, ENSGALG00000048283.1, ENSGALG00000052347.1	ENSACAG00000002800.3, ENSACAG00000026036.1
OG0000004	ENSGALG00000052004.1	ENSACAG00000028861.1
OG0000004	ENSGALG00000047343.1	ENSACAG00000026066.1, ENSACAG00000002794.2, ENSACAG00000025882.1, ENSACAG00000024510.1, ENSACAG00000024122.1, ENSACAG00000028919.1, ENSACAG00000024102.1, ENSACAG00000026893.2, ENSACAG00000026390.1, ENSACAG00000026712.1, ENSACAG00000022431.1, ENSACAG00000028258.1, ENSACAG00000028714.1, ENSACAG00000029428.1, ENSACAG00000023703.2, ENSACAG00000025642.1, ENSACAG00000029178.1, ENSACAG00000022774.2, ENSACAG00000029225.1
OG0000006	ENSGALG00000047758.1, ENSGALG00000053412.1	ENSACAG00000028936.1
OG0000008	ENSGALG00000049859.1, ENSGALG00000054083.1, ENSGALG00000048212.1, ENSGALG00000052030.1, ENSGALG00000049268.1, ENSGALG00000052284.1, ENSGALG00000032645.2, ENSGALG00000031571.2	ENSACAG00000015302.1
OG0000008	ENSGALG00000026449.3	ENSACAG00000006010.3
OG0000009	ENSGALG00000043408.2	ENSACAG00000022740.1, ENSACAG00000023190.1, ENSACAG00000022706.1
OG0000009	ENSGALG00000031739.2	ENSACAG00000000504.2, ENSACAG00000022928.1, ENSACAG00000011333.2, ENSACAG00000011889.2, ENSACAG00000013832.2, ENSACAG00000023399.1, ENSACAG00000010890.2, ENSACAG00000011030.2, ENSACAG00000007816.2, ENSACAG00000007620.2, ENSACAG00000022960.1, ENSACAG00000007614.2, ENSACAG00000023376.1, ENSACAG00000027540.1, ENSACAG00000010971.2
OG0000009	ENSGALG00000041249.2, ENSGALG00000038269.2	ENSACAG00000020941.2
