"","Orthogroup","Species.Tree.Node","Gene.Tree.Node","Support","Type","Genes.1","Genes.2"
"1","OG0000136","N0","n0",1,"Non-Terminal","H_sapiens_pep_ENSG00000177189.14, P_troglodytes_pep_ENSPTRG00000052293.1, M_musculus_pep_ENSMUSG00000031309.15, C_familiaris_pep_ENSCAFG00000013171.4, G_gallus_pep_ENSGALG00000016406.6, X_tropicalis_pep_ENSXETG00000021421.1, P_Mucros_pep_XP_015680878.1, P_Mucros_pep_XP_015680870.1, N_naja_pep_Nana25848-RA, A_carolinensis_pep_ENSACAG00000012681.3","M_musculus_pep_ENSMUSG00000023809.10, A_carolinensis_pep_ENSACAG00000015344.3, G_gallus_pep_ENSGALG00000011473.6, P_Mucros_pep_XP_015673847.1, N_naja_pep_Nana01675-RA, N_naja_pep_Nana01675-RB, C_familiaris_pep_ENSCAFG00000000828.4, P_troglodytes_pep_ENSPTRG00000018793.6, H_sapiens_pep_ENSG00000071242.12, X_tropicalis_pep_ENSXETG00000010463.1, X_tropicalis_pep_ENSXETG00000013406.1, C_familiaris_pep_ENSCAFG00000012408.5, M_musculus_pep_ENSMUSG00000003644.17, P_troglodytes_pep_ENSPTRG00000000387.6, H_sapiens_pep_ENSG00000117676.14, H_sapiens_pep_ENSG00000281877.3, G_gallus_pep_ENSGALG00000037136.2, P_Mucros_pep_XP_029140470.1, N_naja_pep_Nana30115-RA, G_gallus_pep_ENSGALG00000007097.6, N_naja_pep_Nana32194-RC, N_naja_pep_Nana32194-RA, N_naja_pep_Nana32194-RB, A_carolinensis_pep_ENSACAG00000014143.3, P_Mucros_pep_XP_029141621.1, X_tropicalis_pep_ENSXETG00000009967.1, M_musculus_pep_ENSMUSG00000025665.16, M_musculus_pep_ENSMUSG00000116203.1, C_familiaris_pep_ENSCAFG00000017373.4, H_sapiens_pep_ENSG00000072133.11, P_troglodytes_pep_ENSPTRG00000022064.4"
"2","OG0000136","P_Mucros.pep","n9",1,"Terminal","P_Mucros_pep_XP_015680878.1","P_Mucros_pep_XP_015680870.1"
"3","OG0000136","N0","n10",1,"Non-Terminal","M_musculus_pep_ENSMUSG00000023809.10, A_carolinensis_pep_ENSACAG00000015344.3, G_gallus_pep_ENSGALG00000011473.6, P_Mucros_pep_XP_015673847.1, N_naja_pep_Nana01675-RA, N_naja_pep_Nana01675-RB, C_familiaris_pep_ENSCAFG00000000828.4, P_troglodytes_pep_ENSPTRG00000018793.6, H_sapiens_pep_ENSG00000071242.12, X_tropicalis_pep_ENSXETG00000010463.1, X_tropicalis_pep_ENSXETG00000013406.1, C_familiaris_pep_ENSCAFG00000012408.5, M_musculus_pep_ENSMUSG00000003644.17, P_troglodytes_pep_ENSPTRG00000000387.6, H_sapiens_pep_ENSG00000117676.14, H_sapiens_pep_ENSG00000281877.3, G_gallus_pep_ENSGALG00000037136.2, P_Mucros_pep_XP_029140470.1, N_naja_pep_Nana30115-RA","G_gallus_pep_ENSGALG00000007097.6, N_naja_pep_Nana32194-RC, N_naja_pep_Nana32194-RA, N_naja_pep_Nana32194-RB, A_carolinensis_pep_ENSACAG00000014143.3, P_Mucros_pep_XP_029141621.1, X_tropicalis_pep_ENSXETG00000009967.1, M_musculus_pep_ENSMUSG00000025665.16, M_musculus_pep_ENSMUSG00000116203.1, C_familiaris_pep_ENSCAFG00000017373.4, H_sapiens_pep_ENSG00000072133.11, P_troglodytes_pep_ENSPTRG00000022064.4"
"4","OG0000136","N0","n11",0.888888888888889,"Non-Terminal","M_musculus_pep_ENSMUSG00000023809.10, A_carolinensis_pep_ENSACAG00000015344.3, G_gallus_pep_ENSGALG00000011473.6, P_Mucros_pep_XP_015673847.1, N_naja_pep_Nana01675-RA, N_naja_pep_Nana01675-RB, C_familiaris_pep_ENSCAFG00000000828.4, P_troglodytes_pep_ENSPTRG00000018793.6, H_sapiens_pep_ENSG00000071242.12, X_tropicalis_pep_ENSXETG00000010463.1","X_tropicalis_pep_ENSXETG00000013406.1, C_familiaris_pep_ENSCAFG00000012408.5, M_musculus_pep_ENSMUSG00000003644.17, P_troglodytes_pep_ENSPTRG00000000387.6, H_sapiens_pep_ENSG00000117676.14, H_sapiens_pep_ENSG00000281877.3, G_gallus_pep_ENSGALG00000037136.2, P_Mucros_pep_XP_029140470.1, N_naja_pep_Nana30115-RA"
"5","OG0000136","N_naja.pep","n18",1,"Terminal","N_naja_pep_Nana01675-RA","N_naja_pep_Nana01675-RB"
"6","OG0000136","H_sapiens.pep","n27",1,"Terminal","H_sapiens_pep_ENSG00000117676.14","H_sapiens_pep_ENSG00000281877.3"
"7","OG0000136","N_naja.pep","n34",1,"Terminal","N_naja_pep_Nana32194-RC, N_naja_pep_Nana32194-RA","N_naja_pep_Nana32194-RB"
"8","OG0000136","N_naja.pep","n35",1,"Terminal","N_naja_pep_Nana32194-RC","N_naja_pep_Nana32194-RA"
"9","OG0000136","M_musculus.pep","n37",1,"Terminal","M_musculus_pep_ENSMUSG00000025665.16","M_musculus_pep_ENSMUSG00000116203.1"
"10","OG0000137","N0","n0",1,"Non-Terminal","C_familiaris_pep_ENSCAFG00000002129.5, M_musculus_pep_ENSMUSG00000019577.6, H_sapiens_pep_ENSG00000004799.8, P_troglodytes_pep_ENSPTRG00000019421.3, A_carolinensis_pep_ENSACAG00000014020.3, P_Mucros_pep_XP_015667066.1, N_naja_pep_Nana21626-RB, N_naja_pep_Nana21626-RA, G_gallus_pep_ENSGALG00000009700.7, X_tropicalis_pep_ENSXETG00000008151.1","A_carolinensis_pep_ENSACAG00000005384.3, P_Mucros_pep_XP_015665901.1, N_naja_pep_Nana23253-RA, N_naja_pep_Nana23253-RB, M_musculus_pep_ENSMUSG00000038967.13, C_familiaris_pep_ENSCAFG00000016967.4, P_troglodytes_pep_ENSPTRG00000009388.4, H_sapiens_pep_ENSG00000005882.12, G_gallus_pep_ENSGALG00000045846.2, P_Mucros_pep_XP_015683353.1, P_Mucros_pep_XP_015683349.1, P_Mucros_pep_XP_015683341.1, A_carolinensis_pep_ENSACAG00000007063.3, H_sapiens_pep_ENSG00000067992.15, C_familiaris_pep_ENSCAFG00000013476.4, P_troglodytes_pep_ENSPTRG00000021750.6, M_musculus_pep_ENSMUSG00000035232.8, G_gallus_pep_ENSGALG00000016323.5, X_tropicalis_pep_ENSXETG00000011285.1, C_familiaris_pep_ENSCAFG00000006315.4, N_naja_pep_Nana25813-RA, X_tropicalis_pep_ENSXETG00000011177.1, N_naja_pep_Nana03410-RA, N_naja_pep_Nana03410-RB, P_Mucros_pep_XP_015676018.1, A_carolinensis_pep_ENSACAG00000015877.3, G_gallus_pep_ENSGALG00000013235.5, C_familiaris_pep_ENSCAFG00000013060.5, P_troglodytes_pep_ENSPTRG00000012642.6, H_sapiens_pep_ENSG00000152256.13, M_musculus_pep_ENSMUSG00000006494.11"
