GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term
GO:0009405,5.33E-24,9.303663056,14.5323776,57,89,pathogenesis
GO:0034976,8.04E-20,3.511472029,41.63771109,102,255,response to endoplasmic reticulum stress
GO:0006986,6.56E-16,4.282676673,23.1864901,64,142,response to unfolded protein
GO:0034620,1.32E-15,5.02204686,17.96136557,54,110,cellular response to unfolded protein
GO:0035966,1.74E-15,3.87568513,26.45219293,69,162,response to topologically incorrect protein
GO:0035967,3.92E-15,4.39350106,21.06378326,59,129,cellular response to topologically incorrect protein
GO:0030968,1.60E-14,5.001603779,16.65508444,50,102,endoplasmic reticulum unfolded protein response
GO:0048193,2.36E-14,2.677401531,50.78167902,105,311,Golgi vesicle transport
GO:0071702,2.33E-13,1.483663614,431.8891994,562,2645,organic substance transport
GO:0006520,2.16E-12,2.485633295,51.27153444,101,314,cellular amino acid metabolic process
GO:0019752,1.34E-11,1.722813037,158.2233022,237,969,carboxylic acid metabolic process
GO:0036503,1.41E-11,4.246930141,16.32851415,45,100,ERAD pathway
GO:0006888,2.20E-11,3.252949011,25.47248208,60,156,ER to Golgi vesicle-mediated transport
GO:0006082,8.15E-11,1.645233976,178.4706597,258,1093,organic acid metabolic process
GO:0043436,1.06E-10,1.647797949,174.7151014,253,1070,oxoacid metabolic process
GO:0006629,6.64E-10,1.537454357,225.6600656,309,1382,lipid metabolic process
GO:0046395,2.17E-09,2.442235936,38.37200826,75,235,carboxylic acid catabolic process
GO:0016054,2.17E-09,2.442235936,38.37200826,75,235,organic acid catabolic process
GO:0030433,2.20E-09,4.398605878,12.08310047,34,74,ubiquitin-dependent ERAD pathway
GO:0006810,3.04E-09,1.307078916,750.2952254,876,4595,transport
GO:0006487,3.10E-09,4.59772423,11.10338962,32,68,protein N-linked glycosylation
GO:0046907,3.19E-09,1.450454028,292.1171182,381,1789,intracellular transport
GO:0071705,3.21E-09,1.407484646,362.0031588,459,2217,nitrogen compound transport
GO:0015711,3.23E-09,1.941527514,74.2947394,123,455,organic anion transport
GO:0044248,3.29E-09,1.438062942,309.0987729,400,1893,cellular catabolic process
GO:0033036,3.50E-09,1.36011879,478.2621796,586,2929,macromolecule localization
GO:0015031,4.77E-09,1.432764698,309.0987729,399,1893,protein transport
GO:0051649,5.52E-09,1.4099603,343.5519378,437,2104,establishment of localization in cell
GO:1903573,6.14E-09,7.739032621,5.714979954,21,35,negative regulation of response to endoplasmic reticulum stress
GO:0070085,7.97E-09,2.223186507,45.88312477,84,281,glycosylation
