Orthogroup	M_musculus.pep	X_tropicalis.pep
OG0000002	ENSMUSG00000076661.2, ENSMUSG00000094134.2, ENSMUSG00000095571.2, ENSMUSG00000095285.2, ENSMUSG00000094951.1, ENSMUSG00000095612.2, ENSMUSG00000095210.2, ENSMUSG00000095429.1, ENSMUSG00000103033.1, ENSMUSG00000076633.7, ENSMUSG00000094194.2, ENSMUSG00000076655.2, ENSMUSG00000096108.2, ENSMUSG00000094533.1, ENSMUSG00000095700.2, ENSMUSG00000095981.1, ENSMUSG00000087582.6, ENSMUSG00000096407.2, ENSMUSG00000076680.1, ENSMUSG00000094174.2, ENSMUSG00000076677.1, ENSMUSG00000076671.5, ENSMUSG00000076653.4, ENSMUSG00000076652.4, ENSMUSG00000076668.4, ENSMUSG00000076665.4	ENSXETG00000003634.1, ENSXETG00000003645.1, ENSXETG00000003585.1, ENSXETG00000003602.1, ENSXETG00000017818.1, ENSXETG00000017898.1
OG0000003	ENSMUSG00000076598.3, ENSMUSG00000094117.1, ENSMUSG00000095682.1, ENSMUSG00000095351.2, ENSMUSG00000095338.1, ENSMUSG00000095335.2, ENSMUSG00000076596.3, ENSMUSG00000094478.1, ENSMUSG00000096715.2	ENSXETG00000012682.1, ENSXETG00000012582.1, ENSXETG00000012658.1, ENSXETG00000012562.1, ENSXETG00000012761.1, ENSXETG00000012711.1, ENSXETG00000012610.1, ENSXETG00000012735.1, ENSXETG00000012785.1, ENSXETG00000008783.1, ENSXETG00000012616.1, ENSXETG00000012720.1, ENSXETG00000012773.1, ENSXETG00000012593.1, ENSXETG00000012629.1, ENSXETG00000008792.1, ENSXETG00000008825.1, ENSXETG00000009855.1, ENSXETG00000012634.1, ENSXETG00000008836.1, ENSXETG00000012752.1, ENSXETG00000001696.1, ENSXETG00000012765.1, ENSXETG00000012565.1, ENSXETG00000009874.1
OG0000003	ENSMUSG00000076563.2	ENSXETG00000004936.1, ENSXETG00000012624.1, ENSXETG00000012676.1, ENSXETG00000012599.1, ENSXETG00000012578.1, ENSXETG00000012703.1, ENSXETG00000012605.1, ENSXETG00000012603.1, ENSXETG00000012697.1, ENSXETG00000012745.1, ENSXETG00000012590.1, ENSXETG00000012687.1
OG0000003	ENSMUSG00000076541.3, ENSMUSG00000076543.2, ENSMUSG00000076548.1, ENSMUSG00000076547.2, ENSMUSG00000076556.3, ENSMUSG00000076552.3, ENSMUSG00000076549.2, ENSMUSG00000094319.2, ENSMUSG00000076545.2, ENSMUSG00000073028.4, ENSMUSG00000094262.2, ENSMUSG00000096833.2, ENSMUSG00000076536.3, ENSMUSG00000094006.2, ENSMUSG00000076562.1, ENSMUSG00000076550.3, ENSMUSG00000076533.3, ENSMUSG00000076532.3, ENSMUSG00000076539.3, ENSMUSG00000094993.2, ENSMUSG00000095633.2, ENSMUSG00000095753.2, ENSMUSG00000094315.2, ENSMUSG00000076555.3, ENSMUSG00000076540.3	ENSXETG00000012692.1, ENSXETG00000012723.1, ENSXETG00000012757.1, ENSXETG00000012584.1, ENSXETG00000008844.1, ENSXETG00000001678.1, ENSXETG00000012558.1, ENSXETG00000001337.1, ENSXETG00000012640.1, ENSXETG00000012651.1, ENSXETG00000012718.1, ENSXETG00000012587.1, ENSXETG00000015309.1, ENSXETG00000012568.1, ENSXETG00000012741.1, ENSXETG00000012776.1, ENSXETG00000012620.1, ENSXETG00000012671.1, ENSXETG00000012613.1, ENSXETG00000012705.1, ENSXETG00000012726.1, ENSXETG00000012663.1, ENSXETG00000012575.1, ENSXETG00000002981.1, ENSXETG00000012768.1, ENSXETG00000008799.1, ENSXETG00000012601.1, ENSXETG00000009885.1, ENSXETG00000012715.1, ENSXETG00000012552.1, ENSXETG00000012782.1, ENSXETG00000001736.1
OG0000003	ENSMUSG00000094797.1, ENSMUSG00000076594.2, ENSMUSG00000095630.2, ENSMUSG00000096844.1, ENSMUSG00000095794.2, ENSMUSG00000094930.2, ENSMUSG00000076578.3, ENSMUSG00000076587.3, ENSMUSG00000076576.2, ENSMUSG00000076583.1, ENSMUSG00000076580.3, ENSMUSG00000104769.1, ENSMUSG00000076586.2, ENSMUSG00000076581.1, ENSMUSG00000076589.2, ENSMUSG00000094356.2, ENSMUSG00000096594.2, ENSMUSG00000076577.2, ENSMUSG00000076575.6	ENSXETG00000012731.1
OG0000004	ENSMUSG00000076934.2, ENSMUSG00000076940.3	ENSXETG00000008305.1, ENSXETG00000008300.1, ENSXETG00000008311.1, ENSXETG00000008319.1, ENSXETG00000008327.1
OG0000004	ENSMUSG00000059280.4, ENSMUSG00000059305.12	ENSXETG00000008294.1, ENSXETG00000008335.1, ENSXETG00000008380.1, ENSXETG00000008350.1, ENSXETG00000008396.1, ENSXETG00000008389.1, ENSXETG00000008367.1, ENSXETG00000008373.1, ENSXETG00000008361.1, ENSXETG00000008341.1
OG0000006	ENSMUSG00000050844.5, ENSMUSG00000063535.7	ENSXETG00000016061.1, ENSXETG00000001732.1, ENSXETG00000005608.1, ENSXETG00000005598.1, ENSXETG00000009174.1, ENSXETG00000002759.1, ENSXETG00000002563.1
OG0000006	ENSMUSG00000067942.6, ENSMUSG00000102030.1, ENSMUSG00000101303.1, ENSMUSG00000100305.1, ENSMUSG00000100617.1, ENSMUSG00000101415.1, ENSMUSG00000100265.1, ENSMUSG00000050855.16	ENSXETG00000006700.1
OG0000008	ENSMUSG00000060081.1	ENSXETG00000000565.1, ENSXETG00000000652.1, ENSXETG00000019718.1, ENSXETG00000000619.1, ENSXETG00000000587.1, ENSXETG00000000557.1
OG0000008	ENSMUSG00000063689.4	ENSXETG00000015698.1, ENSXETG00000016218.1, ENSXETG00000016244.1, ENSXETG00000015715.1, ENSXETG00000016286.1, ENSXETG00000016187.1, ENSXETG00000016029.1, ENSXETG00000015725.1, ENSXETG00000004077.1, ENSXETG00000004085.1, ENSXETG00000004783.1, ENSXETG00000002937.1, ENSXETG00000009231.1, ENSXETG00000014480.1, ENSXETG00000000107.1, ENSXETG00000000090.1, ENSXETG00000000610.1, ENSXETG00000015778.1, ENSXETG00000014388.1, ENSXETG00000009239.1, ENSXETG00000002804.1, ENSXETG00000002898.1, ENSXETG00000004726.1
OG0000008	ENSMUSG00000049932.3	ENSXETG00000001657.1, ENSXETG00000001664.1
OG0000008	ENSMUSG00000063021.3	ENSXETG00000007766.1, ENSXETG00000007590.1, ENSXETG00000009270.1, ENSXETG00000009546.1, ENSXETG00000016285.1, ENSXETG00000016280.1, ENSXETG00000016262.1
OG0000009	ENSMUSG00000075205.5	ENSXETG00000008905.1, ENSXETG00000008965.1
OG0000009	ENSMUSG00000043226.5, ENSMUSG00000075212.5, ENSMUSG00000075214.3, ENSMUSG00000111454.2, ENSMUSG00000075215.2, ENSMUSG00000111179.1, ENSMUSG00000111566.1	ENSXETG00000002126.1
OG0000009	ENSMUSG00000051392.5	ENSXETG00000002349.1, ENSXETG00000002345.1, ENSXETG00000002352.1, ENSXETG00000010384.1
OG0000009	ENSMUSG00000046975.7	ENSXETG00000002333.1
OG0000009	ENSMUSG00000075158.5, ENSMUSG00000075155.2	ENSXETG00000019358.1, ENSXETG00000018115.1, ENSXETG00000019357.1, ENSXETG00000017718.1
OG0000010	ENSMUSG00000050799.3, ENSMUSG00000105827.1, ENSMUSG00000056895.4	ENSXETG00000020462.1
