gene,kTotal,MM.turquoise,kWithin,description
107292061,889.9258013,0.979853533,482.2182929,SEC63 homolog protein translocation regulator
107294296,912.4208455,0.974906029,484.7826816,ADP ribosylation factor GTPase activating protein 3
107287854,866.8572261,0.97342831,483.7681732,multiple coagulation factor deficiency 2
107295193,819.285094,0.972698446,452.447567,transmembrane p24 trafficking protein 9
107298183,801.0226903,0.971949244,450.1161285,transmembrane protein 39A
107285739,862.193122,0.971897245,472.0047016,protein disulfide isomerase family A member 5
107289360,815.7613197,0.970982101,477.0872139,prolyl 4-hydroxylase subunit alpha 1
107297104,797.6442926,0.967131915,460.3359102,transmembrane emp24 domain-containing protein 10-like
107284878,798.8138982,0.965756819,451.9470549,ANKH inorganic pyrophosphate transport regulator
107302788,745.8848663,0.96442263,432.3688527,elongation factor for RNA polymerase II 2
107300978,770.0871325,0.96375003,419.6504835,probable phospholipid-transporting ATPase VA
107288987,747.0487787,0.963693073,449.0504238,family with sequence similarity 234 member B
107286214,850.2669829,0.962928095,452.7619322,isovaleryl-CoA dehydrogenase
107295144,701.2474113,0.962774923,400.4202658,cordon-bleu protein-like 1
107288515,770.2373542,0.962106681,429.3583404,osteosarcoma amplified 9 endoplasmic reticulum lectin
107294130,840.8358628,0.961759983,461.0799671,cystathionine gamma-lyase
107289866,885.4873749,0.96166424,471.5073144,SIL1 nucleotide exchange factor
107284549,693.6688553,0.96136841,406.6446184,transmembrane protein 63C
107288709,854.5826115,0.9611512,438.9837491,fibronectin type III domain containing 3A
107298193,777.4506682,0.961004047,457.0843571,zinc metalloproteinase-disintegrin-like HR1b
107287167,779.7548813,0.960007014,455.2279797,adenosylmethionine decarboxylase 1
107285456,768.1249402,0.959506435,427.9581459,ATPase H+ transporting V0 subunit a2
107291066,834.8158544,0.959462331,432.1525854,solute carrier family 39 member 9
107286321,767.995008,0.958543836,420.2709113,TraB domain containing
107287935,780.3545374,0.957126683,452.9701324,glutaminyl-peptide cyclotransferase
107283214,701.610355,0.957086371,427.3566203,zinc transporter ZIP11-like
107302793,751.8745415,0.956765962,422.2018492,vacuole membrane protein 1
107294904,921.4724468,0.955637655,454.5827397,eukaryotic translation termination factor 1
107292969,799.19557,0.955393664,425.1701633,ribophorin I
107286324,871.5911182,0.954864418,443.3209169,histone deacetylase 10
107302526,734.8102725,0.954703363,412.2238248,sortilin 1
107289890,736.2824038,0.954529674,433.4666432,endoplasmic reticulum-golgi intermediate compartment 1
107303232,881.3375041,0.95343101,441.6947846,phosphoribosyl pyrophosphate synthetase 1
107292092,924.2146178,0.952346214,463.0252628,methyltransferase like 9
107287251,683.955141,0.951887594,382.4776337,ribophorin II
107295506,708.8602054,0.951840041,412.6130706,proton-coupled amino acid transporter 1-like
107290492,646.8029944,0.951449645,372.3218891,aldehyde dehydrogenase 6 family member A1
107300935,694.7226017,0.951346676,420.1931436,zinc metalloproteinase/disintegrin-like HR1a
107293978,706.3860471,0.951345527,395.7814464,dopey family member 2
107302977,664.6353389,0.950829649,407.2345462,phospholipase B domain containing 1
107293249,667.4103134,0.95078337,379.2306602,mutated in colorectal cancers
107297686,689.6317118,0.950732066,394.8652152,family with sequence similarity 120A
107285633,880.2484318,0.949702324,448.558165,signal recognition particle 72kDa
107301016,752.1922979,0.949565993,440.9025727,uncharacterized LOC107301016
107282996,815.2711788,0.949001575,426.618734,oligosaccharyltransferase complex subunit (non-catalytic)
107291265,788.0515801,0.948954791,406.1963316,grainyhead like transcription factor 1
107288226,733.957546,0.948105905,377.516229,nuclear factor I/B
107289270,695.522527,0.948075957,402.2491523,alpha-13-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like
107287079,774.8966339,0.948003218,398.5247525,nuclear factor 1 A-type
107287547,719.4113557,0.947878132,422.1870421,snake venom serine protease-like
107294495,886.7648526,0.947665986,447.5719984,ARFGEF family member 3
107295274,637.5287759,0.946384778,370.4451326,transforming growth factor beta 1
107296798,802.392543,0.945975141,406.8916179,fucosyltransferase 8 (alpha (16) fucosyltransferase)
107287636,827.0249739,0.944725904,440.1563683,iroquois homeobox 1
107288766,668.1507003,0.944444492,380.6838703,TBC1 domain family member 16
107291004,653.55741,0.944440088,368.5482446,serine hydroxymethyltransferase 2 (mitochondrial)
107290894,776.8238928,0.943964891,411.7930163,transmembrane emp24 domain-containing protein 7-like
107299087,663.5142459,0.943655755,402.6869611,regulatory factor X6
107294533,861.3891792,0.943548955,447.5768892,transmembrane protein 41B
107294079,831.2515578,0.943547718,429.1040489,ornithine decarboxylase 1
107287552,659.8112031,0.943305099,398.0820557,beta-fibrinogenase mucrofibrase-3
107289045,679.0265988,0.943244915,396.8539508,KIAA1324 ortholog
107288149,659.9815976,0.943118324,376.8698054,glypican 1
107290033,652.75604,0.942784014,363.4284138,tumor protein p53 binding protein 2
107284111,683.2116105,0.942711496,393.8580415,ectonucleoside triphosphate diphosphohydrolase 6 (putative)
107289913,748.6283179,0.94266459,406.6311016,AKT interacting protein
107284249,677.8231524,0.94247101,364.4072858,aftiphilin
107285462,847.0808301,0.942253169,438.1828313,transmembrane p24 trafficking protein 2
107290347,765.2699692,0.941934322,402.9901569,INTS3 and NABP interacting protein
107289098,617.1138417,0.941914178,366.8362586,solute carrier family 45 member 3
107285943,737.201679,0.941770027,408.2553581,phosphoseryl-tRNA kinase
107290839,623.7040072,0.941707932,352.6244496,major facilitator superfamily domain containing 13A
107298284,688.7016014,0.941381123,417.0488093,zinc metalloproteinase-disintegrin-like batroxstatin-3
107287555,700.8150528,0.941213624,412.1462953,snake venom serine protease 3
107299988,694.9612109,0.941143616,407.1033739,snaclec rhodocetin subunit delta-like
107285134,722.9331038,0.940610048,370.5901746,tetratricopeptide repeat protein 39A-like
107287546,627.4578268,0.940604813,392.1291328,snake venom serine protease 3-like
107290494,685.0542389,0.940170684,379.3975806,acetyl-coenzyme A synthetase 2-like mitochondrial
107285838,781.2063876,0.939840406,423.8236632,phosphatidylinositol glycan anchor biosynthesis class H
107292581,700.835292,0.938732647,408.1946664,solute carrier family 7 (amino acid transporter light chain bo+ system) member 9
107287688,696.4611684,0.937967818,387.8808116,solute carrier family 30 member 4
107295507,698.0677984,0.937799357,382.8616333,GM2 ganglioside activator
107291355,624.8544322,0.937731973,386.2198765,acidic phospholipase A2 1
107287548,667.1532798,0.937207122,404.9932962,snake venom serine proteinase 11
107283220,627.7018595,0.936843056,374.4200636,uncharacterized LOC107283220
107296164,718.5310723,0.936150548,374.1067764,calmodulin regulated spectrin associated protein family member 3
107298194,714.3338707,0.936125418,409.9674998,disintegrin-like leberagin-C
107289825,739.0513827,0.936090442,418.8685129,regulator of G-protein signaling 2
107294778,676.0088046,0.93589295,398.4791185,ATPase H+ transporting V1 subunit C2
107286125,655.511585,0.935502316,394.0581018,spermine synthase
107292631,789.0459931,0.935419035,405.6724592,sperm-specific antigen 2 homolog
