Orthogroup	P_Mucros.pep	C_familiaris.pep
OG0000006	XP_015685540.1, XP_029142004.1	ENSCAFG00000032253.2, ENSCAFG00000028550.2, ENSCAFG00000023300.3, ENSCAFG00000049203.1, ENSCAFG00000041396.1, ENSCAFG00000042267.1, ENSCAFG00000030603.2, ENSCAFG00000002361.5, ENSCAFG00000030568.2, ENSCAFG00000029058.2, ENSCAFG00000048255.1, ENSCAFG00000045193.1
OG0000006	XP_029139985.1, XP_029141493.1	ENSCAFG00000041809.1, ENSCAFG00000031469.2
OG0000006	XP_029140115.1	ENSCAFG00000030256.2, ENSCAFG00000041414.1, ENSCAFG00000002441.4, ENSCAFG00000030461.2, ENSCAFG00000031000.3, ENSCAFG00000029114.3, ENSCAFG00000029432.2, ENSCAFG00000049733.1, ENSCAFG00000029984.2, ENSCAFG00000010392.4, ENSCAFG00000023499.4, ENSCAFG00000043983.1, ENSCAFG00000029179.2, ENSCAFG00000049102.1
OG0000008	XP_015678743.1	ENSCAFG00000012984.1
OG0000008	XP_015668418.1	ENSCAFG00000012332.2, ENSCAFG00000044672.1, ENSCAFG00000041985.1, ENSCAFG00000043054.1
OG0000008	XP_015681937.1, XP_015686823.1	ENSCAFG00000045621.1, ENSCAFG00000047415.1
OG0000008	XP_015678750.1	ENSCAFG00000043458.1, ENSCAFG00000031860.1, ENSCAFG00000029759.1, ENSCAFG00000031754.1, ENSCAFG00000028830.1, ENSCAFG00000044066.1, ENSCAFG00000029260.1, ENSCAFG00000024329.2, ENSCAFG00000030507.1, ENSCAFG00000029078.1, ENSCAFG00000049775.1, ENSCAFG00000024315.2
OG0000009	XP_015677980.2	ENSCAFG00000007632.4
OG0000009	XP_015684501.1, XP_015673238.1	ENSCAFG00000007996.4, ENSCAFG00000007993.2, ENSCAFG00000041303.1, ENSCAFG00000043344.1
OG0000009	XP_015677985.1	ENSCAFG00000030998.1, ENSCAFG00000031814.1, ENSCAFG00000031163.1
OG0000009	XP_015677984.1	ENSCAFG00000008094.4
OG0000009	XP_015683726.1	ENSCAFG00000008017.4
OG0000009	XP_015673205.2	ENSCAFG00000011043.4
OG0000009	XP_015677981.1, XP_015677982.2	ENSCAFG00000008097.3
OG0000010	XP_015672062.1, XP_015681933.1, XP_015681932.1	ENSCAFG00000029445.1, ENSCAFG00000030731.2
OG0000010	XP_015675791.1	ENSCAFG00000049029.1, ENSCAFG00000010770.3, ENSCAFG00000044235.1
OG0000010	XP_015683800.1	ENSCAFG00000030570.1, ENSCAFG00000029200.2, ENSCAFG00000043731.1, ENSCAFG00000044000.1, ENSCAFG00000045051.1, ENSCAFG00000044027.1, ENSCAFG00000031494.1, ENSCAFG00000049795.1, ENSCAFG00000045037.1, ENSCAFG00000042780.1, ENSCAFG00000028672.1
OG0000013	XP_029141885.1, XP_029139675.1, XP_015669877.1, XP_015669871.1, XP_029139676.1, XP_015669872.1, XP_029139682.1, XP_015669863.1, XP_015669864.1, XP_029139677.1, XP_015669887.1, XP_015669873.1, XP_015668983.1, XP_015669884.2, XP_029139679.1	ENSCAFG00000001273.4, ENSCAFG00000029783.1, ENSCAFG00000031439.1
OG0000014	XP_015680071.1, XP_015680070.1	ENSCAFG00000016119.5
OG0000014	XP_015669163.1	ENSCAFG00000011517.2
OG0000014	XP_015686318.1	ENSCAFG00000041871.1
OG0000018	XP_015686319.1	ENSCAFG00000031940.2, ENSCAFG00000029110.1, ENSCAFG00000032188.1
OG0000018	XP_015665997.1	ENSCAFG00000029032.1, ENSCAFG00000024275.3, ENSCAFG00000029451.2, ENSCAFG00000029066.1
OG0000018	XP_015665996.1	ENSCAFG00000030696.1
OG0000021	XP_015665826.1, XP_015665834.1, XP_029138870.1, XP_015665846.1, XP_015665854.1, XP_015665840.1, XP_015665870.1, XP_015665863.1, XP_015665898.1, XP_015665882.1, XP_015665890.1, XP_029138891.1	ENSCAFG00000017575.4, ENSCAFG00000030337.3, ENSCAFG00000017522.4, ENSCAFG00000042770.1
OG0000021	XP_015665771.1, XP_015665778.1	ENSCAFG00000023094.3
OG0000021	XP_015669261.1	ENSCAFG00000007782.4
OG0000021	XP_015677905.1, XP_015677906.1, XP_015677907.1	ENSCAFG00000010154.4
OG0000023	XP_015680192.1, XP_015680188.1, XP_029141670.1	ENSCAFG00000005679.3
OG0000023	XP_015677303.2	ENSCAFG00000042671.1
OG0000023	XP_015677478.2, XP_029141074.1	ENSCAFG00000023739.3, ENSCAFG00000015460.4
OG0000023	XP_029140194.1, XP_015672569.2	ENSCAFG00000011456.3, ENSCAFG00000029808.2, ENSCAFG00000029148.1, ENSCAFG00000031594.1, ENSCAFG00000030249.1, ENSCAFG00000031974.1, ENSCAFG00000031533.1, ENSCAFG00000041125.1, ENSCAFG00000030533.2, ENSCAFG00000045423.1
OG0000023	XP_015677302.1, XP_015677296.2, XP_015677295.1, XP_015686267.1, XP_015677292.1	ENSCAFG00000030818.1, ENSCAFG00000032250.2, ENSCAFG00000025368.3
