geneid,proteinid
107282158,XP_015669139.1
107282159,XP_015665765.1
107282160,XP_015665403.1
107282161,XP_015665400.1
107282162,XP_015665401.1
107282163,XP_015665402.1
107282164,XP_015665404.1
107282165,XP_015665405.1
107282166,XP_015665406.1
107282167,XP_015665407.1
107282168,XP_015665408.1
107282169,XP_015665409.1
107282170,XP_015665410.1
107282172,XP_015665411.1
107282173,XP_015665412.1
107282174,XP_015665413.1
107282175,XP_015665414.1
107282176,XP_015665415.1
107282177,XP_015665416.1
107282178,XP_015665420.1
107282179,XP_015665417.1
107282180,XP_015665418.1
107282181,XP_015665419.1
107282182,XP_015665421.1
107282183,XP_015665422.1
107282184,XP_015665423.1
107282185,XP_015665424.1
107282186,XP_015665425.1
107282187,XP_015665426.1
107282188,XP_015665427.1
107282189,XP_015665428.1
107282190,XP_015665429.1
107282191,XP_015665430.1
107282192,XP_015665431.1
107282193,XP_015665432.1
107282194,XP_015665433.1
107282195,XP_015665434.1
107282196,XP_015665435.1
107282197,XP_015665436.1
107282198,XP_015665437.1
107282198,XP_015665438.1
107282199,XP_015665441.1
107282200,XP_015665439.1
107282200,XP_015665440.1
107282202,XP_015665442.1
107282202,XP_015665443.1
107282202,XP_015665444.1
107282202,XP_015665445.1
107282203,XP_015665446.1
107282204,XP_015665447.1
107282205,XP_015665448.1
107282206,XP_015665449.1
107282207,XP_015665453.1
107282208,XP_015665450.1
107282209,XP_015665451.1
107282210,XP_015665452.1
107282211,XP_015665454.1
107282211,XP_015665455.1
107282211,XP_015665456.1
107282211,XP_015665457.1
107282212,XP_015665458.1
107282213,XP_015665459.1
107282214,XP_015665460.1
107282215,XP_015665461.1
107282216,XP_015665465.1
107282217,XP_015665462.1
107282218,XP_015665463.1
107282219,XP_015665464.1
107282220,XP_015665466.1
107282221,XP_015665467.1
107282222,XP_015665468.1
107282223,XP_015665469.1
107282224,XP_015665470.1
107282225,XP_015665471.1
107282226,XP_015665472.1
107282226,XP_015665474.1
107282227,XP_015665478.1
107282228,XP_015665475.1
107282229,XP_015665476.1
107282230,XP_015665477.1
107282231,XP_015665479.1
107282232,XP_015665480.1
107282233,XP_015665481.1
107282234,XP_015665482.1
107282235,XP_015665483.1
107282236,XP_015665484.1
107282237,XP_015665485.1
107282237,XP_015665486.1
107282238,XP_015665489.1
107282239,XP_015665487.1
107282239,XP_015665488.1
107282240,XP_015665490.1
107282241,XP_015665491.1
107282242,XP_015665492.1
107282243,XP_015665493.1
107282243,XP_015665494.1
107282244,XP_015665495.1
107282245,XP_015665496.1
107282246,XP_015665497.1
107282247,XP_015665501.1
107282247,XP_015665507.1
107282247,XP_015665515.1
107282247,XP_015665523.1
107282248,XP_015665498.1
107282248,XP_015665499.1
107282248,XP_015665500.1
107282249,XP_015665502.1
107282249,XP_015665503.1
107282250,XP_015665504.1
107282251,XP_015665505.1
107282253,XP_015665506.1
107282253,XP_015665508.1
107282254,XP_015665509.1
107282255,XP_015665510.1
107282256,XP_015665511.1
107282256,XP_015665512.1
107282257,XP_015665513.1
107282258,XP_015665514.1
107282259,XP_015665516.1
107282260,XP_015665517.1
107282260,XP_015665518.1
107282260,XP_015665519.1
107282261,XP_015665520.1
107282262,XP_015665521.1
107282263,XP_015665522.1
107282264,XP_015665524.1
107282264,XP_015665525.1
107282266,XP_015665526.1
107282267,XP_015665527.1
107282268,XP_015665528.1
107282269,XP_015665529.1
107282270,XP_015665530.1
107282271,XP_015665533.1
107282273,XP_015665531.1
107282274,XP_015665532.1
107282275,XP_015665534.1
107282276,XP_015665535.1
107282277,XP_015665536.1
107282278,XP_015665537.1
107282279,XP_015665538.1
107282280,XP_015665539.1
107282282,XP_015665540.1
107282283,XP_015665541.1
107282284,XP_015665542.1
107282285,XP_015665543.1
107282286,XP_015665544.1
107282287,XP_015665545.1
107282288,XP_015665550.1
107282289,XP_015665547.1
107282290,XP_015665548.1
107282291,XP_015665549.1
107282292,XP_015665551.1
107282293,XP_015665552.1
107282294,XP_015665553.1
107282295,XP_015665554.1
107282296,XP_015665555.1
107282297,XP_015665556.1
107282298,XP_015665557.1
107282299,XP_015665561.1
107282300,XP_015665558.1
107282301,XP_015665559.1
107282302,XP_015665560.1
107282303,XP_015665562.1
107282304,XP_015665563.1
107282306,XP_015665564.1
107282307,XP_015665565.1
107282308,XP_015665566.1
107282309,XP_015665567.1
107282310,XP_015665571.1
107282311,XP_015665568.1
107282312,XP_015665569.1
107282313,XP_015665570.1
107282314,XP_015665572.1
107282315,XP_015665573.1
107282316,XP_015665574.1
107282317,XP_015665575.1
107282318,XP_015665576.1
107282319,XP_015665577.1
107282320,XP_015665578.1
107282321,XP_015665580.1
107282321,XP_015665588.1
107282324,XP_015665579.1
107282325,XP_015665581.1
107282326,XP_015665582.1
107282327,XP_015665583.1
107282328,XP_015665584.1
107282329,XP_015665585.1
107282330,XP_015665586.1
107282331,XP_015665587.1
107282332,XP_015665589.1
107282333,XP_015665590.1
107282334,XP_015665591.1
107282335,XP_015665592.1
107282336,XP_015665593.1
107282337,XP_015665594.1
107282338,XP_015665595.1
107282339,XP_015665599.1
107282340,XP_015665596.1
107282341,XP_015665597.1
107282342,XP_015665598.1
107282343,XP_015665600.1
107282344,XP_015665601.1
107282345,XP_015665602.1
107282346,XP_015665603.1
107282347,XP_015665604.1
107282348,XP_015665605.1
107282349,XP_015665606.1
107282350,XP_015665610.1
107282351,XP_015665607.1
107282352,XP_015665608.1
107282353,XP_015665609.1
107282354,XP_015665611.1
107282355,XP_015665612.1
107282356,XP_015665613.1
107282357,XP_015665614.1
107282358,XP_015665615.1
107282359,XP_015665616.1
107282360,XP_015665617.1
107282361,XP_015665655.1
107282362,XP_015665621.1
107282363,XP_015665618.1
107282364,XP_015665619.1
107282365,XP_015665620.1
107282366,XP_015665622.1
107282367,XP_015665623.1
107282368,XP_015665624.1
107282369,XP_015665625.1
107282370,XP_015665626.1
107282371,XP_015665627.1
107282372,XP_015665628.1
107282373,XP_015665632.1
107282374,XP_015665629.1
107282375,XP_015665630.1
107282376,XP_015665631.1
107282377,XP_015665633.1
107282378,XP_015665634.1
107282379,XP_015665635.1
107282380,XP_015665636.1
107282381,XP_015665637.1
107282382,XP_015665638.1
107282383,XP_015665639.1
107282384,XP_015665643.1
107282385,XP_015665640.1
107282385,XP_015665641.1
107282386,XP_015665642.1
107282387,XP_015665644.1
107282387,XP_015665645.1
107282388,XP_015665646.1
107282389,XP_015665647.1
107282390,XP_015665648.1
107282390,XP_015665649.1
107282391,XP_015665650.1
107282392,XP_015665651.1
107282393,XP_015665656.1
107282394,XP_015665652.1
107282395,XP_015665653.1
107282396,XP_015665654.1
107282397,XP_015665657.1
107282398,XP_015665658.1
107282399,XP_015665659.1
107282400,XP_015665660.1
107282400,XP_015665661.1
107282401,XP_015665662.1
107282402,XP_015665663.1
107282403,XP_015665667.1
107282404,XP_015665664.1
107282405,XP_015665665.1
107282406,XP_015665666.1
107282407,XP_015665668.1
107282408,XP_015665669.1
107282409,XP_015665670.1
107282410,XP_015665671.1
107282410,XP_015665672.1
107282411,XP_015665673.1
107282412,XP_015665674.1
107282413,XP_015665679.1
107282414,XP_015665675.1
107282414,XP_015665676.1
107282415,XP_015665677.1
107282415,XP_015665678.1
107282416,XP_015665680.1
107282417,XP_015665681.1
107282418,XP_015665682.1
107282419,XP_015665683.1
107282420,XP_015665684.1
107282421,XP_015665685.1
107282422,XP_015665686.1
107282423,XP_015665690.1
107282424,XP_015665687.1
107282424,XP_015665688.1
107282425,XP_015665689.1
107282426,XP_015665691.1
107282428,XP_015665692.1
107282429,XP_015665693.1
107282430,XP_015665694.1
107282431,XP_015665695.1
107282432,XP_015665696.1
107282433,XP_015665700.1
107282434,XP_015665697.1
107282435,XP_015665698.1
107282436,XP_015665699.1
107282437,XP_015665701.1
107282438,XP_015665702.1
107282439,XP_015665703.1
107282440,XP_015665704.1
107282441,XP_015665705.1
107282442,XP_015665706.1
107282444,XP_015665707.1
107282445,XP_015665708.1
107282446,XP_015665709.1
107282447,XP_015665710.1
107282448,XP_015665711.1
107282449,XP_015665712.1
107282450,XP_015665713.1
107282451,XP_015665717.1
107282452,XP_015665714.1
107282453,XP_015665715.1
107282454,XP_015665716.1
107282455,XP_015665718.1
107282456,XP_015665719.1
107282457,XP_015665720.1
107282458,XP_015665721.1
107282459,XP_015665722.1
107282460,XP_015665723.1
107282461,XP_015665727.1
107282462,XP_015665724.1
107282463,XP_015665725.1
107282464,XP_015665726.1
107282465,XP_015665766.1
107282466,XP_015665728.1
107282467,XP_015665729.1
107282468,XP_015665730.1
107282469,XP_015665731.1
107282470,XP_015665732.1
107282471,XP_015665733.1
107282472,XP_015665734.1
107282473,XP_015665738.1
107282473,XP_015665746.1
107282474,XP_015665735.1
107282475,XP_015665736.1
107282476,XP_015665737.1
107282477,XP_015665739.1
107282477,XP_015665740.1
107282478,XP_015665741.1
107282479,XP_015665742.1
107282480,XP_015665743.1
107282481,XP_015665744.1
107282482,XP_015665745.1
107282483,XP_015665747.1
107282484,XP_015665748.1
107282485,XP_015665749.1
107282486,XP_015665750.1
107282487,XP_015665751.1
107282488,XP_015665752.1
107282489,XP_015665753.1
107282490,XP_015665757.1
107282491,XP_015665754.1
107282492,XP_015665755.1
107282493,XP_015665756.1
107282494,XP_015665758.1
107282495,XP_015665759.1
107282496,XP_015665760.1
107282497,XP_015665761.1
107282498,XP_015665762.1
107282499,XP_015665763.1
107282500,XP_015665764.1
107282500,XP_015665767.1
107282501,XP_015665771.1
107282501,XP_015665778.1
107282502,XP_015665768.1
107282503,XP_015665769.1
107282503,XP_015665770.1
107282504,XP_015665772.1
107282505,XP_015665773.1
107282505,XP_015665774.1
107282507,XP_015665775.1
107282508,XP_015665776.1
107282509,XP_015665777.1
107282510,XP_015665779.1
107282510,XP_015665780.1
107282511,XP_015665781.1
107282511,XP_015665782.1
107282512,XP_015665783.1
107282513,XP_015665784.1
107282514,XP_015665785.1
107282515,XP_015665786.1
107282515,XP_015665787.1
107282515,XP_015665788.1
107282516,XP_015665790.1
107282517,XP_015665789.1
107282518,XP_015665791.1
107282519,XP_015665792.1
107282519,XP_015665793.1
107282520,XP_015665794.1
107282521,XP_015665795.1
107282521,XP_015665796.1
107282522,XP_015665797.1
107282523,XP_015665798.1
107282524,XP_015665802.1
107282525,XP_015665799.1
107282526,XP_015665800.1
107282526,XP_015665801.1
107282527,XP_015665803.1
107282527,XP_015665804.1
107282528,XP_015665805.1
107282528,XP_015665806.1
107282529,XP_015665807.1
107282529,XP_015665808.1
107282530,XP_015665809.1
107282531,XP_015665810.1
107282532,XP_015665815.1
107282533,XP_015665811.1
107282534,XP_015665812.1
107282534,XP_015665813.1
107282535,XP_015665814.1
107282536,XP_015665816.1
107282537,XP_015665817.1
107282538,XP_015665818.1
107282539,XP_015665819.1
107282539,XP_015665820.1
107282540,XP_015665821.1
107282541,XP_015665822.1
107282542,XP_015665826.1
107282542,XP_015665834.1
107282542,XP_015665840.1
107282542,XP_015665846.1
107282542,XP_015665854.1
107282542,XP_015665863.1
107282542,XP_015665870.1
107282543,XP_015665823.1
107282544,XP_015665824.1
107282545,XP_015665825.1
107282546,XP_015665827.1
107282547,XP_015665828.1
107282548,XP_015665829.1
107282549,XP_015665830.1
107282549,XP_015665831.1
107282550,XP_015665832.1
107282551,XP_015665833.1
107282553,XP_015665835.1
107282554,XP_015665836.1
107282555,XP_015665837.1
107282556,XP_015665838.1
107282557,XP_015665839.1
107282559,XP_015665841.1
107282560,XP_015665842.1
107282561,XP_015665843.1
107282562,XP_015665881.1
107282563,XP_015665844.1
107282564,XP_015665845.1
107282566,XP_015665847.1
107282567,XP_015665848.1
107282568,XP_015665849.1
107282569,XP_015665850.1
107282570,XP_015665851.1
107282571,XP_015665852.1
107282572,XP_015665853.1
107282572,XP_015665855.1
107282572,XP_015665856.1
107282572,XP_015665857.1
107282573,XP_015665858.1
107282573,XP_015665859.1
107282574,XP_015665860.1
107282575,XP_015665861.1
107282576,XP_015665862.1
107282577,XP_015665864.1
107282578,XP_015665865.1
107282579,XP_015665866.1
107282580,XP_015665867.1
107282581,XP_015665868.1
107282582,XP_015665869.1
107282583,XP_015665871.1
107282584,XP_015665872.1
107282585,XP_015665873.1
107282586,XP_015665874.1
107282587,XP_015665875.1
107282588,XP_015665876.1
107282589,XP_015665877.1
107282590,XP_015665882.1
107282590,XP_015665890.1
107282590,XP_015665898.1
107282591,XP_015665878.1
107282592,XP_015665879.1
107282593,XP_015665880.1
107282594,XP_015665883.1
107282595,XP_015665884.1
107282596,XP_015665885.1
107282597,XP_015665886.1
107282598,XP_015665887.1
107282599,XP_015665888.1
107282600,XP_015665889.1
107282601,XP_015665891.1
107282602,XP_015665892.1
107282603,XP_015665893.1
107282604,XP_015665894.1
107282605,XP_015665895.1
107282605,XP_015665896.1
107282606,XP_015665897.1
107282607,XP_015665899.1
107282608,XP_015665900.1
107282609,XP_015665901.1
107282610,XP_015665902.1
107282611,XP_015665903.1
107282612,XP_015665904.1
107282613,XP_015665905.1
107282614,XP_015665909.1
107282615,XP_015665906.1
107282616,XP_015665907.1
107282617,XP_015665908.1
107282618,XP_015665910.1
107282619,XP_015665911.1
107282620,XP_015665912.1
107282621,XP_015665913.1
107282622,XP_015665914.1
107282623,XP_015665915.1
107282623,XP_015665916.1
107282624,XP_015665921.1
107282625,XP_015665917.1
107282626,XP_015665918.1
107282626,XP_015665919.1
107282627,XP_015665920.1
107282627,XP_015665922.1
107282628,XP_015665923.1
107282629,XP_015665924.1
107282630,XP_015665925.1
107282631,XP_015665926.1
107282632,XP_015665927.1
107282632,XP_015665928.1
107282633,XP_015665932.1
107282634,XP_015665929.1
107282635,XP_015665930.1
107282636,XP_015665931.1
107282637,XP_015665933.1
107282638,XP_015665934.1
107282639,XP_015665935.1
107282640,XP_015665936.1
107282641,XP_015665937.1
107282642,XP_015665938.1
107282643,XP_015665939.1
107282644,XP_015665943.1
107282645,XP_015665940.1
107282646,XP_015665941.1
107282647,XP_015665942.1
107282648,XP_015665944.1
107282649,XP_015665945.1
107282650,XP_015665946.1
107282651,XP_015665947.1
107282651,XP_015665948.1
107282652,XP_015665949.1
107282653,XP_015665950.1
107282654,XP_015665954.1
107282655,XP_015665951.1
107282656,XP_015665952.1
107282657,XP_015665953.1
107282658,XP_015665955.1
107282658,XP_015665956.1
