Orthogroup	G_gallus.pep	H_sapiens.pep
OG0000004	ENSGALG00000054874.1, ENSGALG00000049486.1, ENSGALG00000051474.1, ENSGALG00000049010.1, ENSGALG00000047395.1, ENSGALG00000051167.1, ENSGALG00000053057.1, ENSGALG00000050545.1, ENSGALG00000048390.1, ENSGALG00000047506.1, ENSGALG00000050477.1, ENSGALG00000049186.1, ENSGALG00000050376.1, ENSGALG00000048383.1, ENSGALG00000052566.1, ENSGALG00000046719.1, ENSGALG00000050023.1, ENSGALG00000050715.1, ENSGALG00000048283.1, ENSGALG00000052347.1	ENSG00000211664.3, ENSG00000211660.3, ENSG00000211666.2, ENSG00000278196.3, ENSG00000211668.2, ENSG00000211642.3, ENSG00000211644.3, ENSG00000211655.3, ENSG00000273737.3, ENSG00000211651.3, ENSG00000274854.2, ENSG00000211648.2, ENSG00000211645.2, ENSG00000211653.2, ENSG00000274575.2, ENSG00000211640.4, ENSG00000211658.2, ENSG00000211661.2, ENSG00000211665.3, ENSG00000211659.2, ENSG00000211669.3, ENSG00000280866.1, ENSG00000211657.3, ENSG00000211663.2, ENSG00000211673.2, ENSG00000211670.2, ENSG00000211662.2, ENSG00000211667.3
OG0000004	ENSGALG00000047343.1	ENSG00000211643.2, ENSG00000211641.3, ENSG00000281471.1, ENSG00000211654.2, ENSG00000211647.1, ENSG00000211650.2, ENSG00000281145.1, ENSG00000281536.1, ENSG00000169575.5
OG0000006	ENSGALG00000051131.1	ENSG00000160961.12
OG0000006	ENSGALG00000050546.1, ENSGALG00000048494.1, ENSGALG00000049669.1, ENSGALG00000048437.1, ENSGALG00000054535.1, ENSGALG00000046849.1, ENSGALG00000049900.1	ENSG00000273291.5, ENSG00000240747.7
OG0000006	ENSGALG00000050291.1, ENSGALG00000046701.1, ENSGALG00000049054.1, ENSGALG00000048181.1, ENSGALG00000048477.1, ENSGALG00000053582.1, ENSGALG00000049874.1, ENSGALG00000047680.1	ENSG00000147789.15
OG0000008	ENSGALG00000049859.1	ENSG00000246705.4
OG0000008	ENSGALG00000054083.1, ENSGALG00000048212.1, ENSGALG00000052030.1, ENSGALG00000049268.1, ENSGALG00000052284.1, ENSGALG00000032645.2, ENSGALG00000031571.2	ENSG00000184260.5
OG0000008	ENSGALG00000045705.2	ENSG00000188486.3, ENSG00000229674.2
OG0000009	ENSGALG00000043408.2	ENSG00000149133.1, ENSG00000172320.3
OG0000009	ENSGALG00000044550.2	ENSG00000174957.1
OG0000009	ENSGALG00000031739.2	ENSG00000112461.9, ENSG00000233046.8, ENSG00000227137.8, ENSG00000243729.4, ENSG00000243441.6
OG0000009	ENSGALG00000041249.2, ENSGALG00000038269.2	ENSG00000172464.3
OG0000009	ENSGALG00000043910.2	ENSG00000181785.2
OG0000010	ENSGALG00000036908.2	ENSG00000146047.6, ENSG00000203814.6, ENSG00000196890.4, ENSG00000285449.1
OG0000010	ENSGALG00000052649.1	ENSG00000276410.3
OG0000010	ENSGALG00000031804.2	ENSG00000285480.1
OG0000010	ENSGALG00000050350.1, ENSGALG00000051251.1, ENSGALG00000027571.3	ENSG00000184678.10
OG0000010	ENSGALG00000050309.1	ENSG00000274641.1, ENSG00000275713.2
OG0000013	ENSGALG00000050513.1, ENSGALG00000052602.1, ENSGALG00000049479.1, ENSGALG00000053747.1, ENSGALG00000051173.1, ENSGALG00000053944.1, ENSGALG00000048833.1, ENSGALG00000043575.2, ENSGALG00000041504.3, ENSGALG00000051768.1, ENSGALG00000053894.1, ENSGALG00000048915.1, ENSGALG00000047841.1, ENSGALG00000039250.2, ENSGALG00000041951.2, ENSGALG00000054729.1, ENSGALG00000054864.1, ENSGALG00000051877.1, ENSGALG00000049816.1, ENSGALG00000053200.1, ENSGALG00000053420.1, ENSGALG00000047375.1, ENSGALG00000052630.1, ENSGALG00000051246.1, ENSGALG00000040481.2, ENSGALG00000054846.1, ENSGALG00000054897.1, ENSGALG00000046428.2, ENSGALG00000049748.1, ENSGALG00000045377.2, ENSGALG00000053395.1, ENSGALG00000049263.1, ENSGALG00000054611.1, ENSGALG00000046913.1, ENSGALG00000048999.1, ENSGALG00000048618.1, ENSGALG00000053470.1, ENSGALG00000049392.1, ENSGALG00000048175.1, ENSGALG00000047930.1, ENSGALG00000050222.1, ENSGALG00000050447.1, ENSGALG00000048938.1, ENSGALG00000048354.1, ENSGALG00000054311.1, ENSGALG00000048673.1, ENSGALG00000034369.2, ENSGALG00000049109.1, ENSGALG00000048811.1, ENSGALG00000045206.2, ENSGALG00000052981.1, ENSGALG00000049158.1, ENSGALG00000046143.2, ENSGALG00000036079.2, ENSGALG00000049531.1, ENSGALG00000036455.2, ENSGALG00000047178.1, ENSGALG00000048651.1, ENSGALG00000050209.1, ENSGALG00000052836.1, ENSGALG00000054533.1, ENSGALG00000055137.1, ENSGALG00000054884.1, ENSGALG00000049845.1, ENSGALG00000050259.1, ENSGALG00000046926.1, ENSGALG00000054852.1, ENSGALG00000047992.1, ENSGALG00000054226.1, ENSGALG00000051719.1, ENSGALG00000054705.1, ENSGALG00000054589.1, ENSGALG00000043510.2, ENSGALG00000049681.1, ENSGALG00000048180.1, ENSGALG00000050463.1, ENSGALG00000046814.1, ENSGALG00000043446.2, ENSGALG00000049458.1, ENSGALG00000054101.1, ENSGALG00000053077.1, ENSGALG00000052019.1, ENSGALG00000048784.1	ENSG00000189181.5, ENSG00000225291.4, ENSG00000112459.5, ENSG00000204695.4, ENSG00000234195.4, ENSG00000237777.4, ENSG00000234100.4, ENSG00000236927.4, ENSG00000196772.4
OG0000014	ENSGALG00000054599.1, ENSGALG00000020078.6	ENSG00000163041.12
OG0000014	ENSGALG00000048231.1	ENSG00000273213.3, ENSG00000274750.2, ENSG00000286522.1, ENSG00000285435.1, ENSG00000168148.3, ENSG00000287080.1, ENSG00000273983.1, ENSG00000278828.1, ENSG00000275379.1, ENSG00000197409.7, ENSG00000275714.1, ENSG00000197153.4, ENSG00000277775.1
OG0000018	ENSGALG00000050250.1	ENSG00000276180.1, ENSG00000158406.4, ENSG00000273542.1, ENSG00000270276.2, ENSG00000278705.1
OG0000018	ENSGALG00000048097.1	ENSG00000274618.1, ENSG00000275663.1
OG0000018	ENSGALG00000047126.1	ENSG00000275126.1
OG0000018	ENSGALG00000042491.2	ENSG00000278637.1
OG0000021	ENSGALG00000037864.2, ENSGALG00000039977.3, ENSGALG00000029606.2, ENSGALG00000028612.3, ENSGALG00000032404.2, ENSGALG00000042257.2, ENSGALG00000027323.4	ENSG00000264424.1, ENSG00000125414.19, ENSG00000109061.10, ENSG00000133020.4
OG0000021	ENSGALG00000029660.2	ENSG00000006788.14
OG0000021	ENSGALG00000030985.2	ENSG00000078814.16
OG0000021	ENSGALG00000015358.7	ENSG00000144821.10
OG0000021	ENSGALG00000035594.2	ENSG00000092054.13
OG0000021	ENSGALG00000035960.2	ENSG00000197616.12
OG0000023	ENSGALG00000054820.1	ENSG00000276240.2, ENSG00000221977.2, ENSG00000182652.3, ENSG00000171014.2, ENSG00000172742.5, ENSG00000254466.2, ENSG00000176200.1, ENSG00000166884.2, ENSG00000141194.6, ENSG00000255713.2, ENSG00000182974.3, ENSG00000288469.1, ENSG00000288194.1, ENSG00000278776.1, ENSG00000274102.2, ENSG00000275249.1, ENSG00000176299.5, ENSG00000278178.2, ENSG00000274792.1, ENSG00000288193.1, ENSG00000288501.1, ENSG00000285472.1, ENSG00000183706.5, ENSG00000279408.3, ENSG00000280709.2, ENSG00000176294.6, ENSG00000184394.2
OG0000025	ENSGALG00000034319.3, ENSGALG00000039701.2, ENSGALG00000044502.2, ENSGALG00000053266.1, ENSGALG00000030940.3, ENSGALG00000000141.7	ENSG00000196610.13, ENSG00000228254.9, ENSG00000228813.9, ENSG00000229493.9, ENSG00000230675.9, ENSG00000232629.9, ENSG00000226165.9, ENSG00000224305.9, ENSG00000206302.10, ENSG00000206237.6, ENSG00000225824.8, ENSG00000179344.16, ENSG00000233209.6, ENSG00000231286.7, ENSG00000231939.5, ENSG00000198502.6, ENSG00000236884.8, ENSG00000229074.8, ENSG00000230463.2, ENSG00000196101.9, ENSG00000231679.7, ENSG00000206240.11, ENSG00000206306.10, ENSG00000227357.2, ENSG00000227826.9, ENSG00000231021.9, ENSG00000228080.10, ENSG00000196126.11
OG0000026	ENSGALG00000048480.1, ENSGALG00000050242.1, ENSGALG00000048333.1, ENSGALG00000038668.2, ENSGALG00000052881.1, ENSGALG00000050281.1, ENSGALG00000050703.1, ENSGALG00000053430.1, ENSGALG00000046772.1, ENSGALG00000052429.1	ENSG00000171815.5, ENSG00000120324.9, ENSG00000177839.7, ENSG00000113212.7, ENSG00000112852.7, ENSG00000120327.6, ENSG00000272674.3, ENSG00000187372.11, ENSG00000120322.4, ENSG00000081818.4, ENSG00000113209.9, ENSG00000113211.5, ENSG00000113205.5, ENSG00000113248.6, ENSG00000120328.6, ENSG00000197479.7
OG0000027	ENSGALG00000006241.5	ENSG00000075886.11, ENSG00000198033.12, ENSG00000152086.9
OG0000027	ENSGALG00000037953.3	ENSG00000167552.14
OG0000027	ENSGALG00000008444.6	ENSG00000178462.12
OG0000027	ENSGALG00000013045.6, ENSGALG00000013056.6	ENSG00000183785.15
OG0000027	ENSGALG00000000433.7, ENSGALG00000011324.6	ENSG00000127824.14
OG0000027	ENSGALG00000040260.2	ENSG00000167553.15
OG0000029	ENSGALG00000032672.3	ENSG00000170454.6, ENSG00000170465.10, ENSG00000205420.11, ENSG00000185479.6, ENSG00000186081.12
OG0000029	ENSGALG00000034868.3	ENSG00000135480.16
OG0000032	ENSGALG00000037290.2	ENSG00000205327.3, ENSG00000179695.2, ENSG00000197706.3, ENSG00000188324.4, ENSG00000205328.2, ENSG00000185821.3, ENSG00000187857.4, ENSG00000205330.4, ENSG00000205329.2, ENSG00000179626.4, ENSG00000179615.2
OG0000033	ENSGALG00000017341.7, ENSGALG00000017342.5	ENSG00000181609.5, ENSG00000181616.9, ENSG00000255307.1, ENSG00000187747.2
