Orthogroup	P_troglodytes.pep	M_musculus.pep
OG0000002	ENSPTRG00000050534.1, ENSPTRG00000050506.1, ENSPTRG00000045804.1, ENSPTRG00000051498.1	ENSMUSG00000076661.2
OG0000002	ENSPTRG00000045574.1, ENSPTRG00000042773.1, ENSPTRG00000051095.1, ENSPTRG00000042561.2, ENSPTRG00000049279.1	ENSMUSG00000094134.2, ENSMUSG00000095571.2, ENSMUSG00000095285.2, ENSMUSG00000094951.1, ENSMUSG00000095612.2, ENSMUSG00000095210.2, ENSMUSG00000095429.1, ENSMUSG00000103033.1, ENSMUSG00000076633.7, ENSMUSG00000094194.2, ENSMUSG00000076655.2, ENSMUSG00000096108.2, ENSMUSG00000094533.1
OG0000002	ENSPTRG00000046634.1, ENSPTRG00000046669.1, ENSPTRG00000051561.1, ENSPTRG00000051773.1, ENSPTRG00000050166.1, ENSPTRG00000044091.1, ENSPTRG00000046896.1	ENSMUSG00000095700.2, ENSMUSG00000095981.1, ENSMUSG00000087582.6, ENSMUSG00000096407.2, ENSMUSG00000076680.1, ENSMUSG00000094174.2, ENSMUSG00000076677.1, ENSMUSG00000076671.5, ENSMUSG00000076653.4, ENSMUSG00000076652.4, ENSMUSG00000076668.4, ENSMUSG00000076665.4
OG0000003	ENSPTRG00000043451.1	ENSMUSG00000076598.3, ENSMUSG00000094117.1, ENSMUSG00000095682.1, ENSMUSG00000095351.2, ENSMUSG00000095338.1, ENSMUSG00000095335.2, ENSMUSG00000076596.3, ENSMUSG00000094478.1, ENSMUSG00000096715.2
OG0000003	ENSPTRG00000031391.3	ENSMUSG00000076564.2, ENSMUSG00000076570.6, ENSMUSG00000076534.6, ENSMUSG00000096422.2, ENSMUSG00000095007.1, ENSMUSG00000076526.6, ENSMUSG00000076538.1, ENSMUSG00000079543.3
OG0000003	ENSPTRG00000043991.1	ENSMUSG00000098814.2, ENSMUSG00000105630.1, ENSMUSG00000076522.2, ENSMUSG00000096490.1, ENSMUSG00000094902.2, ENSMUSG00000094420.2, ENSMUSG00000076512.2, ENSMUSG00000094345.2, ENSMUSG00000095771.2, ENSMUSG00000091008.1, ENSMUSG00000096515.5, ENSMUSG00000096461.5, ENSMUSG00000095737.5, ENSMUSG00000076523.2
OG0000003	ENSPTRG00000047003.1, ENSPTRG00000043724.1, ENSPTRG00000042740.1, ENSPTRG00000042025.2	ENSMUSG00000076572.6
OG0000003	ENSPTRG00000046612.1	ENSMUSG00000094797.1, ENSMUSG00000076594.2, ENSMUSG00000095630.2, ENSMUSG00000096844.1, ENSMUSG00000095794.2, ENSMUSG00000094930.2, ENSMUSG00000076578.3, ENSMUSG00000076587.3, ENSMUSG00000076576.2, ENSMUSG00000076583.1, ENSMUSG00000076580.3, ENSMUSG00000104769.1, ENSMUSG00000076586.2, ENSMUSG00000076581.1, ENSMUSG00000076589.2, ENSMUSG00000094356.2, ENSMUSG00000096594.2, ENSMUSG00000076577.2, ENSMUSG00000076575.6
OG0000004	ENSPTRG00000050490.1, ENSPTRG00000043867.1, ENSPTRG00000043221.1	ENSMUSG00000076934.2, ENSMUSG00000076940.3
OG0000004	ENSPTRG00000014125.2	ENSMUSG00000059280.4, ENSMUSG00000059305.12
