Orthogroup	A_carolinensis.pep	P_Mucros.pep
OG0000002	ENSACAG00000002838.3	XP_015685264.1, XP_029141702.1
OG0000002	ENSACAG00000002383.2	XP_029142661.1
OG0000004	ENSACAG00000028258.1	XP_029142696.1
OG0000006	ENSACAG00000028936.1	XP_015685540.1, XP_029142004.1, XP_029139985.1, XP_029141493.1
OG0000006	ENSACAG00000012836.3, ENSACAG00000014483.2, ENSACAG00000028531.1, ENSACAG00000010529.2, ENSACAG00000013824.3, ENSACAG00000029188.1	XP_029140115.1
OG0000007	ENSACAG00000006467.3, ENSACAG00000006477.2	XP_029141355.1
OG0000007	ENSACAG00000007427.2, ENSACAG00000026396.1, ENSACAG00000025081.2	XP_015677920.1, XP_029139616.1, XP_029139619.1, XP_029139607.1, XP_015669706.1, XP_029141191.1, XP_015669740.1, XP_029139635.1, XP_029139609.1, XP_029139608.1, XP_015669676.2, XP_029139614.1, XP_029139631.1, XP_029139638.1, XP_029139622.1
OG0000007	ENSACAG00000017528.2	XP_029139471.1, XP_015673670.1, XP_015673671.1
OG0000007	ENSACAG00000008049.2	XP_015677998.1, XP_015677997.1
OG0000007	ENSACAG00000010956.2	XP_029139482.1
OG0000007	ENSACAG00000008025.2	XP_015673669.1, XP_015673668.1, XP_015668966.1, XP_015668965.1, XP_015678003.1, XP_015678002.1, XP_015668967.1, XP_029141222.1, XP_015668968.1
OG0000007	ENSACAG00000007113.2	XP_029140244.1, XP_029140245.1, XP_015679667.1, XP_029140003.1, XP_029140241.1, XP_029140242.1, XP_029140238.1, XP_015679668.1, XP_015679669.1, XP_029140243.1, XP_029140513.1, XP_015674426.1, XP_029139651.1, XP_015669832.2, XP_029139650.1, XP_015684351.1, XP_029139648.1, XP_029142846.1, XP_029139646.1, XP_029139649.1, XP_029139645.1, XP_029140512.1, XP_029139647.1, XP_015674425.1, XP_029140516.1, XP_029140515.1, XP_015674421.1, XP_029140517.1, XP_029140514.1, XP_029141570.1, XP_029138827.1, XP_029138828.1, XP_029138826.1, XP_029138829.1, XP_029141572.1, XP_015684906.2, XP_029141571.1
OG0000007	ENSACAG00000011059.2	XP_015678001.1, XP_015669834.2, XP_029141221.1
OG0000007	ENSACAG00000017518.2, ENSACAG00000009643.2, ENSACAG00000009658.2, ENSACAG00000009650.2, ENSACAG00000009664.3, ENSACAG00000029458.1, ENSACAG00000009676.2, ENSACAG00000017516.2	XP_029140389.1, XP_015673779.1, XP_015677424.1, XP_015670490.2, XP_029139796.1, XP_029139795.1, XP_015670488.1, XP_015670489.1, XP_015673776.1, XP_015673777.1, XP_029140383.1, XP_015673766.1, XP_029140382.1
OG0000007	ENSACAG00000009673.2	XP_015666729.1, XP_029142090.1, XP_029141922.1, XP_029142143.1, XP_015682276.2
OG0000007	ENSACAG00000002917.3, ENSACAG00000002942.2	XP_029139023.1, XP_029142932.1, XP_029138837.1, XP_015665623.1
OG0000007	ENSACAG00000009626.2, ENSACAG00000017533.2	XP_015673667.1, XP_015670498.1, XP_015673672.1, XP_029140746.1, XP_029140366.1, XP_015675790.1, XP_015673663.1, XP_029140364.1, XP_015673661.1, XP_029140365.1, XP_015673660.1, XP_015673664.2, XP_015673665.1
OG0000007	ENSACAG00000011016.2	XP_029140438.1, XP_029141950.1, XP_029140051.1, XP_029140440.1, XP_029140444.1, XP_029140052.1, XP_029140437.1, XP_015671879.1, XP_029141949.1
OG0000007	ENSACAG00000010990.2, ENSACAG00000007844.2	XP_029141902.1, XP_029141903.1
OG0000008	ENSACAG00000003365.1, ENSACAG00000004700.2, ENSACAG00000004696.1, ENSACAG00000017534.1, ENSACAG00000003381.2, ENSACAG00000015308.2	XP_015678749.1
OG0000008	ENSACAG00000015302.1	XP_015678743.1
OG0000008	ENSACAG00000011601.2, ENSACAG00000011596.2	XP_015673915.1
OG0000008	ENSACAG00000006010.3	XP_015677647.1
OG0000009	ENSACAG00000022740.1, ENSACAG00000023190.1	XP_015677980.2
OG0000009	ENSACAG00000022706.1	XP_015684501.1, XP_015673238.1
OG0000009	ENSACAG00000007622.2	XP_015684100.2
OG0000009	ENSACAG00000007600.2	XP_015683726.1
OG0000009	ENSACAG00000013832.2	XP_015673205.2
OG0000009	ENSACAG00000023399.1	XP_029139481.1
OG0000009	ENSACAG00000010890.2	XP_015672562.1, XP_015672559.1, XP_015672561.1
OG0000009	ENSACAG00000011030.2	XP_015665579.1
OG0000009	ENSACAG00000007620.2, ENSACAG00000022960.1	XP_015684098.2
OG0000009	ENSACAG00000007614.2, ENSACAG00000023376.1	XP_015684478.1, XP_015684097.1, XP_015684481.1, XP_015684482.1, XP_015684103.1
OG0000009	ENSACAG00000027540.1, ENSACAG00000010971.2	XP_015668984.2
OG0000010	ENSACAG00000015297.1, ENSACAG00000015318.1	XP_015678744.1
OG0000010	ENSACAG00000003370.1	XP_015675791.1
OG0000010	ENSACAG00000026549.1	XP_015683800.1
OG0000013	ENSACAG00000010954.2	XP_029141885.1, XP_029139675.1, XP_015669877.1
OG0000013	ENSACAG00000027007.1, ENSACAG00000024209.1, ENSACAG00000024155.2, ENSACAG00000022589.1	XP_015669871.1, XP_029139676.1, XP_015669872.1
OG0000013	ENSACAG00000010940.2	XP_015669863.1, XP_015669864.1, XP_029139677.1
OG0000013	ENSACAG00000010942.2	XP_015669887.1, XP_015669873.1
