Orthogroup	P_troglodytes.pep	H_sapiens.pep
OG0000002	ENSPTRG00000040254.2, ENSPTRG00000046594.1, ENSPTRG00000045458.1, ENSPTRG00000044687.1, ENSPTRG00000049648.1, ENSPTRG00000046198.1, ENSPTRG00000051631.1, ENSPTRG00000047436.1	ENSG00000277856.1
OG0000002	ENSPTRG00000046374.1, ENSPTRG00000051386.1, ENSPTRG00000044425.1, ENSPTRG00000042853.1	ENSG00000277836.1, ENSG00000270472.2
OG0000002	ENSPTRG00000050534.1, ENSPTRG00000050506.1	ENSG00000282305.1, ENSG00000271178.1, ENSG00000224650.2
OG0000002	ENSPTRG00000045804.1, ENSPTRG00000051498.1	ENSG00000211941.3, ENSG00000282322.1, ENSG00000259680.5, ENSG00000271130.1, ENSG00000282476.1, ENSG00000211946.3, ENSG00000282151.1, ENSG00000232216.1, ENSG00000211938.2, ENSG00000282211.1
OG0000002	ENSPTRG00000045574.1	ENSG00000270550.1, ENSG00000282777.1, ENSG00000211955.2, ENSG00000282642.1
OG0000002	ENSPTRG00000042773.1	ENSG00000282150.1
OG0000002	ENSPTRG00000051095.1, ENSPTRG00000042561.2	ENSG00000282639.1, ENSG00000282644.1, ENSG00000223648.4, ENSG00000274236.3, ENSG00000211949.3, ENSG00000233732.5, ENSG00000282593.1, ENSG00000211967.3, ENSG00000211972.2, ENSG00000282045.1
OG0000002	ENSPTRG00000049279.1	ENSG00000281962.1
OG0000002	ENSPTRG00000046634.1	ENSG00000273539.3, ENSG00000211976.2
OG0000002	ENSPTRG00000046669.1	ENSG00000225698.3, ENSG00000278042.2, ENSG00000259490.2, ENSG00000288429.1
OG0000002	ENSPTRG00000051561.1, ENSPTRG00000051773.1, ENSPTRG00000050166.1, ENSPTRG00000044091.1, ENSPTRG00000046896.1	ENSG00000277761.1, ENSG00000282290.1, ENSG00000211943.2
OG0000003	ENSPTRG00000031391.3	ENSG00000281759.1, ENSG00000282666.1, ENSG00000244575.3, ENSG00000282801.1, ENSG00000243466.1, ENSG00000276566.1, ENSG00000282758.1, ENSG00000241755.1, ENSG00000241244.1, ENSG00000240864.3, ENSG00000282282.1, ENSG00000240382.3, ENSG00000281978.1, ENSG00000242766.1, ENSG00000243290.3, ENSG00000278857.1, ENSG00000282694.3, ENSG00000239819.2, ENSG00000281078.1, ENSG00000283113.2, ENSG00000240671.4, ENSG00000242580.1, ENSG00000242371.1, ENSG00000282120.1, ENSG00000282163.1, ENSG00000239855.1, ENSG00000231292.6, ENSG00000251546.1
OG0000003	ENSPTRG00000043991.1	ENSG00000282811.1, ENSG00000239975.2, ENSG00000242076.2
OG0000003	ENSPTRG00000047003.1, ENSPTRG00000043724.1, ENSPTRG00000042740.1, ENSPTRG00000042025.2	ENSG00000282447.1, ENSG00000244437.1, ENSG00000224041.3, ENSG00000243063.1, ENSG00000282310.1, ENSG00000233999.3, ENSG00000275777.3, ENSG00000228325.5, ENSG00000282402.1, ENSG00000239951.1, ENSG00000211625.2, ENSG00000282823.1, ENSG00000211632.4, ENSG00000241351.3
OG0000003	ENSPTRG00000046612.1	ENSG00000211598.2
OG0000004	ENSPTRG00000050490.1, ENSPTRG00000043867.1, ENSPTRG00000043221.1	ENSG00000211638.2
OG0000004	ENSPTRG00000043278.1, ENSPTRG00000050377.1, ENSPTRG00000044044.1, ENSPTRG00000044777.1, ENSPTRG00000052793.1, ENSPTRG00000048808.1	ENSG00000211664.3, ENSG00000211660.3, ENSG00000211666.2, ENSG00000278196.3, ENSG00000211668.2
OG0000004	ENSPTRG00000051891.1	ENSG00000211642.3
OG0000004	ENSPTRG00000051783.1, ENSPTRG00000052542.1	ENSG00000211644.3
OG0000004	ENSPTRG00000050807.1, ENSPTRG00000043596.1	ENSG00000211655.3, ENSG00000273737.3, ENSG00000211651.3, ENSG00000274854.2, ENSG00000211648.2, ENSG00000211645.2, ENSG00000211653.2, ENSG00000274575.2
OG0000004	ENSPTRG00000046832.1, ENSPTRG00000049990.1	ENSG00000211640.4
OG0000004	ENSPTRG00000043052.1	ENSG00000211658.2
OG0000004	ENSPTRG00000048142.1, ENSPTRG00000051542.1	ENSG00000211661.2
OG0000004	ENSPTRG00000046633.1	ENSG00000211665.3, ENSG00000211659.2, ENSG00000211669.3
OG0000004	ENSPTRG00000043164.1	ENSG00000280866.1, ENSG00000211657.3, ENSG00000211663.2
OG0000004	ENSPTRG00000049497.1	ENSG00000211673.2
OG0000004	ENSPTRG00000043119.1, ENSPTRG00000047226.1	ENSG00000211670.2, ENSG00000211662.2, ENSG00000211667.3
OG0000004	ENSPTRG00000051256.1	ENSG00000211641.3
OG0000004	ENSPTRG00000049144.1, ENSPTRG00000052875.1	ENSG00000281471.1, ENSG00000211654.2, ENSG00000211647.1, ENSG00000211650.2, ENSG00000281145.1, ENSG00000281536.1
OG0000004	ENSPTRG00000014125.2	ENSG00000169575.5
OG0000006	ENSPTRG00000011558.5	ENSG00000268163.1, ENSG00000268107.6
OG0000006	ENSPTRG00000011592.6	ENSG00000171574.18
OG0000006	ENSPTRG00000039931.2	ENSG00000286261.1
OG0000006	ENSPTRG00000023216.4	ENSG00000196418.12
OG0000006	ENSPTRG00000052677.1	ENSG00000196826.7
OG0000006	ENSPTRG00000048805.1	ENSG00000242852.7
OG0000006	ENSPTRG00000010249.6	ENSG00000175691.9
OG0000006	ENSPTRG00000010599.6, ENSPTRG00000050695.1	ENSG00000160961.12
OG0000006	ENSPTRG00000030267.3	ENSG00000273291.5, ENSG00000240747.7
OG0000006	ENSPTRG00000045846.1	ENSG00000177932.7
OG0000006	ENSPTRG00000017606.5	ENSG00000169131.13
OG0000006	ENSPTRG00000017609.5	ENSG00000178338.11
OG0000006	ENSPTRG00000008322.3	ENSG00000157429.16
OG0000006	ENSPTRG00000047228.1	ENSG00000189420.8
OG0000006	ENSPTRG00000047693.1	ENSG00000283930.1
OG0000006	ENSPTRG00000042406.2	ENSG00000175395.16
OG0000006	ENSPTRG00000020717.6	ENSG00000147789.15
OG0000008	ENSPTRG00000004723.4	ENSG00000246705.4
OG0000008	ENSPTRG00000052021.1	ENSG00000184260.5
OG0000008	ENSPTRG00000047219.1	ENSG00000184270.5
OG0000008	ENSPTRG00000045799.1	ENSG00000188486.3
OG0000008	ENSPTRG00000046303.1	ENSG00000272196.2, ENSG00000203812.2
OG0000008	ENSPTRG00000043682.1	ENSG00000180573.9
OG0000008	ENSPTRG00000047640.1	ENSG00000284841.1, ENSG00000181218.5
OG0000008	ENSPTRG00000049137.1	ENSG00000278463.1, ENSG00000277075.2
OG0000008	ENSPTRG00000043908.1	ENSG00000196747.4
OG0000008	ENSPTRG00000029801.2	ENSG00000275221.1
OG0000008	ENSPTRG00000044259.1	ENSG00000196866.2
OG0000008	ENSPTRG00000044636.1	ENSG00000274997.1
OG0000008	ENSPTRG00000045889.1	ENSG00000276368.1
OG0000008	ENSPTRG00000017789.3	ENSG00000164508.4
OG0000009	ENSPTRG00000046082.1, ENSPTRG00000045266.1	ENSG00000149133.1
OG0000009	ENSPTRG00000003691.3	ENSG00000172320.3
OG0000009	ENSPTRG00000003626.2	ENSG00000174957.1
OG0000009	ENSPTRG00000029960.3	ENSG00000172459.4
OG0000009	ENSPTRG00000029785.4	ENSG00000112461.9, ENSG00000233046.8, ENSG00000227137.8, ENSG00000243729.4, ENSG00000243441.6
OG0000009	ENSPTRG00000003643.4	ENSG00000172464.3
OG0000009	ENSPTRG00000003619.3	ENSG00000181785.2
OG0000010	ENSPTRG00000051324.1	ENSG00000146047.6
OG0000010	ENSPTRG00000047357.1	ENSG00000203814.6
OG0000010	ENSPTRG00000050958.1	ENSG00000196890.4, ENSG00000285449.1
OG0000010	ENSPTRG00000051650.1	ENSG00000276410.3
OG0000010	ENSPTRG00000052585.1, ENSPTRG00000049674.1	ENSG00000274290.2
OG0000010	ENSPTRG00000045223.1	ENSG00000233822.4
OG0000010	ENSPTRG00000048874.1	ENSG00000158373.8
OG0000010	ENSPTRG00000047324.1	ENSG00000277224.2
OG0000010	ENSPTRG00000050454.1	ENSG00000184678.10
OG0000010	ENSPTRG00000046214.1	ENSG00000274641.1
OG0000010	ENSPTRG00000043345.1	ENSG00000275713.2
