Orthogroup	A_carolinensis.pep	N_naja.pep
OG0000002	ENSACAG00000026766.2, ENSACAG00000023814.1, ENSACAG00000002849.3, ENSACAG00000026037.1	Nana39702-RA
OG0000002	ENSACAG00000028352.1	Nana38721-RA
OG0000002	ENSACAG00000002838.3	Nana38722-RA, Nana38264-RA
OG0000002	ENSACAG00000002383.2	Nana39072-RA
OG0000002	ENSACAG00000021075.3, ENSACAG00000029517.1, ENSACAG00000002908.3, ENSACAG00000002907.2, ENSACAG00000002835.2	Nana24150-RA
OG0000004	ENSACAG00000026467.2	Nana34665-RF
OG0000004	ENSACAG00000002800.3	Nana35137-RB
OG0000004	ENSACAG00000028861.1	Nana35122-RA
OG0000004	ENSACAG00000026066.1, ENSACAG00000002794.2, ENSACAG00000025882.1, ENSACAG00000024510.1, ENSACAG00000024122.1, ENSACAG00000028919.1, ENSACAG00000024102.1, ENSACAG00000026893.2, ENSACAG00000026390.1, ENSACAG00000026712.1, ENSACAG00000022431.1	Nana35137-RC
OG0000004	ENSACAG00000028258.1	Nana39422-RA
OG0000004	ENSACAG00000029225.1	Nana35139-RA
OG0000006	ENSACAG00000028936.1	Nana07874-RA, Nana07050-RA
OG0000006	ENSACAG00000012836.3, ENSACAG00000014483.2, ENSACAG00000028531.1, ENSACAG00000010529.2, ENSACAG00000013824.3, ENSACAG00000029188.1	Nana07308-RA
OG0000007	ENSACAG00000007113.2	Nana23478-RA
OG0000007	ENSACAG00000002917.3, ENSACAG00000002942.2	Nana38175-RA
OG0000008	ENSACAG00000003365.1, ENSACAG00000004700.2, ENSACAG00000004696.1	Nana24313-RA
OG0000008	ENSACAG00000017534.1, ENSACAG00000003381.2	Nana24068-RA, Nana24074-RA
OG0000008	ENSACAG00000015308.2	Nana10430-RA
OG0000008	ENSACAG00000011601.2, ENSACAG00000011596.2	Nana07832-RA
OG0000008	ENSACAG00000006010.3	Nana08331-RA
OG0000009	ENSACAG00000010890.2, ENSACAG00000011030.2, ENSACAG00000007816.2, ENSACAG00000007620.2, ENSACAG00000022960.1, ENSACAG00000007614.2, ENSACAG00000023376.1	Nana23397-RA
OG0000010	ENSACAG00000015297.1, ENSACAG00000015318.1	Nana10431-RA, Nana10425-RA
OG0000010	ENSACAG00000003370.1	Nana24069-RA
OG0000010	ENSACAG00000003373.1, ENSACAG00000004410.1, ENSACAG00000004417.1	Nana38982-RA
OG0000014	ENSACAG00000026224.2	Nana09496-RA
OG0000014	ENSACAG00000021043.1	Nana24071-RA
OG0000014	ENSACAG00000024894.1	Nana23739-RA, Nana27153-RA
OG0000014	ENSACAG00000003388.1	Nana24067-RA
OG0000014	ENSACAG00000007297.3	Nana30712-RA
OG0000014	ENSACAG00000023420.2	Nana30712-RC
OG0000015	ENSACAG00000006471.3	Nana07170-RA
