"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9","Mus_livr_1","Mus_livr_2","Mus_livr_3","Mus_livr_4","Homo_livr_1","Homo_livr_2","Homo_livr_3","Canis_livr_1","Canis_livr_2","Canis_livr_3"
"1",107282159,"delta-like 4 (Drosophila)",2,14,10,3,3,5,1,6,5,5,16,5,8,8,3,6,1,4,11,6,2,15,24,7,5,9,4,0,9,1,2.75461,3.24895,4.02965,4.16696,1.07263,0.370894,0.5503727,4.264986,3.330054,0.781737
"2",107282160,"fibronectin leucine rich transmembrane protein 2",401.01,1107,1511.25,192,291,380,119,85,593.04,92,571.1,509,489,205,235,191,208,97,646,358.02,116,639.03,2290.75,765.04,715.01,312.01,559.22,147,913,251.03,0.0987124,0.0825726,0.0400982,0.0481196,0.738123,0.1381067,0.9197891,0,0,0.689445
"3",107282165,"peroxisomal biogenesis factor 11 gamma",169,251,348,154,97,174,89,204,202,80,145,271,234,113,172,160,125,87,375,153,184,365,288,277,180,231,225,73,198,156,49.27171,51.33515,55.09096,52.26168,23.35809,5.604589,11.704027,2.802266,5.774435,3.350627
"4",107282168,"phosphodiesterase 4C",10,20,16,6,10,18,7,13,6,13,27,6,14,7,4,12,3,14,8,4,5,14,10,20,46,19,24,2,40,5,13.34103,13.498641,15.358953,14.092468,0.4508365,0.3087736,0.2190591,0.738486,0.663605,0.3467563
"5",107282170,"GTP binding protein 3 (mitochondrial)",1,1,2,0,1,2,3,3,5,1,6,6,3,1,3,3,0,2,1,5,1,7,3,3,2,2,5,5,6,3,10.7558053,14.755725,14.815962,14.0113995,13.39461161,2.062056,3.6898017,8.63645,9.18319,3.18051
"6",107282178,"microtubule associated protein 7",857,543,514,389,323,305,306,347,423,453,489,534,253,348,469,354,841,560,528,763,470,275,967,448,579,268,448,567,363,484,10.04465128,12.077336,11.708792,11.395823,11.796199,2.8032972,4.295899,7.063768789,7.902814,6.8256937
"7",107282182,"nuclear factor I/C (CCAAT-binding transcription factor)",154,129,179,106,195,96,163,182,181,179,199,304,117,160,106,138,123,167,160,111,55,146,421,133,398,84,172,263,275,184,52.52575,27.66773558,32.34666,30.108709,85.54474766,5.639858,13.426347,71.25103,93.8343,32.16604
"8",107282195,"hyaluronan and proteoglycan link protein 1",19,132,97,19,9,35,9,4,51,17,63,22,25,22,28,34,35,6,152,19,29,49,40,29,31,28,52,3,75,20,0.124318,0.0482268,0.0250873,0.0739056,0,0,0,6.23451,0,2.83763
"9",107282203,"zinc finger protein 511",48,47,62,36,40,42,16,38,29,13,45,41,27,22,23,11,15,27,62,21,30,38,98,45,49,34,27,23,45,38,22.05292,25.588404,26.429072,20.678749,38.00227,61.92805,40.33021,9.796299,12.363603,9.94005
"10",107282204,"tubulin gamma complex associated protein 2",276,488,527,187,218,387,96,260,295,164,457,352,444,199,205,230,190,212,629,236,168,632,1132,599,419,299,283,158,431,154,6.806933,9.8158,8.987311,9.728843,20.66895409,18.9601611,11.77903602,17.307,30.40805,21.3814
"11",107282217,"solute carrier family 35 member E1",51,34,30,32,23,16,16,24,19,9,31,13,20,16,13,19,22,18,23,12,8,16,69,27,50,22,34,25,29,18,50.7683,51.6245,50.3868,53.8599,14.16353,5.284102,8.382619,15.2289,15.5449,8.69695
"12",107282221,"Rho/Rac guanine nucleotide exchange factor 18",45,42,38,25,11,11,14,24,30,18,36,26,14,14,28,15,47,16,41,27,9,30,48,31,34,26,34,24,32,19,17.0476827,19.330978,19.7988152,19.8151533,0.0896689,0,0,3.80381,9.82575,4.83786
"13",107282223,"unconventional SNARE in the ER 1 homolog (S. cerevisiae)",204,96,74,45,48,28,13,102,34,43,132,158,66,91,52,45,164,72,40,115,66,158,233,49,278,36,43,45,94,14,52.419451,65.797211,62.840055,58.262496,26.101844,22.072767,17.8162713,37.300362,26.829036,25.816751
"14",107282230,"RAB3A, member RAS oncogene family",124,118,114,64,95,89,37,84,39,69,101,104,76,84,33,65,70,52,106,76,48,195,202,93,232,53,90,33,106,38,10.168413,8.788567,10.609614,8.951259,1.524605,0.48432,1.143894,3.73941,5.35175,3.10112
"15",107282233,"DET1 and DDB1 associated 1",556,607,442,345,304,358,166,289,353,150,450,492,318,246,211,270,264,222,425,188,259,423,661,391,691,466,409,331.73,437.01,359,26.2766836,29.04282258,31.56101,26.77103864,20.46032,4.82303,5.38308,34.8816,46.28651,30.98173
"16",107282238,"mitogen-activated protein kinase kinase kinase 5",30,88,123,18,31,41,9,32,54,25,151,37,50,22,49,38,14,46,98,37,28,93,169,57,97,79.98,53,14,67,18,3.335835,6.58378,3.865613,4.91121,1.48062,4.44681,5.0962,5.40759,4.57022,3.172
"17",107282258,"adaptor related protein complex 3 delta 1 subunit",434,199,365,216,292,162,170,220,274,205,331,435,208,250,148,197,194,278,246,219,162,352,639,373,633,160,284,359,240,327,38.167617,51.908437,52.22318,52.456094,64.432855,14.53526381,15.934942,16.25931,19.98744,15.8128
"18",107282273,"phosphoinositide-3-kinase regulatory subunit 2",41,36,57,25,36,24,29,38,28,39,35,79,31,27,33,37,32,33,57,53,29,48,187,65,106,12,41,21,20,12,14.158753,23.436601,23.009531,19.704837,27.989861,0.551115,1.9916941,1.67154,3.8816107,4.94749
"19",107282274,"microtubule associated serine/threonine kinase 3",4,10,4,27,15,8,15,5,8,5,11,6,1,12,11,15,18,15,12,12,11,11,11,4,18,2,17,28,2,23,18.1307453,19.85813,25.1759336,23.198127,11.40037,0.5193051,2.6748912,7.573488881,13.73862417,12.199622
"20",107282288,"coiled-coil serine rich protein 1",187,171,227,127,108,97,75,88,115,87,136,97,94,120,153,89,168,113,175,131,133,107,247,124,163,75,182,147,101,112,0.0156553,0.111124,0.0765373,0.0361145,0.0970815,0,0.00690204,3.020070252,3.12969,2.759524422
"21",107282290,"phospholipid phosphatase related 3",1,6,10,0,0,1,0,1,2,2,5,2,4,1,0,1,0,0,8,2,0,5,12,4,3,2,1,0,1,0,1.1907433,3.213345,3.4594113,3.009403,0.0585594,0,0,0,0,0
"22",107282350,"serine/threonine kinase 24",261,225,236,282,191,112,70,145.99,208,68,203,97,139,124,115,112,114,149,158,86,137,177,226,164,175,216,181,61,191,199,7.28818,7.954497,8.7356878,8.808192,11.497396,8.7946956,8.9434832,19.97839094,19.97542238,12.9956552
"23",107282361,"dickkopf WNT signaling pathway inhibitor 2",87,651,652,147.97,365,93,515,324,239,116,126,242,389,642,606,457,311,179,489,135,145,238,785,337,340,247,158,143.98,187,126,0.0930627,0.146888,0.10447,0.167075,0.0525551,0,0.0149457,0,0.164482,0
"24",107282362,"solute carrier family 15 (oligopeptide transporter), member 1",3753,455,2,1259,880,497,450,324,326,487,81,2402,2,527,1144,537,407,351,134,449,591,1,1,136,1949,8,2803,1140,23,555,0.238041,0.322656,0.241978,0.155763,19.988153,3.3343308,8.41594,118.659863,31.16374,38.9616381
"25",107282380,"F-box protein 47",0,9,1,2,0,9,0,0,1,1,3,4,0,1,0,3,1,3,3,0,1,4,2,0,3.98,8,3,2,6,2,0.3430541,0.0787096,0.177979,0.142268,0,0,0,0,0,0
"26",107282413,"tubulin folding cofactor D",2228.62,545.85,629.62,1889.44,1251.7,1019.47,2603.91,2745.77,1621.09,1492.39,1071.94,888.71,328.07,1243.69,3154.29,2054.24,3725.42,3132.22,758.01,1795.75,2540,514.43,787.55,524.34,1052.6,360.37,1938.01,1428.81,405.47,937.8,25.885425,24.266094,24.262416,27.03499,18.8520899,5.6787149,15.90181573,0.18517,0.265485,18.51665
"27",107282421,"plexin domain containing 1",5.56,79,89,70,5,28,6,26,73,10,66,70,36,14,19,13,9,5,86,10,17,90,127,52,28,117,24,8,67,6,0.638639,0.9314588,1.220708,1.123019,0.607121,0.17732224,0.616563,0,0,0.478995
"28",107282422,"DEAD-box helicase 42",442.23,722.52,723.47,483,278.03,615.62,207,487.01,408.08,315.04,450.06,601.09,365,199,269,237.47,301.08,511,773.51,472.22,399,878.94,2438.04,485.01,608.85,684.25,362.97,135.03,601.51,418,4.198,4.5941,4.66713,4.56239,25.35848,6.674152,17.79563,0,0,7.76739
"29",107282423,"zinc finger protein 750",2288,1082,1712,1708,1200,692,819,1103,1244,839,1003,1302,680,1052,815,1074,1218,1438,1305,996,979,956,2229,775,1168,939,1654,430,801,1063,2.25502,3.16563,2.79861,2.86268,0.0997001,0,0.0214145,0,0,0.0202451
"30",107282465,"3'-phosphoadenosine 5'-phosphosulfate synthase 1",269,267,288,139,147,197,109,138,253,124,207,267,212,193,167,144,233,188,376,238,99,205,545,244,280,102,250,80,124,162,5.910323,5.6865168,6.208272,6.010889729,3.283221,1.93207,3.097175,8.490719,10.310064,2.73725
"31",107282490,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent",192,198,270,213,127,149,58,113,170,56,191,146,181,117,95,102,61,72,269,82,142,257,286,163,175,334,168,78,120,116,12.127897,17.655808,16.848502,19.272193,3.745801,3.997258,4.849748,0,0,4.69281
"32",107282516,"myocardin",7,17,14,9,2,9,0,7,9,4,4,9,10,1,7,9,3,5,10,6,1,17,31,16,13,14,16,3,9,4,0.0386942,0.0673074,0.0365689,0.0405754,0.0938763,0.00401392,0.0547302,0,0,0.0779295
"33",107282539,"troponin T1, slow skeletal type",0,53,1,16,21,1293,5,50,13,25,115.85,84,3,9,1,36,9,1,30,0,0,121,3,16,2,2,15,79,1360,41,2.355393,4.143782,3.6400518,4.1419868,0.276726,0,0.3075552,0.0736281,0.0620547,2.209553
"34",107282560,"SAGA complex associated factor 29",60,74,116,49,27,106,27,71,44,71,46,113,47,33,46,36,29,68,76,48,63,92,173,55,67,118,58,11,81,31,37.1648826,67.85463,68.8552,73.20281,33.76993,8.26826,11.79425,0,0.100667,14.784022
"35",107282562,"sphingomyelin synthase 2",917,725,1032,627,366,406,171,451,420,235,875,556,578,322,344,344,300,329,618,264,233,470,1071,469,787,1235,553,216,538,548,16.241803,14.0424575,11.277133,9.8356809,6.140008,1.9157516,3.511911,8.70842,9.54646,9.23289
"36",107282570,"regulator of G-protein signaling 9",29,6,5,13,11,16,83,55,30,41,11,6,2,2,51,32,60,26,11,47,24,3,27,14,3,4,27,22,3,31,0.391636,0.4001027,0.3901719,0.44684,2.223658,0.900299108,1.616206785,0.497282,0.443007,0.691643
"37",107282571,"guanine nucleotide binding protein (G protein), alpha 13",990,1622,1773,830,573,962,278,506,769,379,1023,440,609,410,546,388,571,559,913,509,410,1000,1789,700,1204,1513,805,252,1016,458,10.09079,14.65642,14.57067,12.97154,3.824871,4.30258,3.53536,0.0463474,0,2.80287
