P_guttatus_protein,P_Mucros.pep,python_protein,Pm_geneid
XP_034273720.1,XP_015665765.1,XP_007431418.1,107282159
XP_034274162.1,XP_015665403.1,XP_007436452.1,107282160
XP_034293474.1,XP_015665405.1,XP_025029939.1,107282165
XP_034274773.1,XP_015665420.1,XP_025023995.1,107282178
XP_034293597.1,XP_015665421.1,XP_025029843.1,107282182
XP_034297129.1,XP_015665434.1,XP_007442666.1,107282195
XP_034293513.1,XP_015665477.1,XP_007432524.1,107282230
XP_034274768.1,XP_015665489.1,XP_025023975.1,107282238
XP_034293393.1,XP_015665531.1,XP_007424544.1,107282273
XP_034293456.1,XP_015665532.1,XP_007424543.1,107282274
XP_034296375.1,XP_015665550.1,XP_007432388.1,107282288
XP_034274284.1,XP_015665610.1,XP_007421361.1,107282350
XP_034272449.1,XP_015665636.1,XP_007424207.1,107282380
XP_034292078.1,XP_015665679.1,XP_007432460.2,107282413
XP_034271285.1,XP_029138840.1,XP_007424206.1,107282421
XP_034271291.1,XP_015665686.1,XP_025026139.1,107282422
XP_034298128.1,XP_015665766.1,XP_025025691.1,107282465
XP_034264386.1,XP_015665757.1,XP_025018906.1,107282490
XP_034264375.1,XP_029138844.1,XP_025018899.1,107282516
XP_034279091.1,XP_015665820.1,XP_025024187.1,107282539
XP_034298131.1,XP_015665881.1,XP_007445159.1,107282562
XP_034268565.1,XP_015665852.1,XP_007421675.1,107282571
XP_034268568.1,XP_015665861.1,XP_007421710.2,107282575
XP_034268584.1,XP_015665862.1,XP_007421705.1,107282576
XP_034268603.1,XP_015665868.1,XP_007421739.1,107282581
XP_034271391.1,XP_029138873.1,XP_007428975.1,107282586
XP_034271322.1,XP_015665894.1,XP_007428629.1,107282604
XP_034271339.1,XP_029138882.1,XP_007424911.1,107282607
XP_034271350.1,XP_029138883.1,XP_007422577.1,107282610
XP_034271363.1,XP_015665906.1,XP_007422569.1,107282615
XP_034271364.1,XP_015665907.1,XP_025026093.1,107282616
XP_034271475.1,XP_015665925.1,XP_007420203.1,107282630
XP_034271476.1,XP_015665926.1,XP_015747097.1,107282631
XP_034271481.1,XP_015665930.1,XP_007420209.1,107282635
