"","gene","description","Pm_1_liver","Pm_10_liver","Pm_3_liver","Pm_5_liver","Pm_8_liver","Mus_livr_1","Mus_livr_2","Mus_livr_3","Mus_livr_4","Homo_livr_1","Homo_livr_2","Homo_livr_3","Canis_livr_1","Canis_livr_2","Canis_livr_3"
"1",107282159,"delta-like 4 (Drosophila)",16,5,7,6,23,2.75461,3.24895,4.02965,4.16696,1.07263,0.370894,0.5503727,4.264986,3.330054,0.781737
"2",107282160,"fibronectin leucine rich transmembrane protein 2",18,16,4,7,12,0.0987124,0.0825726,0.0400982,0.0481196,0.738123,0.1381067,0.9197891,0,0,0.689445
"3",107282165,"peroxisomal biogenesis factor 11 gamma",131,240,143,136,297,49.27171,51.33515,55.09096,52.26168,23.35809,5.604589,11.704027,2.802266,5.774435,3.350627
"4",107282168,"phosphodiesterase 4C",0,0,0,0,0,13.34103,13.498641,15.358953,14.092468,0.4508365,0.3087736,0.2190591,0.738486,0.663605,0.3467563
"5",107282170,"GTP binding protein 3 (mitochondrial)",0,0,0,0,1,10.7558053,14.755725,14.815962,14.0113995,13.39461161,2.062056,3.6898017,8.63645,9.18319,3.18051
"6",107282178,"microtubule associated protein 7",121,220,118,106,186,10.04465128,12.077336,11.708792,11.395823,11.796199,2.8032972,4.295899,7.063768789,7.902814,6.8256937
"7",107282182,"nuclear factor I/C (CCAAT-binding transcription factor)",32,56,48,64,113,52.52575,27.66773558,32.34666,30.108709,85.54474766,5.639858,13.426347,71.25103,93.8343,32.16604
"8",107282195,"hyaluronan and proteoglycan link protein 1",0,1,0,0,0,0.124318,0.0482268,0.0250873,0.0739056,0,0,0,6.23451,0,2.83763
"9",107282203,"zinc finger protein 511",7,26,10,14,17,22.05292,25.588404,26.429072,20.678749,38.00227,61.92805,40.33021,9.796299,12.363603,9.94005
"10",107282204,"tubulin gamma complex associated protein 2",54,123,56,57,167,6.806933,9.8158,8.987311,9.728843,20.66895409,18.9601611,11.77903602,17.307,30.40805,21.3814
"11",107282217,"solute carrier family 35 member E1",12,30,25,31,26,50.7683,51.6245,50.3868,53.8599,14.16353,5.284102,8.382619,15.2289,15.5449,8.69695
"12",107282221,"Rho/Rac guanine nucleotide exchange factor 18",4,10,3,12,19,17.0476827,19.330978,19.7988152,19.8151533,0.0896689,0,0,3.80381,9.82575,4.83786
"13",107282223,"unconventional SNARE in the ER 1 homolog (S. cerevisiae)",42,61,57,26,77,52.419451,65.797211,62.840055,58.262496,26.101844,22.072767,17.8162713,37.300362,26.829036,25.816751
"14",107282230,"RAB3A, member RAS oncogene family",4,7,4,4,14,10.168413,8.788567,10.609614,8.951259,1.524605,0.48432,1.143894,3.73941,5.35175,3.10112
"15",107282233,"DET1 and DDB1 associated 1",107,202,84,85,135,26.2766836,29.04282258,31.56101,26.77103864,20.46032,4.82303,5.38308,34.8816,46.28651,30.98173
