Orthogroup	H_sapiens.pep	C_familiaris.pep
OG0000002	ENSG00000277856.1, ENSG00000277836.1, ENSG00000270472.2	ENSCAFG00000045680.1, ENSCAFG00000045676.1, ENSCAFG00000044771.1, ENSCAFG00000043189.1, ENSCAFG00000047549.1, ENSCAFG00000046465.1, ENSCAFG00000043645.1, ENSCAFG00000029624.2, ENSCAFG00000044861.1, ENSCAFG00000030894.2, ENSCAFG00000041353.1, ENSCAFG00000049081.1, ENSCAFG00000028509.2, ENSCAFG00000045080.1, ENSCAFG00000045461.1, ENSCAFG00000045835.1, ENSCAFG00000043363.1, ENSCAFG00000030900.2, ENSCAFG00000049690.1, ENSCAFG00000043408.1, ENSCAFG00000047346.1
OG0000003	ENSG00000281759.1, ENSG00000282666.1, ENSG00000244575.3, ENSG00000282801.1, ENSG00000243466.1, ENSG00000276566.1, ENSG00000282758.1, ENSG00000241755.1, ENSG00000241244.1, ENSG00000240864.3, ENSG00000282282.1, ENSG00000240382.3, ENSG00000281978.1, ENSG00000242766.1, ENSG00000243290.3, ENSG00000278857.1, ENSG00000282694.3, ENSG00000239819.2, ENSG00000281078.1, ENSG00000283113.2, ENSG00000240671.4, ENSG00000242580.1, ENSG00000242371.1, ENSG00000282120.1, ENSG00000282163.1, ENSG00000239855.1, ENSG00000231292.6, ENSG00000251546.1	ENSCAFG00000047288.1
OG0000003	ENSG00000282447.1, ENSG00000244437.1, ENSG00000224041.3, ENSG00000243063.1, ENSG00000282310.1, ENSG00000233999.3, ENSG00000275777.3, ENSG00000228325.5, ENSG00000282402.1, ENSG00000239951.1, ENSG00000211625.2, ENSG00000282823.1, ENSG00000211632.4, ENSG00000241351.3	ENSCAFG00000023369.2
OG0000003	ENSG00000211598.2	ENSCAFG00000007370.4, ENSCAFG00000007366.4
OG0000004	ENSG00000278293.2, ENSG00000211652.2, ENSG00000211649.3, ENSG00000211638.2	ENSCAFG00000043966.1, ENSCAFG00000044654.1, ENSCAFG00000044541.1, ENSCAFG00000043204.1, ENSCAFG00000041046.1, ENSCAFG00000049192.1, ENSCAFG00000044139.1, ENSCAFG00000029243.2, ENSCAFG00000042203.1, ENSCAFG00000049779.1, ENSCAFG00000049435.1, ENSCAFG00000043457.1, ENSCAFG00000029746.2, ENSCAFG00000043751.1, ENSCAFG00000023920.3, ENSCAFG00000047806.1, ENSCAFG00000049328.1, ENSCAFG00000046023.1
OG0000004	ENSG00000211664.3, ENSG00000211660.3, ENSG00000211666.2, ENSG00000278196.3, ENSG00000211668.2	ENSCAFG00000013622.4
OG0000004	ENSG00000211655.3, ENSG00000273737.3, ENSG00000211651.3, ENSG00000274854.2, ENSG00000211648.2, ENSG00000211645.2, ENSG00000211653.2, ENSG00000274575.2	ENSCAFG00000029467.2, ENSCAFG00000048817.1, ENSCAFG00000029939.2, ENSCAFG00000048160.1, ENSCAFG00000045973.1, ENSCAFG00000042425.1, ENSCAFG00000031415.2, ENSCAFG00000042155.1, ENSCAFG00000046672.1, ENSCAFG00000029236.2, ENSCAFG00000043016.1, ENSCAFG00000032249.2, ENSCAFG00000047763.1, ENSCAFG00000031637.2, ENSCAFG00000049421.1, ENSCAFG00000041195.1, ENSCAFG00000032078.2, ENSCAFG00000048317.1, ENSCAFG00000049367.1, ENSCAFG00000024720.3
OG0000004	ENSG00000211658.2, ENSG00000211661.2, ENSG00000211665.3, ENSG00000211659.2, ENSG00000211669.3, ENSG00000280866.1, ENSG00000211657.3, ENSG00000211663.2, ENSG00000211673.2, ENSG00000211670.2, ENSG00000211662.2, ENSG00000211667.3	ENSCAFG00000028850.2, ENSCAFG00000031273.2
OG0000004	ENSG00000211643.2	ENSCAFG00000049157.1, ENSCAFG00000043262.1, ENSCAFG00000044750.1, ENSCAFG00000043208.1, ENSCAFG00000048182.1, ENSCAFG00000042030.1, ENSCAFG00000041288.1
OG0000004	ENSG00000211641.3, ENSG00000281471.1, ENSG00000211654.2, ENSG00000211647.1, ENSG00000211650.2, ENSG00000281145.1, ENSG00000281536.1	ENSCAFG00000042398.1
OG0000004	ENSG00000169575.5	ENSCAFG00000024382.3
OG0000006	ENSG00000268163.1, ENSG00000268107.6	ENSCAFG00000030603.2
OG0000006	ENSG00000171574.18	ENSCAFG00000002361.5
OG0000006	ENSG00000286261.1	ENSCAFG00000029058.2
OG0000006	ENSG00000269755.1	ENSCAFG00000032123.2
OG0000006	ENSG00000196826.7, ENSG00000242852.7	ENSCAFG00000031471.2
OG0000006	ENSG00000175691.9	ENSCAFG00000041809.1, ENSCAFG00000031469.2
OG0000006	ENSG00000160961.12	ENSCAFG00000030256.2
OG0000006	ENSG00000273291.5, ENSG00000240747.7	ENSCAFG00000002441.4
OG0000006	ENSG00000177932.7	ENSCAFG00000030461.2
OG0000006	ENSG00000169131.13	ENSCAFG00000031000.3
OG0000006	ENSG00000178338.11	ENSCAFG00000029114.3
OG0000006	ENSG00000157429.16	ENSCAFG00000029432.2
OG0000006	ENSG00000261611.6	ENSCAFG00000049733.1
OG0000006	ENSG00000189420.8	ENSCAFG00000029984.2
OG0000006	ENSG00000283930.1	ENSCAFG00000010392.4, ENSCAFG00000023499.4, ENSCAFG00000043983.1
OG0000006	ENSG00000175395.16	ENSCAFG00000029179.2
OG0000006	ENSG00000147789.15	ENSCAFG00000049102.1
OG0000008	ENSG00000246705.4	ENSCAFG00000012984.1
OG0000008	ENSG00000184270.5	ENSCAFG00000046411.1
OG0000008	ENSG00000229674.2	ENSCAFG00000044672.1, ENSCAFG00000041985.1, ENSCAFG00000043054.1
OG0000008	ENSG00000272196.2, ENSG00000203812.2	ENSCAFG00000043458.1
OG0000008	ENSG00000180573.9	ENSCAFG00000031860.1
OG0000008	ENSG00000276903.1, ENSG00000196787.3, ENSG00000278677.1, ENSG00000196747.4, ENSG00000275221.1	ENSCAFG00000029759.1
OG0000008	ENSG00000196866.2	ENSCAFG00000031754.1, ENSCAFG00000028830.1, ENSCAFG00000044066.1, ENSCAFG00000029260.1
OG0000008	ENSG00000274997.1	ENSCAFG00000029078.1
OG0000008	ENSG00000276368.1	ENSCAFG00000049775.1
OG0000008	ENSG00000164508.4	ENSCAFG00000024315.2
OG0000009	ENSG00000149133.1	ENSCAFG00000008100.4
OG0000009	ENSG00000172320.3	ENSCAFG00000007632.4
OG0000009	ENSG00000174957.1	ENSCAFG00000030998.1, ENSCAFG00000031814.1
OG0000009	ENSG00000172459.4	ENSCAFG00000008017.4
OG0000009	ENSG00000172464.3	ENSCAFG00000008020.3
OG0000009	ENSG00000181785.2	ENSCAFG00000008097.3
OG0000010	ENSG00000146047.6	ENSCAFG00000029445.1
OG0000010	ENSG00000203814.6	ENSCAFG00000030731.2
OG0000010	ENSG00000285480.1	ENSCAFG00000010770.3, ENSCAFG00000044235.1
OG0000010	ENSG00000274290.2	ENSCAFG00000030570.1, ENSCAFG00000029200.2, ENSCAFG00000043731.1
OG0000010	ENSG00000278588.1	ENSCAFG00000044000.1
OG0000010	ENSG00000273802.2	ENSCAFG00000045051.1
OG0000010	ENSG00000233822.4, ENSG00000158373.8	ENSCAFG00000044027.1
OG0000010	ENSG00000184678.10	ENSCAFG00000049795.1
OG0000010	ENSG00000197903.7	ENSCAFG00000042780.1
OG0000010	ENSG00000124635.8	ENSCAFG00000028672.1
OG0000010	ENSG00000185130.5	ENSCAFG00000024333.1, ENSCAFG00000024336.2
OG0000013	ENSG00000189181.5	ENSCAFG00000001273.4
OG0000014	ENSG00000163041.12	ENSCAFG00000016119.5
OG0000014	ENSG00000203811.1	ENSCAFG00000041871.1
OG0000014	ENSG00000274750.2, ENSG00000286522.1, ENSG00000285435.1, ENSG00000168148.3	ENSCAFG00000049134.1
OG0000014	ENSG00000273983.1	ENSCAFG00000045512.1
OG0000014	ENSG00000197409.7	ENSCAFG00000048378.1
OG0000018	ENSG00000158406.4	ENSCAFG00000031940.2, ENSCAFG00000029110.1
OG0000018	ENSG00000273542.1	ENSCAFG00000032188.1
OG0000018	ENSG00000278705.1	ENSCAFG00000024573.3
OG0000018	ENSG00000275663.1	ENSCAFG00000024275.3
OG0000018	ENSG00000277157.1	ENSCAFG00000030696.1
OG0000020	ENSG00000211973.2, ENSG00000282350.1, ENSG00000280411.1, ENSG00000282399.1, ENSG00000282284.1, ENSG00000211950.2, ENSG00000277282.1, ENSG00000188403.7, ENSG00000288375.1, ENSG00000282131.1, ENSG00000211962.2, ENSG00000282776.1, ENSG00000211961.3, ENSG00000211934.3, ENSG00000282550.1, ENSG00000288165.1, ENSG00000270505.1, ENSG00000281179.1, ENSG00000288190.1, ENSG00000211935.3, ENSG00000282213.1, ENSG00000211945.2, ENSG00000282716.1	ENSCAFG00000044868.1, ENSCAFG00000045759.1
OG0000021	ENSG00000264424.1	ENSCAFG00000017575.4
OG0000021	ENSG00000125414.19	ENSCAFG00000030337.3
OG0000021	ENSG00000109061.10, ENSG00000133020.4	ENSCAFG00000017522.4
OG0000021	ENSG00000006788.14	ENSCAFG00000017460.5
OG0000021	ENSG00000109063.15	ENSCAFG00000023094.3
OG0000021	ENSG00000078814.16	ENSCAFG00000007782.4
OG0000021	ENSG00000144821.10	ENSCAFG00000010154.4
OG0000021	ENSG00000197616.12	ENSCAFG00000011619.5
OG0000023	ENSG00000221977.2	ENSCAFG00000005679.3
OG0000023	ENSG00000182652.3	ENSCAFG00000023739.3, ENSCAFG00000015460.4
OG0000023	ENSG00000171014.2	ENSCAFG00000011456.3
OG0000023	ENSG00000172742.5	ENSCAFG00000029808.2
OG0000023	ENSG00000254466.2	ENSCAFG00000029148.1
OG0000023	ENSG00000176200.1	ENSCAFG00000031594.1
OG0000023	ENSG00000166884.2	ENSCAFG00000031533.1
OG0000023	ENSG00000141194.6	ENSCAFG00000041125.1
OG0000023	ENSG00000255713.2	ENSCAFG00000030533.2, ENSCAFG00000045423.1
OG0000023	ENSG00000278178.2, ENSG00000274792.1, ENSG00000288193.1, ENSG00000288501.1, ENSG00000285472.1, ENSG00000183706.5, ENSG00000279408.3, ENSG00000280709.2	ENSCAFG00000030818.1
OG0000023	ENSG00000176294.6	ENSCAFG00000032250.2
OG0000023	ENSG00000184394.2	ENSCAFG00000025368.3
OG0000025	ENSG00000196610.13, ENSG00000228254.9, ENSG00000228813.9, ENSG00000229493.9, ENSG00000230675.9, ENSG00000232629.9, ENSG00000226165.9, ENSG00000224305.9, ENSG00000206302.10, ENSG00000206237.6, ENSG00000225824.8, ENSG00000179344.16, ENSG00000233209.6, ENSG00000231286.7, ENSG00000231939.5	ENSCAFG00000000806.4, ENSCAFG00000000814.4
OG0000025	ENSG00000198502.6, ENSG00000236884.8, ENSG00000229074.8, ENSG00000230463.2, ENSG00000196101.9, ENSG00000231679.7, ENSG00000206240.11, ENSG00000206306.10, ENSG00000227357.2, ENSG00000227826.9, ENSG00000231021.9, ENSG00000228080.10, ENSG00000196126.11	ENSCAFG00000000900.4
OG0000026	ENSG00000171815.5	ENSCAFG00000024617.2
OG0000026	ENSG00000113212.7	ENSCAFG00000041019.1
OG0000026	ENSG00000112852.7	ENSCAFG00000024614.3
OG0000026	ENSG00000120327.6	ENSCAFG00000006106.4
OG0000026	ENSG00000113211.5	ENSCAFG00000030815.2
OG0000027	ENSG00000075886.11, ENSG00000198033.12	ENSCAFG00000031767.2
OG0000027	ENSG00000152086.9	ENSCAFG00000015086.4
OG0000027	ENSG00000123416.15	ENSCAFG00000015217.3
OG0000027	ENSG00000178462.12	ENSCAFG00000005248.4
OG0000027	ENSG00000183785.15	ENSCAFG00000010412.4
OG0000027	ENSG00000127824.14	ENSCAFG00000015209.4
OG0000028	ENSG00000275404.4, ENSG00000274113.4, ENSG00000187116.14, ENSG00000274914.4, ENSG00000278355.4	ENSCAFG00000042932.1, ENSCAFG00000050021.1, ENSCAFG00000047890.1
OG0000028	ENSG00000276798.4, ENSG00000239961.3, ENSG00000277092.4, ENSG00000274185.4, ENSG00000244482.10, ENSG00000274148.5, ENSG00000275539.5, ENSG00000275584.5	ENSCAFG00000030509.2, ENSCAFG00000024425.3
OG0000029	ENSG00000170454.6	ENSCAFG00000025322.3
OG0000031	ENSG00000197408.10	ENSCAFG00000005052.4
OG0000031	ENSG00000197838.5, ENSG00000255974.8, ENSG00000198077.10	ENSCAFG00000032339.2, ENSCAFG00000031823.2
OG0000032	ENSG00000205327.3	ENSCAFG00000032021.1, ENSCAFG00000030837.1, ENSCAFG00000044095.1, ENSCAFG00000046144.1, ENSCAFG00000024039.3, ENSCAFG00000047097.1, ENSCAFG00000031351.1
OG0000032	ENSG00000179695.2	ENSCAFG00000031267.2, ENSCAFG00000049606.1, ENSCAFG00000046036.1
OG0000032	ENSG00000197706.3	ENSCAFG00000006303.3
OG0000032	ENSG00000188324.4	ENSCAFG00000025348.2, ENSCAFG00000006298.2, ENSCAFG00000041059.1, ENSCAFG00000042969.1, ENSCAFG00000006260.3, ENSCAFG00000048431.1
OG0000032	ENSG00000187857.4	ENSCAFG00000009495.3, ENSCAFG00000043356.1
OG0000032	ENSG00000205330.4	ENSCAFG00000045886.1, ENSCAFG00000030040.2, ENSCAFG00000023611.2, ENSCAFG00000044127.1, ENSCAFG00000042110.1, ENSCAFG00000006267.4
OG0000032	ENSG00000205329.2	ENSCAFG00000029875.1, ENSCAFG00000044831.1
OG0000032	ENSG00000179626.4	ENSCAFG00000046509.1, ENSCAFG00000010795.3
OG0000033	ENSG00000205495.1	ENSCAFG00000031799.1, ENSCAFG00000032185.1, ENSCAFG00000049476.1
OG0000033	ENSG00000176787.2	ENSCAFG00000031681.2, ENSCAFG00000029703.1
OG0000033	ENSG00000180974.4	ENSCAFG00000042183.1
OG0000033	ENSG00000183269.5, ENSG00000205409.3	ENSCAFG00000045101.1, ENSCAFG00000047175.1, ENSCAFG00000031086.2
OG0000033	ENSG00000181609.5	ENSCAFG00000031226.2, ENSCAFG00000029020.2
OG0000033	ENSG00000181616.9	ENSCAFG00000024586.1, ENSCAFG00000047088.1
OG0000033	ENSG00000255307.1	ENSCAFG00000006366.3
OG0000033	ENSG00000187747.2	ENSCAFG00000006226.4
OG0000034	ENSG00000224156.10, ENSG00000232575.10, ENSG00000183311.16	ENSCAFG00000042737.1
OG0000034	ENSG00000188229.6	ENSCAFG00000019460.4
OG0000034	ENSG00000137285.10	ENSCAFG00000009337.4
OG0000034	ENSG00000137267.6	ENSCAFG00000042390.1
OG0000034	ENSG00000104833.12	ENSCAFG00000018634.4
OG0000039	ENSG00000127362.2	ENSCAFG00000024740.3
OG0000039	ENSG00000121377.2, ENSG00000274327.1, ENSG00000273326.1	ENSCAFG00000013384.1
OG0000039	ENSG00000282537.1, ENSG00000282256.1, ENSG00000256436.1, ENSG00000263097.3, ENSG00000255374.3, ENSG00000262612.3, ENSG00000278111.4, ENSG00000262525.3, ENSG00000226761.3, ENSG00000274699.4, ENSG00000256188.3, ENSG00000262111.3, ENSG00000255837.1, ENSG00000273092.1, ENSG00000282612.1, ENSG00000212124.2, ENSG00000263028.1, ENSG00000278307.3, ENSG00000273431.1, ENSG00000276167.1, ENSG00000212126.3	ENSCAFG00000013378.2, ENSCAFG00000048463.1
