Orthogroup	H_sapiens.pep	N_naja.pep
OG0000002	ENSG00000282305.1, ENSG00000271178.1, ENSG00000224650.2, ENSG00000211941.3, ENSG00000282322.1, ENSG00000259680.5, ENSG00000271130.1, ENSG00000282476.1, ENSG00000211946.3, ENSG00000282151.1, ENSG00000232216.1, ENSG00000211938.2, ENSG00000282211.1, ENSG00000270550.1, ENSG00000282777.1, ENSG00000211955.2, ENSG00000282642.1, ENSG00000282150.1, ENSG00000282639.1, ENSG00000282644.1, ENSG00000223648.4, ENSG00000274236.3, ENSG00000211949.3, ENSG00000233732.5, ENSG00000282593.1, ENSG00000211967.3, ENSG00000211972.2, ENSG00000282045.1, ENSG00000281962.1, ENSG00000282281.1, ENSG00000211947.2, ENSG00000211964.3, ENSG00000282627.1, ENSG00000275316.3, ENSG00000211965.4, ENSG00000273539.3, ENSG00000211976.2, ENSG00000225698.3, ENSG00000278042.2, ENSG00000259490.2, ENSG00000288429.1, ENSG00000277761.1, ENSG00000282290.1, ENSG00000211943.2	Nana24150-RA
OG0000004	ENSG00000278293.2, ENSG00000211652.2, ENSG00000211649.3, ENSG00000211638.2	Nana34665-RF
OG0000004	ENSG00000211664.3, ENSG00000211660.3, ENSG00000211666.2, ENSG00000278196.3, ENSG00000211668.2, ENSG00000211642.3, ENSG00000211644.3, ENSG00000211655.3, ENSG00000273737.3, ENSG00000211651.3, ENSG00000274854.2, ENSG00000211648.2, ENSG00000211645.2, ENSG00000211653.2, ENSG00000274575.2, ENSG00000211640.4	Nana35137-RB
OG0000006	ENSG00000196418.12, ENSG00000257355.1, ENSG00000213297.8, ENSG00000269755.1, ENSG00000196826.7, ENSG00000242852.7	Nana07874-RA
OG0000006	ENSG00000175691.9	Nana07050-RA
OG0000006	ENSG00000160961.12, ENSG00000273291.5, ENSG00000240747.7, ENSG00000177932.7, ENSG00000169131.13, ENSG00000178338.11, ENSG00000285978.1, ENSG00000157429.16, ENSG00000261611.6, ENSG00000189420.8, ENSG00000283930.1, ENSG00000175395.16, ENSG00000147789.15	Nana07308-RA
OG0000008	ENSG00000188486.3, ENSG00000229674.2	Nana29034-RA
OG0000008	ENSG00000272196.2, ENSG00000203812.2, ENSG00000180573.9, ENSG00000284841.1, ENSG00000181218.5, ENSG00000278463.1, ENSG00000277075.2, ENSG00000276903.1, ENSG00000196787.3, ENSG00000278677.1, ENSG00000196747.4, ENSG00000275221.1, ENSG00000196866.2, ENSG00000274997.1, ENSG00000276368.1, ENSG00000164508.4	Nana10428-RA
OG0000009	ENSG00000112461.9, ENSG00000233046.8, ENSG00000227137.8, ENSG00000243729.4, ENSG00000243441.6	Nana23397-RA
OG0000010	ENSG00000285480.1	Nana24069-RA
OG0000010	ENSG00000273703.1	Nana24046-RA
OG0000014	ENSG00000163041.12	Nana30712-RB, Nana09496-RA
OG0000014	ENSG00000273213.3, ENSG00000274750.2, ENSG00000286522.1, ENSG00000285435.1, ENSG00000168148.3, ENSG00000287080.1, ENSG00000273983.1, ENSG00000278828.1, ENSG00000275379.1, ENSG00000197409.7, ENSG00000275714.1, ENSG00000197153.4, ENSG00000277775.1	Nana10429-RA
OG0000014	ENSG00000203852.3	Nana24307-RA
OG0000015	ENSG00000153029.14	Nana07170-RA, Nana07207-RA, Nana37981-RA, Nana07215-RA, Nana37963-RA, Nana37970-RC, Nana37970-RB, Nana37970-RA, Nana37953-RA, Nana07208-RA, Nana06883-RA, Nana37964-RA, Nana37964-RC, Nana37964-RB, Nana37964-RD, Nana37961-RA, Nana07202-RC, Nana07205-RA, Nana07202-RA, Nana07202-RB, Nana39185-RB, Nana39185-RA, Nana07209-RC, Nana07209-RA, Nana07209-RB, Nana07209-RD, Nana07209-RE, Nana37988-RA, Nana39514-RA, Nana37956-RA, Nana37954-RA, Nana37952-RA, Nana37983-RA, Nana39512-RA, Nana07213-RA, Nana37945-RA, Nana37948-RC, Nana37948-RA, Nana37948-RB, Nana37986-RC, Nana37986-RE, Nana37986-RF, Nana37986-RB, Nana37986-RA, Nana37986-RD, Nana39183-RJ, Nana39952-RA, Nana39966-RA, Nana37955-RA, Nana07201-RD, Nana07201-RC, Nana07201-RB, Nana07201-RA, Nana07201-RE, Nana07204-RA
OG0000018	ENSG00000276180.1, ENSG00000158406.4, ENSG00000273542.1	Nana10432-RA
OG0000018	ENSG00000278637.1	Nana24072-RA
OG0000021	ENSG00000264424.1, ENSG00000125414.19, ENSG00000109061.10, ENSG00000133020.4	Nana09414-RD, Nana09414-RC, Nana09414-RA, Nana09414-RB
OG0000021	ENSG00000109063.15	Nana09413-RA, Nana09413-RB, Nana09413-RC
OG0000021	ENSG00000078814.16	Nana13832-RA, Nana13832-RB
OG0000021	ENSG00000144821.10	Nana24863-RA
OG0000021	ENSG00000197616.12	Nana24248-RB
OG0000023	ENSG00000171014.2, ENSG00000172742.5, ENSG00000254466.2, ENSG00000176200.1, ENSG00000166884.2, ENSG00000141194.6, ENSG00000255713.2	Nana23400-RA
OG0000026	ENSG00000171815.5, ENSG00000120324.9, ENSG00000177839.7, ENSG00000113212.7, ENSG00000112852.7, ENSG00000120327.6, ENSG00000272674.3, ENSG00000187372.11, ENSG00000120322.4, ENSG00000081818.4, ENSG00000113209.9, ENSG00000113211.5, ENSG00000113205.5, ENSG00000113248.6, ENSG00000120328.6, ENSG00000197479.7	Nana15442-RA, Nana15436-RA, Nana15438-RA, Nana15441-RA, Nana15443-RA
OG0000027	ENSG00000075886.11, ENSG00000198033.12, ENSG00000152086.9	Nana20181-RA
OG0000027	ENSG00000123416.15	Nana03934-RB, Nana03934-RA
OG0000027	ENSG00000178462.12	Nana27836-RA
OG0000027	ENSG00000183785.15	Nana27543-RA
OG0000027	ENSG00000127824.14	Nana03933-RB
OG0000027	ENSG00000167553.15	Nana09911-RA
OG0000029	ENSG00000172867.4, ENSG00000167768.4	Nana10133-RA
OG0000029	ENSG00000185640.6	Nana10134-RA
OG0000029	ENSG00000170486.11, ENSG00000139648.7, ENSG00000186049.8, ENSG00000186442.7, ENSG00000185069.2	Nana10130-RA, Nana10131-RA
OG0000029	ENSG00000170421.12	Nana10387-RA
OG0000029	ENSG00000135480.16	Nana10116-RA
OG0000031	ENSG00000197838.5, ENSG00000255974.8, ENSG00000198077.10	Nana30920-RC
OG0000033	ENSG00000205495.1, ENSG00000176787.2, ENSG00000180974.4, ENSG00000183269.5, ENSG00000205409.3	Nana25617-RA
OG0000033	ENSG00000181609.5, ENSG00000181616.9, ENSG00000255307.1, ENSG00000187747.2	Nana25601-RA
OG0000034	ENSG00000188229.6	Nana36726-RA
OG0000034	ENSG00000137267.6	Nana15763-RA
OG0000034	ENSG00000176014.13	Nana16081-RA
OG0000034	ENSG00000101162.4	Nana13527-RA
