P_Mucros.pep,P_guttatus.pep
XP_015671879.1,XP_034263665.1
XP_029140439.1,XP_034260132.1
XP_029140437.1,XP_034260227.1
XP_029141950.1,XP_034263045.1
XP_015669834.2,XP_034286073.1
XP_029139647.1,XP_034279081.1
XP_029139649.1,XP_034279082.1
XP_015684906.2,XP_034261150.1
XP_029141572.1,XP_034261149.1
XP_029140242.1,XP_034278635.1
XP_029140243.1,XP_034278633.1
XP_015679669.1,XP_034278627.1
XP_015679668.1,XP_034278626.1
XP_029140513.1,XP_034279079.1
XP_029140514.1,XP_034279078.1
XP_029140516.1,XP_034279074.1
XP_029140515.1,XP_034279075.1
XP_015674421.1,XP_034279077.1
XP_015670497.1,XP_034262937.1
XP_029140381.1,XP_034286074.1
XP_029140389.1,XP_034264354.1
XP_029140385.1,XP_034286061.1
XP_015670482.1,XP_034267405.1
XP_029139794.1,XP_034267407.1
XP_029139792.1,XP_034267408.1
XP_029139801.1,XP_034286023.1
XP_029140393.1,XP_034286081.1
XP_029140392.1,XP_034286079.1
XP_015673776.1,XP_034286038.1
XP_029139807.1,XP_034286043.1
XP_029141058.1,XP_034286034.1
XP_015683636.2,XP_034286013.1
XP_015673668.1,XP_034263508.1
XP_015673669.1,XP_034263100.1
XP_015669861.1,XP_034278692.1
XP_015669865.1,XP_034278689.1
XP_015668983.1,XP_034278665.1
XP_015669886.1,XP_034278824.1
XP_029141643.1,XP_034278989.1
XP_029141931.1,XP_034278986.1
XP_029139484.1,XP_034278813.1
XP_015669887.1,XP_034278993.1
XP_015669877.1,XP_034278679.1
XP_015669871.1,XP_034278685.1
XP_029139666.1,XP_034278702.1
XP_029139665.1,XP_034278703.1
XP_029139667.1,XP_034278700.1
XP_029139670.1,XP_034278697.1
XP_029139659.1,XP_034278705.1
XP_015669874.1,XP_034278682.1
XP_015669875.1,XP_034278681.1
XP_015669873.1,XP_034278683.1
XP_029139676.1,XP_034278677.1
XP_029139682.1,XP_034278996.1
XP_029139677.1,XP_034278676.1
XP_029139474.1,XP_034278811.1
XP_015676623.1,XP_034261501.1
